[00:00:12.829 --> 00:00:15.790]  Wednesday, April 20th, 2016.
[00:00:16.190 --> 00:00:20.552]  You're about to hear some of the most powerful 9-11 inside information ever.
[00:00:21.492 --> 00:00:22.492]  Here's John Bowne's report.
[00:00:31.483 --> 00:00:32.284]  How should the U.S.
[00:00:32.324 --> 00:00:34.425]  respond to such a devastation?
[00:00:34.725 --> 00:00:37.146]  Well, I think they have to respond quickly and effectively.
[00:00:37.206 --> 00:00:44.270]  They have to find out exactly what the cause was, who did it, and they have to go after these people because there is no other choice.
[00:00:49.617 --> 00:00:54.442]  Obviously, the war in Iraq is a big, fat mistake, alright?
[00:00:54.763 --> 00:01:02.231]  It took Jeb Bush, took him five days before his people told him what to say, and he ultimately said it was a mistake.
[00:01:02.611 --> 00:01:07.296]  The war in Iraq, we spent two trillion dollars, thousands of lives, we don't even have it.
[00:01:07.597 --> 00:01:11.281]  Iran is taking over Iraq with the second largest oil reserves in the world.
[00:01:11.741 --> 00:01:13.361]  He's destabilized the Middle East.
[00:01:13.661 --> 00:01:26.104]  On Monday, the Obama administration and the State Department said the release of the papers detailing Saudi involvement in the 9-11 attacks and its support for al-Qaeda would damage U.S.
[00:01:26.204 --> 00:01:29.925]  national security and endanger citizens living abroad.
[00:01:30.225 --> 00:01:37.827]  Both the Obama and Bush administrations have refused to release the papers stored in a guarded vault beneath Washington, D.C.
[00:01:38.087 --> 00:01:41.208]  The FBI has also refused to unseal the documents
[00:01:41.488 --> 00:01:47.873]  It needs to be classified, former director of the FBI Robert S. Mueller said in a secret meeting.
[00:01:48.093 --> 00:01:52.736]  The White House has threatened to veto legislation that would release the documents.
[00:01:53.116 --> 00:01:56.759]  It's difficult to imagine a scenario where the president would sign it.
[00:01:56.979 --> 00:02:00.602]  White House spokesman Josh Earnest told reporters on Monday.
[00:02:00.942 --> 00:02:04.884]  He said the bill would jeopardize international sovereignty and put the U.S.
[00:02:05.224 --> 00:02:06.824]  at a significant risk.
[00:02:07.104 --> 00:02:17.208]  Obama allies on Capitol Hill, including an unnamed Republican senator, have vowed to prevent the Senate from taking up the Justice Against Sponsors of Terrorism Act.
[00:02:17.588 --> 00:02:25.691]  The bill would remove Saudi Arabia's immunity in federal court and allow victims of the 9-11 attacks to sue the kingdom.
[00:02:25.811 --> 00:02:26.171]  Governor Bush!
[00:02:26.271 --> 00:02:26.571]  How we doing?
[00:02:26.591 --> 00:02:27.072]  Good to see you, man.
[00:02:27.092 --> 00:02:27.412]  Alright, good.
[00:02:27.452 --> 00:02:27.752]  How you doing?
[00:02:28.492 --> 00:02:32.995]  I was wondering, would you be in favor of seeing the 28 pages that have been redacted from the 9-11 commission report?
[00:02:33.055 --> 00:02:34.496]  Would you be willing to see those released?
[00:02:35.316 --> 00:02:36.137]  Yeah, I'd like to see them.
[00:02:36.177 --> 00:02:37.638]  You got them?
[00:02:37.678 --> 00:02:38.839]  Well, hopefully we can get them.
