[00:00:19.346 --> 00:00:20.326]  You want answers?
[00:00:20.387 --> 00:00:23.428]  Well, so does he.
[00:00:23.528 --> 00:00:27.670]  It's Alex Jones.
[00:00:27.750 --> 00:00:29.070]  My friends, thank you for joining us.
[00:00:29.450 --> 00:00:32.772]  It is May 15th on this Sunday Global Transmission.
[00:00:33.672 --> 00:00:36.413]  David Knight is going to be co-hosting from the studio.
[00:00:36.553 --> 00:00:37.754]  I am here on the road.
[00:00:39.495 --> 00:00:47.018]  If we attempt to decipher and expose the lies that the establishment media puts out,
[00:00:48.507 --> 00:00:50.968]  And that big corporations and the government puts out every day.
[00:00:52.629 --> 00:00:53.729]  Our job would be impossible.
[00:00:53.769 --> 00:00:55.129]  There's not enough hours.
[00:00:56.110 --> 00:01:10.815]  There's not enough reporters in the world to be able to actually chronicle and track the full spectrum of disinformation and fraud that has disputed the people of the United States and the world.
[00:01:11.676 --> 00:01:17.358]  Now the good news is, the Associated Press, I've talked a lot about this, did a big poll last month.
[00:01:18.416 --> 00:01:23.157]  And found that only 6% of people that follow mainstream media trust it.
[00:01:24.577 --> 00:01:32.079]  But still, people don't trust it, but because there is no real news in many cases now, nothing but spin, they don't know what's going on.
[00:01:35.260 --> 00:01:40.461]  I don't believe the earth is flat, but if the mainstream media started saying it was round, I might question them.
[00:01:40.521 --> 00:01:45.702]  I mean, that's how deceptive these people are, that you really can't believe anything they say.
[00:01:46.043 --> 00:01:47.683]  They taint, they twist, they spin.
[00:01:49.383 --> 00:01:58.275]  So in the first 30 minutes today, I want to go over a few examples of this in context of the news, just to show the hypocrisy, the fraud, the disinformation.
[00:01:58.616 --> 00:02:00.539]  So here's some of what's coming up after the break.
[00:02:01.260 --> 00:02:02.421]  Look at this, the New York Times.
[00:02:03.903 --> 00:02:05.986]  Crossing the line, how Donald Trump
[00:02:07.014 --> 00:02:09.475]  Behave with women in private.
[00:02:10.115 --> 00:02:19.399]  Interviews reveal unwelcome advances, a shrewd reliance on ambition and unsettling workplace conduct over decades, like telling women they're attractive.
[00:02:19.419 --> 00:02:24.021]  See, there's no bigger crime than men and women together, like fathers and mothers, or he or she.
[00:02:24.501 --> 00:02:25.382]  That's all being attacked.
[00:02:26.428 --> 00:02:32.251]  That sacred bond between men and women, the human species, cuddling together in the dark for eons.
[00:02:32.732 --> 00:02:34.012]  And it's now just horrible.
[00:02:34.393 --> 00:02:35.633]  No one ever said sexual harassment.
[00:02:35.673 --> 00:02:36.934]  No one ever said rape like the Clintons.
[00:02:36.974 --> 00:02:38.855]  No one ever made any of these connections.
[00:02:38.895 --> 00:02:40.116]  But you know what?
[00:02:40.296 --> 00:02:45.359]  They found a few women that said that, you know, he told them that they should lose weight decades ago.
[00:02:45.419 --> 00:02:47.120]  And oh my God, it was so horrible.
[00:02:48.601 --> 00:02:55.305]  So it's okay for China to have suicide nets around the Foxconn labs where Apple has its products made.
[00:02:56.232 --> 00:03:01.993]  It's okay for Beyonce to come out, you know, getting her products made in literal slave labor shops.
[00:03:02.053 --> 00:03:02.754]  That's alright.
[00:03:03.274 --> 00:03:08.595]  As long as they virtue signal that they love you and they care about you.
[00:03:09.195 --> 00:03:10.395]  So we're breaking all that down.
[00:03:10.715 --> 00:03:15.356]  Remember, Bono's foundations pay over 1% or less than 1%, it varies.
[00:03:15.616 --> 00:03:17.337]  Some are like 1.1, some are like .3.
[00:03:17.937 --> 00:03:21.118]  He gets billions at these big concerts.
[00:03:21.138 --> 00:03:21.858]  He gets paid.
[00:03:23.103 --> 00:03:26.064]  And then gives 1% on average to the charities.
[00:03:27.064 --> 00:03:28.025]  But people don't care!
[00:03:28.065 --> 00:03:29.905]  It's like, oh my god, you're a total con artist!
[00:03:30.385 --> 00:03:38.028]  And that ties into George Clooney, the galactic con artist fop, who can't even get one line out without stumbling around.
[00:03:38.548 --> 00:03:39.948]  It's all coming up after the break.
[00:03:39.988 --> 00:03:48.471]  But remember the pedophile planes that the Clintons flew on, and that Clinton was going off to that pedo island with Epstein.
[00:03:50.405 --> 00:03:51.367]  None of that's in the news.
[00:03:51.387 --> 00:03:53.370]  There's not a New York Times article about that.
[00:03:53.811 --> 00:03:54.412]  Confirmed.
[00:03:55.233 --> 00:03:55.774]  No, no, no.
[00:03:55.874 --> 00:03:57.778]  Or all the rape victims Clinton's settled with.
[00:03:59.147 --> 00:03:59.908]  No, no, no, no, no.
[00:04:00.488 --> 00:04:06.813]  It's all about how Donald Trump had beauty pageants with pretty girls, and when he wasn't married sometimes, he had hot girlfriends.
[00:04:07.674 --> 00:04:10.857]  What would happen if the species, males and females, got together?
[00:04:10.877 --> 00:04:15.120]  It's so aberrant, it's so sick to have a high-powered billionaire wanting beautiful, hot women.
[00:04:15.160 --> 00:04:17.442]  I mean, it's just, it's degenerate.
[00:04:18.323 --> 00:04:22.706]  Because in a world where Caitlyn Jenner is God and stunning and brave,
