[00:00:23.038 --> 00:00:29.301]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:00:48.018 --> 00:00:48.839]  Welcome, my friends.
[00:00:48.919 --> 00:00:54.063]  Welcome and thank you so much for joining us on this very special Sunday Worldwide Broadcast.
[00:00:55.324 --> 00:01:02.190]  We are live for the next two hours here, as we are every Sunday, the 22nd day of May.
[00:01:05.613 --> 00:01:09.456]  Stalin famously said that if one man dies, it's a tragedy.
[00:01:10.617 --> 00:01:12.099]  If 10,000 die, it's a statistic.
[00:01:14.522 --> 00:01:37.564]  And a lot of times when I talk about my personal experiences studying the globalist operation and opposing it, it's not in some gonzo journalistic fashion that I'm trying to insert myself in the narrative, but that's the only way I've got to basically describe to people what I personally have internalized that I'm trying to externalize.
[00:01:39.662 --> 00:01:48.646]  And when I personally am just at home with my family or exercising or reading a book or driving in my car, I'm a very zen person.
[00:01:49.586 --> 00:01:52.967]  My thoughts are completely clear, they're ordered, they're super complex.
[00:01:53.908 --> 00:02:04.872]  And then I get here and try to look at hundreds of news articles and dozens of video clips, and it just really sometimes, I think, sidetracks me.
[00:02:04.912 --> 00:02:06.833]  But I don't know how to deal with that.
[00:02:10.333 --> 00:02:17.297]  To where I don't get caught up in the minutiae of the news, but still cover it all, but also get into the big themes of what we're dealing with as a civilization.
[00:02:20.539 --> 00:02:25.402]  But today, we're going to cover a lot of breaking news, obviously, and we have Joel Skousen joining us in the second hour.
[00:02:27.243 --> 00:02:36.449]  But I really want today to talk about the nature of the New World Order, the nature of humanity, from my perspective,
[00:02:38.451 --> 00:02:46.194]  And the fact that they're not invincible and that evil always thinks that it can't be stopped until humanity understands that we don't have any choice but to resist it.
[00:02:49.036 --> 00:02:52.097]  And the social engineers have cheated humanity to be in control.
[00:02:54.558 --> 00:02:58.700]  And they're envious of freedom and intellect and competition.
[00:03:00.060 --> 00:03:01.841]  And they are, at their base, very very evil.
[00:03:02.441 --> 00:03:04.022]  Elijah Wood, you know, the huge actor,
[00:03:05.017 --> 00:03:11.201]  Has come out and said Hollywood's basically run by people like Jimmy Savelle, the child kidnapper murderer that hangs out with the royal family in England.
[00:03:12.662 --> 00:03:14.103]  And the Prime Minister's and the rest of it.
[00:03:14.563 --> 00:03:20.246]  And that's just one side of the underbelly of what's going on in all of this.
[00:03:20.286 --> 00:03:31.814]  We have really bad people in control who have very twisted visions of the world and want us to just be these unthinking automatons that follow their stimuli.
[00:03:32.728 --> 00:03:35.669]  And they're so arrogant, they think that we just don't even count.
[00:03:36.829 --> 00:03:49.574]  And so much of humanity is in a trance, has been put into a trance, and is just half-dead, shuffling around, just waiting to die, and I guess be dumped into some hell.
[00:03:50.614 --> 00:03:52.334]  Well, here's the issue.
[00:03:52.434 --> 00:03:53.915]  I don't see this planet as purgatory.
[00:03:56.172 --> 00:04:00.833]  But it is a launchpad into the heavens, whether you look at that metaphysically or technologically.
[00:04:01.593 --> 00:04:03.374]  It is a big old launchpad.
[00:04:05.914 --> 00:04:13.216]  And we'll look back on this planet in the future, like looking back and going in and having Sunday brunch at Grandma's house.
[00:04:16.857 --> 00:04:18.497]  But we've got to make it past this next hurdle.
[00:04:18.517 --> 00:04:20.618]  And there are people who want to stop that.
[00:04:22.978 --> 00:04:24.619]  And it really does come down to that in this universe.
[00:04:24.639 --> 00:04:25.339]  Those that have goodwill,
[00:04:26.496 --> 00:04:27.297]  Those that have bad will.
[00:04:30.159 --> 00:04:34.683]  And I really want to put the minions of the system on notice when we come back.
[00:04:35.944 --> 00:04:38.546]  You already have an idea of the fact that you're going to be betrayed.
[00:04:39.367 --> 00:04:43.150]  That's why you enjoy playing like you're the boss and betraying others below you.
[00:04:44.431 --> 00:04:46.753]  But you're coming to the end of the game here.
[00:04:48.732 --> 00:04:50.313]  You can't kick the can down the road.
[00:04:50.353 --> 00:04:55.456]  It's really sad to see people out there uncloaking themselves and showing which side they're really on.
[00:04:55.836 --> 00:05:07.183]  We're going to focus a lot on the way they're bringing censorship to the United States through Facebook and the next wave of suppression that Supreme Court Justice warned Matt Drudge of last year, because it's now here.
[00:05:10.365 --> 00:05:11.386]  Brain Force is here.
[00:05:11.927 --> 00:05:14.190]  Ladies and gentlemen, I've been on this the last few months.
[00:05:14.470 --> 00:05:22.280]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
