[00:00:13.976 --> 00:00:20.638]  Well, here we are.
[00:00:21.338 --> 00:00:22.318]  It's Mother's Day.
[00:00:22.338 --> 00:00:22.318]  2016.
[00:00:23.398 --> 00:00:24.158]  May 8th.
[00:00:24.178 --> 00:00:29.840]  And I'm sitting back thinking about Mom.
[00:00:30.440 --> 00:00:33.321]  And I'm sitting back thinking about my two daughters.
[00:00:34.681 --> 00:00:38.662]  And when I think about my mother and my daughters, it makes me think about...
[00:00:39.867 --> 00:00:41.548]  Well, my grandmothers.
[00:00:42.709 --> 00:00:47.372]  And it makes many of you think about your daughters and your mothers and your wife.
[00:00:48.213 --> 00:00:50.214]  It makes you think about the women in your life.
[00:00:50.234 --> 00:01:00.242]  And it makes me think about the number one threats to women on this planet today, instead of just offering up some platitudes about how much I love women.
[00:01:00.262 --> 00:01:03.204]  I just want to say I love humanity.
[00:01:04.560 --> 00:01:12.706]  And we look at the multi-thousand percentage point increases in only Western countries of breast cancer since the 1940s.
[00:01:14.027 --> 00:01:15.288]  Almost 70 years ago.
[00:01:15.308 --> 00:01:23.773]  And it makes me realize that the people running this system really don't care
[00:01:24.913 --> 00:01:26.774]  about women in the final equation.
[00:01:27.274 --> 00:01:34.876]  All they care about is treating the mystery illnesses that are only expanding and only getting worse by the second.
[00:01:36.616 --> 00:01:44.318]  But secondarily, when I think about women and women's, quote, issues, which to me are just human issues, there is no separation between men and women.
[00:01:44.638 --> 00:01:45.579]  We're the same species.
[00:01:45.619 --> 00:01:46.399]  We are the species.
[00:01:47.651 --> 00:01:56.899]  It makes me think about a billion, five hundred million people worldwide that live under Islamic rule.
[00:02:00.191 --> 00:02:01.152]  We're good to go.
[00:02:21.917 --> 00:02:36.826]  And that's why when I see Saudi Arabia and our government and others working together to put radical Wahhabist Sunni Islamic teaching into place and to be taught in public schools and colleges around the United States and Europe as well.
[00:02:37.086 --> 00:02:44.090]  And I see anti-free speech laws being put into place in Europe to arrest people that raise the alarm about this orchestrated invasion.
[00:02:45.097 --> 00:02:46.078]  It makes my blood boil.
[00:02:47.339 --> 00:02:50.341]  When we come back from break, from this first segment, I'm going to tell you a story.
[00:02:50.401 --> 00:02:57.587]  Just a few nights ago, I took my daughters and some family out to eat at the local mall.
[00:02:57.688 --> 00:02:59.509]  Went to a restaurant there.
[00:03:00.430 --> 00:03:01.651]  The girls wanted some shoes.
[00:03:03.012 --> 00:03:09.958]  And the mall was literally, the word would be crawling, with slaves.
[00:03:11.508 --> 00:03:18.131]  The mall was filled everywhere I went with women wearing full coverings over their heads.
[00:03:18.211 --> 00:03:24.955]  I don't just mean hajibs or hajibs, I mean the full beekeeper suits.
[00:03:25.855 --> 00:03:31.678]  And understand something folks, if you go to Saudi Arabia and you try to preach the Christian gospel, you're executed.
[00:03:32.599 --> 00:03:33.539]  Bare minimum arrested.
[00:03:34.319 --> 00:03:34.680]  Tortured.
[00:03:35.440 --> 00:03:36.881]  If you are a homosexual,
[00:03:37.802 --> 00:03:38.943]  You are executed.
[00:03:39.303 --> 00:03:40.824]  But nobody cares about that.
