[00:00:00.729 --> 00:00:04.871]  You're listening to The Alex Jones Show.
[00:00:15.718 --> 00:00:22.421]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:22.542 --> 00:00:24.723]  You better believe you've got one!
[00:00:26.929 --> 00:00:35.440]  From the front lines of the Information War, it's Alex Jones.
[00:00:36.362 --> 00:00:37.263]  Ladies and gentlemen...
[00:00:38.695 --> 00:00:44.299]  Thank you so much for joining us on this live, worldwide, Sunday edition.
[00:00:44.639 --> 00:00:46.301]  We're here Monday through Friday 11 a.m.
[00:00:46.321 --> 00:00:46.821]  to 3 p.m.
[00:00:46.881 --> 00:00:47.221]  Central.
[00:00:47.642 --> 00:00:49.823]  Back Sundays 4 to 6 p.m.
[00:00:49.883 --> 00:00:50.244]  Central.
[00:00:50.904 --> 00:00:59.170]  And we have just a record audience I can see in there on some of the graphs tuning in today just on the audio streams at InfoWars.com forward slash show.
[00:00:59.530 --> 00:01:04.294]  We are a radio slash TV platform transmission, the first to ever do it.
[00:01:04.454 --> 00:01:05.635]  Now this is the model
[00:01:06.435 --> 00:01:09.577]  of talk radio, not just here in the United States, but worldwide.
[00:01:09.877 --> 00:01:26.328]  And even the content, liberty, nationalism, family, pro-human activity, pro-Renaissance, pro-exploration, pro-wealth, pro-empowerment, pro-strength, the right for you to risk your life, anti-nanny state, we are it.
[00:01:27.108 --> 00:01:28.809]  My dad took my son fishing.
[00:01:29.530 --> 00:01:32.212]  He wanted to for his birthday that was months ago, but he wanted to go down there.
[00:01:32.712 --> 00:01:36.155]  And so they're out there doing deep sea fishing and then fishing and close to shore as well.
[00:01:36.215 --> 00:01:37.796]  And my dad said, I don't know what's going on.
[00:01:37.996 --> 00:01:44.161]  Everywhere are Gadsden flags and come and take it and Patriot apparel.
[00:01:44.521 --> 00:01:47.643]  And he said he's seeing black people, white people, Hispanics, you name it.
[00:01:47.983 --> 00:01:49.645]  It's just all over the place.
[00:01:50.509 --> 00:01:52.230]  The hottest thing is liberty.
[00:01:52.290 --> 00:01:53.131]  It's so exciting.
[00:01:53.811 --> 00:01:55.312]  It's so incredible.
[00:01:56.233 --> 00:02:03.037]  And there is a revolution against tyranny taking place in this country, and it's got the globalists so incredibly upset right now.
[00:02:03.918 --> 00:02:04.178]  Wow!
[00:02:04.358 --> 00:02:14.125]  I talked to Roger Stone, the big consummate Trump insider yesterday, in an emergency Saturday transmission I did just for Facebook viewers on Facebook Mentions.
[00:02:15.410 --> 00:02:23.273]  That's got about 300,000 views on YouTube and 200 plus thousand views on Facebook and a bunch of other platforms, but it needs to have millions of views.
[00:02:23.873 --> 00:02:29.495]  But we're going to take an excerpt of that at the bottom of the hour coming up, where he gets into Hillary Clinton.
[00:02:30.782 --> 00:02:39.486]  Not Bernie Sanders being behind the so-called Bernie supporters that showed up to block Trump and free speech there in Chicago.
[00:02:40.246 --> 00:02:45.889]  And this ties into their attempt to shut down free speech in Ohio as well.
[00:02:46.409 --> 00:02:55.573]  And even the Washington Post coming out just simply amazing and saying, should we arrest Donald Trump because he's causing the violence?
[00:02:56.616 --> 00:02:57.577]  That's what they've done in Europe.
[00:02:58.237 --> 00:03:03.480]  You criticize radical Islam, then they, you know, shoot up your TV station or your newspaper, your magazine.
[00:03:03.840 --> 00:03:06.282]  They say you're at fault for your free speech.
[00:03:07.262 --> 00:03:12.826]  You say it's wrong, they're sexually mutilating women, putting beekeeper suits on them and pouring hot oil on their faces and things like that?
[00:03:15.049 --> 00:03:18.313]  Well, now they're saying that you're not allowed to talk about that.
[00:03:18.534 --> 00:03:20.096]  This is how political correctness works.
[00:03:20.176 --> 00:03:21.277]  It's what the left does.
[00:03:21.658 --> 00:03:29.428]  They ally with the most vicious anti-human, anti-woman groups they can, and then attack any men literally seen wearing pants.
[00:03:31.029 --> 00:03:32.030]  This is the empowerment.
[00:03:32.270 --> 00:03:39.777]  They want to make women totally unhappy, be 40-something years old, not able to have kids, and just bitter and hating men, and the state is their husband.
[00:03:40.057 --> 00:03:44.021]  And the whole society is meant to maneuver women into that position.
[00:03:44.361 --> 00:03:53.189]  The whole system is based on maneuvering men into a servile position of arrested development, acting like mindless idiots for their entire life as well, and giving up on women.
[00:03:53.649 --> 00:03:58.472]  This social engineering plan has been used from Japan to the United States with devastating effect.
[00:03:59.073 --> 00:04:11.961]  It was first launched in the 1940s by Edward Bernays of the Department of War, later the Department of Peace, the Department of Defense, 1984 terms, and then now deployed across the entire globe with devastating effect.
[00:04:12.721 --> 00:04:14.983]  So that is all coming up today.
[00:04:15.503 --> 00:04:16.204]  The huge news
[00:04:18.397 --> 00:04:21.942]  Again, Soros funded MoveOn.org takes credit for violence in Chicago.
[00:04:22.283 --> 00:04:23.384]  They're backing Hillary.
[00:04:24.005 --> 00:04:25.247]  Soros is backing Hillary.
[00:04:25.287 --> 00:04:27.170]  So why is Sanders getting the blame?
[00:04:27.230 --> 00:04:27.971]  I don't like Sanders.
[00:04:28.852 --> 00:04:32.678]  And you know, Trump is going after him as well because he knows the public understands that it was people chanting Bernie.
[00:04:33.444 --> 00:04:38.827]  Well, just wait till the evidence is forced out, which we have, uh, that was actually, I mean, they admit they did it.
[00:04:39.307 --> 00:04:43.430]  Move On is aligned with Herr Hitler-y, not with Sanders.
[00:04:43.470 --> 00:04:44.370]  And you're like, well, who cares?
[00:04:44.430 --> 00:04:44.911]  I hate them both.
[00:04:45.331 --> 00:04:46.452]  She's the real frontrunner.
