[00:00:11.499 --> 00:00:16.542]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:00:16.922 --> 00:00:19.223]  Because there's a war on for your mind.
[00:00:19.243 --> 00:00:27.447]  I am live in studio coming to you from deep in the heart of the good old state of Texas, Austin.
[00:00:27.907 --> 00:00:29.868]  We're going to be live here for the next four hours.
[00:00:30.508 --> 00:00:34.651]  David Knight will anchor at the fourth hour again under host Alex Jones.
[00:00:34.671 --> 00:00:37.172]  Hard to believe it's already Monday, the sixth day of June 2016.
[00:00:40.808 --> 00:00:43.750]  We have several very informative guests joining us today.
[00:00:43.850 --> 00:00:49.394]  Rob Dew is in Deutschland to cover Bilderberg 2016, the global government meeting.
[00:00:49.894 --> 00:00:56.579]  Every four years, since its inception, every fourth year meets in the United States on the East Coast.
[00:00:56.599 --> 00:00:58.520]  This is the first time they are meeting.
[00:00:59.917 --> 00:01:07.122]  In Europe on the fourth year, and that's obviously because Europe is in such crisis and world government is tottering on the edge of collapse.
[00:01:07.162 --> 00:01:11.925]  It wants to collapse our civilization, but exempt itself, but it's getting the blame.
[00:01:12.966 --> 00:01:15.007]  It's not able to pose as the savior.
[00:01:16.348 --> 00:01:19.310]  And so this great crisis is starting to go to waste.
[00:01:20.339 --> 00:01:24.282]  And Rob Dew, along with Josh Owens, are on the ground.
[00:01:24.862 --> 00:01:27.204]  Paul Watson is now traveling to Germany as well.
[00:01:27.264 --> 00:01:30.166]  But Bilderberg doesn't kick off until Thursday.
[00:01:30.586 --> 00:01:34.509]  They're obviously going to be covering the grounds of the hotel before they get thrown out.
[00:01:34.529 --> 00:01:39.072]  They're going to be getting intel out to the public about one of these world government shadow meetings.
[00:01:39.672 --> 00:01:41.314]  This is the very pinnacle of control.
[00:01:42.466 --> 00:01:46.747]  But just as important, they're going to be showing the project of the globalist.
[00:01:47.448 --> 00:01:53.370]  Opening the borders, advertising that you can come to Germany, advertising that you can come to Europe and have everything paid for.
[00:01:54.410 --> 00:01:56.831]  That's part of the EU-admitted program.
[00:01:57.151 --> 00:01:59.792]  They're going to the so-called refugee centers.
[00:02:00.712 --> 00:02:05.874]  And the German police and security showed up, we have the video of this, and said, listen,
[00:02:07.310 --> 00:02:10.872]  You are not allowed to show this camp without permission.
[00:02:11.392 --> 00:02:29.783]  So certainly no free speech in Germany where they're arresting people for the First Amendment-style rights that we have here that they supposedly have over there but don't, where they are arresting people across the board to even mildly criticize the open borders.
[00:02:30.543 --> 00:02:36.267]  And so here you can see our crew at the entrance to the camp, if you're watching on TV, being pushed out by the security.
[00:02:37.572 --> 00:02:59.309]  And I've had members of the UK Parliament on who are liberals, who have pointed out that what they're doing EU-wide, including the UK, is getting the immigrants that came in maybe five, ten years before, that have been inducted into government service, and that they are now the informants, they are now the enforcers, they are now the controllers.
[00:03:00.510 --> 00:03:03.072]  And you notice that it appears to be
[00:03:04.978 --> 00:03:11.023]  Africans, not in Muslim garb, who are the security for the Muslims.
[00:03:11.623 --> 00:03:18.408]  And then it'll be the Muslims that are the security for the Chinese or the whatever next group they bring in.
[00:03:18.448 --> 00:03:24.913]  This is a real admitted pattern where the social workers, the police, you name it, are not from the UK.
[00:03:26.061 --> 00:03:27.121]  Are not from Germany.
[00:03:27.341 --> 00:03:33.183]  And I don't mean you have some people in every police department to reflect the makeup of the nation.
[00:03:33.203 --> 00:03:38.045]  That only makes sense to be able to communicate with those communities and to make sure they get integrated into society.
[00:03:38.465 --> 00:03:39.566]  They don't want a melting pot.
[00:03:39.706 --> 00:03:45.768]  They want balkanized groups with basically social workers that come and take your children.
[00:03:46.428 --> 00:03:49.089]  Now, in the UK, it's mainly Eastern Europeans.
[00:03:49.109 --> 00:03:51.370]  And I'm not bashing Eastern Europeans, you know, they're great folks.
[00:03:52.369 --> 00:04:08.484]  But a lot of them have come out of socialist and communist and authoritarian societies and most the social workers in the UK that come and take your children, I've had members of parliament on that have written articles for London Telegraph and you name it about this, are not even really from the UK.
[00:04:08.504 --> 00:04:09.965]  They hardly even speak English.
[00:04:10.546 --> 00:04:18.273]  And an alarming number of the police chiefs in Sweden, in Germany, in France and in the UK are also
[00:04:19.921 --> 00:04:22.943]  Muslims, and they hardly even speak English.
[00:04:22.983 --> 00:04:26.765]  They weren't even born in the UK, but they're now your enforcer.
[00:04:27.065 --> 00:04:42.012]  In fact, this was pointed out that most of the security at the De Gaulle Airport, Charles De Gaulle Airport there in Paris, are Muslims, and full hardcore practicing Muslims with hajibs.
[00:04:42.333 --> 00:04:44.374]  The women are, you know, there with
[00:04:45.194 --> 00:04:50.658]  Only their eyes showing and they're running security and then up goes the plane and it blows up.
[00:04:53.079 --> 00:04:59.984]  Same thing in Cairo, but of course that's a Muslim country, but they've got the radical Muslims there running it to a certain extent as well.
[00:05:00.524 --> 00:05:06.368]  This is the fox guarding the foxes entering the hen house and the hens are being tied up and having their blood sucked.
[00:05:06.629 --> 00:05:07.069]  We'll be back.
[00:05:10.453 --> 00:05:13.755]  I've been covering the news on radio and TV for more than 21 years.
[00:05:14.816 --> 00:05:22.020]  And as each year begins, you tend to see a theme that's developing with the social engineers, with the global architects.
[00:05:22.181 --> 00:05:29.405]  And undoubtedly, they're making their move to destabilize the Western world right now, from Australia to Europe to the United States to Canada.
[00:05:29.645 --> 00:05:30.446]  And they're bringing in
[00:05:30.726 --> 00:05:37.030]  Millions and millions of radical Islamic Muslims, unvetted, so that they will carry out terror attacks.
[00:05:37.230 --> 00:05:44.294]  And when they do carry out terror attacks, we lose our liberties and freedoms, and are told to comply with Islam, and they'll stop bombing and shooting us.
[00:05:44.554 --> 00:05:46.576]  This is the crazy world of political correctness.
[00:05:47.136 --> 00:05:55.580]  That said, they allow Muslims to basically, in the United States and Europe, keep women as slaves chained up, beat them, pour acid on their faces, and they don't even really get in trouble.
[00:05:55.600 --> 00:05:59.202]  It's like UN diplomats are always being caught with slaves from Africa and stuff.
[00:05:59.222 --> 00:06:02.263]  And they'll say, well that's their culture in this African country.
[00:06:02.443 --> 00:06:05.204]  But if it's Western culture, it's evil and it's bad.
[00:06:05.805 --> 00:06:12.948]  And going over some of these articles, recently the Pope and the top imam, the head imam in the world over Sunni Muslims, that's what Al-Qaeda is.
[00:06:13.308 --> 00:06:17.193]  Met with the Pope at the Vatican and you've got all this going on for the first time ever.
[00:06:17.494 --> 00:06:29.870]  When the Pope came out in a major Catholic newspaper, LaCroix said that he dreads talking about Christian roots of Europe and colonialist overtones and Jesus was like ISIS sending people out in the fields.
[00:06:30.962 --> 00:06:38.610]  The four corners of the earth and that we must have the Muslims breathe with us and that they're our new culture and this is what we deserve because we've been bad.
[00:06:38.790 --> 00:06:42.034]  This is freakazoid to be told white people are bad, you're bad.
[00:06:42.054 --> 00:06:47.239]  I mean this is what multiculturalism leads into with the supposed leader of Christendom saying this.
[00:06:47.660 --> 00:06:51.684]  With Islamic State saying target the US, target Europe, start bombing us.
[00:07:02.108 --> 00:07:02.788]  Incredible threat.
[00:07:02.828 --> 00:07:06.910]  Now ISIS wants to attack the Olympics coming up in Brazil.
[00:07:07.610 --> 00:07:10.931]  Hungary's Prime Minister gets it and says Clinton is George Soros' puppet.
[00:07:11.351 --> 00:07:16.193]  Warns that they want to overrun the EU with millions of Muslims.
[00:07:16.733 --> 00:07:20.995]  Radical ones that are wedded to the left.
[00:07:21.155 --> 00:07:26.577]  22% of resettled refugees in Minnesota have tested positive for tuberculosis and then they go on to report
[00:07:27.217 --> 00:07:30.018]  That they're letting them in when they have tuberculosis.
[00:07:30.339 --> 00:07:32.940]  This is unprecedented attack on our country.
[00:07:33.160 --> 00:07:35.461]  This is a government at war with the people.
[00:07:35.781 --> 00:07:38.983]  This is a government savaging the population, and it goes on and on.
[00:07:39.243 --> 00:07:46.446]  The open borders are the key to globalism, destroyed national sovereignty, and radical Islamists that can't even live with each other in peace are not compatible here.
[00:07:46.927 --> 00:07:47.267]  Period.
[00:07:47.727 --> 00:07:51.349]  We shouldn't have to submit to their backwards culture of oppression.
[00:07:52.029 --> 00:08:04.126]  We are the true liberals who promote free speech across the board in Europe and the United States and Canada, and we must stand for it and not be bullied into a new dark age of oppression and tyranny.
[00:08:10.731 --> 00:08:11.291]  We've got it.
[00:08:11.311 --> 00:08:17.773]  This transmission is coming to you.
[00:08:17.833 --> 00:08:19.914]  Waging war on corruption.
[00:08:22.215 --> 00:08:27.837]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:35.332 --> 00:08:43.935]  This controversy started about a week ago, and I never even covered it, despite the fact that Infowars.com is at the center of it.
[00:08:45.515 --> 00:08:56.699]  And I'll be honest with you, I have a real blind spot to news that we are the center of, because I don't want to just be a gonzo journalist and report on myself.
[00:08:58.160 --> 00:09:06.027]  Even though every day we are reporting on some big news story that InfoWars.com, myself and my reporters are related to.
[00:09:06.748 --> 00:09:19.180]  If we wanted to, we could fill InfoWars every day and this radio show and this TV broadcast with news stories that are about us or about stories we're breaking.
[00:09:20.356 --> 00:09:23.118]  In fact, sometimes it's obnoxious how much we talk about ourselves to begin with.
[00:09:23.158 --> 00:09:29.381]  But when you are on the leading, cutting edge of things, you've got to discuss it because you have to respond to the attacks.
[00:09:29.861 --> 00:09:35.745]  You also have to respond and point out how new independent media is so much more prolific, successful.
[00:09:36.829 --> 00:09:39.811]  And fast moving than the dinosaur media that's on its last legs.
[00:09:39.871 --> 00:09:49.578]  But coming up at the bottom of the hour, I will spend a few minutes on this whole Klamath Falls, Southern Oregon, Northern California controversy.
[00:09:50.078 --> 00:09:58.744]  And it's a synthetic controversy with headlines all over the news and on TV the last week that Donald Trump
[00:10:00.069 --> 00:10:28.350]  He has been caught red-handed using Infowars materiel, and he's a total kook, saying that there is an invasive species fish in several major reservoirs that were built to supply water to farmers in Northern California and Southern Oregon.
[00:10:30.373 --> 00:10:39.998]  And you could do an entire college education course on media manipulation and deception just off of this.
[00:10:41.339 --> 00:10:44.821]  From the photos they use, the images, how they twist it, how they lie.
[00:10:45.522 --> 00:10:55.067]  It's admitted this fish is invasive, but then they say we don't want it to die, so we're not going to let you lower the level of these reservoirs.
[00:10:56.275 --> 00:11:05.068]  It's true that that's what's caused much of the businesses to go out of business and the towns that service the farmers to go out of business.
[00:11:05.909 --> 00:11:10.796]  And it's a fact that there's a federal project to push people off their land all over the United States.
[00:11:11.016 --> 00:11:11.897]  Look at the Red River.
[00:11:12.759 --> 00:11:21.282]  We're thousands of square miles on both sides of Texas and Oklahoma with people in some cases that have had the land for over 100 years.
[00:11:21.522 --> 00:11:27.484]  It's not like it's public land that they have grazing rights to for a hundred and something years like the Bundy's surface rights.
[00:11:27.764 --> 00:11:29.525]  They own the alloidal title.
[00:11:31.645 --> 00:11:33.826]  Some of these families have the old ancient title.
[00:11:37.307 --> 00:11:38.708]  And so all we do
[00:11:39.750 --> 00:11:43.091]  is point out the fact that all of this is going on.
[00:11:43.331 --> 00:11:43.832]  Thank you, Nico.
[00:11:45.532 --> 00:11:52.095]  And then they think their viewers and listeners are so stupid, they go out and lie and say Donald Trump's discredited.
[00:11:52.415 --> 00:11:54.235]  He linked to InfoWars.com.
[00:11:54.696 --> 00:12:03.739]  And they do that not to actually act like he's discredited, but to make people think InfoWars is discredited because it's actually hitting right on the zeitgeist.
[00:12:05.782 --> 00:12:12.286]  And so they're saying, oh look, ha ha ha, you know, you're talking about something that doesn't exist because they think you're stupid.
[00:12:13.207 --> 00:12:29.718]  And don't remember a decade ago, right through to about two or three years ago, Sean Hannity was there every couple months, Bill O'Reilly, we've been out there repeatedly in areas of Southern Oregon, Northern California, showing the towns
[00:12:30.498 --> 00:12:46.332]  Going from 5-10,000 to a couple hundred and imploding and going out of business because they were based on the reservoirs, the lakes, the mountain lakes that were built in the 40s and 50s to be able to settle that area.
[00:12:46.732 --> 00:12:55.920]  But there's this whole rewilding about tearing down the dams and having things go back to nature and then all we do is report on what's happening
[00:12:57.216 --> 00:13:01.159]  And they come out and say it's a hoax and that Donald Trump is crazy.
[00:13:04.502 --> 00:13:06.364]  And then they link to our stories that Trump.
[00:13:07.378 --> 00:13:13.683]  Link to and that Trump tweeted to act like he somehow did something wrong because they're scared to death.
[00:13:13.903 --> 00:13:16.385]  He's already so radical compared to the establishment.
[00:13:16.645 --> 00:13:17.866]  That's what why he's winning.
[00:13:18.366 --> 00:13:27.393]  What if he really gets radical and picks up the entire InfoWars agenda, which is just one of the most fact based on target worldviews out there?
[00:13:28.694 --> 00:13:30.516]  Quite frankly, nothing even that special.
[00:13:33.607 --> 00:13:37.550]  It's like a person that has 20-20 vision versus someone who's blind.
[00:13:38.551 --> 00:13:40.152]  We understand what we're talking about.
[00:13:40.853 --> 00:13:43.535]  So, they sit there and say it's a drought in California.
[00:13:44.776 --> 00:13:46.117]  That's what's causing the problem.
[00:13:46.137 --> 00:13:47.398]  Yes, we know there's a drought.
[00:13:47.699 --> 00:13:51.602]  California's always had many areas that are arid and desert-like.
[00:13:52.142 --> 00:14:02.251]  That's why we use artificial systems to green it, so that during the drought periods, the communities have a backup plan and aren't a one-crop economy.
[00:14:03.697 --> 00:14:14.228]  That's why they built dams on the Colorado River here in Austin, Texas, to help create a lush water system to supply the two million people that now live here.
[00:14:14.449 --> 00:14:20.415]  And when they built that dam, guess how many people lived in all of this area of Central Texas in this county?
[00:14:21.136 --> 00:14:21.316]  About 40,000.
[00:14:21.376 --> 00:14:21.837]  Two million.
[00:14:25.993 --> 00:14:33.582]  And now they stand around and go, the answer, literally, tear down the dams, tell no one come live here, because there's too many people.
[00:14:34.343 --> 00:14:40.810]  Oh, don't innovate, tear things down, that's Agenda 21, and then charge you more money for it.
[00:14:40.830 --> 00:14:42.052]  So I'm going to talk about it later in the hour.
[00:14:42.072 --> 00:14:45.055]  I always say something's coming up and I start getting into it now.
[00:14:46.112 --> 00:14:57.442]  It's just amazing how they sit there and deny to people they have an anti-human agenda, shutting off our plants, not letting us build new plants, tearing down dams, not letting us build new dams.
[00:14:57.802 --> 00:15:00.465]  And people say to me, Alex, this isn't really a big election issue.
[00:15:00.505 --> 00:15:01.746]  Why do you harp on it so much?
[00:15:02.146 --> 00:15:03.668]  We need to make it the issue.
[00:15:03.968 --> 00:15:05.109]  That's what I was trying to say Thursday.
[00:15:05.769 --> 00:15:06.610]  We have to
[00:15:07.671 --> 00:15:19.734]  Focus on what is truly important, define it, cover it ourselves, and not always just chase the story that the MSM is putting out, because that's the only power they still have.
