[00:00:01.593 --> 00:00:04.204]  You're listening to The Alex Jones Show!
[00:00:13.522 --> 00:00:14.623]  All right, folks, we're live.
[00:00:14.683 --> 00:00:16.944]  It's Thursday, the 28th day of January.
[00:00:17.284 --> 00:00:19.626]  I'm cutting into the intro transmission.
[00:00:19.686 --> 00:00:20.446]  It's so important.
[00:00:20.927 --> 00:00:21.747]  Alex Jones here.
[00:00:22.047 --> 00:00:30.392]  We've got Ron Paul, the former congressman on the Marshall Law War Powers Act, that even a Democratic senator has said it is, coming on in about two hours.
[00:00:30.733 --> 00:00:35.215]  We're behind the scenes talking to the Trump people right now about things that are happening with the debates tonight.
[00:00:35.255 --> 00:00:37.437]  I'll give you the inside baseball after the break.
[00:00:37.457 --> 00:00:39.498]  But first, here is John Bowne's report.
[00:00:39.838 --> 00:00:42.360]  And our reporters are in Oregon right now with huge developments as well.
[00:00:42.380 --> 00:00:42.780]  Stay with us.
[00:00:43.976 --> 00:00:55.704]  Now that the Bill of Rights have been largely destroyed by our corporatized government, President Obama has decided to go for the meat of the American Constitution, the War Powers of the Constitution.
[00:00:55.964 --> 00:01:10.914]  Article 1, Section 8, Clause 11 of the United States Constitution, sometimes referred to as the War Powers Clause, vests in the Congress the power to declare war.
[00:01:11.475 --> 00:01:12.555]  This resolution
[00:01:13.576 --> 00:01:13.856]  I think?
[00:01:29.176 --> 00:01:35.059]  So while the East Coast was buried under record snowfall, Obama's faux-Republican minions Lindsey Graham and Mitch McConnell
[00:01:51.346 --> 00:01:58.070]  Scuttled another dangerous fast-track bill into the halls of the most hated Congress in U.S.
[00:01:58.110 --> 00:01:58.570]  history.
[00:01:59.010 --> 00:02:05.073]  The legislation makes the unconstitutional Iraq war authorization of 2002 look like a walk in the park.
[00:02:05.753 --> 00:02:14.558]  It will allow this president and future presidents to wage war against ISIS without restrictions on time, geographic scope, or the use of ground troops.
[00:02:15.018 --> 00:02:22.545]  It is a completely open-ended authorization for the President to use the military as he wishes for as long as he or she wishes.
[00:02:23.325 --> 00:02:30.712]  Even President Obama has expressed concern over how willing Congress is to hand him unlimited power to wage war.
[00:02:31.092 --> 00:02:44.742]  The Foreign Relations Committee, whose chair, Senator Bob Corker, suggested that a new authorization for use of military force was unlikely to happen, and that President Obama currently has the legal authority he needs.
[00:02:45.503 --> 00:02:54.049]  Corker's authority was bypassed by McConnell's treasonous fast track, and Senator Lindsey Graham bleated out to reporters
[00:02:54.369 --> 00:02:59.197]  If the Democrats don't want to give this to Obama, then stand up and tell me why.
[00:02:59.477 --> 00:03:03.383]  There may be some people running for President as Republicans who don't want this.
[00:03:03.844 --> 00:03:09.593]  I would be astonished that anybody seeking to be Commander-in-Chief wouldn't want this power.
[00:03:09.853 --> 00:03:16.476]  It would allow the administration to fight the terror group ISIS wherever, whenever, and however.
[00:03:16.937 --> 00:03:20.759]  As if the real threat of ISIS was a mystery to the American people.
[00:03:21.199 --> 00:03:27.622]  Most Americans are fully aware that our greatest threat lies in Obama's policies regarding immigration.
[00:03:28.042 --> 00:03:39.348]  The bill isn't even warm yet, and Vice President Joe Biden is in Turkey cheerleading World War III, presenting both sides of the issue to Turkey and the American people.
[00:03:39.728 --> 00:03:42.771]  Our allies in the region were our largest problem in Syria.
[00:03:43.571 --> 00:03:48.415]  The Turks were great friends, and I have a great relationship with Erdogan, which I just spent a lot of time with.
[00:03:49.296 --> 00:04:00.165]  They poured hundreds of millions of dollars and tens, thousands of tons of weapons into anyone who would fight against Assad.
[00:04:00.685 --> 00:04:03.387]  Except that the people who were being supplied were al-Nusra,
[00:04:06.077 --> 00:04:12.278]  And Al Qaeda, and the extremist elements of jihadis coming from other parts of the world.
[00:04:13.354 --> 00:04:32.504]  Following World War II, the United States leadership has continually sought to foment and drive the industrial military complex machine into an unending unconstitutional state of global war, creating the very enemies Obama's dictatorial powers would seek to suppress.
[00:04:32.845 --> 00:04:40.789]  We have finally reached the precipice of the total annihilation of the balance of powers that act as the foundation of our republic.
[00:04:41.511 --> 00:04:46.433]  Let's not get involved in constitutional arguments.
[00:04:46.673 --> 00:05:00.778]  President Obama is desperately attempting to disarm the public and re-engineer the United States into a lawless military state overseen by corrupt politicians on par with the horror south of our border.
[00:05:01.258 --> 00:05:03.179]  John Bowne for Infowars.com
[00:05:10.677 --> 00:05:19.100]  The Bernie Sanders campaign is so suspicious of Microsoft's influence in the Iowa caucus that they've built an independent system to check the official results.
[00:05:19.301 --> 00:05:34.587]  For the first time this year, Microsoft partnered with the Iowa Democratic and Republican parties to provide a technology platform which officials at hundreds of caucuses across the state will use to report results from individual precincts to party headquarters for tabulation.
[00:05:34.867 --> 00:05:42.972]  The arrangement has raised eyebrows of aides to Sanders, who regularly warn that corporate power and the billionaire class are trying to hijack democracy.
[00:05:43.133 --> 00:05:53.359]  Sanders' Iowa campaign manager questioned Microsoft's motives in an interview with MSNBC, saying, you'd have to ask yourself why they'd want to give something like that away for free.
[00:05:53.540 --> 00:05:54.080]  Fair enough.
[00:05:54.420 --> 00:05:59.143]  But the same question could be asked of a presidential candidate promising so many freebies.
[00:05:59.383 --> 00:06:01.365]  Be sure to tune in to InfoWars.com.
[00:06:01.465 --> 00:06:04.487]  We'll be bringing you up-to-date coverage on the ground from Iowa.
[00:06:04.827 --> 00:06:06.647]  Leanne McAdoo for InfoWars.com.
[00:06:06.667 --> 00:06:10.968]  Hey, how you doing, Alex?
[00:06:11.008 --> 00:06:11.428]  Good, brother.
[00:06:11.568 --> 00:06:13.289]  Just recently started using your products.
[00:06:13.309 --> 00:06:15.189]  Everything you said about them is correct.
[00:06:15.249 --> 00:06:19.290]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[00:06:19.310 --> 00:06:21.851]  Well, thank you, brother, because it also funds our operation.
[00:06:21.891 --> 00:06:24.131]  But doing that, I know I've got to have the highest quality.
[00:06:24.311 --> 00:06:32.133]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:06:32.473 --> 00:06:35.597]  We do the super male and the super female vitality.
[00:06:35.737 --> 00:06:37.239]  Big changes, a lot of energy.
[00:06:37.259 --> 00:06:40.183]  We've gotten off of the cheap energy drinks, energy shots.
[00:06:40.203 --> 00:06:41.684]  Saving a ton of money there.
[00:06:41.965 --> 00:06:47.752]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated.
[00:06:48.012 --> 00:06:49.613]  Or maximum potency.
[00:06:49.814 --> 00:06:59.942]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while, but then burn you out in my experience, whereas stuff that gets your glands naturally going, goes right to the source.
[00:07:00.022 --> 00:07:01.744]  So, it's pretty exciting and I love it.
[00:07:01.804 --> 00:07:08.750]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:07:09.907 --> 00:07:12.868]  A clean, toxic-free body is the foundation of true health.
[00:07:13.108 --> 00:07:15.268]  Deep Cleanze by InfoWarsLife.com.
[00:07:15.448 --> 00:07:22.170]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:22.470 --> 00:07:27.611]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
