[00:00:14.094 --> 00:00:16.677]  You're listening to the Alex Jones Show.
[00:00:27.142 --> 00:00:31.445]  We are live on the Alex Jones Show on this Thursday, October the 13th edition.
[00:00:31.585 --> 00:00:33.186]  I'll be your host for the next two hours.
[00:00:33.366 --> 00:00:34.547]  I'm Paul Joseph Watson.
[00:00:35.087 --> 00:00:37.948]  In the third hour, we've got Kim Dotcom.
[00:00:38.409 --> 00:00:43.632]  Of course, the mega upload founder, constantly harassed, constantly pursued by the US government.
[00:00:44.232 --> 00:00:56.059]  He came out with a very interesting tweet a few days ago suggesting that he had information on Hillary Clinton that has yet to be seen, so I'm sure we'll be asking him about that in the third hour.
[00:00:56.619 --> 00:01:08.665]  Second hour, Stefan Molyneux joins me for an in-depth interview on the latest WikiLeaks, the Podesta email dump, and of course the latest devastating scandals about Donald Trump.
[00:01:08.685 --> 00:01:10.667]  We have a situation with the mainstream media now.
[00:01:11.627 --> 00:01:18.389]  They're not talking about Bill Clinton taking a $1 million birthday check from Qatar.
[00:01:18.789 --> 00:01:20.550]  That just came out as of two hours ago.
[00:01:21.010 --> 00:01:23.251]  A country that imprisons gay people.
[00:01:23.931 --> 00:01:29.133]  A country in which it's still legal for a husband to beat and rape his wife.
[00:01:29.713 --> 00:01:33.075]  But Hillary Clinton is the big feminist, the big women's rights champion.
[00:01:33.476 --> 00:01:44.383]  Bill Clinton taking a $1 million birthday check from Qatar so they could have pay-for-play access in Haiti after that devastating earthquake.
[00:01:44.543 --> 00:01:48.186]  Absolute bombshell revelation on top of all the others.
[00:01:49.201 --> 00:01:56.465]  Obama, the Obama White House funding and supporting ISIS, which also came out in the Podesta WikiLeaks emails.
[00:01:56.525 --> 00:02:02.149]  Of course we had the Clinton campaign deleting emails despite knowing it was illegal.
[00:02:02.609 --> 00:02:04.210]  That came out a couple of days ago.
[00:02:04.690 --> 00:02:08.152]  But the New York Times is not interested in talking about any of that.
[00:02:08.552 --> 00:02:16.737]  They're interested in talking about a woman who claims with no evidence that Donald Trump touched her on a plane in the 80s.
[00:02:18.118 --> 00:02:21.462]  That's the big New York Times bombshell that they've got again.
[00:02:21.822 --> 00:02:30.371]  Donald Trump making a comment in Trump Tower saying, oh, I'm going to be dating her in 10 years as some girls go up an escalator.
[00:02:30.691 --> 00:02:32.473]  That's the massive bombshell.
[00:02:34.206 --> 00:02:39.368]  20, 30 year old alleged incidents with no evidence, comments, remarks from 1992.
[00:02:39.808 --> 00:02:50.331]  Yeah, in the Podesta emails we have bombshell, after bombshell, after revelation, after revelation, and none of them give a damn.
[00:02:50.451 --> 00:02:52.811]  They're not interested in telling you about it.
[00:02:53.631 --> 00:02:54.192]  And why not?
[00:02:54.252 --> 00:02:54.832]  Well, we know why.
[00:02:55.868 --> 00:03:08.519]  Because the emails also reveal that the media, the vast majority of it, is not only pro-Hillary, doesn't just have a pro-Hillary bias, it literally is the Hillary Clinton campaign.
[00:03:09.099 --> 00:03:12.142]  I mean, how many examples do we need to see by this point?
[00:03:12.602 --> 00:03:16.586]  Journalists giving Hillary questions in advance of town hall debates.
[00:03:17.834 --> 00:03:21.597]  Univision in concert again, shaping the narrative before it happens.
[00:03:22.037 --> 00:03:32.904]  We've got Louise Mensch, these never-Trumpers, actually writing Hillary campaign ads for her campaign and being praised for it while pretending to be Conservatives.
[00:03:33.424 --> 00:03:36.006]  Absolute bombshell revelations.
[00:03:36.026 --> 00:03:37.747]  We're going to go through the list later on.
[00:03:38.227 --> 00:03:39.368]  Name by name.
[00:03:40.709 --> 00:03:55.284]  Of these Clinton friendlies, these Clinton surrogates that have completely abandoned any pretense of neutrality, of actual journalistic integrity, to become complete prestitutes for Hillary Clinton.
[00:03:55.685 --> 00:04:02.952]  And then they have the nerve to attack me, to attack Infowars, over this whole Bill Clinton rape protest, which we're going to get into further.
[00:04:03.653 --> 00:04:04.134]  As well!
[00:04:04.755 --> 00:04:13.369]  Because the Clinton campaign is not very happy about it because it's actually overturning the narrative on these Trump tapes.
[00:04:14.430 --> 00:04:16.153]  Now of course we were told before the weekend
[00:04:17.185 --> 00:04:19.466]  That Trump's campaign was in total chaos.
[00:04:19.526 --> 00:04:20.627]  It was about to collapse.
[00:04:21.167 --> 00:04:27.830]  GOP establishment members were told privately that Trump was about to stand down.
[00:04:28.331 --> 00:04:29.771]  That was a complete hoax.
[00:04:30.352 --> 00:04:31.972]  It failed completely.
[00:04:32.312 --> 00:04:33.833]  And now we have the evidence of that.
[00:04:34.133 --> 00:04:35.394]  Rasmussen poll.
[00:04:36.154 --> 00:04:42.678]  After the debate, which Trump obviously won, CNN and the rest of them came out with their biased polls that said that Hillary creamed him once again.
[00:04:43.942 --> 00:04:45.984]  Well this is the response from Americans.
