[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[00:00:11.693 --> 00:00:13.975]  We're only 12 days out until election day.
[00:00:13.995 --> 00:00:17.317]  13 days out until election day has come and gone.
[00:00:17.537 --> 00:00:23.760]  We'll supposedly know who our new El Presidente is.
[00:00:41.121 --> 00:00:49.583]  But in a Tampa speech that I think is his most powerful yet, I keep saying, this last one was his most powerful yet, and then four or five speeches later I'll say, this one was even better.
[00:00:50.404 --> 00:00:54.365]  Yesterday topped them all because he just rolled everything into one.
[00:00:54.905 --> 00:01:04.428]  It was over an hour long, and I actually basically stopped working for about 45 minutes yesterday and just watched the speech.
[00:01:05.668 --> 00:01:08.689]  And I posted a video last night that I shot with Rob Dood titled,
[00:01:09.932 --> 00:01:15.896]  Donald Trump has won the 2016 election, whether they steal it from him, whether he gets in, whether it's contested.
[00:01:17.557 --> 00:01:39.011]  Nationalism, anti-New World Order information and awakening, understanding about government corruption, understanding about how taxes are used to pick winners and losers and are selectively applied, knowledge of how trade deals are really global governance, knowledge on how we've been totally guilted into submitting to tyranny is now
[00:01:42.611 --> 00:01:46.033]  A cause célèbre, avant-garde worldwide.
[00:01:46.914 --> 00:01:52.337]  All 25 members of the tyrannical EU are now moving forward to pull out.
[00:01:53.278 --> 00:01:54.659]  Nothing can stop its collapse.
[00:01:55.279 --> 00:01:55.680]  Nothing.
[00:01:56.460 --> 00:01:57.121]  Except God.
[00:01:58.882 --> 00:02:05.706]  They think World War III will keep people in line as they threatened Europe to sign on to the Euro 20-something years ago.
[00:02:06.707 --> 00:02:08.008]  It's now all happening.
[00:02:09.121 --> 00:02:10.282]  Incredible time to be alive.
[00:02:10.903 --> 00:02:19.050]  Nationalism, patriotism, true understanding of what makes humans successful and happy is being rediscovered.
[00:02:19.590 --> 00:02:32.001]  The modern corporate plastic culture of death that is globalism has now been identified as the problem, as the enemy, as the cancer.
[00:02:33.271 --> 00:02:38.175]  Now the video I shot is mainly clips of the speech he gave in Florida yesterday.
[00:02:38.715 --> 00:02:39.956]  It's on InfoWars.com.
[00:02:39.996 --> 00:02:40.637]  It's red-linked.
[00:02:41.617 --> 00:02:43.699]  And I break down why Donald Trump has already won the election.
[00:02:45.020 --> 00:02:45.961]  Whether they steal it or not.
[00:02:46.786 --> 00:02:48.267]  And of course the polls are out today.
[00:02:48.327 --> 00:02:51.430]  He's ahead in every battleground state, 2 to 5 points.
[00:02:51.970 --> 00:02:56.975]  And that's with a sampling of 9 to 12 to 15 to 20.
[00:02:57.415 --> 00:02:58.636]  Most of them are 9, 12, 15, 20.
[00:03:00.658 --> 00:03:02.019]  Reuters, Bloomberg, you name it.
[00:03:02.059 --> 00:03:02.659]  It's all admitted.
[00:03:02.700 --> 00:03:03.660]  It's in the Podesta emails.
[00:03:03.981 --> 00:03:07.043]  They go and pay for these polls and they say, here's the methodology.
[00:03:07.504 --> 00:03:09.826]  You add 9 to 20 points.
[00:03:09.886 --> 00:03:11.007]  Now some, they add 40-something.
[00:03:13.168 --> 00:03:17.371]  And that's when you get CNN polls where she's winning by, you know, 68 to 30-something.
[00:03:18.072 --> 00:03:22.315]  That's the total, you know, Santa Claus came to town, made up total fantasy land.
[00:03:23.255 --> 00:03:26.618]  So they really try to demoralize folks and think he's absolutely been destroyed.
[00:03:26.878 --> 00:03:37.106]  Like the New York Times, 92% chance we have a special formula, and 92% chance she wins special formula, it's all over, go home.
[00:03:39.397 --> 00:03:43.179]  They did the same thing last week at the debates when Danny Williams was about to give a press conference.
[00:03:43.199 --> 00:03:45.020]  They had over 100 members of the press there.
[00:03:45.380 --> 00:03:48.201]  David Knight's walking around for 45 minutes going, no one's here, no one's here.
[00:03:48.482 --> 00:03:54.945]  That's because they had the hotel staff show up and tell them, it's off, you're not allowed to have your press conference because Danny was there 30 minutes early.
[00:03:55.345 --> 00:03:57.046]  Danny and them left, went to their room.
[00:03:59.099 --> 00:04:00.921]  I start getting calls from David Knight.
[00:04:00.961 --> 00:04:03.083]  He goes and finds them, tells them, no, it's still on.
[00:04:03.443 --> 00:04:06.025]  And by then there were just maybe 15 members of the press still there.
[00:04:06.706 --> 00:04:08.007]  Bait and switches, folks.
[00:04:08.267 --> 00:04:10.609]  These are villains out of a textbook.
[00:04:11.650 --> 00:04:14.273]  These are classic dirtbag criminals.
[00:04:16.345 --> 00:04:18.587]  And so they tell you, you know, the election's off, folks, it's over.
[00:04:18.927 --> 00:04:20.468]  They've already told you, what, for six months?
[00:04:20.728 --> 00:04:23.010]  He's resigning, he's stepping down, it's over.
[00:04:23.190 --> 00:04:24.771]  He's resigning right now at Trump Tower.
[00:04:25.011 --> 00:04:26.993]  There's an intervention, we have it on good sources.
[00:04:27.173 --> 00:04:29.575]  Trump's stepping down, he's like, never stepping down.
[00:04:29.595 --> 00:04:31.416]  Ahead in polls, total bull.
[00:04:31.816 --> 00:04:33.017]  I will never step down.
[00:04:33.397 --> 00:04:34.458]  I will never step down.
[00:04:34.999 --> 00:04:35.819]  He's gonna step down.
[00:04:35.839 --> 00:04:36.660]  He's gonna step down.
[00:04:37.140 --> 00:04:38.221]  Oh, you're here for the press conference?
[00:04:38.261 --> 00:04:39.902]  Sorry, there's no press conference, everybody.
[00:04:39.922 --> 00:04:41.843]  There's no election, everybody.
[00:04:42.204 --> 00:04:43.725]  By the way, Obamacare's free, though.
[00:04:46.297 --> 00:04:50.480]  Thank God the public's so stupid, Gruber said, on C-SPAN, like you're stupid.
[00:04:51.060 --> 00:04:51.581]  And you know what?
[00:04:51.661 --> 00:04:52.882]  You go along with this, you are stupid.
[00:04:53.002 --> 00:04:53.442]  But you know what?
[00:04:53.802 --> 00:04:55.203]  People aren't going along with it.
[00:04:55.624 --> 00:04:57.545]  Huge broadcast lined up.
[00:04:57.665 --> 00:04:58.926]  Start your engines.
[00:04:59.306 --> 00:05:00.527]  Tell everybody you know, tune in.
[00:05:00.567 --> 00:05:01.808]  This is going to be historical.
[00:05:03.596 --> 00:05:06.338]  I said to Donald, here's what they're doing, they're setting it up as follows.
[00:05:06.978 --> 00:05:12.822]  For three, four months they've been saying the Russians are hacking our elections, to protect our elections, which is sacred.
[00:05:13.242 --> 00:05:18.846]  We want to turn it over to DHS, the genius who's given us one terrorist attack after another and has done nothing to stop it.
[00:05:18.866 --> 00:05:19.887]  He still has his job, right?
[00:05:20.427 --> 00:05:22.869]  So he wants to make sure our elections are safe.
[00:05:23.189 --> 00:05:24.010]  Russians are hacking.
[00:05:24.730 --> 00:05:25.851]  Follow the bouncing ball.
[00:05:25.911 --> 00:05:26.472]  No proof.
[00:05:26.852 --> 00:05:44.929]  If Trump wins, which is highly likely by the way, which we can talk about in a minute or two or another time, Trump wins, government declares, oh we have evidence that the Russians hacked it, he's a friend of Putin, the election is null and void, we're going to recall another election in what, six months?
[00:05:44.989 --> 00:05:48.051]  Until then, Mr. Obama has graciously agreed
[00:05:49.012 --> 00:05:52.293]  To continue his public service in the United States of America.
[00:05:52.633 --> 00:05:53.433]  Thank you very much.
[00:05:53.473 --> 00:05:54.613]  We're not taking any questions.
[00:05:54.653 --> 00:05:55.093]  Goodbye.
[00:05:57.194 --> 00:06:05.896]  And we have Biden announcing they're going to launch a giant cyber attack on the Russians and saying if the Russians respond, they may respond militarily, which is a doctrine Hillary came out with two months ago.
[00:06:06.296 --> 00:06:08.557]  And suddenly NATO announced that's their new doctrine.
[00:06:08.797 --> 00:06:10.257]  She's literally calling the show.
[00:06:11.624 --> 00:06:14.485]  All I wanted to say was, I said it to Donald and he didn't take the bait.
[00:06:14.505 --> 00:06:15.106]  I'm glad he didn't.
[00:06:15.166 --> 00:06:18.547]  I said, don't even answer me because they'll crucify you if you agree with me.
[00:06:19.548 --> 00:06:21.269]  They're going to steal the election.
[00:06:21.449 --> 00:06:22.229]  I'll make it simple.
[00:06:22.269 --> 00:06:25.010]  In the fifth grade, I ran for class president in Queens, New York.
[00:06:26.031 --> 00:06:26.951]  I was a funny kid.
[00:06:27.011 --> 00:06:27.852]  I was a wild kid.
[00:06:27.872 --> 00:06:28.632]  I was out of control.
[00:06:28.692 --> 00:06:30.213]  I won the election by a landslide.
