[00:00:20.165 --> 00:00:21.746]  Welcome to the Infowars Nightly News.
[00:00:22.006 --> 00:00:22.647]  I'm David Knight.
[00:00:22.687 --> 00:00:24.288]  It's Wednesday, September 21st, 2016.
[00:00:24.528 --> 00:00:26.990]  Here are our top stories.
[00:00:30.192 --> 00:00:33.874]  Tonight, the death of American culture.
[00:00:34.375 --> 00:00:40.439]  Barack Obama tells the UN that America must give up liberty for security.
[00:00:41.656 --> 00:00:58.442]  Meanwhile, the administration continues to allow wave after wave of Muslim refugees into the country, ignoring military and intelligence reports that warn of the Trojan horse disguised as a Muslim refugee.
[00:00:58.882 --> 00:01:08.166]  Plus, Hillary Clinton feeds the race war as she jumps to conclusions on Twitter and riots begin in Charlotte.
[00:01:09.187 --> 00:01:09.847]  It's a protest.
[00:01:09.867 --> 00:01:23.233]  I don't want to call it a standoff with police, but protests are spreading after an officer today shot and killed an African-American man, who police say was... All that plus much more, up next on the InfoWars Nightly News.
[00:01:30.962 --> 00:01:32.924]  Joe Biggs here with InfoWars.com.
[00:01:33.084 --> 00:01:39.929]  Join us for our live coverage of the upcoming debate between Donald J. Trump and Hillary Clinton on September 26th.
[00:01:40.169 --> 00:01:47.494]  Go to InfoWars.com forward slash show for all the live coverage and also go to the Alex Jones channel on YouTube.
[00:01:47.614 --> 00:01:48.995]  Will Hillary wear an earpiece?
[00:01:49.035 --> 00:01:55.820]  Will Donald Trump and Hillary actually be on the same stage or will they try to do another forum like we've seen before?
[00:01:55.860 --> 00:01:58.142]  This is all going to be leading up to our
[00:01:58.322 --> 00:01:59.082]  We're good to go.
[00:03:02.284 --> 00:03:09.209]  Today, Sheriff Arpaio said he is going to continue to investigate the birth certificate of Barack Obama.
[00:03:09.789 --> 00:03:11.150]  He said, I'm not going to give up.
[00:03:11.550 --> 00:03:13.331]  He said, I don't care where he's from.
[00:03:13.351 --> 00:03:16.513]  It is a forged document, period.
[00:03:17.374 --> 00:03:20.016]  Folks, Obama came in with a deception.
[00:03:21.155 --> 00:03:22.416]  We didn't know who this guy was.
[00:03:22.456 --> 00:03:24.578]  He was lying about so many things.
[00:03:24.618 --> 00:03:25.519]  He had a hidden agenda.
[00:03:25.559 --> 00:03:29.143]  Today we're going to take a look at Obama as he leaves.
[00:03:29.663 --> 00:03:33.327]  He laid out his legacy, his last eight years before the UN today.
[00:03:33.367 --> 00:03:34.068]  We're going to look at it.
[00:03:34.468 --> 00:03:38.252]  It's got a lot of layers, just like his birth certificate.
[00:03:38.872 --> 00:03:41.975]  We're going to see what he has forged these last eight years.
