[00:00:16.280 --> 00:00:18.282]  Ladies and gentlemen, wow!
[00:00:18.883 --> 00:00:25.809]  It's Tuesday, already the 27th day of December 2016, about to be 2017.
[00:00:26.790 --> 00:00:28.772]  I'm your host Alex Jones.
[00:00:30.173 --> 00:00:35.238]  There is definitely a hot war going on with Russia with the shoot-down of their aircraft and U.S.
[00:00:35.478 --> 00:00:36.119]  diplomats
[00:00:39.099 --> 00:00:44.103]  Having suspicious things happen to them and also Russian ministers having very suspicious things happen to them.
[00:00:44.143 --> 00:00:45.284]  That's all coming up today.
[00:00:45.925 --> 00:00:47.426]  There is just so much to cover.
[00:00:47.506 --> 00:00:52.710]  Obama obviously snuck through a bunch of tyrannical actions over the Christmas holiday.
[00:00:53.391 --> 00:00:54.712]  All this and more is straight ahead.
[00:00:54.732 --> 00:00:57.254]  But first, front and center, a very powerful report.
[00:00:58.295 --> 00:01:00.117]  Obama's immigration apocalypse.
[00:01:01.135 --> 00:01:18.451]  Anas Amri, the jihadist that drove a truck into scores of people in Berlin, leaving 12 dead and injuring dozens, finally faced justice in Milan, Italy as a rookie police officer, took Amri down in a hail of bullets after Amri pulled a gun while being asked for identification.
[00:01:18.631 --> 00:01:23.816]  Amri had been one of the many refugees leaving Tunisia during the Arab Spring in 2011 for European chores.
[00:01:24.997 --> 00:01:31.079]  Tunisia now seen as a jihadist hotbed, sending more fighters to Syria than any other country.
[00:01:31.239 --> 00:01:43.483]  Omri had been allowed to remain in Europe regardless of the fact that he had spent four years in prison after being held responsible for burning down a migrant reception center on the Italian island of Lampedusa.
[00:01:43.663 --> 00:01:55.172]  Back in Germany, Angela Merkel continued to ignore the blood on her hands as calls for her to step down echoed throughout Berlin's Washington Square, numbering as high as 10,000 protesters.
[00:01:55.192 --> 00:01:59.215]  Because right now, we still don't know exactly what happened.
[00:02:01.957 --> 00:02:04.379]  We have to presume this is a terrorist attack.
[00:02:04.939 --> 00:02:14.907]  Three suspected jihadists said to be linked to Anis Amri have been arrested in Tunisia, the home country of the supposed Berlin truck attacker.
[00:02:15.408 --> 00:02:25.456]  Described as members of a terrorist cell by Tunisia's interior ministry, the trio includes a nephew of Amri who was shot dead by Italian police in Milan on Friday.
[00:02:25.936 --> 00:02:26.957]  It will be very hard.
[00:02:28.158 --> 00:02:36.486]  To deal with this, to understand this, if we find out that this was committed by someone who took refuge in Germany.
[00:02:36.806 --> 00:02:43.292]  And now the world enters the Christmas season on high alert as ISIS releases a list of U.S.
[00:02:43.372 --> 00:02:44.433]  churches to attack.
[00:02:44.793 --> 00:02:46.694]  Record highs surge across the U.S.
[00:02:46.794 --> 00:03:03.984]  border, numbering on the average of 1,574 per day and 820,000 illegal immigrants with felonies and serious misdemeanors walk the streets of the United States, urged on by the reckless support of President Obama and the Mexican ambassador.
[00:03:04.224 --> 00:03:06.485]  We are facing a crisis of epic proportions.
[00:03:07.946 --> 00:03:13.509]  More than 65 million people have been driven from their homes, which is more than any time since the Second World War.
[00:03:15.347 --> 00:03:19.710]  Among them are more than 21 million refugees who have fled their countries.
[00:03:21.271 --> 00:03:28.316]  Everything and everyone they've ever known fleeing with a suitcase or the clothes on their back.
[00:03:29.357 --> 00:03:31.178]  It's a crisis of our shared security.
[00:03:32.399 --> 00:03:34.561]  Not because refugees are a threat.
[00:03:34.961 --> 00:03:40.385]  Refugees, most of whom are women and children, are often fleeing war and terrorism.
[00:03:40.745 --> 00:03:41.466]  They are victims.
[00:03:43.131 --> 00:03:49.333]  There are families who want to be safe and to work, be good citizens and contribute to their country.
[00:03:50.234 --> 00:04:04.339]  If we were to turn refugees away simply because of their background or religion, or for example because they are Muslim, then we would be reinforcing terrorist propaganda that nations like my own are somehow opposed to Islam.
[00:04:06.578 --> 00:04:11.763]  It's an ugly lie that must be rejected in all of our countries by upholding the values of pluralism and diversity.
[00:04:11.783 --> 00:04:16.086]  So, I'm wondering how this might affect relationships.
[00:04:16.527 --> 00:04:17.948]  It's an attack on humanity.
[00:04:18.008 --> 00:04:18.769]  That's what it is.
[00:04:18.949 --> 00:04:21.011]  It's an attack on humanity.
[00:04:21.051 --> 00:04:22.032]  And it's gotta be stopped.
[00:04:23.047 --> 00:04:28.428]  If you take a trip along the San Diego-Mexico border, on the surface you won't notice anything different.
[00:04:28.829 --> 00:04:29.629]  But there is.
[00:04:30.049 --> 00:04:32.289]  It's the changing face of immigration.
[00:04:32.630 --> 00:04:35.870]  Right now we're seeing a large influx of Syrian refugees seeking asylum.
[00:04:36.131 --> 00:04:41.512]  Crime will surge, disease will spread, and more terror attacks are inevitable.
[00:04:41.732 --> 00:04:46.055]  Unfortunately, Obama's days as president are coming to a close.
[00:04:46.275 --> 00:04:53.621]  The lifting of Obama's fog of apocalyptic immigration will be finally recognized for what it is.
[00:04:53.961 --> 00:05:03.228]  And anyone with any sense in their head will come to the conclusion that this is why we have immigration laws that need to be enforced.
[00:05:03.668 --> 00:05:05.710]  John Bowne for Infowars.com.
[00:05:06.871 --> 00:05:08.492]  We're live, ladies and gentlemen.
[00:05:08.532 --> 00:05:09.753]  Stay with us, I'm Alex Jones.
[00:05:10.609 --> 00:05:18.739]  Our fellow Infowarriors across the United States and across the planet really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[00:05:19.720 --> 00:05:28.491]  It became a global meme against globalism and corruption, and a very strong maxim that's now being continued on today.
[00:05:29.372 --> 00:05:33.314]  Now, President-elect Trump has come out and said it's not his job as President to call for prosecution.
[00:05:33.354 --> 00:05:33.894]  He's not supposed to.
[00:05:34.374 --> 00:05:39.416]  But that, obviously, Jeff Sessions, as the new Attorney General, if he's confirmed, will certainly carry out his duties.
[00:05:39.656 --> 00:05:46.319]  But Roger Stone, a few weeks ago, right after the election, said, Alex, you gotta bring Hillary for President back.
[00:05:46.379 --> 00:05:48.299]  And I said, yeah, but it's a limited edition.
[00:05:48.479 --> 00:05:49.220]  It's over.
[00:05:50.040 --> 00:05:51.541]  You know, she's been defeated so far.
[00:05:52.101 --> 00:05:55.023]  They said, what about Hillary for prison 2017?
[00:05:55.443 --> 00:05:56.904]  We need those at the inauguration.
[00:05:56.924 --> 00:06:00.846]  They're trying to intimidate Trump supporters and nationalists everywhere.
[00:06:01.247 --> 00:06:02.487]  That shirt is powerful.
[00:06:02.547 --> 00:06:17.316]  It's not just a shirt supporting Trump, like your shirt that says Trump is my president, which we put out before he won, predicting it, putting our name, our guts on the line, but something exposing who the other team was pushing so that people don't forget and so that the push for justice continues.
[00:06:17.916 --> 00:06:19.417]  So it's a great way to support the broadcast.
[00:06:19.457 --> 00:06:26.620]  It's a great way to have another historic shirt to spread the word and to meet like-minded people of every race, color, and creed who bleed red blood and want justice.
[00:06:27.141 --> 00:06:27.661]  It's available.
[00:06:27.721 --> 00:06:28.781]  It's another limited run.
[00:06:28.801 --> 00:06:32.043]  I don't know how long we're going to offer it, but definitely only a few months.
[00:06:32.503 --> 00:06:34.964]  It is Hillary for Prison 2017.
