[00:00:19.698 --> 00:00:20.479]  Another time.
[00:00:21.141 --> 00:00:24.028]  Another time in the Age of Wonder.
[00:00:24.149 --> 00:00:25.893]  In the Age of Wonder.
[00:00:39.484 --> 00:00:43.705]  If you are receiving this transmission, you are the resistance.
[00:00:44.145 --> 00:00:50.107]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:00:52.528 --> 00:00:53.348]  We are live.
[00:00:53.368 --> 00:00:57.169]  We have launched another global transmission for the next four hours here today.
[00:00:57.189 --> 00:01:00.410]  Michael Savage is going to be on for an hour.
[00:01:00.450 --> 00:01:01.130]  We had to reschedule.
[00:01:01.150 --> 00:01:03.571]  He's on next Wednesday, I believe.
[00:01:04.565 --> 00:01:12.988]  I'm going to get Paul Watson on to talk about an article up on Infowars.com with video, with a bunch of other videos, and this is with Germans themselves clapping.
[00:01:13.769 --> 00:01:15.449]  The Green Party has said similar things.
[00:01:16.270 --> 00:01:20.751]  A Muslim scholar celebrates extinction, quote, of blue-eyed, blonde-haired Germans.
[00:01:21.072 --> 00:01:31.836]  You see, this is an anti-white, anti-European agenda, and it's being done to just absolutely collapse the West.
[00:01:34.537 --> 00:01:38.379]  And they're bringing in the most incompatible people you can imagine.
[00:01:38.979 --> 00:01:44.182]  It is simply, absolutely over the top.
[00:01:45.423 --> 00:01:57.730]  Political correctness gets you to turn off your own instincts, turn off your own life force, turn off your own common sense, and to make your new identity one of self-loathing and cultural suicide.
[00:02:00.865 --> 00:02:06.226]  And I have an entire spectrum of news along these lines today illustrating this.
[00:02:06.786 --> 00:02:07.907]  We're going to be breaking down.
[00:02:09.907 --> 00:02:17.709]  We have images of the Paris train station that looks like anywhere else in the world but Europe.
[00:02:18.589 --> 00:02:21.190]  And then a shot of the Russian train stations.
[00:02:23.049 --> 00:02:41.636]  Just to illustrate, can you imagine what people say in Nigeria or people in Brazil or people anywhere else would say if suddenly their country was like this and their country was offering, quote, all this free welfare to bring the third world populations there to then dip them into political correctness.
[00:02:41.696 --> 00:02:44.137]  This is Paris we're showing on screen for radio listeners.
[00:02:44.557 --> 00:02:48.479]  And then you cut to Moscow and it looks European.
[00:02:49.622 --> 00:03:01.365]  And this, again, would not be an issue if the groups being brought in were not being taught by the colleges and by the universities and by the schools and by the entire culture that you are here to destroy the culture.
[00:03:01.845 --> 00:03:09.267]  Folks used to want to come to the West to adopt some of the culture, the free market, the choices, the wealth, the technology.
[00:03:09.747 --> 00:03:15.568]  But the globalists want to get rid of that and only have it on controlled government and corporate reservations.
[00:03:15.988 --> 00:03:19.089]  Everyone else without is in a giant gulag, basically.
[00:03:21.621 --> 00:03:28.066]  A giant ghetto, like what the Nazis did in Poland and other areas, putting their political enemies in these compact cities.
[00:03:28.787 --> 00:03:30.428]  That is the admitted plan.
[00:03:33.310 --> 00:03:36.173]  Meanwhile, there's a big story out in the UK Express.
[00:03:36.193 --> 00:03:41.317]  80% of Brits would be happy to quit the UK for Russia after Putin offers free land.
[00:03:42.958 --> 00:03:50.004]  Almost 8 out of 10 citizens would seriously consider quitting Britain and immigrating to Russia, a poll by Express has revealed.
[00:03:50.264 --> 00:03:51.225]  Now let's stop right there.
[00:03:53.783 --> 00:03:56.144]  They called it an apocalypse.
[00:03:56.164 --> 00:04:04.108]  In fact, we've got the article from yesterday, I forgot to cover it, in the major papers in Italy that they have a 1.3% reproduction rate.
[00:04:04.708 --> 00:04:06.669]  For every two adults, they have 1.3 children.
[00:04:08.170 --> 00:04:09.831]  And trendies will go, how does people have 1.3?
[00:04:10.131 --> 00:04:15.893]  It's in the aggregate, it's in the sum of hundreds of millions of people.
[00:04:15.913 --> 00:04:20.275]  It's not even hundreds of millions now in Italy.
[00:04:21.752 --> 00:04:31.639]  Because of the modern culture, the modern programming, turning off the life force, the subliminal messages, the taxes, the regulations, what the TV sells that having kids are horrible.
[00:04:33.120 --> 00:04:34.681]  And they're calling it an apocalypse.
[00:04:34.941 --> 00:04:41.646]  Italy faces a population implosion apocalypse, and Italy is doubling tax rebates for you to have kids.
[00:04:43.167 --> 00:04:43.947]  So is Russia.
[00:04:45.529 --> 00:04:48.811]  But it's only Italy and Russia that aren't trying to commit suicide.
[00:04:48.851 --> 00:04:50.192]  They're dead already!
[00:04:52.233 --> 00:04:58.338]  But they just realize their dad, they're trying to flop around in pools of societal blood and try to get up on their knees.
[00:04:58.398 --> 00:05:09.987]  Now in Germany, the UK and other areas, the political class has the bleeding culture on the ground, ramming double-edged daggers thousands of times, foaming at the mouth with trendy, helping pull the dagger in.
[00:05:11.823 --> 00:05:24.787]  The military has turned to a directed energy frequency jammer, mounted on an assault rifle frame, to deal with the growing threat of small drones to military bases and troops in the field, reports Defense Tech.
[00:05:25.127 --> 00:05:40.352]  Officials of Battle Fielding, the non-profit research and development organization, said Monday the Defense Department and Department of Homeland Security had signed off on buying 100 units of its drone Defender, billed as the safe solution for warding off
[00:05:40.572 --> 00:05:42.792]  Intruding unmanned aerial vehicles.
[00:05:43.153 --> 00:05:50.934]  It's a portable solution to stop portable drones, said Rich Granger, a battle director for Mission and Defense Technologies.
[00:05:51.394 --> 00:06:02.396]  The drone defender has two triggers, a command and control trigger to sever the link between the pilot and the UAV, and a second trigger to jam GPS links to the drone.
[00:06:02.736 --> 00:06:06.517]  You can find more reports on InfoWars.com.
[00:06:11.249 --> 00:06:14.190]  A clean, toxic-free body is the foundation of true health.
[00:06:14.470 --> 00:06:24.074]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:06:24.375 --> 00:06:36.720]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser with concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others.
[00:06:37.620 --> 00:06:38.160]  That's right.
[00:07:00.451 --> 00:07:19.897]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:19.977 --> 00:07:28.060]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:28.380 --> 00:07:33.082]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:33.262 --> 00:07:39.965]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:40.045 --> 00:07:47.129]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:47.229 --> 00:07:54.072]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:54.252 --> 00:07:58.595]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:58.736 --> 00:08:01.998]  Available in original or with our immune support infusion blend.
[00:08:02.118 --> 00:08:08.243]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:08.423 --> 00:08:10.084]  Available at Infowarslife.com
[00:08:13.517 --> 00:08:22.263]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:08:23.044 --> 00:08:24.065]  Thomas Jefferson.
[00:08:24.605 --> 00:08:28.268]  It's Alex Jones on the GCN Radio Network.
[00:08:33.863 --> 00:08:36.045]  And we have kicked off another global broadcast.
[00:08:36.105 --> 00:08:37.186]  I'm Alex Jones, your host.
[00:08:37.226 --> 00:08:38.307]  Thank you so much for joining us.
[00:08:38.387 --> 00:08:41.430]  It's Tuesday, the 17th day of May, 2016.
[00:08:41.790 --> 00:08:45.013]  We'll be live here for the next four hours.
[00:08:45.053 --> 00:08:47.695]  We're going to have open phones throughout the broadcast.
[00:08:47.735 --> 00:08:48.456]  We have David Knight.
[00:08:49.488 --> 00:08:51.589]  Han showing the fourth hour as well.
[00:08:51.629 --> 00:08:53.490]  I'll be here for the next three hours.
[00:08:53.510 --> 00:08:56.271]  All right, let me attempt this again right at the start.
[00:08:56.431 --> 00:09:02.394]  We've always failed, but today may be the day that I actually don't stop on the 5th, 6th, 7th, 8th, 9th, 10th, or 14th article.
[00:09:02.874 --> 00:09:05.195]  I'm told there might even be Las Vegas odds in the future.
[00:09:05.215 --> 00:09:10.018]  I'm being sarcastic on if I'll ever actually just run through the headlines.
[00:09:10.558 --> 00:09:11.759]  But I think today's the day.
[00:09:11.799 --> 00:09:12.179]  Let's do it.
[00:09:13.109 --> 00:09:13.549]  Video.
[00:09:13.629 --> 00:09:17.651]  Muslim scholar celebrates extinction of blue-eyed, blonde-haired Germans.
[00:09:18.031 --> 00:09:25.714]  This is on Infowars.com with a bunch of other government people agreeing and sharing that it's very, very wonderful and a good thing to do.
[00:09:27.655 --> 00:09:31.897]  80% of Brits would be happy to quit the UK for Russia after Putin offers free land.
[00:09:32.417 --> 00:09:35.058]  That's what the United States used to be, but now it's all locked up.
[00:09:35.078 --> 00:09:38.760]  They're trying to take more land and send in special forces troops to kill you if you go protest.
[00:09:41.417 --> 00:09:43.179]  Regular Army troops to kill you dead in a hammer.
[00:09:44.480 --> 00:09:45.360]  Out in good old Oregon.
[00:09:45.701 --> 00:09:49.424]  Italy set to double baby bonus to fight birth rate apocalypse.
[00:09:49.444 --> 00:09:50.365]  This all ties together.
[00:09:50.685 --> 00:09:51.766]  These three articles tie together.
[00:09:51.806 --> 00:09:54.048]  I'll get to those first once I've gone through the headlines.
[00:09:54.068 --> 00:09:57.531]  I think this is the day I'm actually going to go through at least 100 articles.
[00:09:58.111 --> 00:10:01.574]  Hillary Clinton vows a new gun grab in secret recording, which we have.
[00:10:01.614 --> 00:10:02.575]  It's up on InfoWars.com.
[00:10:02.615 --> 00:10:04.617]  We're going to be playing that for you here today.
[00:10:05.461 --> 00:10:06.122]  Secret gun grab.
[00:10:06.882 --> 00:10:13.006]  Soros Management Fund CNBC reports outlines new allocations goes bullish on gold.
[00:10:13.066 --> 00:10:16.629]  Yes, I personally, myself, have seen the elite artificially suppress gold for a while.
[00:10:16.729 --> 00:10:18.570]  I've been saying for about six months I thought it would go up.
[00:10:18.931 --> 00:10:20.192]  It's up like 200-something bucks.
[00:10:20.232 --> 00:10:21.813]  I believe that will continue for a while.
[00:10:22.413 --> 00:10:26.776]  They can suppress it maybe again, but long-term, folks, paper is a fraud.
[00:10:27.577 --> 00:10:28.878]  Let's go ahead and go to the next article.
[00:10:29.977 --> 00:10:33.820]  Formal Googlers launch a new startup to make trucks driverless.
[00:10:34.100 --> 00:10:34.981]  Oh, how wonderful!
[00:10:35.001 --> 00:10:38.683]  Hillary Clinton keeps losing, so how come she's winning?
[00:10:39.324 --> 00:10:40.985]  LA Times asked the obvious question.
[00:10:41.945 --> 00:10:49.331]  They go through a whole debate here that if the delegates don't buy her act that they're supposed to go with her even though they belong to Sanders, he will be the nominee.
[00:10:49.351 --> 00:10:53.253]  I don't like Sanders, but I'm telling you he's less establishment than Hillary.
[00:10:53.293 --> 00:10:55.195]  I would prefer him over Hillary.
[00:10:56.206 --> 00:10:56.746]  Quite frankly.
[00:10:58.207 --> 00:11:04.351]  But at the same time, it just illustrates how this system is completely and totally a fraud.
[00:11:04.911 --> 00:11:10.334]  But Trump was smart and got up and pointed out that it was a fraud with the Republicans doing it.
[00:11:10.394 --> 00:11:15.137]  They played a con game, a confidence game, acted like it was totally normal, and then it blew up in their face.
[00:11:15.157 --> 00:11:17.098]  They had to back off, at least for now.
[00:11:17.118 --> 00:11:19.480]  But they're trying to develop a third-party run.
[00:11:19.560 --> 00:11:25.163]  They admit to scuttle the Republican Party and ensure Hitler gets in power.
[00:11:26.459 --> 00:11:31.361]  Another report, no-go areas, huge increase in attacks on police in Sweden.
[00:11:31.961 --> 00:11:35.942]  Now mainstream news is having to admit giant no-go areas all over Europe.
[00:11:36.002 --> 00:11:37.562]  Our reporters have experienced it.
[00:11:37.582 --> 00:11:40.343]  We've shown videos from the UK to Germany, to Sweden to France.
[00:11:40.803 --> 00:11:49.306]  When they have national parade days just with flags, the radical jihadis on welfare, totally spoiled, arrogant, just run out and attack everyone.
[00:11:49.326 --> 00:11:55.328]  The police stand down and worship the foreigners attacking because they're setting all this up for the total fall.
[00:11:56.383 --> 00:12:02.693]  Levelist are in control of our countries and are bringing us down systematically right now.
