[00:00:20.507 --> 00:00:22.689]  Waging war on corruption.
[00:00:23.170 --> 00:00:28.454]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:29.455 --> 00:00:40.886]  From deep in the heart of Texas, broadcasting worldwide, we've got a very special guest joining us to break down the sleeper cell agenda of the globalists who bring in radical jihadis by the millions.
[00:00:41.718 --> 00:00:44.721]  That's coming up, but right now let's go to Trump live in D.C.
[00:00:44.761 --> 00:00:48.044]  We're coming to you from Austin, Texas, but let's take you now live in D.C.
[00:00:48.084 --> 00:00:51.007]  with his foreign policy speech.
[00:00:58.835 --> 00:01:03.017]  About the groups that will never be anything other than enemies.
[00:01:03.477 --> 00:01:07.979]  And believe me, we have groups that no matter what you do, they will be the enemy.
[00:01:08.279 --> 00:01:15.403]  We have to be smart enough to recognize who those groups are, who those people are, and not help them.
[00:01:16.243 --> 00:01:22.786]  And we must only be generous to those that prove they are indeed our friends.
[00:01:26.343 --> 00:01:28.285]  Teleprompting free folks, you're actually seeing it.
[00:01:28.345 --> 00:01:32.590]  We desire to live peacefully and in friendship with Russia and China.
[00:01:33.251 --> 00:01:38.357]  We have serious differences with these two nations and must regard them with open eyes.
[00:01:39.058 --> 00:01:41.380]  But we are not bound to be adversaries.
[00:01:41.821 --> 00:01:45.846]  We should seek common ground based on shared interests.
[00:01:46.406 --> 00:01:51.830]  Russia, for instance, has also seen the horror of Islamic terrorism.
[00:01:52.231 --> 00:02:03.199]  I believe an easing of tensions and improved relations with Russia from a position of strength only is possible, absolutely possible.
[00:02:03.739 --> 00:02:11.225]  Common sense says this cycle, this horrible cycle of hostility must end and ideally will end soon.
[00:02:11.385 --> 00:02:12.466]  Good for both countries.
[00:02:13.047 --> 00:02:15.909]  Some say the Russians won't be reasonable.
[00:02:16.749 --> 00:02:18.130]  I intend to find out.
[00:02:19.291 --> 00:02:32.000]  If we can't make a deal under my administration, a deal that's great, not good, great for America, but also good for Russia, then we will quickly walk from the table.
[00:02:32.140 --> 00:02:33.121]  It's as simple as that.
[00:02:33.501 --> 00:02:34.322]  We're going to find out.
[00:02:34.982 --> 00:02:44.229]  Fixing our relations with China is another important step in really toward creating a even more prosperous period of time.
[00:02:45.109 --> 00:02:57.933]  China respects strength, and by letting them take advantage of us economically, which they are doing like never before, we have lost all of their respect.
[00:02:58.573 --> 00:03:00.794]  We have a massive- I'll say this.
[00:03:00.814 --> 00:03:05.095]  He's acting like there's a little bit of teleprompter, but I heard he wasn't going to use one, but then it doesn't sound like it was written.
[00:03:05.255 --> 00:03:08.456]  It sounds like it's regular talking points, so we're going to find out.
[00:03:08.476 --> 00:03:08.996]  It doesn't matter.
[00:03:09.016 --> 00:03:14.238]  I mean, I don't care if it's a foreign policy speech, somebody has their own teleprompter, if they wrote their speech.
[00:03:14.878 --> 00:03:16.899]  But let's keep doing this right now.
[00:03:17.420 --> 00:03:19.961]  Look at what China is doing in the South China Sea.
[00:03:20.422 --> 00:03:21.843]  They're not supposed to be doing it.
[00:03:22.303 --> 00:03:25.065]  No respect for this country or this president.
[00:03:25.665 --> 00:03:29.988]  We can both benefit or we can both go our separate ways.
[00:03:30.528 --> 00:03:32.970]  If need be, that's what's going to have to happen.
[00:03:33.930 --> 00:03:42.354]  After I'm elected president, I will also call for a summit with our NATO allies, and a separate summit with our Asian allies.
[00:03:42.994 --> 00:03:57.421]  In these summits, we will not only discuss a rebalancing of financial commitments, but take a fresh look at how we can adopt new strategies for tackling our common challenges.
[00:03:57.941 --> 00:04:11.935]  For instance, we will discuss how we can upgrade NATO's outdated mission and structure grown out of the Cold War to confront our shared challenges, including migration and Islamic terrorism.
[00:04:13.834 --> 00:04:17.618]  Yeah, instead, NATO's opening the door to conquer Europe with the Islamic Horde.
[00:04:17.678 --> 00:04:18.279]  That's the problem.
[00:04:18.799 --> 00:04:24.125]  I will not hesitate to deploy military force when there is no alternative.
[00:04:24.645 --> 00:04:29.310]  But if America fights, it must only fight to win.
[00:04:29.330 --> 00:04:30.552]  That's Ron Paul's quote.
[00:04:31.853 --> 00:04:32.354]  That's right.
[00:04:32.454 --> 00:04:33.475]  Quick, known missions.
[00:04:35.490 --> 00:04:42.453]  I will never send our finest into battle unless necessary, and I mean absolutely necessary.
[00:04:42.953 --> 00:04:50.256]  And we'll only do so if we have a plan for- We notice Trump has the same hand signs as I do.
[00:04:50.276 --> 00:04:51.877]  I don't do those on purpose, I just do it.
[00:04:52.717 --> 00:04:53.277]  You ever notice that?
[00:04:53.297 --> 00:04:55.318]  It's weird, I get accused of secret signals.
[00:04:55.378 --> 00:04:58.099]  Peace and prosperity, not war and destruction.
[00:04:58.559 --> 00:05:04.722]  The best way to achieve those goals is through a disciplined- Isn't it good to see a presidential candidate using their hands?
[00:05:09.583 --> 00:05:14.065]  I've been covering the news on radio and TV for more than 21 years.
[00:05:15.125 --> 00:05:22.347]  And as each year begins, you tend to see a theme that's developing with the social engineers, with the global architects.
[00:05:22.507 --> 00:05:29.730]  And undoubtedly, they're making their move to destabilize the Western world right now, from Australia to Europe to the United States and Canada.
[00:05:29.970 --> 00:05:30.730]  And they're bringing in
[00:05:31.050 --> 00:05:37.294]  Millions and millions of radical Islamic Muslims unvetted so that they will carry out terror attacks.
[00:05:37.314 --> 00:05:44.619]  And then when they do carry out terror attacks, we lose our liberties and freedoms and are told to comply with Islam and they'll stop bombing and shooting us.
[00:05:44.879 --> 00:05:46.921]  This is the crazy world of political correctness.
[00:05:47.461 --> 00:05:55.903]  That said, they allow Muslims to basically, in the United States and Europe, keep women as slaves chained up, beat them, pour acid on their faces, and they don't even really get in trouble.
[00:05:55.923 --> 00:06:02.564]  It's like, UN diplomats are always being caught with slaves from Africa and stuff, and they'll say, well that's their culture in this African country.
[00:06:02.765 --> 00:06:05.525]  But if it's Western culture, it's evil and it's bad.
[00:06:06.125 --> 00:06:13.267]  And going over some of these articles, recently the Pope and the top imam, the head imam in the world over Sunni Muslims, that's what Al-Qaeda is.
[00:06:13.627 --> 00:06:17.530]  Met with the Pope at the Vatican and you've got all this going on for the first time ever.
[00:06:17.830 --> 00:06:30.198]  When the Pope came out in a major Catholic newspaper, LaCroix said that he dreads talking about Christian roots of Europe and colonialist overtones and Jesus was like ISIS sending people out in the fields.
[00:06:31.263 --> 00:06:31.623]  Allah Akbar!
[00:07:02.449 --> 00:07:03.109]  Incredible threat.
[00:07:03.150 --> 00:07:07.232]  Now ISIS wants to attack the Olympics coming up in Brazil.
[00:07:07.953 --> 00:07:11.275]  Hungary's Prime Minister gets it and says Clinton is George Soros' puppet.
[00:07:11.696 --> 00:07:16.539]  Warns that they want to overrun the EU with millions of Muslims.
[00:07:17.080 --> 00:07:21.863]  Radical ones that are wedded to the left.
[00:07:21.883 --> 00:07:26.927]  22% of resettled refugees in Minnesota have tested positive for tuberculosis and then they go on to report
[00:07:27.547 --> 00:07:30.348]  That they're letting them in when they have tuberculosis.
[00:07:30.668 --> 00:07:33.269]  This is unprecedented attack on our country.
