[00:00:11.132 --> 00:00:17.154]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:17.775 --> 00:00:20.816]  It's Alex Jones and the GCN Radio Network.
[00:00:28.139 --> 00:00:28.459]  Wow!
[00:00:29.259 --> 00:00:33.381]  We've got even more news stacked on the desk here today that needs to be covered than normal.
[00:00:35.742 --> 00:00:38.523]  And a normal day is a total information awareness overload.
[00:00:39.502 --> 00:00:40.462]  Welcome ladies and gentlemen.
[00:00:40.522 --> 00:00:41.583]  I'm Alex Jones, your host.
[00:00:41.623 --> 00:00:46.305]  We're going to be live here for the next four hours today, as we are every weekday at 11 a.m.
[00:00:46.325 --> 00:00:46.945]  to 3 p.m.
[00:00:46.985 --> 00:00:48.146]  Central Standard Time.
[00:00:48.926 --> 00:00:55.229]  We have Wayne Madsen, investigative journalist, on a whole bunch of huge fronts, joining us in the second hour.
[00:00:55.429 --> 00:00:56.610]  Richard Reeves pops in.
[00:00:57.410 --> 00:01:05.657]  Also during the second hour, Lou Rockwell on the big theft of the 2016 election, not just from Donald Trump but from Bernie Sanders as well.
[00:01:06.217 --> 00:01:14.784]  And then of course we have Paul Joseph Watson from England who will be hosting the fourth hour of the Nightly News Returns this evening, seven o'clock Central Standard Time.
[00:01:19.147 --> 00:01:20.849]  I really need to focus in though
[00:01:22.361 --> 00:01:29.743]  Not on man-made things some, but on just the volatile universe, the ever-changing universe that we live in.
[00:01:31.384 --> 00:01:50.030]  Because tectonic activity right now, depending on which seismologist you read or which publication you look at, but they're pretty much all lining up now, agreeing that this is the most seismic activity ever recorded since they began to record globally about a hundred years ago.
[00:01:51.889 --> 00:02:07.399]  From Yellowstone, in the heart of our nation, to the Great Ring of Fire around the Pacific Ocean, things are extremely volatile right now.
[00:02:08.660 --> 00:02:18.426]  Huge earthquakes just all over the world yesterday, and the day before that, and the day before that, there are just giant earthquakes happening all over the planet.
[00:02:19.522 --> 00:02:32.096]  And so I almost need to carve out some time away from 2016 and the election and all the war news and the economic news in the next few days to get Standeo and others on.
[00:02:32.757 --> 00:02:38.443]  We had Standeo on three years ago and again about six months ago and he predicted
[00:02:40.652 --> 00:02:44.796]  That in the next year we would see the most tectonic activity we've ever seen.
[00:02:45.416 --> 00:02:46.457]  He's a really smart guy.
[00:02:46.477 --> 00:02:48.439]  In fact, they just put on the screen for me.
[00:02:48.479 --> 00:02:48.940]  I didn't know.
[00:02:48.980 --> 00:02:49.620]  Thanks for telling me.
[00:02:50.061 --> 00:02:51.222]  This was just set up this morning.
[00:02:51.242 --> 00:02:52.903]  Stan Dale will be on for over an hour.
[00:02:53.404 --> 00:02:55.786]  Always informative on Wednesday.
[00:02:57.699 --> 00:03:01.320]  He's a geologist and a lot more, but I should probably get George Nori on.
[00:03:01.661 --> 00:03:06.862]  He's somebody that's really been focused on this and been predicting a lot of this because of all the expert guests he's had on.
[00:03:07.703 --> 00:03:16.066]  And, you know, George has his fun shows, as he calls them, Ghost to Ghost, around Halloween, and, you know, some of the shows that are more in the fiction realm.
[00:03:16.086 --> 00:03:26.730]  But he's the guy that took that broadcast, I don't want to go off on a jag about this, from 80% chupacabras and space aliens to 80% private Federal Reserve, New World Order, world government.
[00:03:27.230 --> 00:03:35.501]  And so we all owe him a continued debt of gratitude that that broadcast is there and as ever popular as always, really informing a lot of people.
[00:03:37.624 --> 00:03:40.447]  But I digress down a rabbit trail with that.
[00:03:40.467 --> 00:03:43.912]  We're going to be getting some more guests on this week also discussing it.
[00:03:45.649 --> 00:03:57.334]  And I'm not a Planet X guy, but there are a lot of big planets out in the Kuiper Belt, out past Pluto, and there is now a big one coming through the solar system, which a lot of ancient societies predicted would show up about now.
[00:03:57.775 --> 00:04:04.598]  What I don't like is, ever since I've been on air for 20 years, people are always telling me that Planet X is imminent and it's going to destroy the Earth.
[00:04:05.950 --> 00:04:06.811]  And then it never happens.
[00:04:06.871 --> 00:04:09.952]  It's a way to sell a book perennially every single year.
[00:04:10.793 --> 00:04:11.693]  And I just don't go there.
[00:04:11.754 --> 00:04:12.894]  But there are big comics.
[00:04:12.914 --> 00:04:13.955]  There are big planetoids.
[00:04:14.335 --> 00:04:19.438]  There is a big gas giant coming through that is in mainstream media.
[00:04:23.080 --> 00:04:31.205]  That is in mainstream media, but not really getting a lot of the attention that it deserves.
[00:04:32.006 --> 00:04:35.448]  So that is coming up as well today.
[00:04:37.763 --> 00:04:38.465]  Mustache.
[00:04:39.128 --> 00:04:41.357]  What do they call those little mustaches that are under your lip?
[00:04:42.418 --> 00:04:42.978]  Van Dyke.
[00:04:43.538 --> 00:04:44.399]  A Van Dyke.
[00:04:44.839 --> 00:04:46.240]  I got some black ink on my finger.
[00:04:46.260 --> 00:04:47.680]  I have a... I'm trendy now.
[00:04:48.460 --> 00:04:49.461]  I have a Van Dyke.
[00:04:50.061 --> 00:04:50.821]  That's really what matters.
[00:04:50.861 --> 00:04:55.183]  Let's come back for the next four hours and talk about different type of facial hair.
[00:04:55.783 --> 00:04:56.484]  Like, do you like it?
[00:04:56.504 --> 00:04:57.144]  Do you dislike it?
[00:04:57.664 --> 00:04:58.564]  What do you think of a Van Dyke?
[00:04:59.085 --> 00:05:04.627]  What's it mean when a woman has a big handlebar... handlebar mustache?
[00:05:04.647 --> 00:05:05.527]  She's a handlebar.
[00:05:05.987 --> 00:05:07.288]  See, I'm inventing new terms here.
[00:05:08.351 --> 00:05:08.651]  Nearly.
[00:05:09.411 --> 00:05:16.915]  It was George Berkeley that famously said, if a tree falls in the forest and no one is there to hear it make a sound, did it make a sound?
[00:05:17.755 --> 00:05:20.196]  Well, I'm here to give you the answer to that age old question.
[00:05:20.416 --> 00:05:21.176]  Yes, it did.
[00:05:27.019 --> 00:05:35.782]  And if the American Republic had fallen and no one in the mainstream media told you, would the Republic still be dead?
[00:05:36.463 --> 00:05:37.243]  And the answer is yes.
[00:05:41.081 --> 00:05:56.934]  In 20 plus years on air, I've never seen a demarcation line that clearly shows to me the full collapse has basically already gone to a point where you can say this country is unrecognizable and we are rapidly accelerating into a nightmare totalitarian system.
[00:05:58.094 --> 00:06:07.522]  We've seen Priebus, the head of the Republican Party, we've seen the head of the Rules Committee, Curly Hewlin or whatever his name is, come out and openly say, listen,
[00:06:09.298 --> 00:06:10.078]  The media's wrong.
[00:06:10.098 --> 00:06:11.099]  You never had a vote.
[00:06:11.239 --> 00:06:11.939]  It doesn't count.
[00:06:11.979 --> 00:06:13.240]  The party picks whoever's there.
[00:06:13.600 --> 00:06:15.201]  You're just here at a fashion contest.
[00:06:15.521 --> 00:06:18.182]  Political parties choose their nominee, not the general public.
[00:06:19.162 --> 00:06:20.583]  Contrary to popular belief.
[00:06:20.963 --> 00:06:22.544]  Then why am I holding the primaries?
[00:06:23.564 --> 00:06:24.684]  That's a very good question.
[00:06:24.905 --> 00:06:39.790]  Then, when myself and Roger Stone and others came out, and simply called for people to go protest and demonstrate and talk to the delegates, and we said, and don't be violent, in Cleveland coming up in a few months, they had all their pundits go on TV and say, maybe Roger Stone should be arrested.
[00:06:39.930 --> 00:06:43.992]  This is in a climate with all these incredible attacks on free speech, and it's really creepy.
[00:06:44.352 --> 00:06:45.893]  We are a free society in America.
[00:06:45.913 --> 00:06:47.113]  We're not a third world country.
[00:06:47.414 --> 00:06:49.174]  We don't threaten violence against delegates.
[00:06:49.215 --> 00:06:57.178]  And I think that Reince Priebus and the RNC should move to ban Roger Stone from the convention because we cannot tolerate threats and threats of violence.
[00:06:57.579 --> 00:07:00.760]  They're also stealing states and delegates from Bernie Sanders.
[00:07:01.100 --> 00:07:04.442]  Ladies and gentlemen, they're telling you that they're allowed to make these rules.
[00:07:04.982 --> 00:07:08.064]  But they're taking public taxpayer money by the billions.
[00:07:08.464 --> 00:07:10.085]  And the counties and cities are holding out.
[00:07:10.265 --> 00:07:13.187]  We're having public elections where it's one person, one vote.
[00:07:13.628 --> 00:07:20.893]  There are federal and state election laws, like the 1965 Voting Rights Act, that's meant to block this type of racketeering.
[00:07:21.654 --> 00:07:27.919]  Even Jim Crow laws against poor blacks and whites were not this strict or this over the top.
[00:07:28.359 --> 00:07:30.481]  And I'll close with the words of President JFK.
[00:07:31.142 --> 00:07:36.246]  Those that make peaceful revolution impossible make violent revolution inevitable.
[00:07:36.966 --> 00:07:38.207]  And the power brokers know that.
[00:07:38.907 --> 00:07:42.910]  And they want to break our will and push forward and want a civil war in this country.
[00:07:43.430 --> 00:07:44.531]  Let's peacefully go out.
[00:07:45.071 --> 00:07:46.112]  Let's sue these people.
[00:07:46.712 --> 00:07:48.273]  Let's donate to political causes.
[00:07:48.313 --> 00:07:49.254]  Let's get involved.
[00:07:49.694 --> 00:07:51.255]  Let's have our minds heard.
[00:07:51.636 --> 00:07:53.437]  Let's expose these political party machines.
[00:07:53.457 --> 00:08:04.544]  Let's do everything we can to stop this illegal criminal takeover of America by a two-party system establishing an oligarchy or dictatorship in this country.
[00:08:04.924 --> 00:08:05.925]  As George Carlin said,
[00:08:06.485 --> 00:08:08.687]  It's a big club and you ain't in it.
[00:08:11.210 --> 00:08:19.979]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:08:20.740 --> 00:08:21.781]  Thomas Jefferson.
[00:08:22.281 --> 00:08:25.985]  It's Alex Jones on the GCN Radio Network.
[00:08:37.139 --> 00:08:40.302]  It's Monday, the 18th day of April 2016.
[00:08:40.342 --> 00:08:43.224]  I'm your host Alex Jones.
[00:08:43.264 --> 00:08:47.828]  We're going to be here until 3 o'clock Central Standard Time today.
[00:08:47.869 --> 00:08:50.911]  Thank you for joining us.
[00:08:52.312 --> 00:08:56.036]  Alright, obviously there is massive election 2016 news.
[00:08:56.156 --> 00:08:57.697]  There is huge military news.
[00:08:58.077 --> 00:09:03.783]  There is incredibly important geopolitical, military, and financial news that ties together.
[00:09:04.881 --> 00:09:10.962]  There is unprecedented leftist censorship going on around the world as well.
[00:09:12.443 --> 00:09:15.163]  And we're going to be breaking all of that down today.
[00:09:15.863 --> 00:09:19.904]  The fate of Obama's immigration plan is in the hands of the Supreme Court.
[00:09:19.924 --> 00:09:20.924]  We're going to be looking at that.
[00:09:22.025 --> 00:09:27.786]  The State Department wants to speed up the process of bringing Syrian refugees into the United States.
[00:09:29.218 --> 00:09:34.680]  A new AOL poll shows nearly half of Sanders supporters might switch to Trump.
[00:09:35.180 --> 00:09:41.463]  There's a lot of top Democrats and others coming out saying that Hillary's so corrupt that if Sanders loses, they're going to go with Trump.
[00:09:41.903 --> 00:09:43.703]  So I do bash Sanders supporters.
[00:09:43.823 --> 00:09:46.484]  I do dislike socialism and communism.
[00:09:47.305 --> 00:09:53.467]  But that said, a lot of people are so anti-establishment, they're going for Sanders just as a desperation move.
[00:09:53.807 --> 00:09:55.828]  A lot of Ron Paul supporters are supporting him.
[00:09:56.844 --> 00:10:10.929]  And so regardless what you think of Sanders, I think that's a smart move by Sanders supporters watching him be robbed, but he isn't winning by as much or wasn't winning by as much, so it's easier to steal from him.
[00:10:11.550 --> 00:10:17.672]  It's a smart move to understand that Trump is also anti-establishment and that the power structure is coming after him.
[00:10:18.212 --> 00:10:22.414]  And so it's very, very important to get behind Donald Trump, even if you have issues with him.
[00:10:22.874 --> 00:10:25.055]  The fact that the globalist controllers
