[00:00:20.185 --> 00:00:22.126]  Welcome to the Info Wars Nightly News.
[00:00:22.186 --> 00:00:25.969]  It is Tuesday, June 21st, 2016, and I'm Leigh Ann McAdoo.
[00:00:26.269 --> 00:00:27.270]  Here's what's coming up tonight.
[00:00:30.832 --> 00:00:37.356]  Tonight, a moderate Muslim role model speaks out against homosexuality.
[00:00:37.856 --> 00:00:41.719]  Punishment is one of five things.
[00:00:43.952 --> 00:00:45.614]  One, the easiest one maybe.
[00:00:46.855 --> 00:00:47.455]  Chop their head off.
[00:00:47.856 --> 00:00:50.037]  Then, Hillary's been hacked!
[00:00:50.338 --> 00:00:58.945]  Guccifer 2.0 chronicles hundreds of new documents that reveal a series of scandals directly linked to
[00:00:59.045 --> 00:01:02.786]  All that plus much more up next on the Info Wars Nightly News!
[00:01:30.213 --> 00:01:37.699]  Buckley, tell us about Alexa Pure Breeze, discounted over 25% off as an introductory promotion.
[00:01:37.899 --> 00:01:39.060]  It's the Alexa Pure Breeze.
[00:01:39.180 --> 00:01:42.983]  It's an energy efficient HEPA ion cluster air purification system.
[00:01:43.363 --> 00:01:45.805]  It has a four stage purification process.
[00:01:45.945 --> 00:01:49.228]  It has a HEPA filter, three filters, and a carbon activated filters.
[00:01:49.488 --> 00:01:58.971]  And the most amazing thing about it is that it has this patented ion cluster technology that kills airborne microbes with a final byproduct of clean water, not ozone.
[00:01:58.991 --> 00:02:10.674]  Because there's a lot of units out there that do that, that will sterilize the air, that will take out toxins and microbes, but you always come back into the room and you have that ozone smell, and as a matter of fact, if you leave a room sealed and you have one of those running... Toxin!
[00:02:10.854 --> 00:02:12.435]  It is toxic and it's kind of dangerous.
[00:02:12.675 --> 00:02:14.336]  So this is non-toxic.
[00:02:14.496 --> 00:02:15.577]  It's a beautiful unit.
[00:02:15.877 --> 00:02:16.717]  It really looks good.
[00:02:16.757 --> 00:02:18.679]  I mean, it will look beautiful in your house in a corner.
[00:02:18.919 --> 00:02:22.521]  The Alexa Pure Breeze, which operates as a fan.
[00:02:22.621 --> 00:02:23.501]  It's super quiet.
[00:02:23.641 --> 00:02:24.462]  It cleans the air.
[00:02:24.982 --> 00:02:27.624]  Every major room in your house really should have one of these.
[00:02:28.004 --> 00:02:41.113]  The cheapest equivalent unit costs $259.95 and there are other units that are up to $899 to $1,000 to do exactly what this unit does but they're not as quiet because this one has a silent mode which runs at 16 decibels.
[00:02:41.533 --> 00:02:46.636]  One thing that I encourage everybody to do is go and just look up online the toxicity of being inside all the time.
[00:02:46.876 --> 00:02:50.039]  In this current age, we're inside the vast majority of the time.
[00:02:50.279 --> 00:02:52.020]  Hardly do we ever get outside in the sun.
[00:02:52.040 --> 00:02:55.282]  We're usually out inside doing something in our office or at home.
[00:02:55.643 --> 00:02:56.744]  Great job, Alexa Pure.
[00:02:56.965 --> 00:03:00.110]  Infowarsstore.com, Infowarslife.com for all the nitroceuticals.
[00:03:02.412 --> 00:03:10.996]  More internal memos hacked from the DNC servers have been released and now this one's being called the Hillary Clinton dossier.
[00:03:11.316 --> 00:03:27.143]  This is a 42-page leaked DNC document titled Clinton Foundation Vulnerabilities Master Doc Final and it shows that the Clinton Foundation scandals are the major vulnerabilities for what the DNC has been preparing for.
[00:03:27.624 --> 00:03:29.124]  Now it totals over 22,000 words in length
[00:03:31.205 --> 00:03:38.467]  And it paints a portrait of a political party that's been besieged by media coverage of foreign Clinton Foundation donations.
[00:03:39.247 --> 00:03:43.308]  But I really think they overprepared, because as we've seen, that really hasn't happened.
[00:03:43.788 --> 00:03:50.909]  Now obviously some media outlets have reported on these things, but they haven't really done a lot of digging into exactly what was going on.
[00:03:51.270 --> 00:03:57.151]  But the DNC, as you can see, was really prepared for them to go after a lot of her scandals.
[00:03:57.751 --> 00:04:06.879]  Now these are politically toxic to the DNC as far as the Clinton Foundation's acceptance of foreign donations during her tenure as Secretary of State.
[00:04:08.020 --> 00:04:16.988]  The Clinton Foundation received donations from individuals tied to Saudi Arabia while she served as Secretary of State and indeed we reported on how there was a video that
[00:04:17.228 --> 00:04:18.469]  Briefly surfaced.
[00:04:18.529 --> 00:04:20.230]  It was immediately taken down.
[00:04:20.690 --> 00:04:28.954]  But it was a Saudi prince talking about how they had invested almost $25 million into Hillary Clinton's campaign, even though she's a woman.
[00:04:29.375 --> 00:04:31.156]  You know, look how liberal he is.
[00:04:31.576 --> 00:04:36.559]  He's helping to prop up our political leaders here, which of course is illegal.
[00:04:36.599 --> 00:04:38.360]  So that right there looks very bad on her.
[00:04:38.920 --> 00:04:43.983]  But you can see in all the sections titled Clinton Foundation, Individual Foreign Donors.
[00:04:44.463 --> 00:04:46.384]  These are headlines that
[00:04:46.904 --> 00:04:57.007]  People working for the DNC kind of made up themselves showing they were really concerned about these scandals and they internally knew that this was a big problem.
[00:04:57.367 --> 00:05:00.388]  Why can't the rest of America see that as well?
[00:05:00.448 --> 00:05:02.109]  People who are still with her.
[00:05:02.709 --> 00:05:12.612]  And also they go on to talk about the debacle that was the Clinton Foundation's handling of billions of dollars of taxpayer funds going to help rebuild Haiti.
[00:05:13.052 --> 00:05:13.392]  I don't know.
[00:05:29.087 --> 00:05:29.527]  I think so.
[00:05:49.001 --> 00:06:00.785]  Even though they have released documents showing the names of donors, how much they have given to the Clinton campaign, and a lot of other personal information, but they're going to deny and say everything is okay.
[00:06:01.285 --> 00:06:05.287]  Hillary Clinton came out today and attacked Donald Trump on the economy.
[00:06:05.687 --> 00:06:16.971]  She was basically saying that if you give Donald Trump, putting him behind the steering wheel of the American economy, he's going to likely drive it off a cliff, and working families would bear the brunt.
[00:06:18.431 --> 00:06:24.021]  Hopefully Donald Trump will respond with the obvious that that's exactly what the Democrats have already done.
[00:06:24.061 --> 00:06:25.804]  They've driven the economy over the cliff.
[00:06:26.725 --> 00:06:36.289]  And her husband actually signed NAFTA, so 5 million jobs were transferred to low-wage authoritarian hellholes in China and Asia.
[00:06:36.649 --> 00:06:43.371]  Democrats are, of course, pushing hard for the TPP, which is a central player in TPP is Vietnam.
[00:06:43.651 --> 00:06:49.994]  The average hourly rate there is $1.05 per hour, and so a lot of transnational corporations are just
[00:06:50.814 --> 00:07:03.743]  Chomping at the bit to get this passed so that they can ship even more jobs offshore, where they're going to be able to rake in higher profits because it's lower cost of labor and compliance costs.
[00:07:04.123 --> 00:07:07.905]  So we're going to be hearing that giant sucking sound once again.
[00:07:07.985 --> 00:07:13.289]  Hillary Clinton, who helped cobble together the TPP, she called it
[00:07:13.849 --> 00:07:14.930]  We're good to go.
[00:07:30.296 --> 00:07:39.583]  So of course, in true Trump fashion, he is going to come after her tomorrow, and he says he's got a new plan for the Crooked Hillary takedown.
[00:07:39.944 --> 00:07:44.707]  This is according to some declarations he's been making on social media.
[00:07:45.348 --> 00:07:53.054]  He's calling out Crooked Hillary's bad temperament, according to a new book that's set to be released by a former Secret Service agent who said he actually witnessed
[00:07:53.534 --> 00:07:56.655]  Hillary Clinton throwing a Bible to the back of someone's head.
[00:07:57.495 --> 00:08:01.536]  But Trump's making it really clear that no issue is going to be out of bounds for him.
