[00:00:17.463 --> 00:00:17.884]  17 seconds.
[00:00:30.701 --> 00:00:33.765]  I'm not gonna sit here and take it anymore!
[00:00:35.100 --> 00:00:36.862]  Welcome to the InfoWars Nightly News.
[00:00:36.943 --> 00:00:41.469]  I'm David Knight with Leanne McAdoo and Joe Biggs, and we have the rest of the crew here tonight.
[00:00:41.509 --> 00:00:49.599]  We've got Eric McBrain, we have Jakari Jackson, Richard Reeves is going to be live in Houston because tonight is the final debate.
[00:00:50.140 --> 00:00:54.644]  Before the Super Tuesday this coming five days, just five days away.
[00:00:55.044 --> 00:00:59.207]  We're going to have the biggest primary day so far.
[00:00:59.267 --> 00:01:05.412]  There's going to be 14 states that are going to have one or both parties holding an election this coming Tuesday in five days.
[00:01:05.453 --> 00:01:10.377]  So tonight is the debate between the five remaining candidates on the GOP side there in Houston.
[00:01:10.637 --> 00:01:12.078]  We'll be covering that live.
[00:01:12.198 --> 00:01:16.962]  This is going to be very interesting tonight because their backs are against the wall and their shirts are on fire.
[00:01:18.303 --> 00:01:18.723]  I agree.
[00:01:18.743 --> 00:01:21.145]  I think this is actually going to be a debate to watch.
[00:01:21.385 --> 00:01:30.792]  So they're clawing at each other's throats there to try and be that one person who could possibly be this second contender there to Trump.
[00:02:01.676 --> 00:02:03.037]  Clean, pure drinking water.
[00:02:03.337 --> 00:02:04.617]  You can't survive without it.
[00:02:04.818 --> 00:02:05.718]  But where do you get it?
[00:02:06.018 --> 00:02:11.781]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:02:12.001 --> 00:02:17.724]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:02:17.904 --> 00:02:34.769]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:35.169 --> 00:02:37.290]  Filter capacity up to 5000 gallons.
[00:02:37.650 --> 00:02:38.851]  Stainless steel construction.
[00:02:39.131 --> 00:02:39.891]  Easy assembly.
[00:02:40.151 --> 00:02:40.791]  Low maintenance.
[00:02:41.072 --> 00:02:42.892]  Replacement filters are simple to install.
[00:02:43.173 --> 00:02:50.276]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:02:50.456 --> 00:02:55.478]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:02:55.638 --> 00:02:58.219]  Go to infowarsstore.com or call 888-253-3139.
[00:03:04.019 --> 00:03:07.745]  And let's dispel once and for all this fiction that Barack Obama doesn't know what he's doing.
[00:03:07.765 --> 00:03:09.287]  He knows exactly what he's doing.
[00:03:09.327 --> 00:03:17.360]  We have to make America rich again, and make America great again.
[00:03:22.435 --> 00:03:29.519]  Welcome back to the InfoWars Nightly News, live coverage of the final GOP debate before Super Tuesday in just five days.
[00:03:29.619 --> 00:03:35.042]  As we were saying in the first segment, this is going to be a do-or-die situation.
[00:03:35.082 --> 00:03:45.388]  Last night in Manhattan, Marco Rubio's campaign manager got a lot of big donors in Manhattan together and tried to lay out that there is still a chance
[00:03:45.908 --> 00:03:46.008]  Wow.
[00:03:46.048 --> 00:03:46.228]  Wow.
[00:03:46.248 --> 00:03:46.308]  Wow.
[00:04:05.598 --> 00:04:07.699]  Taking off and left them in the dust.
[00:04:07.879 --> 00:04:15.581]  Really tonight is a debate between Cruz and Rubio to see who's really going to come out on top because we already know that America's pretty much spoken.
[00:04:15.601 --> 00:04:16.241]  They want Trump.
[00:04:16.301 --> 00:04:19.282]  People are showing up in record numbers, filling out coliseums.
[00:04:19.342 --> 00:04:21.742]  I mean, it's ridiculous.
[00:04:21.782 --> 00:04:23.003]  I mean, this is what it is for tonight.
[00:04:23.023 --> 00:04:34.746]  And it's going to be interesting to see after tonight or next week if Cruz or Kasich, or not Cruz, but Carson or Kasich finally just kind of give up and move on out and stop wasting money because obviously it's not working for them right now.
[00:04:34.966 --> 00:04:37.307]  Right, well they're just kind of wanting to take those extra votes.
[00:04:37.808 --> 00:04:45.252]  Well, you know, it's interesting to look at, and of course you can see this story at the top of Drudge, about 200 people, 200 donors get together in Manhattan and look at this.
[00:04:45.272 --> 00:04:51.295]  They're trying to make the case that, well, look, if some of these guys drop out, you're talking about who's going to be number two, I don't know that's going to help them.
[00:04:51.576 --> 00:04:55.498]  He's talking about, well, if Kasich and Carson drop out, okay, we've got a chance.
[00:04:55.538 --> 00:05:00.861]  But if you look at his home state, and Rubio's home state, Rubio, Kasich, and Carson, all three of them together.
[00:05:01.201 --> 00:05:02.762]  Don't total up what Trump has, okay?
[00:05:02.922 --> 00:05:11.848]  You take Rubio and Cruz, the other two top two challengers, those together don't equal Trump in Rubio's own home state.
[00:05:12.208 --> 00:05:13.749]  So he's got a big problem.
[00:05:13.789 --> 00:05:20.634]  And of course, Ted Cruz has got a big problem because he was counting on winning throughout the Southeast, getting evangelical votes.
[00:05:20.854 --> 00:05:21.775]  Those went to Trump.
[00:05:21.995 --> 00:05:22.255]  Yeah.
[00:05:22.355 --> 00:05:29.440]  And so that was going to be his game plan to win in the Southeast, to win in Texas, to get a big lead, to try to get out front and hold that.
[00:05:29.520 --> 00:05:30.981]  But it's not working out for either of them.
[00:05:31.081 --> 00:05:35.704]  No, and that's what they're all kind of saying, you know, you get out so that I can be the one to win.
[00:05:36.084 --> 00:05:38.866]  And they're all saying there's no way you're going to be able to beat Trump.
[00:05:38.906 --> 00:05:41.728]  There's no way you or you would be able to beat Clinton.
[00:05:42.349 --> 00:05:57.879]  So, well, you know, we're hoping they're going to talk about issues tonight, but you know, on most of the issues, there's, there's not that much difference between them, you know, until you look at things like the, uh, border issue, which, uh, there's a big difference between them, the big difference between them on trade treaties, that type of thing.
[00:05:58.942 --> 00:06:08.026]  I think it's going to boil down to a lot of personal attacks tonight, but I think that there's one thing that we need to play, and if you guys can get the clip up, I want to play this first.
[00:06:08.206 --> 00:06:10.847]  We've also got a clip from Houston.
[00:06:10.887 --> 00:06:19.311]  We've got Richard Reeves who is there with live coverage, and of course Richard Reeves is the one who gave Jeb Bush two big black eyes on 9-11.
[00:06:20.151 --> 00:06:20.551]  I think so.
[00:06:41.512 --> 00:07:02.121]  Yeah, and so this is UH where they're saying that this is one of the most diverse, second most diverse campus in the nation, and the Republican frontrunners who will be given a stage at the school have said very discriminatory things against our students, so they were basically saying we are going to be there in full force tonight too.
[00:07:02.261 --> 00:07:03.242]  No, they're going to be on the outside.
[00:07:03.262 --> 00:07:04.283]  They're not going to be on the inside.
[00:07:04.663 --> 00:07:07.185]  Only six people in the audience are going to be students.
[00:07:07.606 --> 00:07:11.509]  They're tightly holding these tickets for the establishment.
[00:07:11.529 --> 00:07:13.611]  And that brings us to our next clip that I want to play.
[00:07:14.012 --> 00:07:19.336]  I want to pull up this clip from Reince Priebus, who is the RNC chair.
[00:07:19.797 --> 00:07:23.180]  It was an amazing admission, and I want you to look at this carefully.
[00:07:23.200 --> 00:07:25.222]  We're going to have a lot to say about this in the coming days.
[00:07:25.822 --> 00:07:34.488]  He's talking to CNN's Allison Camerota and she asked him the question, is it time for the GOP to embrace Trump as the frontrunner?
[00:07:34.948 --> 00:07:37.009]  And I want you to hear how he responds.
[00:07:38.890 --> 00:07:39.571]  Let's run that clip.
[00:07:40.572 --> 00:07:41.452]  Maybe they don't have that clip.
[00:07:41.632 --> 00:07:42.993]  Okay, they're going to get that clip.
[00:07:43.453 --> 00:07:50.758]  I want you to see how he responds because what it shows is what an elitist establishment perspective this is.
[00:07:50.778 --> 00:07:51.479]  Let's play that clip.
[00:07:54.134 --> 00:08:00.702]  You ask the question in a way that I think is a little bit... These folks are competing to join us.
[00:08:00.722 --> 00:08:02.504]  I mean, that's what's happening, right?
[00:08:02.524 --> 00:08:06.008]  So they're competing to join the Republican Party.
[00:08:06.028 --> 00:08:06.970]  They're competing to join us.
[00:08:06.990 --> 00:08:10.153]  Depending on what the delegates decide to do on the wheels.
[00:08:11.214 --> 00:08:11.694]  Well, sort of.
[00:08:11.734 --> 00:08:12.715]  I mean, but they're competing.
[00:08:12.735 --> 00:08:12.995]  Well, sort of.
[00:08:13.015 --> 00:08:14.195]  I mean, but they're competing.
[00:08:40.834 --> 00:08:56.039]  I mean, this is... Understand the process that's going on here because Reince Priebus, chair of the RNC, is trying to explain to you that you may think that this is an election for president, but what these people are doing is competing to join them, as he puts it.
[00:08:56.079 --> 00:08:56.279]  Join us.
[00:08:56.299 --> 00:08:59.460]  And Trump has made it clear he doesn't want to be beholden to the establishment.
[00:08:59.500 --> 00:09:06.922]  Meanwhile, these other guys are going out and their commercials coming out are saying, you want someone who's going to be against the establishment?
[00:09:07.022 --> 00:09:08.002]  Go for Rubio.
[00:09:08.022 --> 00:09:09.403]  Come to the dark side.
[00:09:10.083 --> 00:09:10.483]  Exactly.
[00:09:10.523 --> 00:09:11.504]  Come to the dark side.
[00:09:11.524 --> 00:09:12.245]  What are they doing?
[00:09:12.565 --> 00:09:13.806]  Are they pledging a fraternity?
[00:09:14.827 --> 00:09:17.689]  Are the debates really kind of a hazing process?
