[00:00:22.239 --> 00:00:25.670]  Resistance to tyrants is obedience to God.
[00:00:26.353 --> 00:00:28.259]  It's Alex Jones.
[00:00:29.650 --> 00:00:36.735]  Day before Memorial Day, where a lot of Americans are out grilling hamburgers and hot dogs and spending time with their families.
[00:00:37.676 --> 00:00:58.452]  But on this Sunday broadcast, on the eve of Memorial Day, I want to spend some time discussing the history of Memorial Day versus Veterans Day and some of the popular misconceptions out there concerning the United States and our 240 year history from my perspective and my point of view.
[00:00:58.993 --> 00:00:59.293]  Because
[00:01:00.414 --> 00:01:05.917]  What I want to break down here isn't about defending Infowars.com or Alex Jones and my ideas.
[00:01:06.738 --> 00:01:12.922]  It is about clarifying where I stand on very complex, delicate issues.
[00:01:13.722 --> 00:01:21.528]  But I see some comments on Infowars, and I think these are important comments, where people are saying, you know, you claim America is this big evil empire.
[00:01:22.188 --> 00:01:34.275]  And you claim that our military has done all these horrible things, but then you say we should honor our veterans, especially on days like Memorial Day, that marks the dead in this nation's history.
[00:01:35.156 --> 00:01:38.798]  The number in the millions in different wars and conflicts.
[00:01:40.919 --> 00:01:44.982]  Now for me, it's very, very simple, but I can see how folks get confused by this.
[00:01:46.374 --> 00:01:48.875]  I love the American idea of our republic.
[00:01:49.715 --> 00:01:55.596]  I am in love with the founding of this nation and the incredible, epic things that took place.
[00:01:56.616 --> 00:02:00.037]  And I believe in the free market Americana idea.
[00:02:00.717 --> 00:02:08.359]  I am an admirer of American culture and of our past and much of the things that are happening in our present.
[00:02:08.739 --> 00:02:11.580]  We have been an exceptional nation, hands down.
[00:02:13.220 --> 00:02:17.261]  And so today I want to spend a little bit of time discussing some of the exceptional things we've done.
[00:02:17.281 --> 00:02:21.623]  And I'm not going off notes here, I'm just going off my heart and off my mind and off my memory.
[00:02:22.563 --> 00:02:36.108]  And then perhaps once we post this audio-slash-television show, The Info Wars, after we're live today, other folks can then add their comments about what they think makes America so great, and how do we rediscover that greatness and bring it back.
[00:02:37.208 --> 00:02:48.538]  So I'm going to talk about the American spirit today, and I think that's embodied to a great extent by our veterans, especially those that are fallen and their ultimate sacrifice.
[00:02:49.359 --> 00:02:55.984]  You can also say that America is illustrated by its inventiveness and by its exploration.
[00:02:56.865 --> 00:03:04.211]  And yes, the American spirit is also known to not be one that bends to the will of the corrupt or the powerful.
[00:03:05.072 --> 00:03:18.281]  And it's that essential spirit captured in the Declaration of Independence, 1776, July 4th, that is so antithetical to the globalist, technocratic, New World Order, top-down system of tyranny.
[00:03:18.841 --> 00:03:33.291]  So America never truly lived up to its great dreams and its great visions, but just the attempts to do it made this republic the apple of the world's eye and a model that others have tried to follow for over 200 years.
[00:03:35.972 --> 00:03:38.393]  The planet instantly was in love with America.
[00:03:38.914 --> 00:03:44.096]  The planet instantly wanted to come to the New World, especially after the Republic was established.
[00:03:44.216 --> 00:03:46.116]  And we have been exceptional.
[00:03:46.857 --> 00:03:52.679]  The globalists have been attacking everything that has made us rugged individuals, everything that has made us exceptional.
[00:03:53.499 --> 00:03:56.543]  And quite frankly, I want to see 1776 worldwide.
[00:03:56.984 --> 00:04:06.896]  And that doesn't mean American power or hegemony worldwide, but American soft power and what truly made this republic great, the true core values
[00:04:08.198 --> 00:04:15.162]  That are universal and are in humanity and that only one example of which was this republic.
[00:04:15.843 --> 00:04:16.844]  So that's what it comes down to.
[00:04:16.924 --> 00:04:26.410]  Not exporting our ideas, but actually exercising those true systems in a 21st century renaissance, a new enlightenment.
[00:04:27.290 --> 00:04:37.377]  To where you don't have to conquer people, they want to adopt and also adapt those ideas and those systems that made us great because they work so well.
[00:04:38.097 --> 00:04:43.781]  That's why under Agenda 21 and Cloward and Pivot and the Globalist Project, they must defeat America.
[00:04:44.101 --> 00:04:46.483]  They must use us to build their world government.
[00:04:46.723 --> 00:04:51.326]  They must use the Republic to carry out their dirty work and have our name on their system.
[00:04:51.786 --> 00:04:57.210]  So that first global government will fall and then the new world government will come in on its ashes.
[00:04:57.711 --> 00:05:02.976]  And on the ashes of this republic and I'm here to try to resist that I'm Alex Jones stay with us We'll be right back
[00:05:10.692 --> 00:05:13.634]  A clean, toxic-free body is the foundation of true health.
[00:05:13.934 --> 00:05:23.520]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:05:23.820 --> 00:05:29.003]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:05:29.123 --> 00:05:37.948]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:05:38.228 --> 00:05:46.797]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:05:47.058 --> 00:05:53.965]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:05:54.105 --> 00:05:59.451]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best.
[00:05:59.671 --> 00:06:05.235]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:06:05.355 --> 00:06:08.438]  That's InfoWarsLife.com or call 888-253-3139.
[00:06:16.724 --> 00:06:22.248]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:06:22.749 --> 00:06:25.291]  You're listening to the Alex Jones Show!
[00:06:27.338 --> 00:06:32.482]  Thank you for joining us on this May 29, 2016 Sunday edition.
[00:06:32.983 --> 00:06:34.844]  It is the eve of Memorial Day.
[00:06:35.565 --> 00:06:40.790]  And I wish to defend Memorial Day, Veterans Day, and the American flag today.
[00:06:41.750 --> 00:06:44.253]  Because these symbols of Americana
[00:06:45.350 --> 00:07:00.553]  have been seized, have been captured by the globalists, and have been used to sell tyranny and oppression worldwide, while at the same time preparing our republic for its eventual, total, and complete collapse.
[00:07:01.313 --> 00:07:06.114]  This is the essence of the globalist project, and I want to expose it right now.
[00:07:06.874 --> 00:07:10.395]  Now, coming up, at the bottom of the hour,
[00:07:11.314 --> 00:07:17.256]  We're going to air an interview that I conducted Friday night with Tim Kennedy.
[00:07:18.316 --> 00:07:22.417]  Tim Kennedy is better known as being one of the top UFC middleweight fighters in the world.
[00:07:23.837 --> 00:07:28.739]  He's also known for being drug clean when most of the other fighters keep getting caught on steroids.
[00:07:30.039 --> 00:07:32.540]  But I don't really admire him because of the UFC.
[00:07:34.600 --> 00:07:44.647]  I admire him because I happen to know a lot of people that are retired and current special forces in the SEALs, but particularly in the Army, also some Marines.
[00:07:45.347 --> 00:07:56.855]  And they, across the board, say that Tim Kennedy is one of the most honorable, constitutionalist people that they've ever met, and that he's also, hands down,
[00:07:58.397 --> 00:08:02.780]  One of the most dangerous, committed, versatile soldiers they've ever seen.
[00:08:04.081 --> 00:08:05.742]  He's basically the Army's Chris Kyle.
[00:08:06.342 --> 00:08:08.244]  But the Army doesn't allow legends to grow.
[00:08:08.624 --> 00:08:09.645]  They're the quiet professionals.
[00:08:10.365 --> 00:08:18.431]  And he actually worked with Chris Kyle, interfacing with him on a lot of the Army slash Navy missions.
[00:08:19.955 --> 00:08:25.281]  And I have been through other folks to know some of the work that he does.
[00:08:25.321 --> 00:08:29.446]  Let's just say it's the highest level of the army in the most elite joint forces units.
[00:08:30.387 --> 00:08:38.577]  And that's why when he's privately, not told me anything classified, but privately, you know, giving me intel that's important that Dove tells my own research.
[00:08:38.917 --> 00:08:40.098]  I pay attention to it, but on
[00:08:41.485 --> 00:08:46.647]  The Friday radio show, he said, look, there are ISIS cells here in America, confirmed.
[00:08:47.588 --> 00:08:51.590]  And they are looking at basically the DNC and RNC.
[00:08:52.590 --> 00:08:54.911]  And ISIS has said they're doing that in the news.
[00:08:55.271 --> 00:08:56.472]  So that's how he's able to talk about it.
[00:08:58.133 --> 00:09:06.356]  But he basically pointed out that, yes, the globalist contingent in our government is allowing these people in so that when they attack, they can do just what they've done in Europe.
[00:09:06.376 --> 00:09:07.497]  They can take our liberties away.
[00:09:08.345 --> 00:09:15.967]  Doesn't make sense, but logic is being exterminated right now in this country and worldwide.
[00:09:16.067 --> 00:09:18.728]  Coming up at the bottom of the hour, it's just a nine minute interview.
[00:09:18.768 --> 00:09:20.109]  It's very condensed, very focused.
[00:09:20.129 --> 00:09:24.130]  We're going to premiere that here on the radio coming up.
[00:09:24.750 --> 00:09:26.931]  Also, there's an extremely viral video.
[00:09:28.189 --> 00:09:35.912]  That I shot a few days ago dealing with the fact that Donald Trump has the globalist absolutely just scared to death and why?
[00:09:36.693 --> 00:09:39.874]  And it's because he's mainlining the understanding that there is a shadow government.
[00:09:40.254 --> 00:09:45.556]  There is a global government being formed and it's anti-prosperity, anti-human.
[00:09:45.596 --> 00:09:47.917]  This is only a seven minute interview.
[00:09:47.937 --> 00:09:50.798]  So we're going to come back in the next segment and I'm going to play it.
[00:09:51.258 --> 00:09:52.439]  But here it is short and sweet.
[00:09:53.914 --> 00:10:04.963]  America never realized all of its dreams, but the dreams of our Republic are the greatest expression of the Renaissance, the New Enlightenment.
[00:10:06.044 --> 00:10:08.445]  And that came out of Christians
[00:10:09.827 --> 00:10:17.332]  To boil it down, that wanted to have an open, free society where you could still have any religion you wanted and not have a state-run religion.
[00:10:18.233 --> 00:10:22.776]  And who wanted to build a new civilization truly based on brotherly love and free association.
[00:10:23.817 --> 00:10:25.578]  And that's what caused the Renaissance.
[00:10:25.598 --> 00:10:32.083]  The United States was a project of the Renaissance and a project of the real Illuminati.
[00:10:32.523 --> 00:10:39.488]  Not the false 1776 Jesuit clone they created at Ingolstadt University.
[00:10:39.508 --> 00:10:45.072]  And I'm not even saying it was a Jesuit conspiracy, but it was a Jesuit priest who then launched the French Revolution later.
[00:10:45.112 --> 00:10:48.975]  That's why they launched it the same year, right after ours had already kicked off in 1775.
[00:10:51.257 --> 00:10:54.559]  Our Declaration of Independence started almost a year later on July 4th.
[00:10:55.640 --> 00:10:58.923]  And it is that Declaration of Independence that is the heart of Americana.
[00:10:59.915 --> 00:11:09.506]  And that incredibly beautiful idea that just 10% of the implementation of it made us the freest, most prosperous nation on earth.
[00:11:11.187 --> 00:11:19.590]  And on Memorial Day, we remember the Americans, by the millions, who fought and who died and who believed in something.
[00:11:20.130 --> 00:11:23.131]  So yes, America's flag gets flown over corrupt things that happen.
[00:11:23.151 --> 00:11:23.711]  We've been captured.
[00:11:24.171 --> 00:11:25.712]  I want to take our flag and our republic back.
[00:11:26.472 --> 00:11:33.034]  Yes, our nation does a lot of bad things and exports a lot of cultural rot because we've been captured and taken over.
[00:11:34.522 --> 00:11:41.131]  The parasite that's in America and in Europe of evil and corruption isn't America, isn't Europe.
[00:11:41.611 --> 00:11:45.316]  But it wants to use us to build its world government again and then collapse us.
[00:11:45.436 --> 00:11:46.438]  And I know you know that.
[00:11:46.778 --> 00:11:47.559]  But we cannot allow
[00:11:48.806 --> 00:11:49.927]  This is cape-goating to happen.
[00:11:50.167 --> 00:11:54.670]  The America I love created more than 90% of the world's modern inventions.
[00:11:55.050 --> 00:11:59.353]  The America I love was known for trailblazing and not bowing to tyranny and going and freeing the oppressed.
[00:12:00.114 --> 00:12:02.496]  And trailblazing the end of slavery, along with England.
[00:12:02.656 --> 00:12:06.398]  Yes, it was England and the United States that trailblazed ending slavery to a certain extent.
[00:12:06.418 --> 00:12:08.960]  It's back in Africa now and some areas of Asia and the Middle East.
[00:12:09.401 --> 00:12:11.562]  So, that's the America I admire and love.
[00:12:11.622 --> 00:12:18.027]  It's the America that empowered women and the America that first got women the right to vote anywhere in the world.
[00:12:19.119 --> 00:12:20.240]  Same thing happened in England and Europe.
[00:12:20.660 --> 00:12:28.204]  It's the countries that came up with the scientific exploration, and just almost every cutting-edge system you can imagine, America is the leader.
[00:12:29.604 --> 00:12:34.767]  And when we went to war, we were the most feared, because we defeated empires that no one else had ever stopped.
[00:12:35.620 --> 00:12:36.441]  Like the British.
[00:12:37.421 --> 00:12:39.483]  So that's why I love this Republic.
[00:12:39.523 --> 00:12:42.385]  I could talk for hours, I could talk for days, I could talk for weeks.
[00:12:42.685 --> 00:12:45.787]  I know you can think about all the great things this exceptional nation did.
[00:12:46.388 --> 00:12:49.730]  But when Putin says you're no longer exceptional, it's true.
[00:12:49.810 --> 00:12:56.875]  We are exceptional at corruption, exceptional at evil, exceptional at letting the IRS persecute patriots and veterans and Christian groups.
[00:12:57.175 --> 00:13:00.597]  We've become exceptionally fat, culturally and physically.
[00:13:00.857 --> 00:13:03.579]  We've become exceptionally lazy, on average.
[00:13:05.000 --> 00:13:17.244]  But just because America has been hijacked and taken over doesn't mean then we hate the Republic and just get rid of it and accept whatever the latest globalist fad is because it's globalism that brought us to this low position.
[00:13:17.824 --> 00:13:23.605]  And I know you, the key InfoWars audience, literally the key people awake worldwide understand that.
[00:13:24.005 --> 00:13:25.646]  But we have to get that message out to others.
[00:13:26.738 --> 00:13:27.519]  Here's what it comes down to.
[00:13:27.980 --> 00:13:33.166]  I see comments on InfoWars.com where Joe Biggs was at the Vietnam Memorial last night after it got defaced.
[00:13:33.186 --> 00:13:34.007]  He went to report on it.
[00:13:34.848 --> 00:13:36.550]  He's there with our camera folks.
[00:13:37.912 --> 00:13:40.995]  He's going to be part of the big rally coming up tomorrow, so be sure and support him.
[00:13:41.015 --> 00:13:44.600]  The details are at InfoWars.com and on my Twitter and on his Twitter.
[00:13:46.622 --> 00:13:49.103]  They're like, what are you doing out there supporting the Vietnam War?
[00:13:49.343 --> 00:13:51.823]  What are you doing supporting all the bloodthirsty, baby-killing veterans?
[00:13:52.183 --> 00:13:54.684]  You know, what are you doing out there, you know, you scum?
[00:13:54.704 --> 00:13:57.125]  And this guy gets in Big's face, and he gets back in that guy's face.
[00:13:58.285 --> 00:14:01.526]  Our country's been better than the others promoting freedom and liberty.
[00:14:01.946 --> 00:14:06.007]  Our ideas are the best, our playbook's the best, even if we never implemented it that much.
[00:14:06.707 --> 00:14:07.287]  Do you understand?
[00:14:07.567 --> 00:14:11.309]  So I support the people that fought and died because they believed they were fighting for this country.
[00:14:12.030 --> 00:14:13.170]  At least they went out and did something.
[00:14:13.190 --> 00:14:14.311]  At least they stood up for something.
[00:14:14.591 --> 00:14:16.292]  And many of them were conscripted under the draft.
[00:14:17.284 --> 00:14:17.364]  It's
[00:14:38.168 --> 00:14:39.129]  We're good to go.
[00:14:58.869 --> 00:15:08.211]  If I gotta choose sides, I'm gonna choose the military, and I'm gonna choose the police, and I'm gonna choose what's left of America, because I'm here to tell you the globalists are trying to throw this country over.
[00:15:08.551 --> 00:15:22.074]  That's why they show the bad cops, that's why they show the bad troops, that's why they promote it and push it, not to reform it, but to absolutely make us hate the military, and hate the police, and hate our local governments, because they know that's all that's left of America.
[00:15:22.094 --> 00:15:28.455]  And let me tell you, it isn't perfect, and it's fallen apart, but it's still got basic ideas enshrined in it
[00:15:28.835 --> 00:15:32.597]  that scare these globalists to their very core level.
[00:15:33.137 --> 00:15:36.519]  And they want to strangle and extinguish the fire of liberty in this republic.
[00:15:36.779 --> 00:15:38.040]  They want to shut down the press.
[00:15:38.440 --> 00:15:39.941]  They want to shut down our inventiveness.
[00:15:39.961 --> 00:15:41.262]  They want to shut down our industry.
[00:15:41.442 --> 00:15:48.426]  They want to shut down our families and attack our fathers and our mothers and our daughters and our sons and abort our children.
[00:15:48.466 --> 00:15:57.131]  These globalists hate our guts and they've stolen the republic and they've used this great engine to take over the world while debilitating us and getting ready to destroy us.
[00:15:57.831 --> 00:15:58.933]  We're going to come back from break.
[00:15:59.493 --> 00:16:04.639]  I'm going to speak a few more minutes about why I support Memorial Day and why I choose America and this republic.
[00:16:04.820 --> 00:16:06.301]  And then we're going to go to this other special report.
[00:16:06.342 --> 00:16:07.523]  And I think UGR is coming in.
[00:16:07.743 --> 00:16:08.104]  Stay with us.
