[00:00:20.202 --> 00:00:22.143]  Welcome to the Info Wars Nightly News.
[00:00:22.183 --> 00:00:26.024]  It is Tuesday, May 24th, 2016, and I'm Leanne McAdoo.
[00:00:26.324 --> 00:00:27.285]  Here's what's coming up tonight.
[00:00:30.566 --> 00:00:41.290]  Tonight, welcome to Faceception, a new software program that can reveal your secrets by simply analyzing your face.
[00:00:42.284 --> 00:00:49.606]  And they've already signed a contract with Homeland Security to identify pedophiles and terrorists.
[00:00:50.486 --> 00:00:56.088]  Meanwhile, an NBC News report is promoting the microchipping of children.
[00:00:56.508 --> 00:01:01.749]  They say it will happen sooner or later, so you might as well get with the program.
[00:01:02.290 --> 00:01:07.251]  You're putting a battery in your kid, you're putting a chip in your kid, and we're stuck.
[00:01:08.010 --> 00:01:13.073]  And Bill Cosby will finally stand trial on sexual assault charges.
[00:01:13.873 --> 00:01:15.614]  So what about Bill and Hillary Clinton?
[00:01:15.654 --> 00:01:20.317]  Bill rapes them physically and then Hillary rapes them psychologically.
[00:01:20.437 --> 00:01:24.119]  All that plus much more up next on the InfoWars Nightly News.
[00:02:10.433 --> 00:02:16.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:02:17.115 --> 00:02:18.575]  I believe our research is conclusive.
[00:02:18.615 --> 00:02:19.976]  This is the best iodine out there.
[00:02:20.256 --> 00:02:21.376]  And I know this for a fact.
[00:02:21.916 --> 00:02:26.697]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:02:26.817 --> 00:02:30.558]  For a limited time, experience the ancient power of Survival Shield X2.
[00:02:31.299 --> 00:02:32.759]  I believe our research is conclusive.
[00:02:32.799 --> 00:02:34.139]  This is the best iodine out there.
[00:02:34.179 --> 00:02:36.300]  Take advantage of this at InfoWarsLife.com.
[00:03:02.281 --> 00:03:10.585]  Well Hawaii wants to become the first state to register gun owners into a federal database and of course they expect other states to follow.
[00:03:10.885 --> 00:03:20.769]  Now this is under a bill proposed by Senator Will Espero and he says that Hawaii would enter gun owners into an FBI database and it'd be available to local police.
[00:03:21.229 --> 00:03:29.212]  Now the FBI already has a similar database, but it's only, they say, for people in positions in trust, like school teachers and other public officials.
[00:03:29.592 --> 00:03:33.633]  But Hawaii would be the first to enter gun owners into a database.
[00:03:34.214 --> 00:03:37.915]  And of course, people there are rightly concerned, saying that
[00:03:38.175 --> 00:03:43.400]  This is basically saying Big Brother is going to be watching us and they'll know right where the guns are so they can go and grab them.
[00:03:44.040 --> 00:03:46.462]  And they're not unfounded with these fears.
[00:03:46.502 --> 00:03:53.328]  Of course, New York had a similar registry in place that was, of course, used by the police to confiscate firearms.
[00:03:53.388 --> 00:04:01.295]  It was the Safe Act of 2013 and the NYPD sent out notices to registered gun owners demanding they give up their guns.
[00:04:01.996 --> 00:04:05.299]  It ordered them, those who possess firearms, to either
[00:04:06.019 --> 00:04:10.722]  Surrender them, remove them from the city limits, or otherwise render them inoperable.
[00:04:10.862 --> 00:04:15.104]  And of course, the only people that complied were non-criminals.
[00:04:15.925 --> 00:04:22.689]  Because the criminals, of course, did not listen to these orders of rendering their handguns and things like that inoperable.
[00:04:22.709 --> 00:04:28.572]  And of course, as we've seen, them actually killing police officers in that state, as well as many other crimes.
[00:04:28.892 --> 00:04:31.534]  So again, this is a big thing of confiscating
[00:04:32.014 --> 00:04:35.996]  Firearms from law-abiding citizens, just like what happened in Venezuela.
[00:04:36.356 --> 00:04:45.101]  Now, coming up later in the show, I'm going to be talking with David Knight about some very scary similarities between what's happening in Venezuela and some things we're seeing here in the United States.
[00:04:45.541 --> 00:04:47.302]  But only four years ago,
[00:04:47.822 --> 00:04:50.284]  Venezuela banned guns for private citizens.
[00:04:50.324 --> 00:04:53.146]  They said that the only people that should have them are military and police.
[00:04:53.566 --> 00:04:55.448]  And now we see what's going on in that country.
[00:04:55.488 --> 00:04:56.669]  So this is only four years ago.
[00:04:56.709 --> 00:05:01.672]  They were already experiencing food rations and energy rations, things like that back then.
[00:05:01.852 --> 00:05:07.937]  So you think the government didn't really see the writing on the wall, didn't know what was going to be happening there, that the collapse was imminent.
[00:05:08.317 --> 00:05:13.921]  And so, of course, they've put forth these gun confiscation plans, a gun ban for private citizens.
[00:05:14.362 --> 00:05:15.723]  So we'll be talking about that coming up.
