[00:00:20.145 --> 00:00:20.985]  Good evening, everyone.
[00:00:21.045 --> 00:00:22.986]  Welcome to the Infowars Nightly News.
[00:00:23.106 --> 00:00:24.047]  I'm Darren McBreen.
[00:00:24.127 --> 00:00:25.407]  It is Friday, April 8, 2016.
[00:00:27.428 --> 00:00:28.869]  Here's a quick look at what's coming up.
[00:00:32.510 --> 00:00:41.634]  Tonight, even though NBC scrapped a story about Bill Clinton's rape accuser, people know the issue is not infidelity, but rape and sexual assault.
[00:00:42.418 --> 00:00:44.002]  I was a Democrat.
[00:00:44.102 --> 00:00:46.728]  I became a Republican because of this.
[00:00:46.768 --> 00:00:50.056]  The hypocrisy of so-called women that fight for women.
[00:00:50.768 --> 00:00:56.390]  Hillary lashes out at a woman who questions Hillary's support of sexual misconduct against women.
[00:00:56.410 --> 00:00:58.530]  Well, I'm going to call on people.
[00:00:59.151 --> 00:01:00.031]  Wait a minute.
[00:01:00.711 --> 00:01:03.852]  I'm not going to take your question because other people have been... Yes.
[00:01:04.172 --> 00:01:12.255]  And we talked to a student organizer in support of Trump who felt the burn of censorship and intimidation from social justice warriors.
[00:01:12.435 --> 00:01:16.716]  And there were violent Antifa members who tried... One of them tried to assault my friend.
[00:01:17.725 --> 00:01:20.814]  All that and more on tonight's InfoWars Nightly News.
[00:02:10.433 --> 00:02:16.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:02:17.115 --> 00:02:18.575]  I believe our research is conclusive.
[00:02:18.615 --> 00:02:19.976]  This is the best iodine out there.
[00:02:20.256 --> 00:02:21.376]  And I know this for a fact.
[00:02:21.916 --> 00:02:26.697]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:02:26.817 --> 00:02:30.558]  For a limited time, experience the ancient power of Survival Shield X2.
[00:02:31.299 --> 00:02:32.759]  I believe our research is conclusive.
[00:02:32.799 --> 00:02:34.139]  This is the best iodine out there.
[00:02:34.179 --> 00:02:36.300]  Take advantage of this at InfoWarsLife.com.
[00:03:12.227 --> 00:03:21.696]  Imagine for a moment that Donald Trump and Hillary Clinton become the presidential nominees for the 2016 election.
[00:03:22.116 --> 00:03:32.225]  And Americans all across the country are getting ready to finally watch the much-anticipated debate between Trump and Hillary.
[00:03:32.845 --> 00:03:36.507]  No doubt there would be a captive audience nationwide.
[00:03:36.527 --> 00:03:38.829]  I mean, the ratings would be phenomenal.
[00:03:39.229 --> 00:03:42.551]  And it would promise to be a true blue spectacle.
[00:03:42.991 --> 00:03:47.354]  A debate like no other ever before seen in American politics.
[00:03:48.054 --> 00:03:48.635]  But guess what?
[00:03:49.375 --> 00:03:50.256]  It's not going to happen.
[00:03:50.416 --> 00:03:51.678]  And I'm going to tell you why.
[00:03:52.138 --> 00:04:03.091]  First of all, Hillary supporters, they say that she's ready and she's not afraid to get in the ring with anybody because by now, well, they say, you know, she's seen it all.
[00:04:03.231 --> 00:04:06.335]  Hillary Clinton's been tried and tested against
[00:04:06.975 --> 00:04:18.122]  All the attacks that can be thrown at her so she's ready to take on anyone, especially Donald Trump in a nationwide presidential debate on live TV.
[00:04:18.402 --> 00:04:25.026]  And they have no doubt in their minds that Hillary would dominate Trump anywhere, anytime.
[00:04:25.566 --> 00:04:39.375]  Well, at least that's what they'd like you to believe, but in reality, a Trump-Hillary matchup would be a total disaster, not only for Hillary Clinton, but for the entire establishment.
[00:04:39.575 --> 00:04:43.457]  And that's why I don't think we will ever see a debate between them.
[00:04:43.997 --> 00:04:50.201]  I hope I'm wrong, but I just don't think the global elite and the private banking cartels are going to let it happen.
[00:04:50.461 --> 00:04:51.142]  And here's why.
[00:04:51.622 --> 00:04:52.423]  Donald Trump
[00:04:53.143 --> 00:04:56.586]  Will expose her for the fraud that she is.
[00:04:57.047 --> 00:05:05.435]  And he will also reveal to the nation that apparently her husband, former President Bill Clinton, is a serial rapist.
[00:05:05.956 --> 00:05:16.386]  And Hillary, as his wife, the former First Lady and Secretary of State, has worked behind the scenes to silence the victims.
