[00:00:20.390 --> 00:00:21.913]  Welcome to InfoWars Nightly News.
[00:00:22.153 --> 00:00:22.794]  I'm David Knight.
[00:00:22.834 --> 00:00:23.816]  It's Monday, November 14th, 2016.
[00:00:23.856 --> 00:00:24.857]  Here are our top stories.
[00:00:31.627 --> 00:00:36.510]  Liberal America is still shell-shocked over the Donald Trump presidency.
[00:00:36.750 --> 00:00:41.653]  And they take their triggered emotions to the streets in nationwide protest.
[00:00:43.434 --> 00:00:44.234]  How is he racist?
[00:00:44.574 --> 00:00:44.914]  How?
[00:00:45.014 --> 00:00:45.275]  Yeah.
[00:00:52.137 --> 00:00:58.679]  Meanwhile, Barack Obama remains silent and does nothing to stop the Great Divide.
[00:00:59.039 --> 00:01:08.762]  Then, President-elect Donald Trump talks to Vladimir Putin as the two world superpowers now look forward to a peaceful and enduring relationship.
[00:01:09.123 --> 00:01:13.204]  Plus, say goodbye to Barack Obama's executive orders.
[00:01:13.584 --> 00:01:19.915]  Our new president promises to repeal nearly every single one of them starting day one.
[00:01:20.076 --> 00:01:24.103]  All that plus much more up next on the InfoWars Nightly News.
[00:01:30.405 --> 00:01:36.090]  I want to see 10 million viewers tune in over the 50-plus hours, and that's where you come in.
[00:01:36.550 --> 00:01:38.271]  You are the heart and blood of the InfoWar.
[00:01:38.592 --> 00:01:49.860]  If you spread the link to InfoWars.com forward slash show and point out that this is the alternative new media, this is the rebellion, then all of you are riding right beside us, not behind us.
[00:01:50.241 --> 00:01:55.805]  So spread the word by Paul Reveres, no matter where you live in the world, to Information Warfare Arms.
[00:01:56.125 --> 00:01:59.188]  The globalists are coming, and they will be met on the field.
[00:02:07.728 --> 00:02:10.452]  There is an information warfare happening right now.
[00:02:11.333 --> 00:02:12.795]  It's a fight for our minds.
[00:02:13.455 --> 00:02:15.378]  And InfoWars.com is on the front lines.
[00:02:15.718 --> 00:02:19.924]  Download our free multimedia app at InfoWars.com forward slash app.
[00:02:20.044 --> 00:02:23.408]  It's free, it's on Droid, it's on Apple, you name it.
[00:02:23.489 --> 00:02:25.091]  InfoWars.com forward slash app.
[00:02:25.311 --> 00:02:25.832]  Take action!
[00:03:02.270 --> 00:03:09.515]  Well, it's been nearly a week after the election and the establishment, the left, the Democrats, still can't come to grips with reality.
[00:03:09.995 --> 00:03:14.398]  As The Hill points out, shell-shocked Democrats mull a path forward.
[00:03:15.079 --> 00:03:17.781]  Really, the Democrats are in total disarray.
[00:03:17.821 --> 00:03:18.921]  This is what you need to understand.
[00:03:19.442 --> 00:03:23.384]  There are new alliances and new paradigms that are going to be coming out of this election.
[00:03:23.925 --> 00:03:28.508]  As they point out, the Democrats failed to pick up much in terms of congressional races.
[00:03:28.548 --> 00:03:31.070]  They said they got about a half dozen seats, but they were hoping
[00:03:31.810 --> 00:03:34.493]  Uh, without reason, to get double-digit gains.
[00:03:34.513 --> 00:03:37.035]  They said the results led to plenty of finger-pointing.
[00:03:37.476 --> 00:03:44.022]  As to why the party's message failed to resonate more broadly, particularly with working-class white voters who propelled Donald Trump into the White House.
[00:03:44.042 --> 00:03:52.530]  Do you think it might have had something to do with the fact that both Barack Obama and Hillary Clinton were saying to people, like in the coal industry, we're going to bankrupt you?
[00:03:52.990 --> 00:03:56.252]  We're going to take away coal mining jobs.
[00:03:56.552 --> 00:03:58.473]  I mean, that's the arrogance of these people.
[00:03:58.954 --> 00:04:08.279]  To think that you're going to come into this place, that you're going to take people's freedom, you're going to take their dignity by shutting down their jobs, by exporting their jobs, by importing workers.
[00:04:08.419 --> 00:04:09.780]  That is the essence of this.
[00:04:09.840 --> 00:04:15.243]  It was the Democrats who said, after all, it was James Carville, the advisor to Bill Clinton, that said, it's the economy, stupid.
[00:04:15.783 --> 00:04:24.028]  And it was stupid of them not to realize that it was the economy that they have been working very hard at shutting down for the last eight years in everybody's face.
[00:04:24.068 --> 00:04:34.294]  They pointed out, as one analyst said, a Democrat from New Jersey, we fail to understand that white men, basically labor people, working people, have to be a part of our universe.
[00:04:34.814 --> 00:04:37.356]  See, that's the racism of the Democrat Party.
[00:04:37.796 --> 00:04:40.618]  And I think it's interesting that they would say white men are working people.
[00:04:40.658 --> 00:04:44.000]  Look, there are working people of every race and color.
[00:04:44.460 --> 00:04:53.608]  There's working people who are black, who are Hispanic, they were also voting for Donald Trump because they looked at what the Democrats have done and they said, things are not getting better for us, they're getting worse.
[00:04:53.868 --> 00:05:07.501]  Even the Hispanic people who have come in, who have become American citizens, who wanted to be a part of this system, who came in and did this legally, they don't want to see the borders being overrun by drug cartels, by terrorists, by cheap labor that is coming in at an unrestricted rate.
[00:05:08.041 --> 00:05:14.583]  They said they have to be a part of our universe, and we, if we don't make them part of our universe, we're going to continue to have a difficult time.
[00:05:15.484 --> 00:05:15.984]  Exactly.
[00:05:16.004 --> 00:05:19.905]  See, as the article goes on to say, the Democrats have long stressed diversity.
[00:05:19.985 --> 00:05:20.125]  No.
[00:05:20.766 --> 00:05:24.086]  What they've been stressing is division.
[00:05:24.106 --> 00:05:26.887]  You have to understand that it really is division.
[00:05:27.808 --> 00:05:29.428]  It's something that wins elections for them.
[00:05:29.888 --> 00:05:31.529]  But it doesn't solve any problems.
[00:05:31.569 --> 00:05:33.969]  It doesn't solve our problems to divide people.
[00:05:34.529 --> 00:05:39.191]  We need to go back and reclaim the dream that Martin Luther King put out there.
[00:05:39.211 --> 00:05:43.152]  And I think this is the dream of white people who voted for Obama, who gave him a chance.
[00:05:43.752 --> 00:05:47.394]  And as we saw in many areas, North Carolina where I live there, he won in 2008.
[00:05:48.074 --> 00:05:54.537]  And yet people looked at that, it didn't take them long to understand this guy was nothing but a token placeholder.
[00:05:54.617 --> 00:05:58.018]  He was not about governing, he was not about solving problems.
[00:05:58.598 --> 00:06:09.523]  And so we have to stop judging people by the color of their skin, or by their gender, or by any of these other divisions that the Democrats put out there, and start judging them by the content of their character.
[00:06:10.283 --> 00:06:14.845]  And Obama, as Michael Smith points out, did nothing to restrain things.
[00:06:14.885 --> 00:06:19.747]  They say the liberals gave us Trump because they didn't really address the underlying problems that Americans have.
[00:06:19.807 --> 00:06:25.069]  This is attorney Michael Smith talking to RT's Chris Hedges in an article from RT.
[00:06:25.349 --> 00:06:26.049]  That's precisely it.
[00:06:26.089 --> 00:06:28.830]  They say the attack on the free trade agreements were key, he said.
[00:06:29.310 --> 00:06:30.391]  The states that he won.
[00:06:30.991 --> 00:06:41.004]  Which had gone over to Obama twice, the Rust Belt, he said, where I come from, Michigan, Wisconsin, Pennsylvania, they all voted for him based on his demagoguery about how he was going to bring jobs back.
[00:06:41.024 --> 00:06:41.445]  Well, you know what?
[00:06:41.525 --> 00:06:42.686]  It's not demagoguery.
[00:06:43.207 --> 00:06:45.770]  If you do the kind of tax cuts that he's talking about,
[00:06:46.391 --> 00:06:54.575]  If you give working people, who are making up to $30,000 a year, zero taxes that they have to pay, that is a huge difference in their life.
[00:06:54.615 --> 00:07:00.198]  That's thousands of dollars each year, a difference in a Donald Trump presidency versus a Hillary Clinton presidency.
[00:07:00.538 --> 00:07:02.579]  That's something people should be celebrating about.
[00:07:02.639 --> 00:07:08.022]  And it's a small minority of people who are rioting in the streets who don't want people to understand that.
[00:07:08.641 --> 00:07:11.862]  Also today we saw Trump and Putin talking on the phone.
[00:07:12.402 --> 00:07:16.143]  The Hill points out Trump talks to Putin, looks forward to an enduring relationship.
[00:07:16.863 --> 00:07:22.144]  I wonder if they quoted the Rodney King saying, can't we all just get along?
[00:07:22.684 --> 00:07:25.965]  Why do we have to have this division, this anger, this fighting?
[00:07:26.125 --> 00:07:28.405]  You know, let's just try to de-escalate things.
[00:07:28.445 --> 00:07:31.526]  It was called detente once upon a time and we celebrated that.
[00:07:32.026 --> 00:07:43.909]  The de-escalation of tensions between the Russians and the West, and yet now it's supposed to be a virtue for Hillary Clinton and Obama to restart, to reset the Russian relationship, which is really a reset of the Cold War.
