[00:00:15.359 --> 00:00:23.066]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:00:31.554 --> 00:00:37.259]  Ladies and gentlemen, thank you for joining us on this live Sunday worldwide broadcast, the 17th day of April, 2016.
[00:00:37.779 --> 00:00:40.021]  We'll be here for the next two hours.
[00:00:41.283 --> 00:00:44.346]  The entire 9-11 fraud is beginning to unravel.
[00:00:44.766 --> 00:00:45.567]  The 28 pages.
[00:00:45.607 --> 00:00:49.350]  You heard us talk about it 16 years ago, or 15 years ago.
[00:00:49.830 --> 00:00:51.491]  The congressional report, the year after.
[00:00:52.052 --> 00:00:54.954]  You've heard us talk about it in the last 15 years ad nauseum.
[00:00:55.835 --> 00:01:00.318]  And everything that we basically laid out has now been proven correct yet again.
[00:01:00.699 --> 00:01:09.486]  And Saudi Arabia is holding the United States hostage, threatening us if we try to bring the information out and if it's declassified.
[00:01:09.746 --> 00:01:10.286]  But first,
[00:01:11.218 --> 00:01:14.293]  A threat not of man, but of Mother Earth.
[00:01:21.590 --> 00:01:34.614]  44,000 plus people have evacuated the Japanese town of Mashiki on the southern portion of the Land of the Rising Sun following a 7.4 magnitude earthquake that has killed at least nine and injured 858.
[00:01:34.874 --> 00:01:41.456]  If you have been paying attention, you may have noticed the frequency of earthquakes being reported in 2016 has been unyielding.
[00:01:43.777 --> 00:01:47.800]  Recently, a magnitude 6.5 earthquake hit Vanuatu.
[00:01:48.140 --> 00:01:51.783]  A magnitude 5.9 earthquake hit the southern Philippines.
[00:01:52.143 --> 00:01:55.366]  A magnitude 6.9 earthquake rocked Myanmar.
[00:01:55.586 --> 00:02:01.050]  And on April 10th, a 6.6 magnitude quake hit Kabul with aftershocks in India.
[00:02:01.230 --> 00:02:05.534]  On April 8th, there was a magnitude 4.2 earthquake in Nepal.
[00:02:05.854 --> 00:02:08.996]  Nepal was also hit earlier with a large 5.5 magnitude
[00:02:09.957 --> 00:02:10.237]  We're good.
[00:02:27.265 --> 00:02:34.612]  Michael Snyder of End of the American Dream writes, Why is the crust of the Earth shaking so violently all of a sudden?
[00:02:34.992 --> 00:02:47.583]  Seismologist Wilhelm of the University of Colorado has made headlines all over the world by warning that current conditions might trigger at least four earthquakes greater than 8.0 in magnitude.
[00:02:48.083 --> 00:02:50.005]  If his projections are accurate,
[00:02:50.285 --> 00:02:58.630]  Our planet could be on the precipice of a wave of natural disasters unlike anything that any of us have ever experienced before.
