[00:00:06.568 --> 00:00:07.403]  Sounded real when Chevy.
[00:00:29.324 --> 00:00:44.918]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[00:00:46.240 --> 00:00:48.362]  You're listening to Alex Jones.
[00:01:08.456 --> 00:01:22.890]  Ahmed Khan Rahami, born in Afghanistan, was a Black Lives Matter supporter, hated the police, had filed reports that the police had not been nice to him.
[00:01:22.910 --> 00:01:26.153]  He is now in custody after a reported shootout.
[00:01:27.459 --> 00:01:32.142]  NBC News New York is reporting, we do not have details, but he supposedly is in custody.
[00:01:32.162 --> 00:01:33.983]  We don't know what condition.
[00:01:34.483 --> 00:01:39.226]  And we're going to put up on screen for TV viewers, the little angel, the little angel.
[00:01:39.506 --> 00:01:48.171]  This had nothing to do with Islam, nothing to do with Muslims, nothing to do with ISIS, even though ISIS took credit Saturday, right after it happened.
[00:01:49.311 --> 00:01:53.814]  And of course the stabbing of nine people in rural Minnesota.
[00:01:54.704 --> 00:01:57.866]  Well, a man screamed Allah Akbar and asked, are you Muslim?
[00:01:58.026 --> 00:01:58.286]  No.
[00:01:59.527 --> 00:02:01.348]  That had nothing to do with Islam.
[00:02:02.128 --> 00:02:07.632]  And Hillary Clinton came out and lectured everyone on Sunday that this is not Islam.
[00:02:08.312 --> 00:02:09.253]  This is not a bombing.
[00:02:10.239 --> 00:02:13.580]  In fact, she says, yes, I was made aware of both bombings in New York and New Jersey.
[00:02:13.960 --> 00:02:21.603]  And then the CNN script, I guess, from her bosses came out and they said, ma'am, what about his, you know, compulsiveness, Trump saying it was a bombing?
[00:02:22.044 --> 00:02:23.044]  She said, it's terrible.
[00:02:23.604 --> 00:02:25.305]  This is the type of horrible things he does.
[00:02:26.750 --> 00:02:31.573]  In the same minute, 30 seconds, we have the unedited clip coming up.
[00:02:31.673 --> 00:02:32.734]  This is incredible.
[00:02:33.034 --> 00:02:34.935]  We covered this yesterday on the Sunday Show.
[00:02:35.696 --> 00:02:42.620]  Trump was on Fox News this morning pointing it out, how disgusting and despicable and sickening these people are.
[00:02:42.941 --> 00:02:45.702]  I mean, this is an occupied globalist force.
[00:02:46.623 --> 00:02:52.447]  And if you ever thought that I was kidding around when I broke down the emails of George Soros that WikiLeaks and others have released,
[00:02:53.226 --> 00:02:57.207]  Along with DC Leaks, where he openly said, we want to destroy Europe and get rid of Europeans.
[00:02:58.347 --> 00:03:03.508]  We now have a TV ad from Germany, saying how great it is to wear the hajib for German women.
[00:03:05.629 --> 00:03:06.369]  But it gets worse.
[00:03:06.589 --> 00:03:10.430]  We now have Swedish TV coming up, produced by the government.
[00:03:11.730 --> 00:03:16.351]  So is the German ad, by the UN, where it says, Sweden is over.
[00:03:16.631 --> 00:03:17.451]  It's got subtitles.
[00:03:17.471 --> 00:03:18.171]  This is the end.
[00:03:18.971 --> 00:03:22.012]  And then a woman in a hajib looks up and says, get used to it.
[00:03:23.092 --> 00:03:25.193]  Quote, let me give you the exact quote.
[00:03:26.654 --> 00:03:27.955]  This is the new country.
[00:03:29.195 --> 00:03:31.036]  Sweden is old, you are gone.
[00:03:31.376 --> 00:03:32.517]  We are the future.
[00:03:33.077 --> 00:03:38.640]  This from the Swedish government officially.
[00:03:39.081 --> 00:03:42.022]  This is an official battle plan.
[00:03:45.164 --> 00:03:45.684]  It's happening.
[00:03:47.045 --> 00:03:48.706]  Now you have to understand, ladies and gentlemen,
[00:03:49.724 --> 00:03:55.127]  That they're bringing in the most radical Muslims because they're incompatible even in their own countries.
[00:03:55.727 --> 00:03:56.448]  The Wahhabist.
[00:03:57.869 --> 00:04:03.112]  And they're now selling women wearing full burqas as a woman's right when these women are prisoners.
[00:04:03.792 --> 00:04:13.017]  So you've got that whole issue and you've got the mainstream media falling on its sword in delusion committing suicide in front of everyone politically.
[00:04:15.139 --> 00:04:15.499]  Saying
[00:04:16.923 --> 00:04:21.664]  That Donald Trump is wrong to come out and say there's been bombings when it was a bombing.
[00:04:21.964 --> 00:04:24.245]  Being decisive is now being compulsive.
[00:04:24.585 --> 00:04:27.786]  Then Hillary comes out, says it's a bomb, they say, no ma'am, you don't say that.
[00:04:28.346 --> 00:04:31.267]  Trump says it, oh, you're right, he's bad for saying it's a bomb.
[00:04:31.527 --> 00:04:41.029]  In the same sentence, then CNN and others edit the video in the same minute and a half to have her criticizing him for saying bomb.
[00:04:41.469 --> 00:04:43.530]  This is actually incredible comedy.
[00:04:44.190 --> 00:04:48.451]  This is the most hilarious... I mean, this is very funny, if it wasn't so serious.
[00:04:49.471 --> 00:04:50.612]  These people are crazy.
[00:04:51.392 --> 00:05:03.855]  This is them, of course, fresh off of telling you Hillary isn't falling down, Hillary doesn't have epilepsy, Alex Jones is a big fat liar, Matt Drudge is a big fat liar, and then a week later, she collapses in front of everybody, and the media tries to cover that up too?
[00:05:05.327 --> 00:05:07.209]  Talk show host is Alex Jones.
[00:05:07.269 --> 00:05:09.151]  He's a conspiracy theorist.
[00:05:09.231 --> 00:05:11.934]  Radio talk show host Alex Jones.
[00:05:12.155 --> 00:05:12.975]  Alex Jones.
[00:05:13.076 --> 00:05:15.819]  Jones is the wildly popular conspiracy theorist.
[00:05:15.879 --> 00:05:19.082]  Radio talk show host and conspiracy theorist Alex Jones.
[00:05:19.122 --> 00:05:20.424]  Deeply I think racist.
[00:05:20.544 --> 00:05:22.386]  I just got called racist by MSNBC.
[00:05:22.486 --> 00:05:24.228]  I don't want that man to have a gun.
[00:05:25.489 --> 00:05:28.373]  1776 will commence again if you try to take our firearms!
[00:05:28.413 --> 00:05:29.554]  The Alex Jones Show.
[00:05:29.614 --> 00:05:34.920]  Watch the free stream live at InfoWars.com forward slash show.
[00:05:35.361 --> 00:05:38.505]  In the last 20 years, InfoWars has paid its dues.
[00:05:39.065 --> 00:05:43.290]  We have proven that we are a cutting-edge news and information source.
[00:05:43.971 --> 00:05:44.151]  I think?
[00:06:00.137 --> 00:06:00.817]  We're good to go.
[00:06:17.546 --> 00:06:25.292]  This is essential because the globalists are on record targeting our endocrine system, targeting our hormones to suppress us.
[00:06:25.693 --> 00:06:29.055]  But Mother Nature is there to counter this onslaught.
[00:06:29.476 --> 00:06:37.502]  Everyone out there watching and listening to me owes it to themselves to give Mother Nature a try and to try super male or super female vitality.
[00:06:37.722 --> 00:06:40.525]  We're making it easier than ever today with a special.
[00:06:40.705 --> 00:06:41.966]  We're running for two weeks only.
[00:06:42.646 --> 00:06:48.150]  20% off on these formulas at InfoWarsLife.com or simply call toll free.
[00:06:48.170 --> 00:06:49.310]  We can answer all your questions.
[00:06:49.330 --> 00:06:51.191]  888-253-3139.
[00:06:52.572 --> 00:07:01.478]  Major third party sites give these formulas the highest rating in their class because we've done the research and we haven't cut corners.
[00:07:02.238 --> 00:07:09.542]  20% off these formulas right now at InfoWarsLive.com or call toll free 888-253-3139.
[00:07:10.082 --> 00:07:11.543]  You have nothing to lose.
[00:07:12.143 --> 00:07:13.524]  I know these formulas work.
[00:07:13.784 --> 00:07:14.544]  They've worked for me.
[00:07:14.845 --> 00:07:19.307]  But regardless, you're supporting the InfoWar in a historic, critical time.
[00:07:19.907 --> 00:07:26.477]  I also want to take some time out to thank all of you that have supported InfoWarsStore.com and who have gotten these products.
[00:07:26.658 --> 00:07:32.988]  So for myself and the rest of the InfoWars crew, I salute you for being on the side of life in the fight against the globalists.
[00:07:35.011 --> 00:07:44.617]  Now we are introducing a new t-shirt, which I think folks need to get, telling the real truth about Bill Clinton, who is a serial rapist and a user of women.
[00:07:44.717 --> 00:07:48.540]  In another case, it's about groping and fondling and touching against a woman's will.
[00:07:48.680 --> 00:07:49.000]  And rape.
[00:07:49.220 --> 00:07:49.581]  And rape.
[00:07:49.661 --> 00:07:53.824]  Bill rapes them physically, and then Hillary rapes them psychologically.
[00:07:53.884 --> 00:07:54.524]  He's a rapist.
[00:07:55.084 --> 00:07:55.525]  Absolutely.
[00:07:55.545 --> 00:07:56.866]  He's a public figure, he goes straight to hell.
[00:07:56.946 --> 00:08:02.009]  Get your Bill Clinton rape shirt today at InfoWarsTore.com or call 1-888-253-3139.
[00:08:21.241 --> 00:08:25.184]  If you are receiving this transmission, you are the resistance.
[00:08:26.345 --> 00:08:31.048]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:39.628 --> 00:08:42.250]  Ladies and gentlemen, it is the 19th day of September, 2016.
[00:08:42.550 --> 00:08:45.132]  I'm your host, Alex Jones.
[00:08:45.713 --> 00:09:03.967]  We have seen coordinated jihadi terror attacks where we have Islamic State of Al-Qaeda claiming responsibility for the attacks, the stabbings as the lunatic Somali, 100,000 brought in just in the last decade, mainly to Minnesota, screamed Allah Akbar.
[00:09:04.007 --> 00:09:05.368]  He would ask, are you a Muslim?
[00:09:05.388 --> 00:09:06.108]  They would say no.
[00:09:06.649 --> 00:09:07.650]  Allah Akbar!
[00:09:08.150 --> 00:09:08.911]  And attack.
[00:09:09.631 --> 00:09:12.153]  Just like they do in Kenya and everywhere else in the shopping mall.
[00:09:12.834 --> 00:09:14.516]  Are you a Muslim to your five-year-old kid?
[00:09:14.656 --> 00:09:14.916]  No.
[00:09:15.276 --> 00:09:15.677]  Boom!
[00:09:15.697 --> 00:09:16.578]  Blow your brains out.
[00:09:16.858 --> 00:09:17.639]  Come up to your wife.
[00:09:17.819 --> 00:09:18.560]  Are you a Muslim?
[00:09:18.600 --> 00:09:18.820]  No.
[00:09:19.220 --> 00:09:19.601]  Boom!
[00:09:19.641 --> 00:09:20.581]  Shoots you right in the chest.
[00:09:20.922 --> 00:09:21.703]  Come right up to daddy.
[00:09:21.943 --> 00:09:22.724]  Get him on the ground.
[00:09:23.724 --> 00:09:25.006]  Are you a Muslim?
[00:09:25.166 --> 00:09:25.466]  No.
[00:09:25.786 --> 00:09:29.230]  Then they start cutting your head off real loving and real sweet.
[00:09:30.070 --> 00:09:34.435]  And you got Obama's family on record quarterbacking operations in Kenya.
[00:09:35.529 --> 00:09:52.830]  Quarterbacking money by the hundreds of millions to Egypt to overthrow that country, and CNN and Anderson Cooper, four years ago, celebrating it, saying freedom was coming to Egypt, overthrowing our secular allies that had stabilized the country for 35 years.
[00:09:54.915 --> 00:09:56.677]  Betraying our allies.
[00:09:57.898 --> 00:09:59.399]  Again, I'm just giving you some background here.
[00:09:59.899 --> 00:10:13.311]  So you've got the Jihad attack, which they wouldn't call a Jihad attack, just like the weekly Jihad attacks in London, or the other Allah Akbar stabbings in Canada, or Germany that are happening every few days in Belgium, in Sweden, in Germany.
[00:10:14.732 --> 00:10:20.477]  German women are so mind-controlled that even when members of the Parliament, the Bundestag,
[00:10:21.400 --> 00:10:30.946]  And the Reichstag, on record, when members of their Congress are raped, they come out and tell the German police, blonde-haired Germans raped me.
[00:10:32.707 --> 00:10:35.689]  And when they get caught, they say, I did it to protect the Muslims.
[00:10:35.969 --> 00:10:37.130]  That is on record.
[00:10:37.470 --> 00:10:40.452]  National TV in Germany airs U.N.
[00:10:40.612 --> 00:10:45.836]  ads showing women wearing hijabs that are German.
[00:10:46.832 --> 00:10:49.554]  Saying how cool it is, and how you should try it too.
[00:10:50.575 --> 00:10:52.397]  And now, we have a new video coming up.
[00:10:52.437 --> 00:10:55.900]  If you're a radio listener, you must go to Infowars.com to see this article.
[00:10:56.300 --> 00:10:57.381]  There's no turning back.
[00:10:57.441 --> 00:10:58.041]  That's a quote.
[00:10:58.362 --> 00:11:02.145]  Swedish TV ad says Swedes must accept multiculturalism.
[00:11:02.465 --> 00:11:04.867]  It shows old Swedes and basically says you're the past.
[00:11:05.848 --> 00:11:07.909]  And then, you've got the subtitles.
[00:11:11.452 --> 00:11:14.455]  A Muslim woman looks up and says, something new, the new country.
[00:11:15.876 --> 00:11:18.599]  No turning back a woman in a hijab.
[00:11:19.360 --> 00:11:34.578]  And we have George Soros' own emails running the UN, running the Obama administration, running the Hillary operation, saying we're bringing these people in to break down the culture and make the Western free culture adapt to it and submit to it.
[00:11:35.424 --> 00:11:57.254]  Because we're so inclusive, we must bring in something uninclusive to make our people submit to this, then the Muslims will be the client of the government, and will be put in as mayors and police chiefs, as they've been done all over Europe, disproportionately, and just like London has their Islamist mayor coming to the US and lecturing us, and he's in New York today.
[00:11:59.135 --> 00:12:00.776]  He's in New York today.
[00:12:01.857 --> 00:12:05.719]  Now, think of the total and complete absolute mind control.
[00:12:06.320 --> 00:12:08.081]  That you have a bombing in New Jersey.
[00:12:08.501 --> 00:12:12.343]  A bombing that injures 29 people right there in New York.
[00:12:12.764 --> 00:12:17.326]  Trying to target the route of a fundraiser for wounded veterans in the Marine Corps.
[00:12:18.707 --> 00:12:19.968]  Think about how evil they are.
[00:12:20.068 --> 00:12:21.529]  And the media comes out Saturday.
[00:12:23.670 --> 00:12:29.554]  And they come out and they say, even though there are already videos of the now captured suspect,
[00:12:30.666 --> 00:12:33.227]  Sitting there hauling up the bomb.
[00:12:36.768 --> 00:12:38.448]  And they tell you it's not terror.
[00:12:38.568 --> 00:12:42.930]  And Donald Trump getting on a plane says, well, I hear some bombs have gone off.
[00:12:45.050 --> 00:12:46.051]  This country's in a lot of trouble.
[00:12:46.071 --> 00:12:47.111]  We'll be investigating it.
[00:12:47.231 --> 00:12:58.694]  And the media comes out and attacks him despite the fact that Hillary Rodham Clinton openly came out the same day and said the word bombing.
[00:12:58.875 --> 00:13:00.095]  But one minute later,
[00:13:01.590 --> 00:13:06.233]  CNN says, isn't Donald Trump wrong for calling this a bombing too early?
[00:13:06.333 --> 00:13:07.613]  And she says, yes, he's wrong.
[00:13:08.374 --> 00:13:10.155]  Full video on InfoWars.com.
[00:13:10.195 --> 00:13:12.296]  We're going to play those clips coming up.
[00:13:12.336 --> 00:13:24.823]  But this shows the abject cult level, fascist level, totalitarian level of the media where they are in lockstep trying to deceive the American people.
[00:13:24.863 --> 00:13:25.624]  Here's the good news.
[00:13:26.889 --> 00:13:36.413]  When they come out and say that Obamacare is free and the IRS isn't going to fine you, and then of course it isn't free, it increases prices and you get fined, the American people wake up and remember.
[00:13:36.933 --> 00:13:49.279]  When they come out and tell you Hillary has no health problems, never falls down, Alex Jones is totally insane, making up out of whole cloth, claiming that she falls down, and claiming she has epilepsy and brain problems.
[00:13:50.339 --> 00:13:52.921]  And then all these medical doctors come out and say, clearly she does.
[00:13:53.402 --> 00:14:07.454]  And then she falls down in front of everybody, four days after CNN, CBS, MSNBC, you name it, all in a coordinated attack, attacked yours truly, Breitbart and Drudge Report.
[00:14:10.780 --> 00:14:16.502]  And attacking the Trump sons and others saying that we were basically completely insane.
[00:14:17.383 --> 00:14:20.304]  But there was no health problems whatsoever.
[00:14:22.244 --> 00:14:24.445]  They are falling apart in front of everyone.
[00:14:26.106 --> 00:14:29.047]  Ahmed Khan... How do you pronounce his last name?
[00:14:29.347 --> 00:14:32.028]  R-A-H-A-M-I?
[00:14:32.088 --> 00:14:32.628]  Rahami?
[00:14:33.148 --> 00:14:37.210]  Ahmed Khan Rahami has been captured.
[00:14:37.250 --> 00:14:39.871]  We don't have the details yet in a supposed shootout.
[00:14:41.476 --> 00:14:46.899]  But remember, Hillary said it's not terror and it's not a bombing.
[00:14:49.161 --> 00:14:51.522]  New York, New Jersey bombing suspect wounded.
[00:14:52.143 --> 00:14:53.444]  Arrested after shootout.
[00:14:53.524 --> 00:14:54.444]  Two officers hit.
[00:14:54.504 --> 00:14:56.125]  This is coming out as we speak.
[00:14:56.726 --> 00:14:57.446]  That's CNN.
[00:14:57.486 --> 00:14:58.066]  More developments.
[00:14:58.327 --> 00:15:00.848]  Just 10 minutes ago, we just knew that he'd been captured in a shootout.
[00:15:01.329 --> 00:15:02.229]  I made the obvious point.
[00:15:02.809 --> 00:15:05.931]  We said call precipitous like Trump did to say, I wonder if he's been wounded.
[00:15:06.272 --> 00:15:07.112]  Oh, he has been wounded.
[00:15:07.392 --> 00:15:09.494]  You know, for Trump to say, hey, bombs have gone off.
[00:15:10.034 --> 00:15:11.015]  Looks like it's bombs.
[00:15:11.055 --> 00:15:11.896]  We're learning more.
[00:15:12.256 --> 00:15:20.484]  Yeah, when a marathon gets bombed and another bomb goes off in New Jersey same day, it was pretty safe for Trump to say, looks like we've had some bombs.
[00:15:20.584 --> 00:15:21.285]  We're not sure.
[00:15:21.345 --> 00:15:22.165]  We're looking into it.
[00:15:23.206 --> 00:15:25.248]  They don't like Trump being out ahead of her two hours.
[00:15:25.529 --> 00:15:27.791]  Two hours later, she goes, yes, I've heard of the bombs going off.
[00:15:28.371 --> 00:15:30.433]  They go, ma'am, we're saying it's bad that he said that.
[00:15:30.553 --> 00:15:31.574]  Oh, he's very horrible.
[00:15:31.594 --> 00:15:31.774]  Yes.
[00:15:32.095 --> 00:15:32.855]  But wait, wait, wait.
[00:15:33.729 --> 00:15:46.096]  Now they're having to admit that there's been a terror attack, and that there's probably more, because there's a cell, reportedly, and five jihadists, alleged jihadists, connected to this guy have been stopped going to the airport.
[00:15:48.078 --> 00:15:48.918]  Getting to the airport.
[00:15:49.718 --> 00:15:56.823]  So we've got all this unfolding right now, and so Hillary has come out, after the break I'm going to play the clip, and she's come out, and she said,
[00:15:58.095 --> 00:16:04.458]  Trump is a quote, sergeant of ISIS, and it's his fault that we were hit with terror attacks.
[00:16:04.498 --> 00:16:13.243]  So, it wasn't a terror attack, it wasn't a bomb, and it's Trump's fault for lying, but now it's a terror attack and Trump's behind it.
