[00:00:14.033 --> 00:00:16.294]  Wednesday, October 12, 2016.
[00:00:16.714 --> 00:00:18.916]  Danny Williams is in the green room.
[00:00:19.416 --> 00:00:20.276]  He's going to be live.
[00:00:20.696 --> 00:00:22.057]  The reported son of Bill Clinton.
[00:00:22.177 --> 00:00:24.218]  I believe he is the son of Bill Clinton.
[00:00:24.238 --> 00:00:25.519]  But first, a key report.
[00:00:25.539 --> 00:00:26.019]  Stay with us.
[00:00:26.680 --> 00:00:27.240]  Yeah, that's it.
[00:00:27.260 --> 00:00:27.740]  With the gold.
[00:00:27.760 --> 00:00:31.422]  I've got to use some kickbacks just in case I start kissing her.
[00:00:32.463 --> 00:00:34.444]  You know, I'm automatically attracted to beautiful women.
[00:00:34.464 --> 00:00:35.524]  I just start kissing them.
[00:00:35.624 --> 00:00:36.425]  It's like a magnet.
[00:00:38.946 --> 00:00:40.387]  And when you're a star, they let you do it.
[00:00:40.907 --> 00:00:41.607]  You can do anything.
[00:00:41.647 --> 00:00:42.147]  Whatever you want.
[00:00:44.901 --> 00:00:45.701]  I can do anything.
[00:00:46.422 --> 00:01:05.650]  This latest controversy marks a divide when those who are aware of the CIA-controlled media protecting the interests of the multinational corporate elite's pawn Hillary Clinton react in disgust, and the disgust from those who still think that reality is as it seems.
[00:01:06.050 --> 00:01:09.413]  Are we gonna hold that to Hillary Clinton, to the things when she apologized?
[00:01:09.433 --> 00:01:10.013]  Oh, wait a minute.
[00:01:10.354 --> 00:01:13.816]  She never really apologized for insulting this horrible guy.
[00:01:14.117 --> 00:01:19.381]  What did you do the day you saw the tape of this man boasting about grabbing a woman's d**k?
[00:01:19.401 --> 00:01:20.242]  Period.
[00:01:20.262 --> 00:01:21.683]  Will you please stop saying that word?
[00:01:21.723 --> 00:01:22.924]  My daughter is listening.
[00:01:23.204 --> 00:01:24.966]  You know what, Sotty?
[00:01:25.106 --> 00:01:30.890]  Don't tell me you're offended when I say d**k, but you're not offended when Donald Trump says it.
[00:01:30.990 --> 00:01:32.231]  I'm not running for president.
[00:01:32.271 --> 00:01:32.752]  He is.
[00:01:32.992 --> 00:01:40.561]  If only they could just open their eyes for a moment, they would actually see that totalitarianism is warping that accepted reality.
[00:01:40.801 --> 00:01:47.929]  George Orwell described totalitarianism as such, a society living by and for continuous warfare
[00:01:48.269 --> 00:02:09.752]  Hillary Clinton is just the latest villain from a long line of mind-controlling ne'er-do-wells that have ruled over the United States since it was inevitably infiltrated by the global elite's central bank scam in 1913.
[00:02:11.133 --> 00:02:15.017]  Systematically kept in line by methods of manufactured terror.
[00:02:15.417 --> 00:02:17.079]  Building 7 I often hear about.
[00:02:17.099 --> 00:02:18.280]  No plane hit building 7.
[00:02:18.620 --> 00:02:19.921]  Why did building 7 come down?
[00:02:20.742 --> 00:02:21.523]  What do you tell people?
[00:02:21.723 --> 00:02:22.384]  What is building 7?
[00:02:23.104 --> 00:02:23.385]  Building 7.
[00:02:24.205 --> 00:02:25.086]  I have no idea.
