[00:00:14.902 --> 00:00:16.103]  Isn't this Bing Crosby?
[00:00:17.524 --> 00:00:19.286]  Isn't he like a thought criminal or something now?
[00:00:19.326 --> 00:00:20.967]  They said white Christmas is racist.
[00:00:24.590 --> 00:00:26.091]  I thought it meant snow.
[00:00:26.111 --> 00:00:30.054]  You know, like your kids say, boy, I want to see snow.
[00:00:32.797 --> 00:00:35.399]  My younger daughter hasn't seen it since she was about four years old.
[00:00:35.439 --> 00:00:36.139]  She's eight now.
[00:00:37.060 --> 00:00:39.202]  She said, could we go to Colorado this year or somewhere?
[00:00:39.222 --> 00:00:40.043]  I hear there's snow there.
[00:00:41.004 --> 00:00:42.306]  And I said, honey, we're going to stay home.
[00:00:42.326 --> 00:00:43.787]  There's too much going on in the world right now.
[00:00:43.847 --> 00:00:46.490]  But maybe in February or something, there's still snow.
[00:00:46.530 --> 00:00:47.071]  We'll go there.
[00:00:47.792 --> 00:00:54.540]  She didn't know she was racist because she wanted to see all those billions of snowflakes that form that beautiful white.
[00:00:55.831 --> 00:00:59.333]  Snow on the ground has nothing to do with what color it is.
[00:00:59.413 --> 00:01:05.856]  It's not dreaming of white people, but they've so brainwashed the left and their minions that they think it's bad.
[00:01:06.336 --> 00:01:11.879]  You know, that was last year that colleges and places said that don't have Christmas parties and don't even say the word holiday.
[00:01:11.899 --> 00:01:13.040]  It's gotten worse this year.
[00:01:13.540 --> 00:01:15.861]  They're now saying, baby, it's cold outside.
[00:01:15.921 --> 00:01:16.962]  It's a song about rape.
[00:01:17.622 --> 00:01:18.983]  And so you can't have that.
[00:01:20.230 --> 00:01:24.537]  What it really is is a cult, as I talk about a lot, that wants to totally impose its will on you.
[00:01:25.117 --> 00:01:29.644]  And the answer to the cult is to openly exercise your rights and put it back in the bully's faces.
[00:01:30.751 --> 00:01:36.135]  I remember 15 years ago when I first started seeing concealed carry rallies in Austin, Texas, people wearing guns openly.
[00:01:36.655 --> 00:01:40.959]  I was so conditioned at first, even though I was pro-Second Amendment, that I was like, maybe that's too much, maybe it's dangerous.
[00:01:40.999 --> 00:01:44.681]  But no, I figured out, these people are geniuses, and I talked to them.
[00:01:45.002 --> 00:01:46.423]  You're out openly carrying.
[00:01:46.823 --> 00:01:49.385]  It's only concealed carry that's normally illegal, because it's concealed.
[00:01:49.865 --> 00:01:51.746]  That goes back to common law, wear your weapons openly.
[00:01:51.767 --> 00:01:55.970]  So you have to get a license to do something that would otherwise be illegal.
[00:01:56.610 --> 00:02:00.413]  And I'm all for concealed because it makes the criminals not know where the guns are and it doesn't freak out liberals.
[00:02:00.773 --> 00:02:07.898]  But why not really just openly wear the guns to exercise your right and say, look, you keep implying guns are illegal.
[00:02:08.758 --> 00:02:10.700]  You keep implying no one can have them.
[00:02:11.360 --> 00:02:23.869]  I mean, I remember until I was about a teenager, even growing up in Dallas, you'd see people driving around in their own trucks with a gun rack with a .30-06 or a .308 or a .223 or a shotgun, a Remington shotgun or a Winchester Defender.
[00:02:25.293 --> 00:02:25.854]  In their car.
[00:02:26.094 --> 00:02:29.877]  And then suddenly you didn't see that anymore by the 90s because the police would pull you over and harass you.
[00:02:30.117 --> 00:02:41.907]  That's a right you had in almost every state and county and city, but they were creating the illusion through Hollywood and all these made-for-TV movies and cop shows that are based in Chicago or other places where they pull you over and go, you got a gun, you're going to prison.
[00:02:42.659 --> 00:02:43.620]  I got you with a gun!
[00:02:43.660 --> 00:02:44.100]  Possession!
[00:02:44.740 --> 00:02:46.561]  That's only in a few cities like D.C., New York.
[00:02:47.102 --> 00:02:48.202]  You name it, they have that in place.
[00:02:48.262 --> 00:02:54.226]  But they create the perception of zero tolerance by a kid in his article at school.
[00:02:54.246 --> 00:02:57.368]  Wrote an article about hunting and talked about hunting dogs with a shotgun.
[00:02:57.408 --> 00:02:58.368]  He wrote the word shotgun.
[00:02:58.588 --> 00:02:59.429]  Expel Jimmy!
[00:03:01.110 --> 00:03:03.171]  They want to bully us into submission.
[00:03:03.471 --> 00:03:06.933]  And the answer to that bullying is to say, no, no, no.
[00:03:08.624 --> 00:03:10.405]  And to openly practice Christianity.
[00:03:10.425 --> 00:03:21.253]  You know, I remember growing up hearing hardcore Christians go, the Tenenbaum is really Germanic, and it's a winter solstice ritual, and the Deep of Winter, and it's occultic, so they wanted Christmas shut down because of that.
[00:03:21.313 --> 00:03:23.975]  Look, God doesn't care if we like pretty trees and lights.
[00:03:24.376 --> 00:03:24.836]  It's art.
[00:03:25.056 --> 00:03:26.377]  We're not trying to be satanic.
[00:03:26.858 --> 00:03:31.001]  To the super, you know, right-wing Christians, in my view, I mean, I'm not saying you're bad, just come on.
[00:03:31.881 --> 00:03:32.622]  God judges the heart.
[00:03:33.103 --> 00:03:42.232]  But on the other side, you've got the crazy leftists and the jihadists who want it banned because they want to dominate culture and run over people with trucks and 18-wheelers and the media covering it up.
[00:03:42.332 --> 00:03:44.874]  So, this is the insanity.
[00:03:45.435 --> 00:03:54.824]  The answer is to exercise our First Amendment, to exercise our right to eat non-GMO, to exercise our right to everything, free speech, you name it, or we will lose it.
