[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[00:00:14.146 --> 00:00:14.688]  It's May 31st, 2016.
[00:00:14.748 --> 00:00:15.551]  Here's John Bowne reporting.
[00:00:17.662 --> 00:00:24.924]  Welcome to the BS Club, hosted by the United Kingdom's New World Order-backed propaganda machine, The Guardian.
[00:00:25.204 --> 00:00:33.947]  Apparently, The Guardian didn't have any problem rolling out the following baseless drivel to its readers slash YouTube viewers.
[00:00:34.367 --> 00:00:36.488]  Of course, commenting on the U.S.
[00:00:36.648 --> 00:00:43.950]  presidential election whilst ignoring the massive problems in your own country is a sketchy undertaking to begin with.
[00:00:44.190 --> 00:01:01.360]  But when your publication is run by an elitist New World Order lackey like Dame Liz Forgan, the Dame being her high masonic title, allowing Forgan to rub elbows with royalty, media oligarchs, and the Lord Rothschild, you do as expected.
[00:01:01.600 --> 00:01:11.766]  Here is what The Telegraph had to say about Dame Liz in 2013 before she became the chair of Scott Trust Limited, the British company that owns the Guardian Media Group.
[00:01:12.006 --> 00:01:13.087]  The Telegraph writes,
[00:01:13.507 --> 00:01:16.670]  Why not spend 8,000 pounds on a leaving due?
[00:01:16.930 --> 00:01:18.792]  A party held when leaving a job.
[00:01:19.072 --> 00:01:22.175]  That's what Dame Liz and her cast are entitled to.
[00:01:22.435 --> 00:01:25.178]  That's what the little people are there to pay for.
[00:01:25.458 --> 00:01:36.609]  There could be no clearer demonstration of the contempt that Dame Liz, who exudes the haughty sense of self-worth and entitlement that typifies the arts establishment, has for the rest of us.
[00:01:36.929 --> 00:01:47.536]  That she chose a drinks party funded by the taxpayer to attack the government for cutting the arts budget, contempt, and a jaw-dropping lack of self-awareness.
[00:01:47.936 --> 00:02:06.729]  So, without further ado, here is the Guardian's Stephen Thrasher looking forward to the day when America's dying white majority is overthrown and a political revolution led by people of color ends the white supremacist system currently represented by Donald Trump's presidential campaign.
[00:02:07.009 --> 00:02:16.596]  When we had a clear symbol that the country is literally becoming more black, why shouldn't we have expected its successor to be the meanest, whitest, most vile bigot possible?
[00:02:16.796 --> 00:02:25.162]  And when protesters demanded that Black Lives Matter, why shouldn't we have anticipated the rise of a candidate who encourages violence against peaceful demonstrators?
[00:02:26.683 --> 00:02:28.985]  A President Trump would fit right into American history.
[00:02:30.754 --> 00:02:53.028]  Thrasher, you work for the so-called dying white majority, completely ignoring that Europe and now the United States are quietly being invaded by Sharia law zealots hell-bent on throwing people of Thrasher's persuasion off of rooftops.
[00:02:53.308 --> 00:02:59.752]  Not to be outdone in the threat-laced propaganda lecturing is Guardian columnist Jonathan Friedland.
[00:03:00.052 --> 00:03:01.253]  The world is watching.
[00:03:01.393 --> 00:03:02.854]  Then the world was inspired.
[00:03:03.334 --> 00:03:04.535]  Now we're scared.
[00:03:04.775 --> 00:03:07.517]  You won't rule out dropping a nuclear bomb on Europe.
[00:03:07.677 --> 00:03:10.479]  Islamophobia would be a matter of state policy.
[00:03:10.619 --> 00:03:15.462]  If you're Mexican, you'll know that the American president thinks you're basically a criminal or a rapist.
[00:03:16.102 --> 00:03:19.304]  There'll be a surge of what people will call anti-Americanism.
[00:03:19.824 --> 00:03:23.126]  People will mock the nation as dumb, vulgar, and aggressive.
[00:03:23.527 --> 00:03:27.689]  It'll be like it was in the George W. Bush years, only much, much worse.
[00:03:28.069 --> 00:03:35.594]  Friedland, your smug elitist arrogance and weak threats are just as bad as your flaccid declaration of anti-Americanism.
[00:03:35.854 --> 00:03:42.740]  Your sycophantic jabbering makes me wonder when you're due back in the City of London for your umpteenth microchipping.
[00:03:43.020 --> 00:03:49.285]  And here's yet another Guardian columnist, Gary Young, to lecture us on our democracy in crisis.
[00:03:49.706 --> 00:03:55.651]  Claiming Americans are blaming the refugees solely for the soft invasion of Europe and the United States.
[00:03:56.111 --> 00:04:00.655]  An invasion engineered by the very globalists signing Young's paychecks.
[00:04:01.115 --> 00:04:05.337]  His ascent is part of a rise in right-wing populism throughout the Western world.
[00:04:05.498 --> 00:04:07.979]  Most Western nations have their own Trump.
[00:04:08.499 --> 00:04:18.785]  A racist, xenophobic, Islamophobic demagogue, appealing to a mix of nationalist nostalgia, patriotic myth, class grievance, and economic insecurity.
[00:04:19.125 --> 00:04:22.007]  Now, liberal commentators describe him as a threat to democracy.
[00:04:22.688 --> 00:04:23.189]  Finance community, yes.
[00:04:42.932 --> 00:05:01.077]  Anytime Guardian columnists Stephen Thrasher, Jonathan Friedland, Gary Young, and Dame Forgan, for that matter, want to have a debate over their claims, myself and a few other Infowarriors would be happy to educate you on the glaring reality staring you squarely in the face.
[00:05:01.477 --> 00:05:04.438]  John Bowne for Infowars.com.
[00:05:04.678 --> 00:05:06.559]  That's right, the ultra-elite are doing this.
[00:05:06.619 --> 00:05:08.059]  These men are front men of them.
[00:05:09.511 --> 00:05:12.473]  A clean, toxic-free body is the foundation of true health.
[00:05:12.753 --> 00:05:22.360]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:05:22.641 --> 00:05:27.864]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:05:27.944 --> 00:05:36.771]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:05:37.051 --> 00:05:45.635]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:05:45.895 --> 00:05:52.799]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:05:52.939 --> 00:05:58.842]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:05:59.302 --> 00:06:04.025]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:06:04.185 --> 00:06:06.126]  That's InfoWarsLife.com or call 888-253-3139.
[00:06:09.447 --> 00:06:15.610]  ISIS reportedly uses hundreds of families as human shields to protect Fallujah, reports Fox News.
[00:06:15.910 --> 00:06:22.833]  Several hundred innocent families were trapped in the center of a bloody battle for the Islamic State's Iraqi hub of Fallujah.
[00:06:23.093 --> 00:06:31.677]  Used as human shields for the terror group, the United Nations Refugee Center warned on Tuesday as a leading aid group called it a human catastrophe.
[00:06:32.197 --> 00:06:37.258]  Over the weekend, the fighting left at least seven members of one family dead or wounded.
[00:06:37.558 --> 00:06:40.539]  An estimated 50,000 people remained trapped.
[00:06:40.839 --> 00:06:49.501]  A witness claimed ISIS fighters distributed some sweets for the kids for the first time, trying to get people on their side as they know their end is so close.
[00:06:49.881 --> 00:06:55.603]  The witness also told USA Today they are locking some families down inside the hospital building.
[00:06:55.823 --> 00:06:57.323]  They are making people freak out.
[00:06:57.643 --> 00:07:03.452]  Over the arrival of Iraqi forces by telling them the army and militia are coming to kill you all.
[00:07:03.773 --> 00:07:07.278]  You can find more reports on InfoWars.com
[00:07:09.625 --> 00:07:09.905]  U.S.
[00:07:09.985 --> 00:07:24.428]  Internet giants Facebook, Twitter, Google, and Microsoft pledged to tackle online hate speech in less than 24 hours as part of a joint commitment with the European Union to combat the use of social media by terrorists, reports Bloomberg News.
[00:07:24.948 --> 00:07:37.491]  Beyond national laws that criminalize hate speech, they say there is a need to ensure that such activity by Internet users is, quote, expeditiously reviewed by online intermediaries and social media platforms,
[00:07:37.791 --> 00:08:00.229]  Upon receipt of a valid notification in an appropriate time frame, the companies and the European Commission said in a joint statement Tuesday, the code of conduct arrives as Europe comes to terms with the bloody attacks in Paris and Brussels by the Islamic State, who use social media as a recruitment tool, even though many milder messages have been censored by the social networks.
[00:08:00.710 --> 00:08:04.493]  You can find more reports on InfoWars.com.
[00:08:09.696 --> 00:08:14.780]  From the front lines of the information war, it's Alex Jones.
[00:08:23.966 --> 00:08:33.152]  It is good to be back in the saddle again, broadcasting worldwide on radio and television from Central Texas, Austin.
[00:08:33.292 --> 00:08:34.353]  I'm your host, Alex Jones.
[00:08:34.413 --> 00:08:36.174]  Hope you had a good Memorial Day weekend.
[00:08:37.315 --> 00:08:38.016]  It is good to be back.
[00:08:40.925 --> 00:08:48.948]  Well, if you go up to InfoWars.com, it becomes very, very clear exactly what is unfolding with the headlines there.
[00:08:48.968 --> 00:08:55.790]  But another place to go to get a clear image of the big push is DrudgeReport.com.
[00:08:58.231 --> 00:09:03.253]  The major social websites of the world, owned by the globalists, say, stop the hate.
[00:09:04.413 --> 00:09:08.075]  Tech giants vow to tackle bad speech within 24 hours.
[00:09:11.061 --> 00:09:15.664]  Words directed against anyone over issues of race, color, religion will be shut down.
