[00:00:24.070 --> 00:00:27.763]  You're listening to an InfoWars.com Frontline Report.
[00:00:28.325 --> 00:00:29.690]  It's Alex Jones.
[00:00:32.236 --> 00:00:33.957]  Ladies and gentlemen, I'm your host Alex Jones.
[00:00:33.997 --> 00:00:39.962]  Thank you for joining us on this exclusive, original, global, Sunday transmission coming to you from deep in the heart of Texas.
[00:00:40.502 --> 00:00:42.163]  It is Sunday, June 5th, 2016.
[00:00:44.345 --> 00:00:52.871]  Roger Stone, the consummate Trump insider, former head of his campaign, traveled to Austin, Texas to be live with us in studio on Friday.
[00:00:53.412 --> 00:00:56.114]  Yesterday, we taped three separate
[00:00:56.972 --> 00:00:59.293]  Exclusive news breaking segments.
[00:00:59.933 --> 00:01:08.556]  We're going to premiere two of those today in the second half of this hour and the third installment tomorrow during the weekday broadcast from 11 a.m.
[00:01:08.776 --> 00:01:09.396]  to 3 p.m.
[00:01:09.456 --> 00:01:09.796]  Central.
[00:01:10.276 --> 00:01:17.198]  They'll all be posted of course so you can watch them at your convenience at InfoWars.com and PrisonPlanet.com.
[00:01:17.639 --> 00:01:21.240]  There's a lot of other breaking news obviously we're going to be going over but
[00:01:22.176 --> 00:01:29.260]  This first stone piece deals with this judge who Trump said, look, this guy is for Mexico.
[00:01:29.880 --> 00:01:32.161]  He basically is an American.
[00:01:32.642 --> 00:01:35.303]  Not because he's Mexican by descent.
[00:01:36.063 --> 00:01:42.667]  No, because he is a Mexican nationalist, la reconquista, la raza, high level operative.
[00:01:42.687 --> 00:01:46.309]  That's why I've called him the equivalent of a Hispanic Ku Klux Klan.
[00:01:47.185 --> 00:01:56.288]  When you run an organization that wants a race-based nation, and that has openly said that the white race is evil, it doesn't matter if politically correct groups sell it and say it's cool.
[00:01:56.988 --> 00:02:03.250]  Just like they have George Soros and Facebook funding and supporting Black Lives Matter, that in my view is a very racist organization.
[00:02:04.310 --> 00:02:05.270]  It is what it is.
[00:02:05.410 --> 00:02:08.351]  And in my view, from our research, it's the same as the Ku Klux Klan.
[00:02:08.651 --> 00:02:11.132]  It's just given more support by the globalist media.
[00:02:12.072 --> 00:02:26.857]  There's a special report that John Bowne filed that's extremely powerful, entitled, La Raza, the hidden hand of hate, that we're about to expose, that's also coming up this hour, before we get to the piece with Roger Stone.
[00:02:26.997 --> 00:02:32.479]  Then the second part of the interview with Roger Stone, are there Democrats infiltrating the Trump campaign?
[00:02:33.360 --> 00:02:35.200]  Is one of his son-in-laws unoperative?
[00:02:36.021 --> 00:02:39.462]  What's going on with Trump's daughter hanging out with
[00:02:40.342 --> 00:02:42.844]  Chelsea Clinton, he's going to respond to all of that.
[00:02:42.904 --> 00:02:44.205]  Now that's two segments with Stone.
[00:02:44.546 --> 00:02:49.130]  We're going to cover a lot more in the meantime, but all of this ties together.
[00:02:50.131 --> 00:02:51.232]  Now an exclusive story.
[00:02:52.492 --> 00:03:00.715]  Up on DrudgeReport.com, we will also go over Secret Service Agent Book Rock's Clinton campaign.
[00:03:01.395 --> 00:03:14.919]  Posted directly outside President Clinton's Oval Office, former Secret Service Officer Gary Byrne reveals what he observed as Hillary Clinton's character and the culture inside the White House while protecting the First Family.
[00:03:15.399 --> 00:03:19.382]  It's coming out in three weeks and it's a tell-all, crisis of character.
[00:03:19.843 --> 00:03:24.966]  It has the Clinton crime machine absolutely shaking in their boots.
[00:03:25.287 --> 00:03:30.551]  We'll get to more of the details of this coming up and the different chapters in the book.
[00:03:30.591 --> 00:03:42.380]  Now this ties into other Secret Service agents that have gone public that worked in the White House and later photos were even released of Christmas trees with crack pipes and images of Mao Zedong.
[00:03:42.800 --> 00:03:43.721]  When this first came out
[00:03:44.793 --> 00:03:46.595]  People couldn't believe it until photos got released.
[00:03:47.756 --> 00:03:49.818]  And then other people confirmed that, yes, this was going on.
[00:03:50.018 --> 00:03:50.859]  They said it was a joke.
[00:03:51.499 --> 00:04:02.049]  Is that why a week ago they had a celebration of Mao Zedong and people that support Mao Zedong and the call for re-education camps on the front page of Google on the birthday of one of these women?
[00:04:02.910 --> 00:04:04.191]  This is their real culture.
[00:04:05.606 --> 00:04:24.797]  But of course, these are ultra-rich, above-the-law scum that then promote communism as a false revolution so that people never have a true revolt of economic activity and of cultural understanding and of rediscovering of liberty that would actually overthrow the New World Order kleptocratic crony system.
[00:04:25.738 --> 00:04:26.979]  So that's all coming up today.
[00:04:26.999 --> 00:04:28.319]  Again, David Knight and more.
[00:04:28.400 --> 00:04:29.740]  But start your engines.
[00:04:29.920 --> 00:04:31.862]  Strap yourselves in, because when we come back from break,
[00:04:32.981 --> 00:04:44.911]  I am plowing through the news, the anti-free speech news, the anti-Trump people running around attacking the mainstream media, endorsing it and pushing it, incredible persecution of Christians, and so much more.
[00:04:45.651 --> 00:04:56.860]  Yes, I intend to be a modern Paul Revere, but I intend to try to rally other Paul Reveres of every race, color, and creed around the world to realize that globalism is cancer, globalism is tyranny, globalism is death.
[00:04:57.341 --> 00:04:58.762]  Stay with us, we'll be right back.
[00:05:10.725 --> 00:05:11.847]  The brain force is here.
[00:05:12.388 --> 00:05:14.671]  Ladies and gentlemen, I've been on this the last few months.
[00:05:14.932 --> 00:05:22.744]  You've probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of brain force.
[00:05:23.516 --> 00:05:27.098]  One of the worst things with most energy products is it's not sustainable, right?
[00:05:27.118 --> 00:05:29.460]  You're gonna crash and gonna feel really bad afterwards.
[00:05:29.820 --> 00:05:33.343]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:05:33.383 --> 00:05:36.525]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:05:37.025 --> 00:05:42.008]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:05:42.369 --> 00:05:44.190]  For example, the L-theanine inside of it.
[00:05:44.550 --> 00:05:48.993]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:05:49.133 --> 00:05:51.135]  This just increases the compounds you already have.
[00:05:51.755 --> 00:05:53.236]  This is what you're actually designed to run on.
[00:05:53.376 --> 00:05:53.516]  Exactly.
[00:05:53.536 --> 00:05:57.418]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:05:57.938 --> 00:06:05.941]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:06:14.724 --> 00:06:15.725]  The answer to 1984 is 1776.
[00:06:15.865 --> 00:06:18.088]  You're listening to the Alex Jones Show.
[00:06:30.358 --> 00:06:39.847]  I'm your host Alex Jones, coming up exclusive in studio with Roger Stone, David Knight, and more.
[00:06:39.907 --> 00:06:52.319]  But before I go any further, let me just briefly talk about another amazing human being that just really showed us the heights of talent and of finesse and of strength
[00:06:53.059 --> 00:07:19.719]  uh... and of uh... manliness and of course that was muhammad ali who has passed obviously yesterday a titan of the twentieth century uh... going back and looking at drugs report dot com there's also some of these videos up on Infowars.com uh... the famous video of him dodging twenty-three punches in ten seconds uh... of course he was somewhat arrogant but when you've got that type of skill when you're younger that's to be expected but he but he humbled with age
[00:07:20.339 --> 00:07:34.505]  But the lesson from this is, no matter how great you are, no matter how smart, how strong you are, no matter how beautiful you are, no matter how evil you are, no matter how healthy you are, whatever the case may be, the whole spectrum, death is the great equalizer.
[00:07:34.525 --> 00:07:38.567]  And all the corrupt, evil people in history that thought they were invincible,
[00:07:39.227 --> 00:07:41.529]  Well, they ended up going, of course, into history.
[00:07:41.929 --> 00:07:52.117]  And all the great, great, great good people that were out there as well, they lived on by the good things they did, by the art, by the music, by the literature, and by the example they were to others.
[00:07:53.118 --> 00:07:59.203]  And Muhammad Ali became just a better and better example of an intellectual and a man as he got older.
[00:07:59.823 --> 00:08:06.689]  But, of course, he was the constant example of physicality, grace, and skill as a younger man right up into his middle age.
[00:08:07.009 --> 00:08:24.065]  Fighting way too long and having all that brain stem damage so Boy, I of course hope to you know join you there in the wild blue yonder Sunday I've got a second suspicion that God has a liking for Muhammad Ali because it is God that created us and
[00:08:24.625 --> 00:08:29.466]  In the image of the Creator, and we are little creators who are able to build such amazing things.
[00:08:29.766 --> 00:08:30.926]  Humans are amazing.
[00:08:30.966 --> 00:08:43.309]  When the New World Order tells you you're ugly, you're stupid, you have no potential, that's so you believe that, that's so you buy into that, that's so that you don't actually thrive and stand up and create your own destiny.
[00:08:43.489 --> 00:08:45.390]  Because the globalists don't want you to have your own destiny.
[00:08:45.410 --> 00:08:46.970]  They want you to believe that you're nothing but a robot.
[00:08:47.250 --> 00:08:50.013]  That they fully and absolutely control.
[00:08:50.133 --> 00:08:53.276]  So we salute Muhammad Ali and all the other greats.
[00:08:53.636 --> 00:08:58.240]  Not just obviously of sports but of innovation, of trailblazing, and of doing the right thing.
