[00:00:10.407 --> 00:00:11.214]  Silent Railway Chevy.
[00:00:33.152 --> 00:00:48.702]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[00:00:50.063 --> 00:00:51.644]  You're listening to Alex Jones.
[00:00:51.864 --> 00:00:53.625]  You want it, baby?
[00:00:55.006 --> 00:00:56.007]  You're about to.
[00:01:34.261 --> 00:01:36.402]  Monday, October 17, 2016.
[00:01:37.362 --> 00:01:42.684]  We are now only 21 days out from the most historical general election in U.S.
[00:01:42.724 --> 00:01:43.064]  history.
[00:01:43.084 --> 00:01:45.985]  A referendum on globalism.
[00:01:47.026 --> 00:01:48.366]  I'm Alex Jones, your host.
[00:01:48.406 --> 00:01:50.787]  We're going to be here for the next four hours.
[00:01:51.507 --> 00:01:53.728]  Coming to you live from deep in the heart of Texas.
[00:01:54.329 --> 00:01:55.609]  Broadcasting worldwide.
[00:01:56.209 --> 00:01:57.270]  We've talked a lot about this.
[00:01:58.430 --> 00:01:59.751]  Historians have pointed it out.
[00:02:00.591 --> 00:02:01.951]  Futurists have predicted it.
[00:02:01.991 --> 00:02:03.492]  Mathematicians have confirmed it.
[00:02:05.438 --> 00:02:19.305]  We are headed towards some type of singularity or a cascade of singularity type events where time is basically accelerated, developments are exponential.
[00:02:21.125 --> 00:02:23.727]  And we're in the middle of that acceleration right now.
[00:02:23.807 --> 00:02:25.408]  Make no mistake.
[00:02:25.528 --> 00:02:29.449]  I mean, we have thousands of emails now a day.
[00:02:29.870 --> 00:02:30.590]  It's exponential.
[00:02:30.710 --> 00:02:32.191]  My prediction of two weeks ago was correct.
[00:02:32.995 --> 00:02:36.698]  When I blew up at Assange and I said, you better start exponentially releasing this because there won't be time.
[00:02:37.158 --> 00:02:38.439]  That's exactly what he did.
[00:02:40.120 --> 00:02:44.604]  And it is now gone from every week to every three days, every two days, every day.
[00:02:45.124 --> 00:02:48.527]  There's no way Hillary will survive this, even if she steals the election and gets in.
[00:02:49.327 --> 00:02:49.948]  She's been wrecked.
[00:02:50.008 --> 00:02:50.728]  She's been defeated.
[00:02:50.788 --> 00:02:51.729]  She's been torn to pieces.
[00:02:52.169 --> 00:02:54.131]  Even MSM now understands that.
[00:02:56.067 --> 00:03:03.794]  But they want to be able to hoax the public that stealing the election is a referendum against anti-globalism and against nationalism.
[00:03:04.074 --> 00:03:04.795]  It's not going to work.
[00:03:05.355 --> 00:03:07.577]  I've been listening to NPR local, NPR national.
[00:03:07.657 --> 00:03:08.758]  I've been reading the New York Times.
[00:03:08.798 --> 00:03:12.221]  I mean, they have gone full Decepticon.
[00:03:12.341 --> 00:03:15.104]  I mean, it is incredible to watch them burn themselves down.
[00:03:17.046 --> 00:03:27.755]  It's been reported that upwards of $20 million in a new ad buy has been allotted for an ad featuring myself and saying Donald Trump is just talking points from us and taking things I've said out of context.
[00:03:30.011 --> 00:03:37.139]  This is like them running ads of him out of context saying, you know, all illegals are all Mexicans are criminals, which he didn't say.
[00:03:37.600 --> 00:03:39.963]  It blows up in their face if he doesn't apologize.
[00:03:40.643 --> 00:03:48.693]  And if he goes in there Wednesday at this final debate, the final showdown, and savages her from head to toe, up one side and down the other, he will win.
[00:03:49.960 --> 00:03:50.380]  Big time.
[00:03:50.400 --> 00:03:52.142]  I don't care how big a theft they're involved in.
[00:03:52.242 --> 00:03:54.845]  And by the way, Newt Gingrich let a little bit of inside baseball out.
[00:03:54.965 --> 00:03:58.548]  I don't like Newt Gingrich because I know he has been a globalist.
[00:03:59.009 --> 00:04:00.190]  I know he's extremely smart.
[00:04:01.471 --> 00:04:03.513]  I know he knows basically everything that's going on.
[00:04:05.695 --> 00:04:07.436]  And I've seen him do some double crossing.
[00:04:07.797 --> 00:04:10.619]  That said, when he tells the truth, nobody does it better.
[00:04:11.437 --> 00:04:14.038]  I've got a clip of him yesterday on CNN.
[00:04:14.118 --> 00:04:15.939]  It is just veritas over the top.
[00:04:16.179 --> 00:04:20.242]  Which is why it makes me dislike him so much when I know he's being deceptive.
[00:04:21.782 --> 00:04:25.024]  A lot of these decepticons are not very good at it.
[00:04:25.144 --> 00:04:25.965]  It's almost entertaining.
[00:04:26.285 --> 00:04:28.746]  When Gingrich does it, it's not fun because he does it so well.
[00:04:29.486 --> 00:04:32.088]  But he, just in seven minutes, I've got to air the whole thing.
[00:04:32.188 --> 00:04:33.488]  It's totally true.
[00:04:33.628 --> 00:04:35.249]  I mean, it's perfectly said.
[00:04:36.070 --> 00:04:37.791]  Down to Trump winning by 15 points.
[00:04:38.311 --> 00:04:40.192]  That's a little slip on Trump internal polling.
[00:04:41.983 --> 00:04:46.146]  Which they don't want the general public to be too optimistic, because they know they're planning to steal it.
[00:04:46.166 --> 00:04:49.808]  They want everybody to go vote, but he's 10-15 points ahead in the battleground states, folks.
[00:04:50.248 --> 00:04:51.489]  This sex thing didn't even hurt him.
[00:04:52.289 --> 00:04:54.171]  He went up at last week's debate.
[00:04:54.831 --> 00:04:56.432]  That's why Trump says, we're winning.
[00:04:56.552 --> 00:05:02.236]  They're freaking out getting ready to steal it, because they've got all these fake polls where they sample way more Democrats saying he's going to lose.
[00:05:02.276 --> 00:05:03.837]  They're getting everybody ready, folks.
[00:05:04.277 --> 00:05:07.419]  They're getting everybody ready for a theft, and Trump's not going to stand for it.
[00:05:08.072 --> 00:05:11.434]  The bank accounts of RT News in the UK have been frozen.
[00:05:11.715 --> 00:05:21.361]  NatWest Bank froze the Russian broadcaster's accounts, according to the editor-in-chief, Margarita Simonyan, who tweeted, Now, RT says the bank gave no explanation for the decision.
[00:05:21.381 --> 00:05:24.163]  NatWest is an arm of the Royal Bank of Scotland, and it's refusing to service the broadcaster.
[00:05:31.308 --> 00:05:39.415]  NatWest Bank wrote, quote, we've recently undertaken a review of our banking arrangements with you and reached the conclusion that we will no longer provide these facilities.
[00:05:39.555 --> 00:05:43.738]  The bank said its decision was final and they're not prepared to enter into any discussion.
[00:05:43.958 --> 00:05:52.926]  Here in the States, the president is threatening a cyber war with Russia, which could escalate quickly into a nuclear one, all in an attempt to keep Hillary's deleted emails a secret.
[00:05:53.106 --> 00:05:59.171]  In the US, the CIA leaked to NBC News that the president has requested options for a cyber attack on Russia.
[00:05:59.411 --> 00:06:02.318]  Regulator Ofcom said it's quote for biased reporting.
[00:06:02.579 --> 00:06:03.160]  You decide.
[00:06:03.501 --> 00:06:06.328]  I'm Margaret Halve reporting for InfoWars.com.
[00:06:07.975 --> 00:06:11.838]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:06:12.139 --> 00:06:19.425]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:06:19.605 --> 00:06:30.634]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:06:31.054 --> 00:06:38.598]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[00:06:38.878 --> 00:06:48.202]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:06:48.522 --> 00:06:52.727]  This formula is the platinum standard of multivitamin mineral products.
[00:06:52.967 --> 00:06:59.735]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:07:00.036 --> 00:07:01.377]  That means it's clean.
[00:07:01.498 --> 00:07:02.559]  That means it's pure.
[00:07:02.659 --> 00:07:05.422]  That's infowarswipes.com and Vitamin Mineral Fusion.
[00:07:05.582 --> 00:07:07.264]  Take action now before we sell out.
[00:07:08.105 --> 00:07:13.187]  With the election just around the corner, I have to ask, have you gotten your Hillary for Prison t-shirt yet?
[00:07:13.707 --> 00:07:17.008]  After the election, this t-shirt will no longer be available.
[00:07:17.248 --> 00:07:22.890]  We only have a finite number of these, so be sure to get to Infowarsstore.com and get yours today.
[00:07:23.410 --> 00:07:27.311]  Even Hillary Clinton supporters like the Hillary for Prison t-shirt.
[00:07:27.531 --> 00:07:28.932]  I'm voting for Hillary.
[00:07:29.232 --> 00:07:32.433]  This is a meme that is still viral worldwide.
[00:07:32.653 --> 00:07:33.554]  Hillary for prison.
[00:07:33.874 --> 00:07:39.576]  Folks, we want to see Hillary Clinton put in prison, and we also want to see InfoWars go to the next level.
[00:07:39.937 --> 00:07:46.459]  It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.
[00:07:47.100 --> 00:07:48.020]  Because you'd be in jail.
[00:07:48.820 --> 00:07:49.921]  Help us accomplish both.
[00:07:50.441 --> 00:07:51.822]  Fund us in the Infowars.
[00:07:52.082 --> 00:07:54.063]  Start a political discourse with your neighbor.
[00:07:54.343 --> 00:07:55.403]  Give a gift to a friend.
[00:07:55.723 --> 00:07:59.305]  Get your piece of history today at InfowarsStore.com.
[00:07:59.925 --> 00:08:05.528]  Stay at Infowars.com and learn what's really going on instead of being spoon-fed lies by the mainstream media.
[00:08:09.660 --> 00:08:11.101]  It's Monday, October 17, 2016.
[00:08:12.122 --> 00:08:17.145]  We are now 21 days out from the election.
[00:08:18.246 --> 00:08:23.329]  You're listening to the Alex Jones Show, broadcasting worldwide from Austin, Texas.
[00:08:33.576 --> 00:08:35.197]  Now only 21 days.
[00:08:35.237 --> 00:08:37.379]  You can cut the tension with a knife.
[00:08:38.916 --> 00:08:45.809]  The Clinton campaign has announced a new ad buy upwards of $20 million, targeting yours truly.
[00:08:46.992 --> 00:08:50.218]  And of course, Donald Trump using InfoWars in our statements, they believe.
[00:08:51.679 --> 00:08:56.403]  out of context to deceive the viewers and listeners in this country.
[00:08:56.423 --> 00:09:10.314]  It will only blow up in their face and Trump has responded obviously by tweeting InfoWars and Prison Planet articles out today showing that it's all about loyalty in the foxhole, something these backstabbers know nothing about.
[00:09:10.454 --> 00:09:14.477]  But she's sending out emails to everyone, new video, this is Alex Jones.
[00:09:14.998 --> 00:09:16.819]  This is who Donald Trump listens to.
[00:09:17.400 --> 00:09:19.782]  Now you have to understand something, they're social engineers.
[00:09:20.720 --> 00:09:31.528]  And they know, and they write books about this, they brag about this, over and over again, that they're trying to move the Overton Window.
[00:09:31.568 --> 00:09:39.014]  And the Overton Window is a psychological, historical term developed, what, in the 50s, of what is seen as basic and normal and right.
[00:09:39.774 --> 00:09:49.381]  And if you want to change, let's say, the nuclear family being seen as what we should aim for, as the standard, you begin to introduce ideas that are so radical it drags you away
[00:09:50.339 --> 00:09:53.042]  From what was normally seen as kosher.
[00:09:54.664 --> 00:10:05.857]  And folks trying to move the Overton window do things that look like they're way out in space and don't make sense to attempt to drag it from the normalcy into the new paradigm.
[00:10:06.398 --> 00:10:07.659]  Now you can say that's what I do.
[00:10:08.666 --> 00:10:12.568]  But you see, I'm just countering the globalists and the radical things they're doing, so I'm not really radical.
[00:10:12.868 --> 00:10:24.714]  I'm just reporting on what they're doing, so it sounds pretty wild to say there's a secret global treaty that takes over basically everything in our lives, called the TPP, and it's secret, but then now it's been ratified globally, it's been made public, and it's worse than I said.
[00:10:24.734 --> 00:10:34.219]  Because we had previous versions of other treaties that had failed, we knew it was a hodgepodge of those, we knew exactly what it was, and sure enough, it came out and it was exactly what we said it was.
[00:10:35.580 --> 00:10:35.880]  So see,
[00:10:37.048 --> 00:10:40.869]  We're not engaged in social engineering trying to pull you towards some radicalism.
[00:10:41.149 --> 00:10:48.292]  We're trying to point out how the whole process is working, and then it does sound pretty wild what we're covering and what we're saying.
[00:10:48.332 --> 00:10:51.092]  Like, Hillary plans to use executive orders to take your guns.
[00:10:52.433 --> 00:10:53.293]  What's in the new WikiLeaks?
