[00:00:00.149 --> 00:00:00.969]  What is a globalist?
[00:00:01.009 --> 00:00:28.336]  My 17-year-old daughter asked me, and the best answer is, a globalist is a member of the global corporate combine that is attempting to establish an authoritarian world government whose eventual aim of world government is to be able to carry out a transhumanist revolution that results in the death of the vast majority of the world population, and out of that cataclysm, a new super race.
[00:00:29.112 --> 00:00:36.112]   From the front lines of the Information War, it's Alex Jones.
[00:00:36.112 --> 00:00:53.112]  [Music]
[00:00:53.112 --> 00:00:55.112]  InfoWars.
[00:00:54.788 --> 00:00:56.309]  Tomorrow's news, today.
[00:00:58.686 --> 00:01:01.310]  Do we blame the anti-vax movement for that?
[00:01:01.951 --> 00:01:02.411]  Well, yes.
[00:01:02.792 --> 00:01:06.337]  Some are calling for penalties like higher healthcare premiums, even jail time.
[00:01:06.938 --> 00:01:08.701]  These anti-vaxxers, they're crazy.
[00:01:08.721 --> 00:01:10.022]  They're wearing tinfoil hats.
[00:01:10.382 --> 00:01:13.902]  These outbreaks are due to the anti-vaccine movement.
[00:01:13.902 --> 00:01:25.102]  [Music]
[00:01:25.102 --> 00:01:29.102]  [Music]
[00:01:29.102 --> 00:01:31.102]  The footage you're seeing is real.
[00:01:31.521 --> 00:01:34.504]  It's happening in Germany, it's happening in China, and it's happening in Australia.
[00:01:35.524 --> 00:01:44.352]  Police with six-foot sticks patrolling the streets in Germany, making sure you stay six feet apart.
[00:01:45.252 --> 00:01:48.815]  It's not enough that you took all the three or four shots and are sick.
[00:01:49.416 --> 00:01:56.722]  It's not enough that you've got a vaccine tracker passport they now admit is logging all your movements to the authoritarian state.
[00:01:58.277 --> 00:02:03.022]  Now you've got to be used to government contact with the general public that aren't criminals.
[00:02:03.882 --> 00:02:05.884]  You're being trained to be a prisoner.
[00:02:07.426 --> 00:02:11.129]  From the moment you're born, little children are being indoctrinated into this.
[00:02:11.169 --> 00:02:13.592]  This is the bio-medical takeover.
[00:02:13.632 --> 00:02:17.655]  The main way we predicted they would launch their New World Order operation.
[00:02:18.797 --> 00:02:23.201]  I've exposed this for more than 20 years because the enemy has salivated over it.
[00:02:24.451 --> 00:02:28.673]  They have given constant speeches and written white papers and books on this plan.
[00:02:28.893 --> 00:02:31.134]  That's how we know what they're going to do.
[00:02:32.135 --> 00:02:42.740]  But paradoxically, even the politicians and leaders that supposedly oppose this, like Senator Paul and others, eat around the edges of it and just try to dunk on Fauci.
[00:02:42.880 --> 00:02:44.621]  Oh, look, they now admit masks don't work.
[00:02:44.641 --> 00:02:45.521]  I'm dunking.
[00:02:45.941 --> 00:02:46.642]  Oh, they now admit...
[00:02:47.765 --> 00:02:49.786]  But without ever explaining, that was always part of the plan.
[00:02:50.487 --> 00:03:01.894]  So the UN has now announced, and we knew this was the next phase, we told you this 22 months ago, that first they would roll out the first shot, then the second shot, then the booster, and then that doesn't work, there's another booster.
[00:03:02.234 --> 00:03:10.210]   And then they said in Australia, last week, and at the UN this week, okay, It's a permanent program.
[00:03:10.230 --> 00:03:17.832]  We've got to give you new shots all the time for the mutations of COVID-19, which they now test for the common cold.
[00:03:18.913 --> 00:03:22.053]  So they're outlawing you being allowed to have a common cold.
[00:03:23.374 --> 00:03:29.835]  And of course, the so-called vaccine makes your body create a toxic spike protein.
[00:03:30.756 --> 00:03:33.296]  And so they can then slowly depopulate you.
[00:03:33.716 --> 00:03:44.119]   And once they've arrested you and put you in one of their camps, They can then give you special batches that are mutagenic and you'll die of cancer within just three to six months.
[00:03:45.300 --> 00:03:46.460]  And this is how they take you away.
[00:03:46.500 --> 00:03:47.280]  It's how they kill you.
[00:03:47.720 --> 00:03:51.122]  It's how the people killing you don't really know they're even part of a depopulation plan.
[00:03:52.022 --> 00:03:55.083]  All they know is they go along with the first phase.
[00:03:55.103 --> 00:03:57.124]  They don't get the shot that kills them.
[00:03:57.644 --> 00:03:58.944]  They get the special lot.
[00:03:59.485 --> 00:04:01.105]  And so they go along with it.
[00:04:01.145 --> 00:04:03.286]  It's about worshipping the biomedical state.
[00:04:04.684 --> 00:04:10.305]  Putting up the image of nurses and doctors that get into the fear as gods.
[00:04:11.505 --> 00:04:16.306]  Gods saving the earth through depopulation.
[00:04:18.127 --> 00:04:26.209]  And this is all the Club of Rome, Bilderberg Group, Trilateral Commission, David Rockefeller, Great Reset, Agenda 21, Agenda 2030.
[00:04:29.264 --> 00:04:30.405]  Davos Group operation.
[00:04:30.905 --> 00:04:39.429]  And I have all the admissions, all the statements, so many videos, so many statements, so many admissions that, yeah, we're colonizing your body with nanochips, you can't stop us.
[00:04:39.729 --> 00:04:49.654]  The head of Pfizer, the chief futurist of the Davos Group, Klaus Schwab, I mean, they're all over the place saying this is the end of society as you know it.
[00:04:49.954 --> 00:04:52.236]  And you notice it's not a good place they're taking us to.
[00:04:53.756 --> 00:05:03.768]   Massive censorship, total control, and now hundreds of articles today In the US, in Australia, everywhere, in the UK, look at these headlines.
[00:05:05.149 --> 00:05:13.453]  London Telegraph, from prison threats to fines, how the world, you mean the globalists, is turning up the heat on the unvaccinated, you mean on the people.
[00:05:14.360 --> 00:05:15.822]  Because you're always unvaccinated.
[00:05:16.202 --> 00:05:18.505]  What is an unvaccinated and vaccinated person have in common?
[00:05:18.725 --> 00:05:20.807]  You're never fully vaccinated.
[00:05:20.847 --> 00:05:23.530]  And they're announcing the camps here in the United States.
[00:05:24.171 --> 00:05:25.792]  It's unbelievable.
[00:05:26.573 --> 00:05:31.759]  And everyone pretending that they're part of the system going along with this are the biggest fools of all.
[00:05:32.239 --> 00:05:35.042]  Your compliance is bringing hell upon us all.
[00:05:36.448 --> 00:05:38.209]  Well, it's very simple, Pete, right?
[00:05:38.290 --> 00:05:39.731]  You just have to look at Africa.
[00:05:40.051 --> 00:05:43.314]  They didn't have the death rates from COVID that were predicted.
[00:05:43.614 --> 00:05:53.502]  And what is happening over time is that the entire response to COVID and everything that we were told about it from the beginning is being exposed and it's falling apart.
[00:05:53.562 --> 00:05:54.903]  The lies are coming apart.
[00:05:55.283 --> 00:06:12.275]   And really now there's no justification for putting people out of their jobs or forcing vaccine mandates for a disease that ultimately is very treatable It's cheap to treat, medicines are available all over the world, and it has death rates that compare very much to seasonal flu.
[00:06:12.715 --> 00:06:19.099]  And so in that moment, what you see on Dr. Fauci, this is what people say to me, that he doesn't represent science to them.
[00:06:19.399 --> 00:06:20.960]  He represents Joseph Mengele.
[00:06:21.260 --> 00:06:28.407]  Dr. Joseph Memgle, the Nazi doctor who did experiments on Jews during the Second World War and in the concentration camps.
[00:06:28.767 --> 00:06:34.526]   And I am talking about people all across the world are saying this, because the response from COVID,
[00:06:34.526 --> 00:06:38.887]   what it has done to countries everywhere, what it has done to civil liberties,
[00:06:38.887 --> 00:06:43.446]   the suicide rates, the poverty, it has obliterated economies.
[00:06:43.446 --> 00:06:49.347]   The level of suffering that has been created because of this disease is now being seen
[00:06:49.347 --> 00:06:52.767]  in the cold light of day, i.e. the truth.
[00:06:52.767 --> 00:06:56.347]   And people see that there's no justification for what is being done.
[00:06:56.347 --> 00:06:59.767]   So as they're being exposed and the control is slipping away,
[00:06:59.767 --> 00:07:02.206]  lo and behold, another variant surfaces.
[00:07:02.206 --> 00:07:06.247]   And nobody should be surprised by that, because there will be more variants
[00:07:06.247 --> 00:07:07.447]  until the end of time.
[00:07:07.447 --> 00:07:08.967]  (upbeat music)
[00:07:08.967 --> 00:07:14.166]   There will be more variants to the end of time because this is an authoritarian world government
