[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[00:00:05.631 --> 00:00:18.734]  Well, yes, some of the feds and anti-fund BLM and some of the few folks that thought they were there for Trump who were being manipulated by the deep state, who were there LARPing, live-action role-playing, they did go in there.
[00:00:19.134 --> 00:00:23.615]  A couple hundred people did attack the police and that's wrong and they should be charged with assaulting police.
[00:00:23.976 --> 00:00:29.337]  None of the police got killed or died, so they shouldn't be charged like they're murderers and kept in solitary confinement.
[00:00:30.709 --> 00:00:39.353]  But we know that the feds were there and ran that operation and Darren Beatty, Dr. Darren Beatty, will be on in the fourth hour today to lay this out.
[00:00:39.373 --> 00:00:41.435]  People are like, hey, we all know it was provocateur.
[00:00:41.895 --> 00:00:43.696]  We all know, Alex, why do you keep talking about it?
[00:00:43.956 --> 00:00:46.157]  Well, you see every channel in the country is talking about it.
[00:00:47.222 --> 00:00:58.128]  You see every program and every broadcast how the new threat and the new terrorist are the Midwesterners, and the Texans, and the ranchers, and the veterans, and the farmers, and the gun owners.
[00:00:58.488 --> 00:01:01.549]  And this is the branding for the martial law takeover.
[00:01:02.330 --> 00:01:09.774]  The COVID martial laws, the training wheels, then it's meant to make people that don't want to be locked down fight back, and they're going to be called terrorists.
[00:01:09.794 --> 00:01:16.197]  And that's in the terrorism plan of June of last year that is now the official policy of our country.
[00:01:18.069 --> 00:01:21.871]  I mean, imagine if Russia declared, our number one threat is our own people.
[00:01:22.551 --> 00:01:23.832]  People say, that's an authoritarian country.
[00:01:24.212 --> 00:01:28.014]  Or if China announced, the number one threat is the people, which they've actually done.
[00:01:29.575 --> 00:01:31.296]  This is what dictatorships do.
[00:01:31.456 --> 00:01:33.517]  This is what authoritarian systems do.
[00:01:34.098 --> 00:01:38.560]  This is the type of system that you live under when you're in a tyranny.
[00:01:38.980 --> 00:01:45.980]   From the front lines of the information war, it's Alex Jones.
[00:01:46.980 --> 00:02:01.980]  [Music]
[00:02:01.980 --> 00:02:05.125]   InfoWars Tomorrow's news.
[00:02:05.405 --> 00:02:05.726]  Today.
[00:02:08.042 --> 00:02:11.124]  Ricardo Delgado has a master's in biostatistics.
[00:02:11.665 --> 00:02:17.328]  His postgraduate studies included microbiology, epidemiology, and immunology.
[00:02:17.749 --> 00:02:19.430]  He is the founder of the fifth column.
[00:02:20.190 --> 00:02:33.139]  Delgado has published videos of electron microscopy taken at the University of Almeria in Spain of the Pfizer mRNA vaccine showing what can best be described as self-organizing nanostructures.
[00:02:34.139 --> 00:02:40.708]  The videos show that as the Pfizer mRNA vaccine evaporates, nano-sized structures begin to form.
[00:02:41.389 --> 00:02:44.193]  Multiple structures that appear to be the same things.
[00:02:44.974 --> 00:02:48.919]  Things that look like microchips and electronic circuitry.
[00:02:49.920 --> 00:02:59.104]  Pfizer has reportedly made 33 different batches, which have all been cataloged in a database, some dangerous and others seemingly innocuous.
[00:02:59.904 --> 00:03:08.388]  So these things maybe aren't in every vial, but the FDA has said that they need 75 years to tell us all the details, so maybe they are.
[00:03:09.288 --> 00:03:17.652]  At a World Economic Forum 2018 conference, the chief executive officer of Pfizer expressed excitement for invasive nanotech.
[00:03:18.272 --> 00:03:25.076]  Referring to the recent FDA approval of a tablet with a sensor that can notify medical authorities of compliance.
[00:03:25.696 --> 00:03:30.399]  It is basically a biological chip, but it is in the tablet.
[00:03:31.419 --> 00:03:36.682]  And once you take the tablet and it dissolves into your stomach, it sends a signal that you took the tablet.
[00:03:37.563 --> 00:03:39.644]  So imagine the applications of that.
[00:03:39.904 --> 00:03:40.504]  Compliance.
[00:03:41.725 --> 00:03:47.148]  Later that year, a nanotransistor chip is unveiled that replaces silicone with air.
[00:03:48.269 --> 00:03:54.473]  Just this week, a COVID implantable microchip developer claimed, we will be chipped whether we like it or not.
[00:03:55.633 --> 00:04:00.036]  There has been much talk about graphene oxide and nanotech in the vaccines.
[00:04:00.536 --> 00:04:03.358]  Which the media vehemently claims is not true.
[00:04:03.958 --> 00:04:04.839]  But how would they know?
[00:04:05.319 --> 00:04:08.742]  And why would anyone trust a word that they say about any of this?
[00:04:09.622 --> 00:04:18.028]  If there are nanocircuits being created within the bodies of the vaccinated, this would explain the videos we've seen of IP addresses coming from the jabbed.
[00:04:18.689 --> 00:04:23.312]  A newly activated network of nanocircuits, unique to each individual.
[00:04:24.772 --> 00:04:43.061]  One of the leading experts of nanotechnology, Charles Lieber, has written patents describing a technology that has the potential to self-assemble into tiny computer systems capable of controlling human neurology, which is exactly what Delgado's electron microscopy of the Pfizer jab appears to be.
[00:04:44.001 --> 00:04:52.725]  Charles Lieber was just convicted on numerous crimes for working with the Communist Chinese in Wuhan, where Pfizer ran a research and development facility.
[00:04:53.845 --> 00:05:05.073]  Elon Musk expects to be implanting his Neuralink into human beings this year, and claims that they could put you fully into virtual reality, as if this is somehow important for humanity.
[00:05:05.773 --> 00:05:07.194]  For humanity, it isn't.
[00:05:07.715 --> 00:05:10.356]  But for the transhumanist, it's a necessity.
[00:05:10.957 --> 00:05:17.321]  And if you listen to the psychopaths orchestrating all of this, transhumanism is officially their stated goal.
[00:05:18.141 --> 00:05:20.303]  And they won't need Elon's implantable chip.
[00:05:20.945 --> 00:05:29.289]  With injectable nano-sized circuitry in the human brain and nervous system, non-intrusive wearable tech will do the job just fine.
[00:05:30.009 --> 00:05:45.016]  And this is rapidly being developed by WelcomeLeap, a privately run umbrella corporation connecting DARPA, Silicon Valley, and the military, who has tripled their network in less than a year, boasting success for the deadly mRNA vaccines.
[00:05:45.476 --> 00:06:01.256]  And pushing to accelerate new ones designed to correct every so-called flaw of the human psyche that stands in the way of productivity to an authoritarian state run by artificial intelligence that monitors and controls their neurological functions 24-7.
[00:06:03.219 --> 00:06:06.343]  This is exactly what they say they want by the year 2030.
[00:06:06.924 --> 00:06:15.837]  So either the vaccines are a way of interfacing the new transhuman with AI technology or they're lying and it's all about depopulation.
[00:06:16.979 --> 00:06:18.702]  Which is what the latest data is showing.
[00:06:19.386 --> 00:06:24.591]  Natural News recently estimated billions of deaths if it isn't stopped in the next year.
[00:06:25.411 --> 00:06:34.098]  It obviously isn't about public health, and whether it's about depopulation or transhumanism, it is a threat to all of humanity.
[00:06:34.859 --> 00:06:42.746]  We could ponder until the end about why anyone would want to do this, but the real question is why are we letting them?
[00:06:44.042 --> 00:06:46.544]  Reporting for InfoWars, this is Greg Reese.
[00:06:47.185 --> 00:06:49.707]  Mass formation psychosis.
[00:06:51.809 --> 00:07:02.758]  One of the terms used to define how they are programming the public to go against reality and logic and basically destroy themselves via mass mental illness that is being programmed.
[00:07:03.538 --> 00:07:16.750]   Dr. Mark McDonald, highly recommended by Dr. Peter McCullough and, of course, Dr. Robert Malone, We'll be with us in the third hour today.
[00:07:16.790 --> 00:07:27.114]  He's written a book on the state of fear and the mind control, and he's going to be laying that out and how you can reach out to others that have been programmed.
[00:07:28.035 --> 00:07:37.558]  I really want to interview this individual, but I had obviously some of the issues that came up the last week with some court things I have to deal with, with family issues.
[00:07:37.579 --> 00:07:50.606]   I have to be at a hearing today at two o'clock, and so Owen's going to come in and do the interview, but it's a really big interview and it's very important and he's going to lay out the actual technicals of all of that.
[00:07:52.067 --> 00:08:00.551]  People really need to watch this, you really need to see this, and it's something that you need to share with everybody that you know.
[00:08:02.052 --> 00:08:17.439]   So, he's a very, very prestigious doctor and scientist and he again completed eight years of training at the Psychoanalysis and psychoanalytic center of California PCP PCC.
[00:08:17.499 --> 00:08:31.307]   He's a very well-known psychiatrist So you want to get into how they've done this that is coming up in the third hour today and then Darren J Beatty is He's going to be here.
[00:08:31.827 --> 00:08:42.796]  He is a doctor of political science and of course has been one of the best researchers out there exposing the clear provocateur false flag event that happened 365 days ago on the anniversary of January 6th.
[00:08:42.816 --> 00:08:46.179]  We're going to be looking at all of that here today.
[00:08:46.219 --> 00:08:49.902]  It is January 6th, 2022 on this Thursday transmission.
[00:08:51.683 --> 00:08:52.244]  At this time.
[00:08:52.264 --> 00:08:56.447]  A year ago, I was sitting there watching Trump give a speech.
[00:08:58.489 --> 00:09:12.113]   And down the road, The feds were busy attacking the undermanned police and with just a few dozen men breaking through the first barricades and the rest is history.
[00:09:12.133 --> 00:09:22.058]  Then the police standing down waving everybody in so they could get some patsies to put in solitary confinement and set the precedent for Chinese style torture of political dissidents in America.
[00:09:22.990 --> 00:09:24.751]  And we have Ted Cruz praising it all.
[00:09:24.932 --> 00:09:27.914]  Yesterday, obviously, that's just... What's wrong with Ted Cruz?
[00:09:27.974 --> 00:09:28.554]  Is he smart?
[00:09:29.155 --> 00:09:31.156]  He knows what's going on, but he'll bite you.
[00:09:32.157 --> 00:09:33.038]  He'll stab you in the back.
[00:09:34.559 --> 00:09:35.380]  And he just can't help it.
[00:09:37.341 --> 00:09:49.571]  And I also know why Ted Cruz did that, and I'll be talking about that at the start of the next hour and playing the Tucker Carlson clip, where Tucker took him to the woodshed in a very nicely and very friendly way yesterday.
[00:09:50.740 --> 00:09:52.100]  Let me just let the cat out of the bag.
[00:09:52.120 --> 00:09:53.641]  I think you probably know why Cruz did that.
[00:09:53.961 --> 00:10:06.324]  The whole new system, the whole new cosmology is that the American people are all terrorists, and that they've got to round up everybody and shut down any populist movement, any conservative movement, any nationalist movement.
[00:10:06.925 --> 00:10:18.928]  And Ted Cruz knows that purge is coming, and he wants to position himself so when the staged terror attacks happen, he can point his finger at the patriots and say, I'm not with the patriot terrorists.
[00:10:20.009 --> 00:10:29.733]  Instead of saying, the evidence shows it's a false flag, and the globalists have the motive, and we need to stop them staging a false flag, sometime in the next 300 days.
[00:10:30.273 --> 00:10:40.577]  We're 306 days out from the midterms, and if you don't feel the suspense, if you don't feel the danger, if you can't cut it with a knife, you're not dialed in.
[00:10:42.518 --> 00:10:46.720]  The next 306 days is the most important time in human history.
[00:10:47.717 --> 00:10:51.783]  Because if America goes down to the Great Recent and the New World Order, Katie barred the door.
[00:10:53.565 --> 00:10:54.967]  So that's all coming up today.
[00:10:57.871 --> 00:10:58.232]  Also...
[00:10:59.583 --> 00:11:02.303]  Ted Nugent's gonna be popping in at the bottom of the hour.
[00:11:02.303 --> 00:11:06.543]   He is really upset at Ted Cruz and others and has a lot to say.
[00:11:06.543 --> 00:11:09.102]  So he's gonna be popping in.
[00:11:09.102 --> 00:11:10.383]  I was talking to him this morning.
[00:11:10.383 --> 00:11:12.942]   He was all pissed off and I said, "Well, why don't you just come on and talk about it?"
[00:11:12.942 --> 00:11:18.622]   So he's gonna be popping in at the bottom of the hour, always on fire, particularly these days.
[00:11:18.622 --> 00:11:22.302]   And I'm gonna be here till pretty much close to the end of the next hour.
[00:11:22.464 --> 00:11:25.667]  We've got a very powerful in-depth report we're going to be playing here.
[00:11:26.107 --> 00:11:32.072]  A Gregory's Report that's 10 minutes long, not 5 minutes long, on the whole nature of the New World Order and who they are and how they operate now.
[00:11:32.572 --> 00:11:42.380]  How the Bilderberg Group is in full control of the Davos Group that they founded, and how that group is in control of the United Nations and the corporate system, not corporate America.
[00:11:42.700 --> 00:11:43.801]  There isn't a corporate America.
[00:11:43.821 --> 00:11:45.062]  There's a globalist America.
[00:11:46.573 --> 00:11:59.368]  We're racing to build a new corporate America with credit card processing and with banking and with telecommunications and everything.
[00:11:59.949 --> 00:12:01.391]  And those movements are up and running.
[00:12:01.891 --> 00:12:03.193]  A lot of groups are out there doing it.
[00:12:03.233 --> 00:12:04.234]  We're working with some of them.
[00:12:04.555 --> 00:12:05.556]  We haven't announced that yet.
[00:12:06.582 --> 00:12:11.344]  But billions being invested, not by me, I don't have millions, but billions by others.
[00:12:11.885 --> 00:12:13.486]  And the globalists know they're in a race.
[00:12:13.526 --> 00:12:15.266]  They know we have the hearts and minds.
[00:12:15.286 --> 00:12:16.147]  They know they're losing.
[00:12:16.647 --> 00:12:19.629]  And so they're getting ready to try to close the loop.
[00:12:20.969 --> 00:12:29.854]  They're getting ready to try to finish, not just our nation, but every other nation, and bring in a medical tyranny that just is staggeringly evil and dangerous.
[00:12:29.894 --> 00:12:32.095]  So that's what's coming up today.
[00:12:33.616 --> 00:12:36.057]  We have just unprecedented censorship.
[00:12:36.761 --> 00:12:39.723]  But of course, Congress is doing nothing about so illegal, so criminal.
[00:12:40.924 --> 00:12:52.553]  We have the Democrats running around demonizing everybody, saying, outlaw members of Congress that even challenged the election, even though the Democrats have done that four years before, and they've done it in 2000.
[00:12:52.653 --> 00:12:54.194]  It's totally legal.
[00:12:54.895 --> 00:12:56.876]  They're saying, oh, remove them from office.
[00:12:57.016 --> 00:13:05.943]  And the same Democrat lawyer that got all those swing states to accept mail-in fake ballots, well, he's pledging to remove members of Congress.
[00:13:07.486 --> 00:13:10.488]  And the media is saying that's a great thing and they're moving ahead with that.
[00:13:10.548 --> 00:13:14.450]  So again, they're trying to purge the military, the police, the good members of Congress.
[00:13:15.511 --> 00:13:21.395]  Biden came out and accused Trump of, quote, spinning web of lies while promising to defend democracy.
[00:13:21.595 --> 00:13:22.075]  Oh, yes.
[00:13:23.096 --> 00:13:26.458]  And so that it was an armed attack by terrorists on the Capitol.
[00:13:27.279 --> 00:13:33.362]  And he's got a little buddy helping echo that named Theodore Cruz.
[00:13:33.983 --> 00:13:35.324]  Theodore Rafael Cruz.
[00:13:36.405 --> 00:13:38.926]  And Cruz knows what's about to happen to America.
