[00:00:00.000 --> 00:00:19.000]  [Outro Music]
[00:00:18.965 --> 00:00:23.188]  All right, my friends.
[00:00:24.549 --> 00:00:32.894]  The more epic the time, the more I need to just slow down and find that quiet, still place, the most high that King David wrote about in the Psalms.
[00:00:35.976 --> 00:00:40.019]  We can officially say that the New World Order is in full retreat.
[00:00:41.435 --> 00:00:44.237]  And is in total collapse and crisis.
[00:00:44.257 --> 00:00:50.641]  That's why they're trying to collapse the world economy so they can pose as the saviors and distract us from the crimes they've committed.
[00:00:51.162 --> 00:01:00.548]  If they're unable to fully crash it while posing as saviors, they have to crash it, smother it, and pose as saviors at the same time.
[00:01:01.649 --> 00:01:04.691]  If they're unable to pull that off, it's over for them.
[00:01:05.511 --> 00:01:22.735]   It doesn't mean there won't be new corrupt groups and new attacks and new permutations, but This major satanic Luciferian wave, this eugenics-based transhumanist system, can and will be defeated if we are vigilant.
[00:01:25.176 --> 00:01:40.843]   You know, it's just wild to see Elon Musk, whether you trust him or not, Coming out against the New World Order, coming out against the four shots, coming out in favor of the worldwide trucker protest emanating at its heart from the capital of Canada, Ottawa.
[00:01:42.344 --> 00:01:45.685]  The Occupy Ottawa operation, peacefully now unfolding.
[00:01:47.646 --> 00:01:53.668]  And to see him coming out saying, they're trying to depopulate us, we don't want robots to take over, we need to have more children.
[00:01:54.898 --> 00:02:01.300]  And then, of course, I know the inside baseball that he's telling people that he knows here in Austin that he is awake and doesn't like the New World Order.
[00:02:01.920 --> 00:02:03.721]  I didn't know if I trusted that a couple years ago.
[00:02:03.741 --> 00:02:10.423]  This is some of the things he's been pushing that I don't see as too freedom-oriented like the NeuroLink.
[00:02:11.403 --> 00:02:20.486]  And then I see him and Joe Rogan Instagramming out there at his little command base outside Austin with Jordan Peterson.
[00:02:20.546 --> 00:02:29.922]   It's just amazing to know That the awakening to the whole globalist program is so mainstream now that it's the hottest thing in pop culture.
[00:02:31.343 --> 00:02:34.846]  You know, I'm not really going to get into all this, and it doesn't actually inflate my ego.
[00:02:34.906 --> 00:02:37.568]  It just is an example of what you should know and what's going on.
[00:02:38.388 --> 00:02:43.292]  But let's just say this.
[00:02:44.993 --> 00:02:54.245]   The biggest, hottest movie stars right now are in a big collaborative Coming up with a Alex Jones movie.
[00:02:55.587 --> 00:02:57.669]  And who knows if that'll get made, but that's what's going on.
[00:02:57.689 --> 00:03:00.031]  People that are household names.
[00:03:00.732 --> 00:03:03.955]  And then we also criticized quite a bit for going to the Davos group.
[00:03:05.116 --> 00:03:09.381]  And I only tell you that story so you get an idea of how hot freedom is.
[00:03:11.164 --> 00:03:28.148]  But see, for us, the trailblazers way out at the tip of the spear, and that means this audience of activists as well, we have taken the heat, we have taken the pain, we have taken the censorship and the lawsuits and the dirty tricks, but we've persevered thanks to God working through you.
[00:03:29.348 --> 00:03:39.550]  So I don't feel bitter to see people now across the political spectrum, including Bill Maher, coming out against the New World Order, coming out against censorship, coming out against the left.
[00:03:40.956 --> 00:03:42.657]  Because that's what winning looks like.
[00:03:43.898 --> 00:03:53.202]  It's very, very frustrating, I know, for a lot of people that are gunsmiths and former special operations operatives from some of the most elite units there are in the Army and other groups.
[00:03:53.723 --> 00:04:06.069]  And they see the super-pop nature of guns, and they see how it's a bunch of LARPing and a bunch of former leftists getting into it now, and they don't have dedication or they haven't paid their dues.
[00:04:06.109 --> 00:04:09.851]  And I explain to these guys, hey, this is what winning looks like.
[00:04:10.632 --> 00:04:13.998]  You want to get the general dumbed-down mass of domesticated people on board with us?
[00:04:14.579 --> 00:04:17.164]  Once they come on board with us, they're going to have a lot of problems still.
[00:04:17.525 --> 00:04:19.127]  We're going to have to walk them through this.
[00:04:21.011 --> 00:04:23.776]  Taking the world back is not an elitist operation.
[00:04:25.089 --> 00:04:28.051]  And I understand I'm not calling the military people wannabe elites.
[00:04:28.511 --> 00:04:36.575]  To them it's just frustrating because they've paid so much and been through so much and they see a bunch of people coming on board now that the hard work's been done.
[00:04:37.036 --> 00:04:38.296]  But that's the way it always is.
[00:04:38.677 --> 00:04:39.837]  You should celebrate that.
[00:04:40.237 --> 00:04:41.058]  Not be mad about it.
[00:04:41.478 --> 00:04:47.481]  I celebrate Tucker Carlson waking up and Joe Rogan and now Elon Musk and everybody else.
[00:04:48.662 --> 00:04:55.457]   And of course now The next phase and things are really going to get crazy.
[00:04:55.276 --> 00:05:13.276]  Stay with us.
[00:05:13.276 --> 00:05:14.836]  (upbeat music)
[00:05:14.964 --> 00:05:18.505]  Let's put on the screen for TV viewers so I can read it to radio listeners.
[00:05:19.025 --> 00:05:21.626]  Today's live show headline.
[00:05:22.498 --> 00:05:24.359]  Because it really says it all.
[00:05:25.040 --> 00:05:29.082]  And if we're going to beat the globalists, we need to understand what we're up against and what we're fighting.
