[00:00:00.000 --> 00:00:02.000]  [Gun cocks]
[00:00:02.000 --> 00:00:04.000]  [Gunshot]
[00:00:04.000 --> 00:00:06.000]  [Music]
[00:00:06.000 --> 00:00:12.599]   And it's time for humanity to stand up in the end for war and say I don't know what's going to happen at the end of
[00:00:12.599 --> 00:00:14.000]  this, but you want to fight?
[00:00:13.706 --> 00:00:15.507]  You better believe you've got one!
[00:00:15.547 --> 00:00:15.987]  We're live.
[00:00:18.127 --> 00:00:23.629]  From the front lines of the Information War, it's Alex Jones.
[00:00:23.789 --> 00:00:25.669]  Sunday, August 7th.
[00:00:25.729 --> 00:00:27.770]  Massive four-hour transmission lined up.
[00:00:28.230 --> 00:00:29.430]  Spread the word, patriots.
[00:00:29.310 --> 00:00:34.189]   You are the Paul Revere's of the 21st century and a battle for the future of humanity
[00:00:34.189 --> 00:00:53.730]   For less than 20 minutes Alex Jones questioned the official narrative of the Sandy Hook school shooting
[00:00:54.078 --> 00:00:58.100]  Because for the so-called truther community, that was the big story.
[00:00:58.380 --> 00:01:00.701]  And so he did his job and covered the story.
[00:01:01.161 --> 00:01:05.383]  Just like he's done for the other 1.8 million minutes of his career.
[00:01:05.803 --> 00:01:15.825]  Alex Jones has been questioning the official narrative of the corrupt mainstream media and exposing the authoritarian cabal hiding in the shadows for 28 years.
[00:01:16.326 --> 00:01:21.747]  And over time, this revival of truth has grown into millions worldwide.
[00:01:22.427 --> 00:01:30.909]  Alex Jones expanded his broadcast by selling a line of products focused on healing from the toxic world of a corrupt system.
[00:01:31.269 --> 00:01:40.296]  Which has allowed InfoWars to remain a free public broadcast to combat the dangerous lies of the mainstream media.
[00:01:40.396 --> 00:01:49.424]  In 2018, with zero evidence of their wild claims, a George Soros-funded lawsuit was filed against Alex Jones and InfoWars.
[00:01:49.964 --> 00:01:54.425]  Four months later, big tech removes InfoWars from the internet.
[00:01:54.705 --> 00:02:04.287]  We were meant to be destroyed four years ago, but thanks to an awakened audience that cares about the truth, the InfoWars signal has only grown stronger.
[00:02:04.587 --> 00:02:16.430]  And now they are no longer hiding the fact that they are standing on the graves of dead children and using their grieving parents as a political weapon to silence all of alternative news media.
[00:02:16.730 --> 00:02:25.404]   I ask that we Take Alex Jones' platform that he talks about away.
[00:02:25.424 --> 00:02:30.428]  I ask that you make certain he can't rebuild the platform.
[00:02:30.988 --> 00:02:31.949]  That's what matters.
[00:02:34.076 --> 00:02:44.302]  Take him out of this discourse, of this misinformation, of this peddling of lies, and make sure he can't do it again.
[00:02:45.302 --> 00:02:54.708]  Alex Jones is patient zero for our society's inability to speak without lies.
[00:02:55.468 --> 00:02:59.971]  He is patient zero for alternative facts.
[00:03:00.643 --> 00:03:09.510]  And according to Judge Gamble, acting like O'Brien straight out of George Orwell's 1984, the judge decides what is true.
[00:03:09.550 --> 00:03:15.635]  You may not say to this jury that you comply with the discovery.
[00:03:17.117 --> 00:03:18.238]  That is not true.
[00:03:19.038 --> 00:03:20.439]  You may not say it again.
[00:03:21.080 --> 00:03:24.443]  You may not tell this jury that you are bankrupt.
[00:03:24.963 --> 00:03:26.745]  That is also not true.
[00:03:27.205 --> 00:03:29.447]  You're already under oath to tell the truth.
[00:03:30.748 --> 00:03:37.072]  You've already violated that oath twice today in just those two examples.
[00:03:37.893 --> 00:03:47.319]  It seems absurd to instruct you again that you must tell the truth while you testify, yet here I am.
[00:03:47.679 --> 00:03:50.541]  You must tell the truth while you testify.
[00:03:50.561 --> 00:03:53.003]  This is not your show.
[00:03:53.243 --> 00:03:54.404]  Do you understand?
[00:03:54.743 --> 00:04:00.903]   what I have said. Yes, I believe what I said was true. So I guess you believe everything you say
[00:04:00.903 --> 00:04:07.623]   is true, but it isn't. Your beliefs do not make something true. That is what we're doing here.
[00:04:07.623 --> 00:04:13.783]   Just because you claim to think something is true does not make it true. There's going to be a large
[00:04:13.783 --> 00:04:18.824]   set of plaintiffs who are going to be dividing up the corpse of InfoWars in the bankruptcy estate.
[00:04:19.863 --> 00:04:26.663]   The decision to terminate the InfoWars broadcast is not in the hands of this crooked cabal.
[00:04:27.519 --> 00:04:32.703]  It is and always has been the will of our audience that decide our fate.
[00:04:33.243 --> 00:04:39.267]  The InfoWars audience has mobilized and awakened the world to the threat that is globalism.
[00:04:39.707 --> 00:04:42.529]  And with your continued support, we will keep going.
[00:04:43.189 --> 00:04:45.631]  Join us now and support the InfoWars.
[00:04:49.429 --> 00:04:50.210]  Absolutely.
[00:04:50.250 --> 00:04:52.593]  We got a hell of a broadcast lined up for you today.
[00:04:52.693 --> 00:04:54.776]  Wait until we cover when we come back.
[00:04:55.456 --> 00:05:13.336]  I'm not letting them distract me from the main issues.
[00:05:13.952 --> 00:05:15.414]  You want to stop tyranny?
[00:05:15.674 --> 00:05:16.815]  Well, so does he.
[00:05:17.136 --> 00:05:22.136]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:22.136 --> 00:05:27.136]  [ Music ]
[00:05:27.136 --> 00:05:33.136]   I am honored and blessed to be here in the Crucible in the arena with you this evening.
[00:05:33.862 --> 00:05:37.704]  This live, Sunday, August 7th, worldwide broadcast.
[00:05:38.165 --> 00:05:39.706]  We'll be here for the next four hours.
[00:05:41.427 --> 00:05:46.411]  And just remember, the power structure is working around the clock to silence this information.
[00:05:47.551 --> 00:05:56.678]  He's working tirelessly to stop the populist pro-human voices that stand against their Great Reset and the New World Order.
[00:05:58.717 --> 00:06:05.342]  The new spending bill has been passed in the Senate, is being sent back to the House of Representatives.
[00:06:07.483 --> 00:06:10.526]  Mnuchin's treason and treachery has allowed it to happen.
[00:06:11.666 --> 00:06:30.749]   In it is shutting down more coal plants, shutting down more oil drilling, shutting down more energy development in the United States, and is a certain Death blow to what's left of our economy if you think the nation is already in trouble.
[00:06:31.429 --> 00:06:34.890]  And there's a bunch of gun bans inside the legislation as well.
[00:06:34.990 --> 00:06:36.311]  This is hellish.
[00:06:37.911 --> 00:06:40.052]  Now I want to explain something here that's very critical.
[00:06:40.652 --> 00:06:45.134]  In the hierarchy of what I believe is the most important issues, you may agree, you may disagree.
[00:06:46.134 --> 00:06:53.677]  During the weekday shows this week, we'll be opening the phones up a lot to get your take on all this, but number one issue is a relationship with God and being a good, decent person.
[00:06:55.908 --> 00:06:58.288]  And after that, we see the temporal issues taking place.
[00:06:58.929 --> 00:07:06.890]  64 million extra people, the UN says, starving to death the last 32 months during the globalist lockdown that in the third world is still ongoing.
[00:07:08.470 --> 00:07:10.511]  The collapse of civilization.
[00:07:10.531 --> 00:07:11.471]  60 plus million starving to death.
[00:07:12.131 --> 00:07:16.672]  Tens of millions around the world have died after taking the COVID shots.
[00:07:17.012 --> 00:07:23.713]  I'm going to show you mainstream news, insurance company press releases coming up next segment.
[00:07:25.399 --> 00:07:29.362]  So, mass starvation and collapse of the third world, flooding the first world.
[00:07:29.762 --> 00:07:30.463]  Run by the UN.
[00:07:33.364 --> 00:07:34.405]  The replacement migration.
[00:07:36.407 --> 00:07:39.188]  Tens of millions dying from the poison shots already.
[00:07:39.549 --> 00:07:40.689]  Imagine how bad it's going to get.
[00:07:42.671 --> 00:07:49.996]  Then, the collapsing borders, the wars, the fentanyl being shipped in, the pedophilia being promoted via drag queen pedophile time.
[00:07:51.325 --> 00:07:56.249]  The list goes on and on of the attack happening on our civilization.
[00:07:59.072 --> 00:08:07.139]  And when you look at what they're doing, it's total war against our civilization.
[00:08:08.780 --> 00:08:11.623]  Senate passes sweeping tax climate change package.
[00:08:12.824 --> 00:08:13.985]  We'll go to the House next.
[00:08:14.505 --> 00:08:24.451]  It hires 80-plus thousand IRS agents in the legislation to target blue-collar and middle-class people to shut down small businesses.
[00:08:24.971 --> 00:08:25.732]  What do you think?
[00:08:27.213 --> 00:08:38.181]  The lockdowns were for six months in 2020 and longer in places like California and New York over a year, saying small businesses are not essential, but big corporations are essential.
[00:08:38.441 --> 00:08:40.623]  That's designed to destroy small business.
[00:08:40.963 --> 00:08:42.785]  That's designed to consolidate power.
[00:08:43.025 --> 00:08:45.527]  That's designed to siege an economic war.
[00:08:47.448 --> 00:09:16.290]   So the hierarchy of issues, mass starvation, new lockdowns, forced injections, mass death, The eve of World War III, huge wars taking place around the planet, the proxy war in Ukraine, the collapsing borders, tripling of the average of suicide, crime rates exploding, George Soros buying up thousands of DAs and accounting attorneys, having them stand down for real crime, while persecuting their political enemies.
[00:09:16.531 --> 00:09:17.351]  That's all huge.
[00:09:17.771 --> 00:09:22.175]  And down there at the bottom is the persecution of Alex Jones and his show trials.
[00:09:24.821 --> 00:09:33.988]  But then why wasn't the number one story off and on, on Instagram, on Google, on Facebook, on Twitter, in the last two weeks, Alex Jones?
[00:09:34.588 --> 00:09:35.989]  Every day we've printed number one.
[00:09:37.170 --> 00:09:40.432]  Thousands and thousands and thousands and thousands of articles.
[00:09:40.833 --> 00:09:47.678]  Every corporate TV station, every network lying about us, attacking, saying we're the enemy, we're the problem, shut us down.
[00:09:49.841 --> 00:09:50.441]  Don't you see it?
[00:09:51.162 --> 00:09:54.864]  When they talk about Alex Jones, they're talking about you.
[00:09:55.364 --> 00:09:58.026]  When I say this, you need to really let that sink in.
[00:09:58.386 --> 00:10:00.887]  They see me as the populist resistance.
[00:10:01.447 --> 00:10:03.368]  They see me as everything they hate.
[00:10:05.189 --> 00:10:07.631]  Pro-human, pro-God, pro-family, pro-truth.
[00:10:08.111 --> 00:10:11.313]  Asking questions not daunted by them, not intimidated.
[00:10:12.739 --> 00:10:18.942]  They see that dauntless spirit, that indomitable spirit as their enemy because they hate you.
[00:10:19.262 --> 00:10:25.625]  Whether you're white, or brown, or black, or gay, or straight, or old, or young, or where you're from.
[00:10:26.845 --> 00:10:30.007]  They want to break your will and they want to dominate and control you.
