[00:00:00.169 --> 00:00:06.313]  China and the globalists will roll out the next phase of COVID hysteria ahead of new lockdowns.
[00:00:06.974 --> 00:00:11.997]  And we know Fauci and Gates and others have said, oh, look in the fall for it to be back at new lockdowns.
[00:00:12.477 --> 00:00:16.900]  The head health minister in Canada came out a month ago and again yesterday said the same thing.
[00:00:17.361 --> 00:00:22.084]  So they're clearly pre-programming and preparing everyone for this.
[00:00:23.365 --> 00:00:27.427]  And last time, 26 months ago, they started the hysteria in China.
[00:00:28.684 --> 00:00:39.568]  And now, we're doing it again, and Xi is working closely with Bill Gates and the Globalist on record to coordinate and choreograph this whole rollout.
[00:00:40.488 --> 00:00:43.970]  So the Zero Hedge article is like, oh, Xi's having trouble.
[00:00:44.030 --> 00:00:50.612]  He tried to save everybody from the COVID, but it just got out of control.
[00:00:50.672 --> 00:00:51.972]  His martial law didn't work.
[00:00:52.032 --> 00:00:52.993]  What is he going to do?
[00:00:53.353 --> 00:00:55.754]  He's not going to have a zero COVID policy now.
[00:00:56.414 --> 00:01:11.148]  Well, it's acting like he failed with martial law and failed with people kneeling and being scanned and failed with the robots and drones flying around and failed with people being welded into their homes and electric fences being put up around their houses so they couldn't get out.
[00:01:11.548 --> 00:01:17.254]  All this dystopic martial law rollout for China and the world is not a failure of Xi.
[00:01:18.641 --> 00:01:29.503]  It's showing them the pretext and the excuse and showing the world how the police state's supposed to work with all of our media pointing at it and saying, look, that's what we need here.
[00:01:29.864 --> 00:01:31.364]  That's what they do in communist China.
[00:01:31.744 --> 00:01:33.524]  That's what they do in authoritarian Australia.
[00:01:34.144 --> 00:01:39.983]   But it's all part of the Build Back Better, Davos group, globalist cult that's coordinating this whole thing with
[00:01:39.983 --> 00:01:40.304]  China.
[00:01:40.304 --> 00:01:46.304]  [Music]
[00:01:46.304 --> 00:01:53.803]   And the title of this session Are we ready for a new world order?
[00:01:54.523 --> 00:01:57.005]  Ladies and gentlemen, it is Wednesday, April 6.
[00:01:57.445 --> 00:02:07.772]  The year is 2022, and we have very important developments concerning the globalist plan to relaunch the COVID-19 lockdowns.
[00:02:08.213 --> 00:02:09.774]  We're about to lay that out in a moment.
[00:02:09.834 --> 00:02:11.415]  Again, thank you for joining us.
[00:02:11.895 --> 00:02:16.178]  Paul Joseph Watson, Owen Schroyer and others will be taking over here in just a few minutes.
[00:02:17.239 --> 00:02:17.859]  Front and center.
[00:02:18.900 --> 00:02:33.229]   If we don't identify the globalists and the corporate crime syndicate as enemies of humanity, and if we don't address the fact that they're the ones on record orchestrating the engineered collapse of industrial civilization, Then we have no hope.
[00:02:33.910 --> 00:02:42.634]  The good news is, as you've seen around the world with elections and with our own Congress beginning to talk about it, the world is awakening to the real threat.
[00:02:43.015 --> 00:02:47.117]  The question is, will we wake up fast enough to reverse this?
[00:02:48.358 --> 00:02:53.941]  Front and center for them is to demonize and attack anyone that talks about this.
[00:02:55.081 --> 00:03:08.132]  I am here in Connecticut with the whole Democratic Party funded, run, anti-free speech, anti-gun, Sandy Hook charade that's going on with their attempts to demonize me and set the precedent to ban everybody's speech.
[00:03:08.973 --> 00:03:12.996]  And the first thing they brought up was, you believe in a New World Order.
[00:03:13.497 --> 00:03:14.818]  You believe in one world government.
[00:03:15.378 --> 00:03:19.182]  You believe in an armed overthrow of the New World Order.
[00:03:20.842 --> 00:03:46.288]  So again, they're trying to demonize me as a terrorist who opposes the one world government that doesn't exist at the same time because the New York Times says so, even though just last week Klaus Schwab had their big event in Dubai titled World Government Conference and in it, Schwab and Harari and all the rest of the same cast of characters, James Bond villains, said the post-human world is here.
[00:03:47.088 --> 00:03:54.071]  And that the world economy is collapsing, but don't worry, they're going to build a new green system on its ashes, build back better.
[00:03:54.411 --> 00:03:57.493]  And Booty Judge came out and said the same thing here in the U.S.
[00:03:58.013 --> 00:04:03.295]  But that's okay, because again, they're allowed to push world government, corporate world government.
[00:04:04.356 --> 00:04:05.696]  We're just not allowed to oppose it.
[00:04:06.296 --> 00:04:11.499]  When we talk about it, we're crazy and violent, and it doesn't exist.
[00:04:13.297 --> 00:04:14.318]  That's gaslighting.
[00:04:14.358 --> 00:04:15.139]  That's brainwashing.
[00:04:15.159 --> 00:04:20.884]  So here's this former federal prosecutor who's prosecuting the First Amendment and all of our freedoms.
