[00:00:00.290 --> 00:00:00.791]  It's here.
[00:00:01.774 --> 00:00:03.258]  We all live to see it.
[00:00:04.762 --> 00:00:05.845]  In the year 2022, racing towards 2030.
[00:00:09.690 --> 00:00:15.872]  The New World Order's agenda to end free societies worldwide and establish a cashless society worldwide.
[00:00:15.912 --> 00:00:32.537]  Dictatorship to carry out the forced depopulation of 90% and those that live will be forced to become cyborg transhumanist in the official statements by the Bilderberg Group's public spokesperson Klaus Schwab and his high priest Yuval Harari.
[00:00:33.878 --> 00:00:34.558]  Unbelievable.
[00:00:36.195 --> 00:00:43.917]  Trudeau, and we're going to play the clip coming up next segment, said that he wants a dictatorship.
[00:00:44.637 --> 00:01:07.322]   And Klaus Schwab said, we'll play that clip, that Trudeau, Justin Trudeau, whose father admired dictators and he says he admires dictatorships and dictators and basic dictatorships, is now moving to ban the sale of any type of semi-automatic or handgun And then, of course, confiscate is the next phase.
[00:01:07.402 --> 00:01:14.107]  It's an exact formula that they have followed in other Commonwealth countries around the world, and Canada is not really independent.
[00:01:14.508 --> 00:01:17.450]  It's under the Governor General of the British Empire.
[00:01:18.210 --> 00:01:28.643]   This is all part of the defanging And the domestication of the people of the world so that we will not resist while we are forcibly depopulated.
[00:01:28.943 --> 00:01:31.525]  And that, my friends, is the rest of the story.
[00:01:31.565 --> 00:01:32.246]  We're going to come back.
[00:01:33.006 --> 00:01:34.588]  More on the Canadian gun ban.
[00:01:35.028 --> 00:01:40.353]  Biden has let slip their plan for guns here, banning the ammunition in calibers.
[00:01:41.013 --> 00:01:42.113]  Not just guns now.
[00:01:42.813 --> 00:01:47.935]  It's all coming up on this special emergency transmission.
[00:01:48.235 --> 00:01:50.375]  The last day of May 2022.
[00:01:50.755 --> 00:01:52.456]  Stay with us and share the links.
[00:01:52.616 --> 00:01:53.816]  Banned dot video.
[00:01:54.196 --> 00:01:55.356]  Banned dot video.
[00:01:55.957 --> 00:01:57.057]  Newswars dot com.
[00:01:57.077 --> 00:02:03.038]  Rallying patriots worldwide in defense of human liberty.
[00:02:02.878 --> 00:02:13.236]  It's Alex Jones.
[00:02:13.236 --> 00:02:14.236]  Massive inflation.
[00:02:14.292 --> 00:02:15.253]  Exploding crime.
[00:02:16.053 --> 00:02:17.034]  Collapsing borders.
[00:02:21.099 --> 00:02:22.920]  Announcements of future lockdowns.
[00:02:24.042 --> 00:02:26.064]  World IDs to even leave your home.
[00:02:27.165 --> 00:02:29.107]  Forced injection with GMO.
[00:02:30.768 --> 00:02:32.210]  Nanotech filled poison.
[00:02:33.251 --> 00:02:33.832]  And of course...
[00:02:36.857 --> 00:02:44.428]  The United Nations' unitary agenda of disarming any civilian population on Earth so that the state has a monopoly of power.
[00:02:45.595 --> 00:02:51.740]  That's where we are in the year 2022, on this May 31st, Tuesday transmission.
[00:02:52.201 --> 00:03:09.976]  Here he is, the puppet leader, obviously stole the last election, fresh off of banning protests and declaring martial law, announcing the most draconian gun control ever seen in North America, ahead of total confiscation, following the same model of New Zealand, the UK, and Australia.
[00:03:11.547 --> 00:03:18.372]  We're introducing legislation to implement a national freeze on handgun ownership.
[00:03:19.612 --> 00:03:30.339]  What this means is that it will no longer be possible to buy, sell, transfer, or import handguns anywhere in Canada.
[00:03:31.881 --> 00:03:35.163]  In other words, we're capping the market for handguns.
[00:03:39.335 --> 00:03:40.077]  Look at the cultists.
[00:03:40.779 --> 00:03:42.322]  All triple-backs wearing their masks.
[00:03:43.185 --> 00:03:44.007]  Man, this is a cult.
[00:03:44.809 --> 00:03:45.731]  The Nazi armbands?
[00:03:45.771 --> 00:03:46.392]  They wore masks.
[00:03:50.239 --> 00:04:03.542]  As a further part of this new legislation, we're also fighting gun smuggling and trafficking by increasing maximum criminal penalties and providing more tools for law enforcement to investigate firearm crimes.
[00:04:04.423 --> 00:04:12.225]  And we'll require the permanent alteration of long gun magazines so they can never hold more than five rounds.
[00:04:13.405 --> 00:04:19.291]  These are actions that doctors, experts, and chiefs of police have been calling for for years.
[00:04:20.111 --> 00:04:22.233]  And we're acting on their advice.
[00:04:23.895 --> 00:04:30.021]  I also want to thank the advocates, many of whom are here today for your tireless efforts.
[00:04:30.041 --> 00:04:33.204]  The people guarding this criminal won't have any produced magazines.
