[00:00:00.757 --> 00:00:02.158]  World War Three.
[00:00:03.219 --> 00:00:05.021]  David Petraeus says U.S.
[00:00:05.101 --> 00:00:09.926]  may lead multinational force against Russia in Ukraine.
[00:00:10.807 --> 00:00:17.953]  He goes on to say the force is ready and prepared, but it won't be NATO, just NATO backed and commanded.
[00:00:18.534 --> 00:00:22.498]  That is NATO in direct war in Europe with the Russians.
[00:00:27.399 --> 00:00:31.944]  Rallying patriots worldwide in defense of human liberty.
[00:00:32.183 --> 00:00:34.183]  It's Alex Jones.
[00:00:34.183 --> 00:00:45.183]  It's Monday, October 24th, 2022 on this Monday edition.
[00:00:45.437 --> 00:00:46.278]  Thank you for joining us.
[00:00:47.199 --> 00:00:50.782]  I come to the viewers and listeners of this broadcast with extremely grave news.
[00:00:52.344 --> 00:01:01.153]  I've looked at all the different angles, played through the different scenarios, and analyzed globalist propaganda in Ukraine going back more than eight years.
[00:01:02.134 --> 00:01:12.965]  In fact, longer than that, it was in Zbigniew Brzezinski's plan written in the 1970s to bring down the Soviet Union with a pincer attack by fomenting a rebellion in Afghanistan and also one in Ukraine.
[00:01:14.485 --> 00:01:19.970]  Well, decades later, they actually launched the attack in Ukraine, overthrowing the elected government.
[00:01:20.451 --> 00:01:23.414]  Whether you're for the Russians or against the Russians, it doesn't even matter at this point.
[00:01:24.315 --> 00:01:46.550]   Mainline political analysts like Zbigniew Brzezinski's counterpart, Henry Kissinger, and the Pope, and many others, like Benjamin Netanyahu of all people, have gone on the news and said, this needs to de-escalate, this needs to stop now, because it is going to lead to tactical nuclear weapons, and that will probably lead to the use of theater weapons.
[00:01:47.711 --> 00:02:13.007]   So when you look at all the different angles surrounding what's currently unfolding in this escalation, I have said many times, and remember I predicted back in October of last year the Russians would invade by February, that they would use a dirty bomb, false flag attack, that is the globalist NATO, the Ukrainians, as a pretext to bring NATO fully into the conflict.
[00:02:13.947 --> 00:02:14.208]  Now U.S.
[00:02:14.228 --> 00:02:19.010]  troops have been massing on the border with Ukraine.
[00:02:20.100 --> 00:02:26.865]  And they've been training with a multinational force that they're not calling NATO, but is a NATO force.
[00:02:28.026 --> 00:02:43.837]  And General Petraeus and other key globalists have been making the rounds on international television and in print saying that if the Russians engage in any radiological dirty bombs or chemical attacks, that's a red line and the U.S.
[00:02:45.205 --> 00:02:54.109]  troops army forces the Rangers will then go in directly against the Russians.
[00:02:55.930 --> 00:03:00.999]   Petraeus went on to say that I had a 40th slip calling him betrayus.
[00:03:01.039 --> 00:03:13.509]  Betrayus went on to say, in the full interviews and articles are on InfoWars.com, read it and see it for yourself, that this would then escalate to war and would finally defeat Russia, and that even if the U.S.
[00:03:13.549 --> 00:03:21.155]  doesn't fully come into the war publicly, Russia's still going to lose, but that he predicts that Russia is going to escalate themselves.
[00:03:21.976 --> 00:03:24.098]  So the globalists need a false flag.
[00:03:24.118 --> 00:03:33.285]   They need a pretext To openly bring NATO under another name, a quote, multinational force, in to directly engage in a war with the Russians.
[00:03:33.305 --> 00:03:34.166]  Now already U.S.
[00:03:34.186 --> 00:03:37.528]  troops and advisors and mercenaries have been there for eight years.
[00:03:38.209 --> 00:03:44.433]  Already there are special forces troops that have been sheet-dipped in the Ukrainian military leading and coordinating the attacks.
[00:03:45.669 --> 00:03:59.222]  We are in a de facto war with Russia right now, and we've definitely sleptwalk into it, because even though over 80% of Americans in major polls are against the war, they still on average don't see the war as the number one issue.
[00:03:59.262 --> 00:04:03.166]  They see inflation, they see crime, they see open borders as the number one issue.
[00:04:03.626 --> 00:04:09.512]  And those are certainly bad things being run by the very same WEF and the globalist Great Reset Agenda.
[00:04:10.593 --> 00:04:31.365]  When you pull back and you understand that the New World Order needs a major global crisis on top of the COVID crisis as a smokescreen for their great reset and the establishment of this World ID, new digital global central bank currency, then it all falls into place.
[00:04:32.245 --> 00:04:35.467]  Why would they inject billions of people with a poison shot?
[00:04:36.027 --> 00:04:37.588]  Why would they already kill tens of millions?
[00:04:38.129 --> 00:04:41.711]  Why would they be shutting off the economy and shutting off the pipelines and shutting off oil drilling?
[00:04:42.311 --> 00:04:45.773]  Because it's all part of bringing down civilization.
[00:04:45.813 --> 00:04:52.977]  We have to understand they've gone from the test phase of this to the operational phase of this and that's why we're in so much danger.
[00:04:53.698 --> 00:05:01.921]   Now when we come back I'm going to explain The rest of the different pieces of evidence we have and break down and predict where this is going.
[00:05:02.281 --> 00:05:08.485]  There's also a good chance for us to stop it if we understand the larger program and raise the alarm as modern Paul Revere's.
[00:05:08.965 --> 00:05:11.767]  We'll be right back on the other side of this live Monday broadcast.
[00:05:12.207 --> 00:05:14.108]  Owen Schroer and a string of amazing guests.
[00:05:14.188 --> 00:05:15.789]  Your Calls and More is coming up.
[00:05:16.169 --> 00:05:19.411]  Remember, if you're watching or listening to this transmission, you are the resistance.
[00:05:19.791 --> 00:05:20.772]  We are InfoWars.
[00:05:21.212 --> 00:05:22.393]  Tomorrow's news today.
[00:05:23.712 --> 00:05:28.056]  Ladies and gentlemen, thank you very much for joining us on this live Monday broadcast.
[00:05:28.896 --> 00:05:33.139]  I'm your host, Alex Jones, bringing you very, very solemn, very, very serious news.
[00:05:33.320 --> 00:05:39.625]  We've been warning the last eight years that the globalists were planning a NATO-backed war in Ukraine against Russia.
[00:05:41.277 --> 00:05:47.301]  And now after the overthrow of the government eight years ago, the escalation of the conflict, the Russians invaded, as we all know, in February.
[00:05:48.321 --> 00:05:53.704]  And we predicted in October of last year that would happen by the end of February from our research and intel.
[00:05:54.445 --> 00:05:58.007]  And unfortunately, I've got even worse news for you right now.
[00:05:58.988 --> 00:06:00.628]  There's a lot of different factors that go into this.
[00:06:00.648 --> 00:06:02.710]  I'll try to lay them out here and then give you my analysis.
[00:06:03.430 --> 00:06:18.876]   And unfortunately, my analysis is about 90% at this point that there's going to be Full-on public war with Russia and at least a tactical nuclear war In Europe and I know that's the unthinkable
[00:06:19.969 --> 00:06:43.118]  But the reason we know that that's where they're going is the globalists need a smokescreen for the collapse of the world financial system, and on its ashes to roll out these central bank programmable digital currencies, which again are not Bitcoin, they're the opposite, that are centralized and controlled, and then they can program how you can use them where and when.
[00:06:45.078 --> 00:06:46.079]  Now, let's go back.
[00:06:47.481 --> 00:07:31.120]   Before we talk about the latest developments with Putin and others getting on the phone to world leaders over the weekend and saying they had credible intel that Ukraine backed by NATO groups is set to detonate a dirty bomb, not a tactical nuke, Not, not, not a nuclear detonation of any type, but a classic radiological bomb where you have a bunch of radiological pieces or parts jacketed with explosives and that basically makes a large area where it's dispersed, extremely radioactive, similar to when a nuclear reactor
[00:07:32.370 --> 00:07:33.050]  Uh, melts down.
[00:07:34.391 --> 00:07:35.972]  Now, let's start walking through the pieces here.
[00:07:37.112 --> 00:07:48.017]  After the Russians came out and warned of that, Zelensky, the dictator now of Ukraine, came out and said, oh, that's ridiculous, it's the Russians that are about to do this.
[00:07:48.717 --> 00:07:50.218]  We're not going to stage any false flags.
[00:07:51.339 --> 00:07:58.522]  Now remember, our corporate media has tried to blame Russia for the pipeline explosion, and they even tried to claim Russia was behind the bridge as a false flag.
[00:07:59.963 --> 00:08:05.088]  But Ukraine couldn't contain themselves and brag that they'd done it with British intelligence MI6.
[00:08:05.749 --> 00:08:10.413]  So these are all massive escalations, all massive upping the ante.
[00:08:11.474 --> 00:08:48.611]   Now we have General Petraeus and a bunch of other globalists all over the news, the articles are on Infowars.com, saying that there is a multinational group of troops Training right now in Poland and in Germany and in other areas made up of Army Special Operations Army Rangers and others that are preparing to lead a major push into the east of Ukraine in a direct conflict with Russian forces
[00:08:49.878 --> 00:09:01.027]  And Petraeus went on to say that all they need is some type of provocation like a chemical or radiological attack not just a tactical nuclear weapon.
[00:09:02.648 --> 00:09:03.869]  So they are telegraphing.
[00:09:05.441 --> 00:09:08.342]  to the world that these are the red lines.
[00:09:09.303 --> 00:09:13.625]  Just like they said if Assad used chemical weapons in Syria that the U.S.
[00:09:13.645 --> 00:09:14.666]  would come into the war openly.
[00:09:15.366 --> 00:09:39.239]   Well, then we know because the videos came out, it was confirmed that U.N.-funded jihadi groups were the ones that launched more than 10 chemical attacks Over several years of the Syrian war in an attempt in a false flag to frame the Assad regime as a pretext to again publicly bring not just the US but Israel and NATO into that war.
[00:09:39.999 --> 00:09:45.981]  Notice that the controlled Western corporate media always criticizes anybody that talks about false flags as if they don't exist.
[00:09:46.661 --> 00:10:13.589]   But then on the eve of the Russian invasion in February, the CIA spokesperson at the State Department gave a speech and there was questionable reporters where he said the Russians are planning false flags, car bombings and the like as a pretext as their cover to invade Ukraine and indeed there is some evidence that the Russians did indeed set off some car bombs and things as a pretext to say that Russian held areas were being attacked and so they had to bring their main military in.
[00:10:14.129 --> 00:10:23.547]   The point is these things do go on and so now you have the Russians saying that we don't want an escalation And Nature wants to fully and publicly come in.
[00:10:24.662 --> 00:10:37.087]  Under the guise of this multinational force that Petraeus and others admit is training, is massing, and is preparing, well then do we believe Putin or do we believe NATO about who may stage this provocation?
[00:10:37.127 --> 00:10:38.147]  Well, who stands to gain?
[00:10:38.447 --> 00:10:43.286]   Who has a motive to bring this multinational force in right when the Russians are trying
[00:10:43.286 --> 00:10:53.286]   to mobilize and push back the already covert NATO commanded system with Ukrainian troops,
[00:10:53.286 --> 00:10:54.947]  contractors and others?
[00:10:54.947 --> 00:10:58.447]  So obviously, who stands to gain is NATO, is the globalists.
[00:10:58.447 --> 00:11:04.887]   They're the ones already putting out the red lines that there is any type of radiological
[00:11:04.887 --> 00:11:10.885]   or biological or chemical attack that they will have the pretext to then have open war
[00:11:10.885 --> 00:11:12.927]  with Russia already in a de facto war.
[00:11:13.744 --> 00:11:26.473]  So the globalists have the history, they have the motives, they have the background of doing things like this, and that makes them the prime suspects, just like with the destruction of the pipeline or the bridge, not the Russians.
[00:11:26.953 --> 00:11:28.394]  These are just facts.
[00:11:29.415 --> 00:11:37.477]  So we have to now pull back and ask, why would the multinational combine, the New World Order, the Davos Group, ally with Communist China?
[00:11:38.578 --> 00:11:41.679]  Why would they launch this war to begin with?
