[00:00:00.069 --> 00:00:01.290]  Yeah, Liberal World Order.
[00:00:01.310 --> 00:00:04.413]  I want to talk to everybody about what we can do about that announcement.
[00:00:04.993 --> 00:00:09.497]  And the first thing I think that people need to do is admit the problem.
[00:00:10.037 --> 00:00:14.641]  You need to admit that there is a hostile world government takeover.
[00:00:14.761 --> 00:00:19.264]  It is a very scary thing to admit that these people want you dead.
[00:00:19.765 --> 00:00:21.446]  They do not want you to have a family.
[00:00:21.646 --> 00:00:23.468]  They want an anti-human future.
[00:00:23.868 --> 00:00:27.331]  They are going to try to starve you out.
[00:00:27.987 --> 00:00:31.690]  By reducing energy, reducing crop yields, and creating war.
[00:00:31.750 --> 00:00:32.971]  They're going to try to kill you.
[00:00:33.131 --> 00:00:35.233]  You have to admit that to yourself, number one.
[00:00:35.514 --> 00:00:35.834]  That's right.
[00:00:35.854 --> 00:00:38.196]  They're in direct war against humanity.
[00:00:38.716 --> 00:00:39.977]  On record, they are the enemy.
[00:00:40.398 --> 00:00:44.461]  Anybody endorsing Great Reset Build Back Better is a literal enemy of humanity.
[00:00:45.882 --> 00:00:54.510]  Now that's hard for a lot of people to deal with, but once you get past that, it is very freeing, and instead of panicking, you just need to become the solution.
[00:00:55.069 --> 00:00:58.972]  And the first thing you need to do is to secure yourself and your family.
[00:00:59.453 --> 00:01:02.716]  So you just need to prepare for the pain that they're going to try to give you.
[00:01:03.096 --> 00:01:06.719]  Because just because they say they want to do this doesn't mean they're going to be able to.
[00:01:07.039 --> 00:01:14.846]  And they're putting us in pain to drive us into breaking down and accepting a world social credit score and universal basic income where they have complete control.
[00:01:16.187 --> 00:01:22.673]  And I hear a lot of people on here talking about how, you know, they started gardening or their neighbor has gardened or they're planning a garden and that is great.
[00:01:23.086 --> 00:01:36.034]  But it's starting to become later in the season, and one of the things you can do, let's say you don't have a lot of property, or you don't have a yard, or you live in a populated area, buy a little bit more food every time you go to the grocery store.
[00:01:36.054 --> 00:01:38.596]  And I'm not talking big stuff, I'm talking canned beans.
[00:01:38.636 --> 00:01:42.278]  That's right, because they'll only shut stuff down for a few months to make the average person break down.
[00:01:42.678 --> 00:01:44.840]  You've just got to be less weak than the last person.
[00:01:46.249 --> 00:01:52.551]  And don't forget about preparewithalex.com, My Patriot Supply, those are good as well, but if you don't have that much money, at least do something.
[00:01:52.891 --> 00:01:54.192]  You know where the CIA tunes in, right?
[00:01:54.212 --> 00:01:55.552]  You know where the Russians tune in?
[00:01:55.572 --> 00:01:56.853]  You know where everybody tunes in, right?
[00:01:56.893 --> 00:01:59.774]  You know who Tucker Carlson tunes in to, and Joe Rogan, Elon Musk?
[00:02:00.054 --> 00:02:03.155]  You know where they tune in, right?
[00:02:03.175 --> 00:02:05.896]  They tune in right here!
[00:02:05.916 --> 00:02:06.636]  InfoWars.
[00:02:06.795 --> 00:02:08.795]  Tomorrow's News Today.
[00:02:08.795 --> 00:02:22.795]  [Music]
[00:02:22.795 --> 00:02:24.795]  InfoWars.
[00:02:24.583 --> 00:02:25.504]  Tomorrow's news.
[00:02:25.764 --> 00:02:26.204]  Today.
[00:02:26.224 --> 00:02:49.122]  From the front lines.
[00:02:52.392 --> 00:02:57.479]  From the front lines of the Information War, it's Alex Jones.
[00:02:58.661 --> 00:03:03.661]  What we are looking at is good and evil, right and wrong.
[00:03:03.661 --> 00:03:05.661]  A new world order.
[00:03:05.661 --> 00:03:09.661]  A new world order.
[00:03:09.661 --> 00:03:13.661]  A new world order.
[00:03:13.661 --> 00:03:16.661]  A new world order.
[00:03:16.661 --> 00:03:19.661]  A new world order.
[00:03:19.661 --> 00:03:22.661]  We're not about to make that same mistake.
[00:03:22.661 --> 00:03:25.661]  Go away! Go away!
[00:03:26.661 --> 00:03:36.661]   Ladies and gentlemen, it is Friday, July 1st, in the year 2022.
[00:03:36.661 --> 00:03:40.901]  [MUSIC PLAYING]
[00:03:41.033 --> 00:03:49.896]  And despite our enemy's best efforts, thanks to you and the good Lord above, we are still in attack formation.
[00:03:51.716 --> 00:03:52.817]  Stay in attack formation.
[00:03:54.127 --> 00:03:55.427]  Thank you so much for joining us.
[00:03:55.487 --> 00:03:57.328]  We are kicking some globalist ass.
[00:03:58.068 --> 00:04:08.470]  I took off yesterday to take care of a bunch of critical, behind-the-scenes stuff, but I was working hard, and I'm not ready to announce some of this news yet, but it's very important.
[00:04:08.490 --> 00:04:10.171]  I should be able to tell you about it.
[00:04:10.631 --> 00:04:15.252]  Maybe today, probably sometime next week, but certainly some very, very good news.
[00:04:15.272 --> 00:04:16.032]  We'll fight for liberty.
[00:04:16.572 --> 00:04:17.932]  There was a big Supreme Court ruling.
[00:04:18.252 --> 00:04:20.613]  I gotta tell you, I don't put all my faith in the Supreme Court.
[00:04:21.732 --> 00:04:38.000]  And they've made a lot of bad rulings, but they have made a bunch of good ones the last week, two weeks as you know, and they just made a big ruling saying you can't have the EPA just randomly make law and shut down all the power plants and the coal power plants in America.
[00:04:38.340 --> 00:04:39.681]  We got rolling blackouts everywhere.
[00:04:40.281 --> 00:04:43.582]  And you can't say carbon dioxide is a pollutant when it's not.
[00:04:44.183 --> 00:04:46.084]  Carbon dioxide is what plants breathe.
[00:04:46.864 --> 00:04:50.646]  They try to confuse it with carbon monoxide that'll kill plants or humans.
[00:04:51.690 --> 00:04:56.753]  And so this is just massive news while they're busy announcing.
[00:04:57.854 --> 00:05:05.378]  I've got multiple clips today, saw multiple clips yesterday of White House officials saying, yeah, we're turning off the energy.
[00:05:05.939 --> 00:05:07.219]  We're moving to solar.
[00:05:07.259 --> 00:05:08.340]  We're moving to wind.
[00:05:09.341 --> 00:05:12.322]  If they built windmills and solar for 20 years, it couldn't power everything.
[00:05:12.383 --> 00:05:14.244]  It doesn't even work at those levels.
[00:05:14.264 --> 00:05:28.509]   So they're saying we are here to bankrupt The American people, while China and India and everybody else don't make any cuts, and now Russia was the third largest oil provider, now they're the biggest oil provider.
[00:05:29.729 --> 00:05:33.430]  In many ways, Russia's doing better during this war, and it's all at our expense.
[00:05:34.830 --> 00:05:42.411]  So, that is a huge, massive issue that ties in, again, with the Obama officials.
[00:05:42.831 --> 00:05:45.652]  That's not a Freudian slip, that's his third unelected term.
[00:05:47.136 --> 00:05:56.079]  Saying, yeah, we're going to bankrupt oil and gas and other fossil fuels.
[00:05:57.120 --> 00:05:58.440]  They're going to bankrupt you.
[00:05:58.520 --> 00:06:19.915]   And that ties in to this first clip we're going to play when we come back in the next segment, where they have the White House spokesperson on national television Saying it's a liberal world order and boy has this quote really gotten people's attention in a big way.
[00:06:20.596 --> 00:06:22.477]  So we got a bunch of news on that front.
[00:06:22.497 --> 00:06:24.058]  The attack on our energy is central.
[00:06:24.419 --> 00:06:27.581]  The attack on our bodies with the deadly shots and the bioweapons is central.
[00:06:28.061 --> 00:06:29.662]  The attack on the currencies is central.
[00:06:29.702 --> 00:06:31.964]  The attack on the national sovereignty and borders is central.
[00:06:32.384 --> 00:06:34.386]  The attack on our spirit is critical.
[00:06:34.986 --> 00:06:41.973]   It's absolutely A number one, and we're going to be going over all of it on this special Friday edition.
[00:06:41.993 --> 00:06:46.297]  We're going to have open phones and so much more here today.
[00:06:46.597 --> 00:06:48.639]  Infowars.com.
