[00:00:00.731 --> 00:00:01.532]  Monday Live!
[00:00:01.572 --> 00:00:06.775]  Humanity is carrying out its own great reset against the planet's corrupt elite.
[00:00:09.277 --> 00:00:16.543]  There is a populist movement of every color, of every race, of every persuasion that just wants freedom and wants civilization.
[00:00:17.784 --> 00:00:31.320]   And powerful corporate interests have doubled their wealth the last two years Well the average person has lost more than 25% of their wealth, and tens of millions of people have gone into poverty, and tens of millions have starved to death extra, according to the UN's own numbers.
[00:00:32.651 --> 00:00:39.435]  Not from the virus, but from the lockdown from the virus that Klaus Schwab brags was carried out for a great reset.
[00:00:40.196 --> 00:00:49.222]  And their whole globalist system is going down, and so they're trying to take us with them, with cultural division, with civil war, with violence, and they brag about it.
[00:00:49.462 --> 00:01:05.234]   Their only hope is to discredit nation-states and discredit capitalist systems By breaking them down with the lawlessness, with the open borders, with letting violent criminals out, with Democrat states passing laws that you can steal several thousand dollars worth of goods and not get arrested.
[00:01:05.254 --> 00:01:10.539]  And then you wonder why shoplifting and crime explodes and everything starts degenerating.
[00:01:10.899 --> 00:01:16.899]   From the front lines of the information war, it's Alex Jones.
[00:01:16.899 --> 00:01:32.498]  It's Monday, January 24th, 2022.
[00:01:32.510 --> 00:01:35.772]  InfoWars.
[00:01:36.132 --> 00:01:37.652]  Tomorrow's news today.
[00:01:37.471 --> 00:01:56.471]   Here we are my friends on this Monday, January 24th, 2022 transmission.
[00:01:56.471 --> 00:02:04.631]   I just had a very intense experience being interrogated by the January 6th committee
[00:02:05.551 --> 00:02:09.552]  They were polite, but they were dogged.
[00:02:10.572 --> 00:02:16.314]  And I take the whole process very, very seriously because I know that Adam Schiff is a forger.
[00:02:18.024 --> 00:02:28.255]  And has been caught faking emails and misquoting President Trump and claiming that, oh, here he is ordering the president of Ukraine.
[00:02:28.295 --> 00:02:34.061]  Here's a transcript of him telling the president of Ukraine that he's a mafia don.
[00:02:34.081 --> 00:02:35.102]  He better follow his orders.
[00:02:35.122 --> 00:02:37.905]  I mean, it's scary when you walk into that.
[00:02:37.945 --> 00:02:40.167]  You know the power of Congress, the power of the U.S.
[00:02:40.187 --> 00:02:40.588]  government.
[00:02:41.892 --> 00:02:46.854]  That's gone in and destroyed the whole third world countries and killed millions of people just for profit and power.
[00:02:47.654 --> 00:02:54.557]  And when you're in their sights, you know that they can basically make up or do anything they want to a point.
[00:02:56.358 --> 00:03:07.322]  And the point is what we've reached now in society and civilization, and that's the live show headline today, that there has been a global collapse in confidence in the system.
[00:03:08.686 --> 00:03:16.933]  And the globalists had intended to have a collapse in the confidence in our general society, but as a process they thought that they would then escape the blame for it.
[00:03:17.773 --> 00:03:24.919]  But that has not happened now, and the system has gotten the blame that it deserves.
[00:03:25.440 --> 00:03:38.357]   Now, again, the globalists were intending to bring down part of our civilization, And consolidate control throughout that process.
[00:03:38.397 --> 00:03:41.422]  But instead, it's now backfiring on them.
[00:03:42.023 --> 00:03:43.084]  In fact, there's the headline.
[00:03:43.826 --> 00:03:44.607]  Put it back on screen.
[00:03:44.627 --> 00:03:45.268]  That'd be wonderful.
[00:03:46.389 --> 00:03:53.001]   Monday live, humanity is carrying out its own great reset against Planet's corrupt elite.
[00:03:53.842 --> 00:04:01.708]  Populist movements worldwide have done an excellent job of exposing the New World Order corporate kleptocrats and their divide-and-conquer agenda.
