[00:00:00.000 --> 00:00:06.000]  [Screaming]
[00:00:06.000 --> 00:00:10.000]  [Explosion]
[00:00:10.000 --> 00:00:12.000]  [Music]
[00:00:12.000 --> 00:00:17.000]   Silence InfoWars before they can stop the real biological attack that's coming.
[00:00:16.949 --> 00:00:18.350]  And they will kill you and your family.
[00:00:18.671 --> 00:00:20.633]  Most of you will be dead soon if we don't stop them.
[00:00:21.253 --> 00:00:25.277]  You're gonna be in your houses, everything's locked down, the power's off, and you're dying remembering I told you this.
[00:00:25.777 --> 00:00:26.418]  We don't stop them.
[00:00:26.458 --> 00:00:27.159]  But that's okay.
[00:00:27.579 --> 00:00:30.262]  At that point, just get right with God and realize it was a satanic attack.
[00:00:30.582 --> 00:00:31.443]  What matters is your soul.
[00:00:31.963 --> 00:00:35.046]  You and your children will be vomiting up blood and bleeding out of every orifice in your body.
[00:00:36.187 --> 00:00:37.849]  But at least you'll be politically correct and trending.
[00:00:42.720 --> 00:00:47.663]  Rallying patriots worldwide in defense of human liberty.
[00:00:47.703 --> 00:01:08.615]  It's Alex Jones.
[00:01:08.735 --> 00:01:09.556]  InfoWars.
[00:01:09.856 --> 00:01:11.377]  Tomorrow's news, today.
[00:01:14.651 --> 00:01:16.972]  This is Uncle Sam with music and the truth until dawn.
[00:01:17.572 --> 00:01:21.213]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:01:21.653 --> 00:01:23.294]  The chair is against the wall.
[00:01:23.854 --> 00:01:25.494]  John has a long mustache.
[00:01:25.554 --> 00:01:28.535]  This is the heart of 1776!
[00:01:28.936 --> 00:01:30.176]  It's 12 o'clock, Americans.
[00:01:30.256 --> 00:01:31.596]  Another day closer to victory.
[00:01:31.415 --> 00:01:38.415]   And for all of you out there on and behind the lines, this is your song.
[00:01:38.415 --> 00:01:43.415]  [music]
[00:01:43.415 --> 00:01:45.415]  [beep]
[00:01:45.415 --> 00:01:47.415]  What you do?
[00:01:47.433 --> 00:01:52.077]  Well, BlackRock and Larry in particular are a great example of private sector leadership.
[00:01:52.798 --> 00:02:10.633]   You know, anyone who says that climate shouldn't be a factor in how you evaluate the future of a company, you know, that's not capitalism because companies that have emissions, you know, they are going to be subject to border adjustment tariffs or Taxes.
[00:02:11.394 --> 00:02:12.954]  You also have to think about companies.
[00:02:12.974 --> 00:02:18.696]  You know, if you're dealing with severe weather events, that's got to be factored in.
[00:02:18.776 --> 00:02:20.217]  Is the company ensuring that?
[00:02:20.417 --> 00:02:22.397]  Are they becoming more resilient?
[00:02:22.897 --> 00:02:30.160]  So the attacks are kind of illogical because climate does affect the economy, which does affect investments.
[00:02:30.720 --> 00:02:35.942]  The idea that we still need oil and natural gas is also, you know, fairly clear.
[00:02:36.462 --> 00:02:39.103]  We're not going to drain all the money away from those sectors.
[00:02:39.123 --> 00:02:40.723]  That's how people get to work today.
[00:02:40.783 --> 00:02:43.244]  It's how people avoid freezing to death in the winter.
[00:02:44.805 --> 00:02:50.426]  And, you know, people did get a little optimistic about how quickly the transition could be done.
[00:02:50.987 --> 00:02:58.489]  Now, without the Russian natural gas being available in Europe, you know, it's a setback.
[00:02:58.809 --> 00:03:02.970]  You know, we need to find non-Russian hydrocarbon sources to substitute for those.
[00:03:03.390 --> 00:03:16.334]  So there's coal plants running and a variety of things because, you know, keeping, you know, people warm, keeping those economies in decent shape is a priority.
[00:03:16.474 --> 00:03:23.436]  Now, on the other hand, it's good for the long run because people won't want to be dependent on Russian natural gas.
[00:03:24.016 --> 00:03:27.357]  So they'll move to these new approaches more rapidly.
[00:03:27.873 --> 00:03:29.714]  And you talk about companies protecting themselves.
[00:03:29.754 --> 00:03:33.295]  What do you think about the Fed stress testing banks for climate?
[00:03:36.636 --> 00:03:37.776]  That's the SCGs.
[00:03:38.196 --> 00:03:40.897]  It's Wednesday, October 19th, 2022.
[00:03:42.078 --> 00:03:51.781]  And the most important issue ever to take place in the human history of our planet is hiding in plain view.
[00:03:52.081 --> 00:03:58.325]   And I'm very angry at myself Because what I talk about, what the great danger is, I did yesterday.
