[00:00:00.149 --> 00:00:00.549]  It's on.
[00:00:00.769 --> 00:00:02.270]  The fight between good and evil is here.
[00:00:03.250 --> 00:00:07.011]  And a lot of people in the power structure have decided to not join with the New World Order.
[00:00:07.391 --> 00:00:09.132]  Now they see just how damn evil it is.
[00:00:09.152 --> 00:00:14.633]  Because we're now down to the point of literally cutting off the food, the water, not just the baby formula, the electricity.
[00:00:16.254 --> 00:00:18.594]  That's how they're going to win their fight against us is shut everything down.
[00:00:18.974 --> 00:00:21.115]  And what I'm saying is life and death.
[00:00:21.295 --> 00:00:23.716]  So please, just take a moment.
[00:00:24.176 --> 00:00:25.356]  Imagine you can hear a pin drop.
[00:00:26.116 --> 00:00:36.472]   Because I want what I'm about to say to really get home, okay?
[00:00:36.472 --> 00:00:42.353]   If the globalists think they can get away with their operation, they're going to do it.
[00:00:42.508 --> 00:00:48.473]  And they've already done a stress test in the last two years with the COVID lockdowns as a beta test for the next big move.
[00:00:49.093 --> 00:00:57.559]  Planetary collapse, mass riots, mass migration, war in the streets, total crime, UN takeover of what's left.
[00:00:57.840 --> 00:01:01.002]  It is all in progress now.
[00:01:02.443 --> 00:01:08.289]   And by the time the general public figures it out, It'll be too late to reverse it.
[00:01:08.329 --> 00:01:09.429]  We'll win long term.
[00:01:09.449 --> 00:01:13.990]  There's a lot of scenarios I've crawled through psychologically, mentally, spiritually.
[00:01:17.071 --> 00:01:17.911]  We will prevail.
[00:01:19.831 --> 00:01:26.831]   But the globalists were put in power by Satan to carry this out, and they're slaves, and they will execute this attempt.
[00:01:26.831 --> 00:01:36.831]  [music]
[00:01:36.680 --> 00:01:38.680]  It's Alex Jones.
[00:01:38.680 --> 00:01:56.680]  [Music]
[00:01:56.680 --> 00:02:01.680]  InfoWars, the most banned network in the world.
[00:02:02.598 --> 00:02:10.385]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[00:02:10.485 --> 00:02:18.192]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[00:02:18.413 --> 00:02:20.515]  As president, I will make it clear.
[00:02:21.375 --> 00:02:26.137]  That the United States will treat cyber attacks just like any other attack.
[00:02:26.677 --> 00:02:32.039]  We will be ready with serious political, economic, and military responses.
[00:02:32.099 --> 00:02:35.380]  They're voting for peace on planet Earth if they vote for Trump.
[00:02:35.460 --> 00:02:38.461]  But if they vote for Hillary, it's war.
[00:02:38.501 --> 00:02:41.082]  We came, we saw, he died.
[00:02:43.476 --> 00:02:45.499]  With her, you'll end up in World War III.
[00:02:45.859 --> 00:02:49.184]  I want the Iranians to know that if I'm the president, we will attack Iran.
[00:02:49.524 --> 00:02:57.414]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[00:02:59.335 --> 00:02:59.815]  The U.S.
[00:02:59.855 --> 00:03:03.477]  military has just raised the threat level to DEFCON 2.
[00:03:03.817 --> 00:03:11.442]  Meanwhile, Hillary Clinton is still threatening Russia with military action, following unconfirmed reports of further hacking.
[00:03:11.802 --> 00:03:14.143]  It's like she's not even concerned about the repercussions.
[00:03:14.503 --> 00:03:15.924]  Of course not, because she's... Hang on, guys.
[00:03:15.944 --> 00:03:17.365]  There's a really loud noise.
[00:03:18.885 --> 00:03:22.888]  Alright, looks like we're having a little bit of technical difficulties.
[00:03:22.928 --> 00:03:25.149]  We'll try to get Leanne back on in a few minutes.
[00:03:28.776 --> 00:03:33.276]  When the president gives the order, it must be followed.
[00:03:33.276 --> 00:03:35.276]  [static]
[00:03:35.276 --> 00:03:55.276]  [music]
[00:03:55.276 --> 00:03:56.276]  [buzzer]
[00:03:56.276 --> 00:03:57.776]  SAC, this is Crystal Palace.
[00:03:57.765 --> 00:03:57.905]  Inc.
[00:03:57.945 --> 00:03:59.445]  NORAD has declared DEFCON 3.
[00:03:59.505 --> 00:04:01.206]  Scramble all alert aircraft.
[00:04:01.746 --> 00:04:03.567]  I repeat, scramble all alert aircraft.
[00:04:05.208 --> 00:04:08.789]  The bopper spends all its time thinking about World War 3.
[00:04:09.709 --> 00:04:11.190]  Target selection complete.
[00:04:11.230 --> 00:04:14.291]  Time on target sequence complete.
[00:04:14.471 --> 00:04:17.092]  22 Typhoon class submarines departing Petropavlovsk.
[00:04:17.453 --> 00:04:18.753]  Turning southbound at North Cap.
[00:04:19.033 --> 00:04:19.713]  Bearing 095 degrees.
[00:04:19.753 --> 00:04:22.995]  Radar reports two unknown tracks circling the target.
[00:04:26.124 --> 00:04:29.226]  From the front lines of the Information War.
[00:04:30.127 --> 00:04:32.508]  Flush the bombers, get the subs in launch mode.
[00:04:32.548 --> 00:04:33.949]  We are at DEFCON 1.
