[00:00:00.000 --> 00:00:16.399]  [MUSIC]
[00:00:16.566 --> 00:00:18.207]  Tomorrow's news, today.
[00:00:21.330 --> 00:00:22.731]  SAC, this is Crystal Palace.
[00:00:22.851 --> 00:00:23.011]  Inc.
[00:00:23.031 --> 00:00:24.552]  NORAD has declared DEFCON 3.
[00:00:24.592 --> 00:00:26.354]  Scramble all alert aircraft.
[00:00:26.834 --> 00:00:28.656]  I repeat, scramble all alert aircraft.
[00:00:30.356 --> 00:00:34.277]  The bomber spends all its time thinking about World War 3.
[00:00:34.797 --> 00:00:36.237]  Target selection complete.
[00:00:36.297 --> 00:00:38.177]  Time on target sequence complete.
[00:00:38.197 --> 00:00:42.138]  22 Typhoon class submarines departing Petropavlovsk.
[00:00:42.518 --> 00:00:43.858]  Turning southbound at Nordkapp.
[00:00:44.098 --> 00:00:44.798]  Bearing 095 degrees.
[00:00:44.818 --> 00:00:50.179]  Radar reports two unknown tracks are penetrating the Alaskan air defense zone.
[00:00:51.200 --> 00:00:57.581]  From the front lines of the information war... Flush the bombers, get the subs in launch mode.
[00:00:57.641 --> 00:00:59.001]  We are at DEFCON 1.
[00:01:01.423 --> 00:01:03.726]  Are you prepared to destroy the enemy?
[00:01:03.966 --> 00:01:04.286]  You bet!
[00:01:04.807 --> 00:01:08.971]  Defending the Republic from enemies foreign and domestic.
[00:01:09.131 --> 00:01:12.094]  We'll keep control, but we'll keep it here at the top where it belongs.
[00:01:13.255 --> 00:01:17.260]  3... 2... 1... Impact!
[00:01:17.540 --> 00:01:19.462]  Shall we play a game?
[00:01:19.441 --> 00:01:30.441]  How about global thermonuclear war?
[00:01:30.380 --> 00:01:32.382]  All units confirm weapons targeted and ready.
[00:01:32.663 --> 00:01:33.524]  Awaiting launch codes.
[00:01:34.264 --> 00:01:35.446]  We are on a launch mode.
[00:01:35.886 --> 00:01:39.450]  Do you really believe that the enemy would attack without provocation?
[00:01:39.830 --> 00:01:43.734]  If you are receiving this transmission, you are the resistance.
[00:01:44.195 --> 00:01:44.515]  We're in!
[00:01:45.669 --> 00:01:47.451]  Russians are still denying everything, sir.
[00:01:47.471 --> 00:01:50.035]  We have a Soviet submarine launch detection.
[00:01:50.055 --> 00:01:51.637]  I wish I didn't know about any of this.
[00:01:52.037 --> 00:01:53.499]  I wish I was like everybody else.
[00:01:53.980 --> 00:01:55.021]  Strange again.
[00:01:55.402 --> 00:01:59.402]  The only winning move is not to vote.
[00:01:59.402 --> 00:02:10.401]  [Music]
[00:02:10.401 --> 00:02:18.401]   The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[00:02:18.853 --> 00:02:26.515]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[00:02:26.775 --> 00:02:28.876]  As president, I will make it clear.
[00:02:29.756 --> 00:02:34.481]  That the United States will treat cyber attacks just like any other attack.
[00:02:35.061 --> 00:02:40.387]  We will be ready with serious political, economic, and military responses.
[00:02:40.487 --> 00:02:43.990]  They're voting for peace on planet Earth if they vote for Trump.
[00:02:44.030 --> 00:02:46.853]  But if they vote for Hillary, it's war.
[00:02:46.893 --> 00:02:49.456]  We came, we saw, he died.
[00:02:51.846 --> 00:02:53.888]  With her, you'll end up in World War III.
[00:02:54.229 --> 00:02:57.712]  I want the Iranians to know that if I'm the president, we will attack Iran.
[00:02:57.912 --> 00:03:05.801]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[00:03:07.705 --> 00:03:08.185]  The U.S.
[00:03:08.225 --> 00:03:11.848]  military has just raised the threat level to DEFCON 2.
[00:03:12.208 --> 00:03:19.814]  Meanwhile, Hillary Clinton is still threatening Russia with military action, following unconfirmed reports of further hacking.
[00:03:20.195 --> 00:03:22.736]  It's like she's not even concerned about the repercussions.
[00:03:22.917 --> 00:03:25.859]  Of course not, because she's... Hang on guys, look, there's a really loud noise.
[00:03:26.259 --> 00:03:31.283]  Alright, looks like we're having a little bit of technical difficulties.
[00:03:31.303 --> 00:03:33.505]  We'll try to get Leanne back on in a few minutes.
[00:03:37.158 --> 00:03:41.797]  When the president gives the order, it must be followed.
[00:03:41.797 --> 00:03:43.798]  [Explosion]
[00:03:43.798 --> 00:04:03.798]  [Music]
[00:04:03.798 --> 00:04:25.798]  [Music]
[00:04:25.798 --> 00:04:29.798]   I just got back last night from Connecticut in the show trial.
[00:04:29.798 --> 00:04:35.798]   And I've been following the news globally of war escalating to incredibly dangerous levels in Ukraine.
[00:04:35.798 --> 00:04:38.798]  And I'm strongly considering not even going back there.
[00:04:38.456 --> 00:04:48.482]  I'd like to testify on my own behalf in our part of the trial, the show trial, because I'm that concerned I could get stuck there without my family when nuclear war breaks out.
[00:04:48.822 --> 00:04:51.824]  That's why I took my wife and my youngest daughter with me.
[00:04:52.504 --> 00:05:01.129]  The other children are grown up or almost out of school, two are out, one is still in high school, and they've got my parents and family here.
[00:05:01.149 --> 00:05:03.291]  I mean, it's that serious, okay?
[00:05:03.591 --> 00:05:04.792]  I've never acted like that.
[00:05:04.832 --> 00:05:05.792]  I've never behaved like that.
[00:05:07.825 --> 00:05:10.927]  I seriously may not even be able to go to Connecticut and defend myself because it doesn't matter.
[00:05:11.587 --> 00:05:12.888]  We're going into a global depression.
[00:05:12.948 --> 00:05:14.049]  The borders are collapsing.
[00:05:15.170 --> 00:05:17.191]  People are dying by the millions from the poison shots.
[00:05:18.612 --> 00:05:20.553]  We are inside the New World Order, ladies and gentlemen.
