[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[00:00:01.650 --> 00:00:04.713]  Vomiting pure Satanism directly at you.
[00:00:06.034 --> 00:00:12.981]  Radiating nothing but total division and tribalism and divide and conquer they call racism.
[00:00:13.401 --> 00:00:18.185]  And just everything they do is pure poison injected into the psyche of humanity.
[00:00:18.866 --> 00:00:20.327]  So you wonder why they're so damn evil?
[00:00:20.788 --> 00:00:21.608]  Why they never stop?
[00:00:22.409 --> 00:00:24.231]  Because they have signed on to the devil.
[00:00:25.248 --> 00:00:30.309]  And those that aren't screwing and raping and torturing and killing the kids know about it and are helping cover it up.
[00:00:31.029 --> 00:00:36.690]  From Atlantic Monthly, to CNN, to USA Today, you people are the scum of Earth!
[00:00:37.190 --> 00:00:49.152]  From the front lines of the information war, it's Alex Jones.
[00:00:49.031 --> 00:00:53.991]  It's Thursday, February 3rd, and the year is 2022.
[00:00:53.991 --> 00:01:01.991]  InfoWars.
[00:01:02.061 --> 00:01:04.061]  Tomorrow's News Today.
[00:01:04.061 --> 00:01:13.661]  Ladies and gentlemen, we are live broadcasting worldwide.
[00:01:13.661 --> 00:01:14.920]  (dramatic music)
[00:01:14.990 --> 00:01:19.233]  I intend to open the phones up again today and take your amazing calls.
[00:01:20.454 --> 00:01:37.381]   We also have former NBA star and current MMA fighter Royce White who's been exposing The whole lepers agenda and the persecution of the Uyghurs in China joining us coming up in the third hour today.
[00:01:37.401 --> 00:01:45.564]  And Paul Joseph Watson will host the fourth hour from her satanic majesty's command base London.
[00:01:46.625 --> 00:01:48.606]  So that is coming up.
[00:01:49.454 --> 00:01:58.856]  Here today, but in the last part of this first hour and for the entire second hour, I do want to take your phone calls on a raft of issues.
[00:02:00.897 --> 00:02:09.739]  You know, I don't like to talk about CNN because it has such a low viewership, but it's important to talk about at the same time because it is the mouth of the establishment.
[00:02:11.540 --> 00:02:21.739]   And of course, it's come out that They're involved in a lot of really bizarre, corrupt, evil sex scandals, including indictments for trying to sex traffic little children.
[00:02:23.560 --> 00:02:28.844]  And the word has been that Zucker obviously used that for control and blackmail inside the organization.
[00:02:29.724 --> 00:02:31.546]  But now it is beginning to come out.
[00:02:33.208 --> 00:02:34.508]  And so they want to have face-saving.
[00:02:34.548 --> 00:02:41.751]  Oh, he had a relationship with a woman there for a decade and she gets to stay but he has to go because a man and a woman together is the greatest crime on earth.
[00:02:42.611 --> 00:02:46.112]  No, it's helping kill the people in the nursing homes with the COVID patients.
[00:02:46.132 --> 00:02:59.056]  It's helping cover that up and it's all the continued scandals there going back to the 80s when it was founded as a front for the CIA that uses pedophilia for control.
[00:03:00.231 --> 00:03:08.064]  So, if you think Jeffrey Epstein is bad, it's all peas in a pod, or like Russian dolls, it all nests within itself.
[00:03:08.104 --> 00:03:14.474]  So, I've been telling you a long time that CNN is a pedophile ring.
[00:03:15.469 --> 00:03:21.949]   and is as bad as it gets. I don't have evidence that Jeff Zucker himself rapes children, but we
[00:03:21.949 --> 00:03:26.748]   do know they cover it up and have whitewash articles like Atlantic Monthly owned by Steve
[00:03:26.748 --> 00:03:33.789]   Jobs' wife, who's one of the biggest financiers attacking this show, and we know that. She has
[00:03:33.789 --> 00:03:34.749]  big articles constantly.
[00:03:34.910 --> 00:03:36.090]  There is no pedophilia.
[00:03:36.291 --> 00:03:36.951]  It's not happening.
[00:03:36.991 --> 00:03:37.491]  It's made up.
[00:03:37.531 --> 00:03:38.152]  Nothing's going on.
[00:03:38.192 --> 00:03:38.832]  Everything's fine.
[00:03:39.512 --> 00:03:45.036]  All academia and the New York Times and USA Today say, you know, sex with one-year-old children is just wonderful.
[00:03:45.056 --> 00:03:45.476]  They love it.
[00:03:46.136 --> 00:03:52.740]  We played sickening clips yesterday saying that grandmothers need to have sex with their grandsons and granddaughters, raping them for the love and goodness.
[00:03:52.820 --> 00:03:54.701]  It actually says loving and good.
[00:03:55.021 --> 00:03:56.242]  That's who these people are.
[00:03:56.622 --> 00:03:59.624]  Vomiting pure Satanism directly at you.
[00:04:00.999 --> 00:04:13.129]  Radiating nothing but total division and tribalism and divide and conquer, they call racism, and just everything they do is pure poison injected into the psyche of humanity.
[00:04:14.530 --> 00:04:16.372]  I mean, even our headlines aren't hardcore enough.
[00:04:16.532 --> 00:04:17.833]  Let's change that headline.
[00:04:19.174 --> 00:04:21.756]  Professor, it's a mistake to think pedophilia is wrong.
[00:04:22.077 --> 00:04:26.640]  He actually said you can't say it's wrong to have sex with one-year-olds if they're consenting.
[00:04:28.362 --> 00:04:29.463]  S-U-N-Y, Professor.
[00:04:30.714 --> 00:04:32.134]  Defend sex with one-year-olds.
[00:04:32.875 --> 00:04:41.257]  I mean, this stuff's so sensational, and I understand why our writers are like this, we tend to dial it back because it's just too unbelievable.
[00:04:42.837 --> 00:04:55.540]  But I'm up here describing what the German family courts did with different Western intelligence agencies at an industrial level, tens of thousands of children per sector, per region, in brutal gang raping.
[00:04:57.180 --> 00:04:59.521]  Brutal, mass gang raping of little children.
[00:05:00.501 --> 00:05:01.782]  Beating the living hell out of them.
[00:05:01.802 --> 00:05:03.022]  I mean, that's in the reports.
[00:05:03.702 --> 00:05:05.023]  Inside Catholic churches.
[00:05:06.063 --> 00:05:06.443]  At night.
[00:05:06.523 --> 00:05:09.764]  Because that makes the Satanism that much better to be raping children on the altar.
[00:05:10.905 --> 00:05:13.126]  I mean, that's in DW.com.
[00:05:13.166 --> 00:05:16.847]  That's in the biggest TV station in most respected in Germany.
[00:05:18.067 --> 00:05:19.548]  So remember, that's who you're up against.
[00:05:21.229 --> 00:05:22.069]  And that's who they are.
[00:05:22.129 --> 00:05:23.590]  So you wonder why they're so damn evil?
[00:05:24.030 --> 00:05:24.850]  Why they never stop?
[00:05:25.670 --> 00:05:27.471]  Because they have signed on to the devil.
