[00:00:00.229 --> 00:00:06.956]  Ladies and gentlemen, Alex Jones here with a Thursday evening breaking emergency news alert.
[00:00:07.176 --> 00:00:09.176]  The news is just so over the top important.
[00:00:09.176 --> 00:00:13.656]   I had to stay up here this evening and get this emergency report out to everybody.
[00:00:13.656 --> 00:00:22.935]  First off the sock puppet globalist minion.
[00:00:22.935 --> 00:00:25.936]  Joe Biden is so incredibly unpopular.
[00:00:25.936 --> 00:00:28.655]  His entire new order agenda is falling apart.
[00:00:29.058 --> 00:00:30.159]  And so what is he trying to do?
[00:00:30.599 --> 00:00:33.541]  Start a war with Russia by moving U.S.
[00:00:33.581 --> 00:00:51.307]   troops into Poland, into Ukraine, and many other areas, and now openly threatening military action against the Russians, who have been building up troops on their own land on the border of Ukraine this is a classic
[00:00:52.472 --> 00:01:06.982]  Bait and switch by the establishment whose entire agenda is falling apart to now try to start a war 280 something days out from the midterm elections to try to get the support of the American people behind the regime.
[00:01:07.342 --> 00:01:08.763]  That may have worked in the 90s.
[00:01:08.783 --> 00:01:10.024]  That may have worked in the 2000s.
[00:01:10.484 --> 00:01:11.445]  It doesn't work anymore.
[00:01:11.845 --> 00:01:18.669]  National polls have shown between 10 and 17 percent of Americans supporting any type of military action in Ukraine.
[00:01:18.989 --> 00:01:20.390]  It's being absolutely rejected.
[00:01:22.076 --> 00:01:28.979]  Let's shift gears into the rest of the big awakening that's taking place as well, that's got the corrupt power structure so scared.
[00:01:30.279 --> 00:01:54.837]   Elon Musk has come out and blasted sock puppet, Joe Biden, and also issued support for the Canadian truck drivers that are now driving into the capital city of Canada, Ottawa, demanding an end to the biomedical tyranny that Klaus Schwab and the UN have installed over their nation via Justin Trudeau, the minion of the Davos Group.
[00:01:55.277 --> 00:02:05.181]  Klaus Schwab just last week bragged that he fully controls Trudeau and his cabinet and has penetrated other governments and is now taking over the globe.
[00:02:05.561 --> 00:02:13.984]  These megalomaniacs are publicly bragging and Elon Musk has decided, at least on the surface, to throw his lot in with the people.
[00:02:14.915 --> 00:02:20.859]  He also tweeted today, if you scare people enough, they will demand removal of freedom.
[00:02:21.440 --> 00:02:24.041]  This is the path to tyranny.
[00:02:24.482 --> 00:02:27.064]  Obviously talking about the ongoing lockdowns.
[00:02:28.324 --> 00:02:41.694]  Speaking of tyranny, we saw big marches around the world and right here in the United States in DC last weekend with hundreds of thousands of people attending the Resist the Mandates event.
[00:02:43.311 --> 00:02:49.932]  Listen to this quote by a well-known actress that Hollywood is now calling for her cancellation.
[00:02:50.652 --> 00:03:17.216]   I believe nobody should ever be forced to inject their body with anything against their will under threat of violent attack, arrest or detention without trial, loss of employment, homelessness, starvation, loss of education, alienation from loved ones, excommunication from society under any threat whatsoever she had to say. And now they're trying all over
[00:03:17.216 --> 00:03:23.284]   the news to get her banned in Hollywood. What a group of control freak tyrants.
[00:03:23.284 --> 00:03:28.735]   She is the actress Evangeline Lilly.
[00:03:27.793 --> 00:03:32.815]  I'm not a big fan of Hollywood movies, but I have been a fan of some of her roles, like in The Hobbit.
[00:03:33.176 --> 00:03:37.037]  So, again, ladies and gentlemen, this is the type of courage that made America.
[00:03:37.418 --> 00:03:43.360]  This is the type of bodily autonomy and standing up for your own rights that made us land in the free home of the brave.
[00:03:43.981 --> 00:03:51.344]  The attacks, not just on our bodies' autonomy, but our speech, is antithetical to an open, free society.
[00:03:51.764 --> 00:03:54.266]  So we should all stand with this great lady who attended the rally.
[00:03:55.186 --> 00:04:01.613]  Marvel actress Evangeline Lilly targeted by a woke mob for attending DC VAX mandate rally.
[00:04:01.653 --> 00:04:05.076]  How dare her exercise her First Amendment?
[00:04:05.537 --> 00:04:07.419]  Tyranny is really making a move.
[00:04:07.479 --> 00:04:14.887]  And speaking of our bodily autonomy, our most basic right is our right over our own bodies.
[00:04:16.954 --> 00:04:27.804]  In the last six months, there have been a whole raft of lawsuits filed to try to get the FDA secret trials of the mRNA COVID vaccines for Pfizer and Moderna.
[00:04:28.945 --> 00:04:35.330]  And the federal government and the FDA agencies, along with the CDC, have battled this in court.
[00:04:36.251 --> 00:04:38.733]  First, they asked the judge to wait 55 years to release it.
[00:04:38.753 --> 00:04:40.034]  Now they've asked 75 years.
[00:04:40.435 --> 00:04:43.517]  And now a high-level appellate court has said no.
[00:04:45.333 --> 00:04:52.116]  It's going to be released 50,000 pages a month, not 50,000 pages over 75 years.
[00:04:52.416 --> 00:05:04.020]  And so now Pfizer has joined the lawsuit and is trying to trigger clauses they got Trump to sign on to, wrongfully, that give them liability protection and trade secrets.
[00:05:05.121 --> 00:05:06.761]  Because they knew this was all about depopulation.
[00:05:06.801 --> 00:05:08.002]  They know it's not really a vaccine.
[00:05:09.130 --> 00:05:14.194]  And so now FDA asked court to delay first 55,000 batch of COVID docs.
[00:05:14.534 --> 00:05:23.261]  Pfizer moves to join the case to block you from learning what's secretly in these shots and what it does to your body.
[00:05:23.541 --> 00:05:24.902]  Remember what just came out a few months ago?
[00:05:25.923 --> 00:05:35.670]  They began six months ago to add a very dangerous anti-heart attack drug to the vaccine instead of saline solution.
[00:05:37.523 --> 00:05:41.054]  So now they've off-label approved a drug mixed with a vaccine?
[00:05:41.375 --> 00:05:42.478]  Since when have you heard this?
[00:05:43.060 --> 00:05:44.625]  They're doing whatever they want.
[00:05:46.343 --> 00:05:47.764]  And this is psychological warfare.
[00:05:47.784 --> 00:05:54.789]  The globalists got these doctors and scientists and minions who were paid off to go along to signing on to something they didn't know what it was.
[00:05:55.309 --> 00:06:02.514]  And now that it's hurting people and killing people, that was the plan to get them all scared and on board to do whatever it takes to have a cover up.
[00:06:02.694 --> 00:06:04.075]  And now they're really corrupted.
[00:06:04.455 --> 00:06:07.117]  Now they've really been compromised by the globalists.
[00:06:07.717 --> 00:06:12.500]  It's the same way they got pedophiles under the Boy Scouts 20 years ago, had the Boy Scouts cover it up.
[00:06:12.961 --> 00:06:15.943]  And then now they've bankrupted the institution and are taking it over.
[00:06:16.724 --> 00:06:17.986]  Same thing they did with the Catholic Church.
[00:06:18.267 --> 00:06:20.952]  Over and over again, this is a tried and trusted system.
[00:06:21.192 --> 00:06:22.494]  They are targeting our children.
[00:06:22.514 --> 00:06:24.598]  They are literally targeting the defenseless.
[00:06:24.839 --> 00:06:25.901]  They are targeting our future.
[00:06:26.321 --> 00:06:30.960]   And speaking of that, Sweden has joined a bunch of other countries in the EU.
[00:06:30.960 --> 00:06:35.281]   In fact, the EU itself is saying, "Do not give these so-called vaccines to children."
[00:06:35.281 --> 00:06:37.041]  It's one thing to kill off old people.
[00:06:37.041 --> 00:06:39.961]  It's one thing to let adults be conned into doing this.
[00:06:39.961 --> 00:06:41.881]  But you cannot do this to children.
[00:06:41.881 --> 00:06:43.241]  It doesn't help them.
[00:06:43.241 --> 00:06:47.200]   Just like the head of the vaccine program for the UN said two weeks ago.
[00:06:47.200 --> 00:06:49.520]  How big is that?
[00:06:49.520 --> 00:06:52.721]  Sweden will not recommend vaccinating kids five to 11.
[00:06:52.721 --> 00:06:59.321]   Vaccines do not outweigh the risk of cancer, blood clots, heart attacks, and more.
[00:06:59.321 --> 00:07:02.241]  Another example of a war on our children.
[00:07:02.201 --> 00:07:11.185]  Speech therapists, 364 percent, three plus times, surge in baby and toddler referrals thanks to mask wearing.
[00:07:11.546 --> 00:07:13.206]  Children are not learning how to talk.
[00:07:13.467 --> 00:07:14.727]  They're not learning how to speak.
[00:07:14.947 --> 00:07:16.088]  IQs are plunging.
[00:07:16.588 --> 00:07:17.769]  Cognitive levels are plunging.
[00:07:18.089 --> 00:07:20.230]  Not just because the children can't see faces in cues.
[00:07:21.070 --> 00:07:34.735]  Not just because it teaches them not to speak, and they're muffled, literally, like prisoner training, but also because it lowers, conservatively, the oxygen in their blood by 25%, giving them carbon dioxide poisoning.
[00:07:35.135 --> 00:07:39.797]  Ladies and gentlemen, this is true institutionalized child abuse.
[00:07:40.217 --> 00:07:47.980]  If the globalist technocrat dehumanist can't abort you inside the womb, they're going to abort your mind outside the womb, and that is their plan.
[00:07:48.940 --> 00:07:55.765]  Newsmax is reporting that women cannot be seen wearing dresses and neither can cartoon characters.
[00:07:56.125 --> 00:07:58.567]  Boys should wear dresses, but girls shouldn't.
[00:07:59.008 --> 00:08:05.272]  Minnie Mouse switches her iconic red dress for a pantsuit for the 30th year of International Women's Day.
[00:08:05.612 --> 00:08:14.883]   So women having the power to wear a dress or not wear a dress, the power to show off their incredible goddess beauty, is something that big tech and the corporate system doesn't want.
[00:08:15.324 --> 00:08:31.470]   They want men to go out and wear dresses and show children this is the image of a woman a big fat Sex offender in many cases, coming to your school to have private time with your children, but women, they can't be seen wearing dresses.
[00:08:31.530 --> 00:08:32.050]  That's bad.
[00:08:32.090 --> 00:08:32.691]  That's evil.
[00:08:33.091 --> 00:08:34.231]  Get back in that factory.
[00:08:34.291 --> 00:08:35.891]  Get back out on that front line.
[00:08:36.152 --> 00:08:39.252]  Get back serving the big corporate slave state.
[00:08:39.472 --> 00:08:44.894]  But women everywhere are waking up and absolutely rebelling against this and wearing dresses now more than ever.
[00:08:45.874 --> 00:08:52.485]  Federal study pays gay transgender minors to report sexual behavior without permission from parents.
[00:08:53.325 --> 00:09:14.381]  This is just like that CIA German government program with 35,000 children in one city alone, and over the whole country even more, 30 plus thousand, taking children from Christian families, giving them to convicted pedophiles so they'd have sex with them, they said to create the new love between a man and a boy, or a woman and a girl.
[00:09:14.401 --> 00:09:18.385]  It's never heterosexual pedophilia, it is same-sex pedophilia.
[00:09:19.255 --> 00:09:22.597]  This is a sick, scientific death cult that wants full control over your life.
[00:09:22.618 --> 00:09:25.860]  Do you want a pro-human future or do you want an anti-human future?
[00:09:25.699 --> 00:09:28.819]  I told you about this decades before it was mainstream news.
[00:09:28.819 --> 00:09:33.898]   This is a sick scientific death cult that wants full control over your life.
