[00:00:00.000 --> 00:00:02.000]  [static]
[00:00:02.500 --> 00:00:04.500]  [music]
[00:00:04.500 --> 00:00:06.500]  It's Sunday, November 26th.
[00:00:07.444 --> 00:00:13.730]  The Communist China has seen the biggest protest since the CCP took over in 1949.
[00:00:13.910 --> 00:00:15.352]  Stay with us.
[00:00:17.614 --> 00:00:18.375]  InfoWars.
[00:00:18.515 --> 00:00:20.515]  Tomorrow's News Today.
[00:00:20.515 --> 00:00:36.115]  Humanity is awakening.
[00:00:36.114 --> 00:00:38.696]  Humanity is fighting back on every front.
[00:00:39.656 --> 00:00:46.861]  Out of all the great bright points of light resisting the darkness, there is none brighter than InfoWars.
[00:00:47.041 --> 00:00:56.487]  With our audience, our guests, our crew, our amazing hosts, I am so thankful and honored to be with you on this live broadcast.
[00:00:57.007 --> 00:00:59.128]  Thank you so much for joining us.
[00:00:59.629 --> 00:01:06.570]   This is the final countdown The clash between humanity and the globalist, transhumanist, planetary dictators.
[00:01:07.271 --> 00:01:15.257]  Their attempt to have a corporate takeover of the very biology and biosphere systems of the planet, including all human life.
[00:01:16.238 --> 00:01:21.362]  We are covering the most central, most important issues in the world.
[00:01:22.082 --> 00:01:24.344]  Thank you so much for joining us tonight.
[00:01:26.225 --> 00:01:30.809]  I'm gonna be live here for the next two hours, then Owen Schroyer comes in with Sunday Live.
[00:01:32.029 --> 00:01:32.630]  6 to 8 p.m.
[00:01:32.670 --> 00:01:33.030]  Central.
[00:01:33.050 --> 00:01:34.711]  We're always here Sunday 4 to 6 p.m.
[00:01:34.731 --> 00:01:35.072]  Central.
[00:01:35.432 --> 00:01:37.414]  We're doing this Sunday show for 15 years.
[00:01:38.955 --> 00:01:40.076]  4 to 6 p.m.
[00:01:40.096 --> 00:01:45.020]  and of course for over 25 years we've been here ladies and gentlemen from 11 a.m.
[00:01:45.140 --> 00:01:45.881]  to 3 p.m.
[00:01:45.961 --> 00:01:49.424]  Central weekdays with the vaunted Alex Jones Show.
[00:01:50.345 --> 00:01:50.625]  Okay.
[00:01:51.775 --> 00:01:56.540]  To say the wheels are coming off the whole globalist agenda is faltering at every level is an understatement.
[00:01:56.941 --> 00:02:03.648]  But before we all start celebrating, as the wolf says in Pulp Fiction, let's not all start taking care of each other yet.
[00:02:04.128 --> 00:02:05.950]  Let's not all start celebrating yet.
[00:02:05.990 --> 00:02:08.233]  Let's not start giving each other you-know-what's yet.
[00:02:09.194 --> 00:02:13.579]  Because the New World Order will strike back.
[00:02:14.485 --> 00:02:18.168]  And they're not going to give up until they've all been arrested and tried in Nuremberg 2 trials.
[00:02:18.728 --> 00:02:20.349]  And we'll give them abstention.
[00:02:20.369 --> 00:02:22.951]  We'll put them on a private island together without any children.
[00:02:22.971 --> 00:02:25.894]  They'll probably all kill themselves if they can't rape and abuse children.
[00:02:26.434 --> 00:02:34.200]  And by the way, we've got the whole scandal coming out with the major fashion company and all the open pedophilia there.
[00:02:34.800 --> 00:02:36.081]  They're not even denying it now.
[00:02:37.002 --> 00:02:38.443]  That's all coming up today.
[00:02:39.304 --> 00:02:40.264]  There is just so much.
[00:02:40.324 --> 00:02:48.576]   But on the vaccine front, It all ties into the global government, the global carbon tax, the global world ID, the medical ID, and China.
[00:02:50.137 --> 00:02:54.999]  In every major city and many of their towns, they've got the biggest cities on earth.
