[00:00:00.000 --> 00:00:01.000]  [BEEP]
[00:00:02.000 --> 00:00:05.000]  [MUSIC PLAYING]
[00:00:05.000 --> 00:00:15.759]  It's Wednesday, November 23.
[00:00:14.797 --> 00:00:25.766]  We have a very, very special rebroadcast for you today made up of some of the most important guests we've recently had on with some of the most important topics.
[00:00:25.806 --> 00:00:36.749]   Coming up first in this hour is Steve Quayle on the war in Ukraine, the economy, and how at this point he believes there's not really a Temporal or political solution to our problems.
[00:00:36.869 --> 00:00:37.790]  It's all spiritual.
[00:00:38.290 --> 00:00:41.333]  That is coming up this hour, right after the break.
[00:00:41.473 --> 00:00:49.761]  Then, Martin Armstrong, one of the top economists, one of the best track records predicting what's really about to happen, lays out the real nature of the world economy and the U.S.
[00:00:49.801 --> 00:00:53.825]  economy in the hour after that, the second hour.
[00:00:54.365 --> 00:00:59.230]  And then, of course, a great interview we had about election fraud and all the information coming out with the crime spikes.
[00:01:00.123 --> 00:01:13.174]  Mike Lindell will be in the third hour, then Matt Baker will be in the first half hour of the fourth hour, and then of course MTG was on with us last week at Knox Island Park on so many fronts.
[00:01:13.254 --> 00:01:18.319]  So that's what's coming up on this November 23rd Wednesday edition.
[00:01:18.339 --> 00:01:19.620]  I want to thank the listeners and viewers.
[00:01:20.180 --> 00:01:24.603]  For all your amazing support keeping us on air, I'm very, very thankful this Thanksgiving that we haven't had nuclear war.
[00:01:24.623 --> 00:01:26.665]  I'm very, very thankful that the world's awakening.
[00:01:26.685 --> 00:01:35.251]  I'm very, very thankful that even NBC News and others are admitting that the poison death shots are causing massive heart attacks, myocarditis, blood clots, and deaths.
[00:01:35.931 --> 00:01:44.257]  And I'm very sad that all these bad things happened, but there is a huge awakening and at least we are getting on a fighting footing politically, culturally.
[00:01:45.254 --> 00:01:49.242]  Economically, spiritually, and to defend ourselves physically.
[00:01:49.303 --> 00:01:51.868]  So I am extremely thankful to the crew on this Thanksgiving.
[00:01:52.489 --> 00:01:55.235]  I am infinitely thankful to God, of course, number one.
[00:01:56.603 --> 00:02:01.187]  And I'm just beyond thankful to the incredible listeners and viewers that make everything we do here possible.
[00:02:01.907 --> 00:02:04.769]  They attack all of our American institutions.
[00:02:05.309 --> 00:02:07.911]  They attacked Thanksgiving last year saying, don't go to it.
[00:02:08.612 --> 00:02:10.213]  Don't be around unvaccinated people.
[00:02:11.074 --> 00:02:17.258]  But then Borla, Pfizer, gets up and says that, oh, the right wing was mean to AIDS patients and said, don't get close to them during the 1980s.
[00:02:17.678 --> 00:02:20.200]  But, oh, anybody that might have a virus is toxic.
[00:02:20.220 --> 00:02:22.082]  Don't be around them unless you've had a shot.
[00:02:22.902 --> 00:02:28.332]  Which we now know creates a spike protein and basically infects people with the same thing as the virus.
[00:02:28.392 --> 00:02:29.233]  It's just insane.
[00:02:29.274 --> 00:02:32.900]  So I'm extremely thankful that we're still on air and I cannot express to you enough.
[00:02:34.051 --> 00:02:35.592]  How amazing the awakening is.
[00:02:35.632 --> 00:02:39.115]  Again, you're not public figures, most of you, so you don't realize how big the awakening is.
[00:02:39.656 --> 00:02:40.537]  I am a public figure.
[00:02:41.297 --> 00:02:47.022]  And just yesterday, I had breakfast with an unnamed, very well-known household name public figure.
[00:02:48.283 --> 00:03:04.144]   And he expressed to me the same findings, that there's really a giant underground awakening, not just one on the surface, and that in meetings with large groups of members of Congress, who you wouldn't think they're Alex Jones fans, Most of them are rapidly becoming listeners.
[00:03:04.765 --> 00:03:06.146]  So we've definitely hit the zeitgeist.
[00:03:07.227 --> 00:03:16.696]  That's why they had the Democratic Party in a big fake news article in the Washington Post a few days ago, after the Sandy Hook family sued Alex Jones and began to move money around.
[00:03:17.357 --> 00:03:18.478]  Nothing is true in the article.
[00:03:18.518 --> 00:03:25.264]  It's all disinfo, except their statement at the end that, oh, he won't have to pay us really any money if he just goes off the air.
[00:03:26.246 --> 00:03:27.427]  And goes back into private life.
[00:03:28.127 --> 00:03:30.948]  We just want Alex Jones to go back into private life and just go away.
[00:03:31.829 --> 00:03:33.490]  Well, I mean, now I can't go into private life.
[00:03:34.090 --> 00:03:39.212]  Truth is, five, six years ago, I was thinking about phasing out within five years, just doing a podcast once a week and writing books.
[00:03:39.272 --> 00:03:54.320]  But because you want to take us off air, because everything we've said is coming true, because our credibility is so high, because people are counting on us, especially the unborn babies whose mothers are getting injected and having miscarriages, and the little babies being given the COVID shots, and the children, and everybody else, I'm never going off air until I'm dead.
[00:03:55.280 --> 00:04:00.485]  So your attempts to silence me have only made me redouble my efforts and my commitment to fighting the tyrants.
[00:04:01.045 --> 00:04:05.409]  So I'm very, very thankful for God giving me will and strength and focus and discernment.
[00:04:06.009 --> 00:04:09.532]  I'm very thankful to my parents for raising me good and being loving and strong and the rest of my family.
[00:04:09.952 --> 00:04:17.399]  And I'm, again, just incredibly thankful to the listeners, the crew, everybody that makes this transmission possible, our sponsors, our affiliates, everybody.
[00:04:18.019 --> 00:04:25.346]  Please remember on this Thanksgiving to also give Thanksgiving to God for the great compounds he gave us in nature to have good immune systems, be healthy and happy.
[00:04:25.886 --> 00:04:29.950]  The biggest sale in our history is running right now, not just 60% off, up to 60% off.
[00:04:30.290 --> 00:04:33.933]  Promo code 1776 storewide, but also double Patriot points.
[00:04:34.133 --> 00:04:37.056]  And for the second time in our history, we're offering a free gift.
[00:04:37.276 --> 00:04:38.157]  Did this like 10 years ago.
[00:04:38.177 --> 00:04:39.138]  It's very popular.
[00:04:39.478 --> 00:04:47.207]   A free gift of a randomly selected item from the store and with every order that you Take out at InfoWarsTore.com.
[00:04:47.607 --> 00:04:48.989]  Again, InfoWarsTore.com.
[00:04:49.109 --> 00:04:50.191]  Any order is the free gift.
[00:04:50.211 --> 00:04:51.212]  Thanks for keeping us on the air.
[00:04:51.312 --> 00:04:55.312]   We'll be right back on this special edition with Steve Quayle straight ahead.
[00:04:55.312 --> 00:04:59.312]  [Static]
[00:04:59.312 --> 00:05:04.312]   We just have a 60% off of promo code 1776, ladies and gentlemen.
[00:05:04.942 --> 00:05:09.823]  We have a free gift with every single order, no matter how small.
[00:05:10.263 --> 00:05:11.823]  Actually, on big orders, you get more than one gift.
[00:05:12.063 --> 00:05:13.183]  You get a free gift.
[00:05:13.243 --> 00:05:16.864]  And we're not just talking about, in some cases, it'll be a bunch of bumper stickers or an Alex Jones mask.
[00:05:16.904 --> 00:05:20.905]  In some cases, it'll be a book or a film or just a bunch of other amazing items.
[00:05:20.925 --> 00:05:23.685]  So we have some big ticket items as well that are going to be free gifts.
[00:05:23.985 --> 00:05:26.486]  Free gifts with every single order.
[00:05:26.666 --> 00:05:29.706]   So again, whether you Whether you make a $5 order for one of the t-shirts,
[00:05:29.706 --> 00:05:35.545]   the big blowout, or whether you make a $50 order, you will get a free gift at infowarestore.com.
[00:05:35.545 --> 00:05:38.786]   And it's all randomly selected by our shopping cart computer system.
[00:05:38.786 --> 00:05:42.686]   It just goes through with all the items, hundreds of different items
[00:05:42.686 --> 00:05:46.366]   that we're gonna be able to offer free and just randomly picks one of those and puts in the box.
[00:05:46.366 --> 00:05:49.725]   So this is undoubtedly now officially the biggest sell we've ever done.
[00:05:49.725 --> 00:05:54.366]   Up to 60% off promo code 1776, total liquidation blowout to fund us into the new year
[00:05:54.366 --> 00:05:56.286]  and a free gift in every order.
[00:05:56.286 --> 00:05:57.626]  Free gifts in every order.
[00:05:57.626 --> 00:06:06.245]  (dramatic music)
[00:06:06.245 --> 00:06:12.245]  Crashing through the lies and disinformation.
[00:06:12.245 --> 00:06:17.766]   It's Alex Jones coming to you live from the front lines of the info war.
[00:06:17.766 --> 00:06:19.766]  [Music]
[00:06:19.215 --> 00:06:31.779]  He was on with us one month ago and he repeatedly said they will use an errant missile out of Ukraine to blame Russia with a false flag and escalate the war and bring NATO in.
