[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[00:00:02.930 --> 00:00:08.492]  And there's a lot of Democrats and city machines that are going to steal the election, even if the higher-ups aren't wanting that.
[00:00:08.812 --> 00:00:11.273]  And what I'm saying is to be very clear.
[00:00:11.833 --> 00:00:14.274]  The deep state doesn't want a big Republican majority.
[00:00:14.914 --> 00:00:16.835]  They want to be able to still control things and run things.
[00:00:17.215 --> 00:00:21.217]  And they're scared of a new populist beachhead and caucus forming.
[00:00:21.957 --> 00:00:24.718]  They want to work with the neocons and the deep state Democrats.
[00:00:25.772 --> 00:00:45.095]  And the RINOs, but they don't want too big a Republican victory, but they're going to allow somewhat of a victory, A, because there's such a tsunami it's hard to steal, but B, they want to blame Republicans for the diesel shortages and the power outages and the depression that we are accelerating over the edge into.
[00:00:45.976 --> 00:00:49.896]  So that's my best analysis and calculus of what's about to happen.
[00:00:50.816 --> 00:01:11.785]   If they didn't steal a bunch of the election, different races tonight, With a replay of what they did two years ago, you would see a massive realignment, the biggest political slaughter, non-violent slaughter, metaphoric slaughter we've ever seen since we've had voting in this country the last 250 years.
[00:01:12.965 --> 00:01:19.965]   This, ladies and gentlemen, is the New World Order fighting for its life.
[00:01:20.965 --> 00:01:26.965]  Rallying patriots worldwide in defense of human liberty.
[00:01:27.724 --> 00:01:29.724]  It's Alex Jones.
[00:01:29.724 --> 00:01:33.724]  [MUSIC]
[00:01:33.724 --> 00:01:48.724]  [MUSIC]
[00:01:48.724 --> 00:01:53.724]  InfoWars, the most banned network in the world.
[00:01:53.371 --> 00:01:55.557]  This is it, ladies and gentlemen!
[00:01:56.533 --> 00:02:13.918]  Game time as the American people battle to wrest control of their government from the multinational crime syndicate known as the New World Order, their Great Reset, and the plan to collapse civilization and build on its ashes their transhumanist satanic nightmare.
[00:02:14.498 --> 00:02:28.551]   It's Tuesday, November 8th, the year is 2022, and we're going Live, as we speak, until deep into the night, into the early morning hours.
[00:02:30.433 --> 00:02:35.138]  I'm your host Alex Jones, very blessed and honored to be in attack formation, taking on the Globalist.
