[00:00:00.000 --> 00:00:16.480]  [Outro]
[00:00:16.508 --> 00:00:17.409]  Tomorrow's news.
[00:00:17.709 --> 00:00:18.049]  Today.
[00:00:20.145 --> 00:00:23.428]  Thanks to you kids, we now know the virus is a hoax.
[00:00:23.548 --> 00:00:27.953]  They included flu, pneumonia, and other infections to boost the numbers.
[00:00:27.973 --> 00:00:29.614]  Let's find out who is really behind it all.
[00:00:29.634 --> 00:00:33.198]  Like, President Trump is definitely behind one of these phantoms.
[00:00:36.401 --> 00:00:37.422]  Gigi Ping?
[00:00:38.963 --> 00:00:40.044]  Dr. Fauci?
[00:00:40.124 --> 00:00:43.488]  Like, I thought doctors were supposed to help people, not scare them.
[00:00:44.986 --> 00:00:46.668]  Microsoft's Bill Gates?
[00:00:46.848 --> 00:00:52.933]  Not only a computer guy, he's a notorious vaccine pusher who wants to reduce the world's population.
[00:00:53.314 --> 00:00:53.874]  I get it.
[00:00:53.954 --> 00:00:59.319]  So Bill Gates wanted to vaccinate everyone after Fauci convinced them there was a deadly disease outbreak.
[00:00:59.359 --> 00:01:00.400]  That's diabolical.
[00:01:00.420 --> 00:01:02.262]  Yeah, that sounds pretty bad.
[00:01:02.362 --> 00:01:03.363]  Don't worry, kids.
[00:01:03.703 --> 00:01:06.986]  These globalists won't get away with their pandemic hoax this time.
[00:01:07.166 --> 00:01:11.390]  Where they're going, they'll be locked up for a long good while in the big house.
[00:01:11.870 --> 00:01:13.992]  Yeah!
[00:01:14.053 --> 00:01:15.494]  Better than a rock round at home!
[00:01:16.255 --> 00:01:22.922]  Imagine a virus, the most terrifying virus you can, and then imagine that you, and you alone, have the cure.
[00:01:23.382 --> 00:01:27.307]  But if your ultimate goal is power, how best to use such a weapon?
[00:01:27.647 --> 00:01:44.020]   A newly elected government seeking power and control develops a secret bioweapon And launches it against its own population to establish authoritarian rule and to blame the attack on their political enemies.
[00:01:44.721 --> 00:02:03.555]   Taking pages right out of the 20th century, we see this fictional dictatorship not just seeking to dominate and control their population, but to be seen as saviors of the very people that they are dumbing down Inslaving, imprisoning, and killing.
[00:02:04.256 --> 00:02:10.604]  The writers had a deep historical well to work from in just the 20th century.
[00:02:11.265 --> 00:02:30.490]   With monsters like Hitler, Stalin, Mao, Pol Pot, Fidel Castro, Hugo Chavez, Kim Jong Un, Who don't just seek to dominate and control the very lives and thoughts of their minions, but who also want to be seen as the savior by the very people who are their slaves.
[00:02:30.730 --> 00:02:36.398]  Tonight, I will speak directly to these people and make the situation perfectly clear to them.
[00:02:37.058 --> 00:02:41.621]  The security of this nation depends on complete and total compliance.
[00:02:41.921 --> 00:02:50.445]  So, of course, in the film, those that release the bioweapon on their own population that they're preying on also have the cure.
[00:02:50.745 --> 00:02:52.086]  Lo and behold, America.
[00:02:53.971 --> 00:03:02.817]  Some believed it was the work of God himself, that it was a pharmaceutical company controlled by certain party members that made them all obscenely rich.
[00:03:03.438 --> 00:03:06.720]  But the end result, the true genius of the plan, was the film.
[00:03:08.468 --> 00:03:16.610]  Fear became the ultimate tool of this government, and through it, our politician was ultimately appointed to the newly created position of High Chancellor.
[00:03:16.710 --> 00:03:21.452]  In V for Vendetta, we truly see art imitating life.
[00:03:21.572 --> 00:03:26.253]  This is clearly an offensive biological warfare.
[00:03:26.953 --> 00:03:27.273]  Agent.
[00:03:27.473 --> 00:03:44.343]  This is only the beginning to train you to be locked down so in the future when the really deadly bioweapons are released and billions begin dying you sit there believing governments and corporations are actually your savior and are going to shepherd you and protect you when in truth they're Judas goats leading you into the slaughter.
[00:03:44.583 --> 00:03:52.187]  In the midst of the worst health crisis we're facing in more than a century don't tell your supporters don't be afraid of COVID.
[00:03:52.528 --> 00:03:54.549]  Everyone should be afraid of COVID.
[00:03:55.868 --> 00:04:08.175]  Don't tell your supporters, don't be afraid of COVID.
[00:04:08.536 --> 00:04:10.517]  Everyone should be afraid of COVID.
[00:04:10.577 --> 00:04:13.038]  Everyone should be afraid.
[00:04:17.279 --> 00:04:19.703]  I just want to say they gave me Regeneron.
[00:04:20.264 --> 00:04:23.308]  We have hundreds of thousands of doses that are just about ready.
[00:04:23.789 --> 00:04:29.137]  And if you're in the hospital and you're feeling really bad, we're going to work it so that you get them and you're going to get them free.
[00:04:29.658 --> 00:04:31.658]  And especially if you're a senior we're gonna get...
[00:04:31.658 --> 00:04:35.658]   *Gasp* *Cat meows*
[00:04:35.658 --> 00:04:39.658]   *Dramatic music* *Screaming*
[00:04:39.658 --> 00:04:43.658]   *Dramatic music* *Screaming*
[00:04:43.658 --> 00:04:47.658]   Everyone should be afraid of COVID Everyone should be afraid of COVID
[00:04:47.658 --> 00:04:51.658]   Everyone should be afraid of COVID *Dramatic music*
[00:04:51.658 --> 00:04:55.658]   *Screaming* *Dramatic music*
[00:04:55.658 --> 00:04:59.458]   *Screaming* Is there no one who can tell them don't do this?
[00:05:00.078 --> 00:05:09.421]  All of the major factors are aligning and the globalists have launched their tyrannical world government and the design orchestrated collapse of civilization as we know it.
[00:05:10.928 --> 00:05:16.052]  Last week, we had the Davos Group and the UN meeting to announce a world government biomedical tyranny.
[00:05:17.353 --> 00:05:20.235]  This week, they were meeting in Davos again to coordinate.
[00:05:20.335 --> 00:05:22.797]  And now, in the suburb of D.C.
[00:05:22.877 --> 00:05:30.343]  in Chantilly, Virginia, the Bilderberg Group is meeting, and there's no corporate press coverage of it.
[00:05:30.863 --> 00:05:32.825]  Infowars.com is reporting on it.
[00:05:33.425 --> 00:05:35.507]  Breitbart.com is reporting on it.
[00:05:36.314 --> 00:05:36.814]  And that's it.
