[00:00:00.000 --> 00:00:16.480]  [outro music]
[00:00:16.315 --> 00:00:18.315]  Tomorrow's news today.
[00:00:18.315 --> 00:00:32.954]   The area on Twitter wrote that everyone who touches Zelensky resigns, which is interesting.
[00:00:33.722 --> 00:00:46.196]  After failing the UK at every opportunity to serve globalist interests, Boris Johnson resigns as Prime Minister, to which the Russian Kremlin expressed good riddance.
[00:00:47.688 --> 00:00:59.530]  Italian Prime Minister Mario Draghi, who helped deliver Italian weapons to Ukraine and rallied support for Ukraine's entry into the EU, announced his resignation.
[00:01:00.996 --> 00:01:14.438]  Last month, Estonian Prime Minister Kaja Kallis expelled the populist center-left Center Party, claiming that she needed to form a new government to support Ukraine in their war against Russia.
[00:01:15.399 --> 00:01:29.441]  And on Thursday, Kallis officially resigned as a formality to form a new government, which she has already reached a consensus between the center-right Reform Party, the Social Democrats, and the conservative Fatherland Party.
[00:01:30.021 --> 00:01:33.923]  To form a new three-party government to support Ukraine.
[00:01:35.264 --> 00:01:47.551]  And Sri Lanka's president, Godabaya Rajapaksa, who supported the Ukraine despite sanctions crippling his own nation, emailed in his resignation after fleeing the country.
[00:01:48.922 --> 00:02:10.703]  Beyond resignations and beyond meet and greets with Ukraine's puppet president Zelensky, we have also just seen the assassination of popular anti-globalist leader Shinzo Abe and the dramatic loss of confidence expressed by the people towards Macron, Trudeau and Biden.
[00:02:11.820 --> 00:02:12.741]  What is happening here?
[00:02:13.901 --> 00:02:22.948]  On Celia Farber's The Truth Barrier, Catherine Austin Fitz explains that we are seeing a clean-out or political castration of leaders.
[00:02:23.468 --> 00:02:27.291]  Draghi, Johnson, Biden, Macron, Abe.
[00:02:27.791 --> 00:02:33.915]  Their political capital is exhausted and or they will not push the next wave aggressively.
[00:02:34.556 --> 00:02:39.980]  Mr. Global is looking to bring in a whole new round of fresh, meaner leadership.
[00:02:40.960 --> 00:02:49.285]  The next wave is total collapse, and it's not easy to find people willing to be the fall guy for the destruction of a nation.
[00:02:49.846 --> 00:03:02.873]  It takes a special type of person, which might explain why California Governor Gavin Newsom visited the White House right after Joe Biden was shuffled off to Israel to mumble about the Holocaust.
