[00:00:00.369 --> 00:00:03.111]  I guess we all know Joe Biden is not running this country.
[00:00:03.512 --> 00:00:07.255]  There is a cabal of unelected elitists who are running this country.
[00:00:07.715 --> 00:00:10.618]  Probably Barack Obama is involved.
[00:00:10.998 --> 00:00:13.760]  Probably Eric Holder.
[00:00:13.980 --> 00:00:14.581]  But who knows?
[00:00:14.861 --> 00:00:15.942]  We know it's not Biden.
[00:00:16.242 --> 00:00:21.346]  But the impeachment deal is a long, drawn-out thing.
[00:00:21.386 --> 00:00:26.670]  And if there's anybody that was coherent that could take over, that would not ruin the country.
[00:00:26.710 --> 00:00:28.472]  But it's not possible with Kamala Harris.
[00:00:29.273 --> 00:00:30.434]  It's a horrible truth.
[00:00:30.554 --> 00:00:43.366]  It's a horrifying fact that psychotic mass murdering criminals that literally worship Satan and are pedophiles and worship selfishness and just corruption and going against God's plan are in control.
[00:00:43.626 --> 00:00:44.847]  But they are in control.
[00:00:45.307 --> 00:00:52.494]  But God put us here to experience this and make the right choices and then stand up with God's help and defeat these people through Christ.
[00:00:52.974 --> 00:00:54.256]  So this is a spiritual battle.
[00:00:58.923 --> 00:01:03.926]  Rallying patriots worldwide in defense of human liberty.
[00:01:03.785 --> 00:01:05.786]  It's Alex Jones.
[00:01:05.786 --> 00:01:25.786]  [Music]
[00:01:26.020 --> 00:01:26.960]  Tomorrow's news.
[00:01:27.201 --> 00:01:27.521]  Today.
[00:01:30.583 --> 00:01:37.427]  A cabal of unelected elitists, including Obama, is in control of America.
[00:01:38.948 --> 00:01:40.749]  Never truer words have been spoken.
[00:01:41.970 --> 00:01:44.932]  And those words were spoken by Republican Congressman Ralph Norman.
[00:01:45.752 --> 00:01:46.433]  He talked about it.
[00:01:47.498 --> 00:01:48.639]  On national television.
[00:01:48.679 --> 00:01:52.661]  Coming up next segment, we're going to play a three and a half minute clip that is extremely important.
[00:01:53.261 --> 00:02:16.314]  Because if we begin to identify, as I've said thousands of times, that the globalists are a anti-freedom, anti-human cult of mad scientists, hell-bent on playing God, and explain that they've captured, through elite capture, the media, the universities, and most of the government institutions, it's game over for them.
[00:02:17.145 --> 00:02:25.513]  Their entire system rests on not being exposed and being able to censor and shut down those that expose their agenda.
[00:02:26.174 --> 00:02:31.079]  We'll be playing the interview coming up at the start of the next segment.
[00:02:32.366 --> 00:02:38.789]  You can read an article about the support information and see the video for yourself and share it at InfoWars.com.
[00:02:39.109 --> 00:02:46.492]  An article by Steve Watson, GOP rep, a cabal of unelected elitists, including Obama, is in control of America.
[00:02:47.172 --> 00:02:47.993]  I'm Alex Jones.
[00:02:48.333 --> 00:02:57.697]  This is a live Thursday, October 27th, 2022 worldwide transmission and everything we do in this fight.
[00:02:58.592 --> 00:03:04.672]   is for not. If you, the viewer and listener, do not fully let it burn into your brains,
[00:03:04.672 --> 00:03:07.472]  then you are the tip of the spear. You are the resistance.
[00:03:07.472 --> 00:03:09.312]  You are everything.
[00:03:09.312 --> 00:03:13.152]   When you share the articles, the videos, the reports, when you share the live feeds,
[00:03:13.152 --> 00:03:16.512]   when you take clips out of the show and other good broadcasts and share them,
[00:03:16.512 --> 00:03:21.232]   when you call into national talk radio or local talk radio or C-SPAN, when you go to a city
