[00:00:00.000 --> 00:00:12.000]  [outro]
[00:00:12.039 --> 00:00:14.321]  You better believe you got one!
[00:00:16.263 --> 00:00:22.263]   From the front lines of the information war, it's Alex Jones.
[00:00:22.263 --> 00:00:46.263]  [Music]
[00:00:46.263 --> 00:00:50.263]  Many of us didn't see it yet in early 2020.
[00:00:50.463 --> 00:01:01.517]  But today, millions of us are now aware of the emerging one-world government and their deceitful plans to seize power hidden under the guise of world health.
[00:01:02.802 --> 00:01:12.486]  And many of us are now awake to the fact that this so-called New World Order is religiously paganistic, luciferic, and satanic.
[00:01:13.247 --> 00:01:25.913]  So it's no surprise that their coronation ball climaxes on May 28th with a devil-horned moon and the Jupiter-Mars conjunction, which is believed to bring success when starting a war.
[00:01:27.134 --> 00:01:41.091]  Their big week of megalomania begins on May 22nd in Switzerland with both the World Health Organization's annual World Health Assembly and the World Economic Forum's annual meeting in Davos.
[00:01:41.992 --> 00:01:56.674]  In Geneva, the WHO will be voting on a pandemic treaty known officially as the Zero Draft Report of the Working Group on Strengthening WHO Preparedness and Response to Health Emergencies.
[00:01:57.662 --> 00:02:04.087]  This pandemic treaty will make them the directing and coordinating authority on international health.
[00:02:05.208 --> 00:02:20.140]  The WHO's Zero Draft Plan includes regular simulation exercises, global surveillance, more vaccines, more censorship, contact tracing, and digital vaccine passports.
[00:02:21.505 --> 00:02:28.992]  In Davos, Klaus Schwab's World Economic Forum's annual meeting theme is History at a Turning Point.
[00:02:29.772 --> 00:02:37.660]  Their agenda includes more vaccines, more censorship, and more LGBTQI resilience.
[00:02:38.976 --> 00:03:03.593]  The same week in Indonesia, the United Nations Office for Disaster Risk Reduction is holding their annual Global Platform, where they will be planning for regular ongoing pandemic simulations, more global governance, more money to fight climate change, and ultimately accomplishing the United Nations 2030 Agenda, also known as the Great Reset.
[00:03:04.961 --> 00:03:18.005]  After the New World Order's narcissistic coronation week ends, with the devil-horned moon and the Jupiter-Mars conjunction, Klaus Schwab and his fellow Satanists can celebrate with their friends at CERN.
[00:03:18.926 --> 00:03:19.426]  And then what?
[00:03:20.481 --> 00:03:31.845]  In March of 2021, the Nuclear Threat Initiative conducted a tabletop exercise simulating a global pandemic involving a monkeypox terrorist attack.
[00:03:32.806 --> 00:03:35.647]  Something that Bill Gates has told us to expect.
[00:03:36.567 --> 00:03:41.509]  The Biden administration has just bought millions of doses of monkeypox vaccines.
[00:03:42.449 --> 00:03:45.250]  And mysterious cases are now being reported.
[00:03:46.291 --> 00:03:57.676]  The final assault of the New World Order will involve a man-made bio-attack, food shortages, FEMA camps, rolling blackouts, and endless riots.
[00:03:58.817 --> 00:04:03.379]  Violence may save your life someday, and it might save our freedom.
[00:04:04.159 --> 00:04:05.459]  But it's not a solution.
[00:04:06.240 --> 00:04:17.724]  If we really wanted to solve this problem, we could all peacefully convene at our local government council and demand either their allegiance to the Constitution or their immediate resignation.
[00:04:18.404 --> 00:04:22.905]  Because the New World Order is not going to surrender, and the entire U.S.
[00:04:22.945 --> 00:04:24.586]  government is under their control.
