[00:00:00.000 --> 00:00:16.000]  (outtro music)
[00:00:16.029 --> 00:00:16.931]  Tomorrow's news.
[00:00:17.010 --> 00:00:38.771]  today.
[00:00:38.810 --> 00:00:40.972]  I've got a message for all illegals.
[00:00:41.072 --> 00:00:47.717]  If you don't want to be pushed back, if you don't want to be arrested, if you don't want to be shot, don't come to our borders.
[00:00:48.077 --> 00:00:49.878]  Do not come to the Polish border.
[00:00:50.159 --> 00:00:50.899]  Then you're safe.
[00:00:51.099 --> 00:00:56.183]  It's not us, it's not our police who came up to beat you up, to push you, or to arrest you.
[00:00:56.383 --> 00:00:59.726]  It's you who tried to break the law on our land.
[00:00:59.846 --> 00:01:12.174]   Even though churches, gyms, schools, weddings, funerals, stay-at-home orders, curfews, mask mandates, vax mandates, And every business closed except big corporate chains like Walmart and Big Tech thriving and the biggest transfer.
[00:01:12.194 --> 00:01:15.656]  Well, they'll credibly say we would never actually really lock down.
[00:01:16.216 --> 00:01:19.218]  That's what they're redefining it in real time as we speak.
[00:01:19.638 --> 00:01:32.826]  The signs of sabotage are numerous and widespread as the vultures of great reset tyranny circle a sickened and angered populace that is on track for a mass starvation event in the very near future.
[00:01:33.226 --> 00:01:35.127]  It was an article on the UN website.
[00:01:35.407 --> 00:01:40.612]  On the, per the UN, about 860 million people could starve to death in the next 24 months.
[00:01:40.632 --> 00:01:41.273]  Almost a billion.
[00:01:41.293 --> 00:01:43.055]  In the next 24 months?
[00:01:43.655 --> 00:01:43.795]  Yeah.
[00:01:44.176 --> 00:01:49.240]  People depend on you for what's left of the food.
[00:01:50.226 --> 00:01:51.367]  You control them.
[00:01:52.148 --> 00:01:57.032]  Where food is abundant and cheap, you do not control them.
[00:01:57.453 --> 00:02:01.196]  Where energy is cheap and abundant, you do not control them.
[00:02:01.817 --> 00:02:05.840]  Scarcity equals dependency equals control.
[00:02:06.221 --> 00:02:11.686]  And that's why they're targeting the food chain, they're targeting the energy supply, they're targeting everything.
[00:02:11.986 --> 00:02:19.969]  French President Emmanuel Macron's country has been flooded with the United Nations' self-proclaimed replacement migration.
[00:02:20.190 --> 00:02:35.096]  Regardless of what the propaganda denying its existence would have you believe, Macron is now priming the pump for energy crises and food shortages as the World Economic Forum once again tightens its grip on the neck of the French people.
[00:02:36.697 --> 00:02:39.478]  What we are living through is a time of great upheaval.
[00:02:41.718 --> 00:02:50.542]  Firstly, because we are witnessing, and not just since this summer, but over the past few years, the end of what we might have seen as abundance.
[00:02:50.822 --> 00:02:56.121]   disgraced California Governor Gavin Newsom has said the quiet part out loud,
[00:02:56.121 --> 00:03:06.021]   pushing California towards a goal of zero emissions by 2035 and 30 percent or 14 million of California's drivers into
[00:03:06.021 --> 00:03:09.322]  electric vehicles within four years.
[00:03:09.322 --> 00:03:14.521]   Currently, there are roughly just a mere 1 million driving electric vehicles
[00:03:14.521 --> 00:03:17.322]  in the golden state of liberal lunacy.
[00:03:17.457 --> 00:03:24.223]  In the next 15 years we will eliminate in the state of California the sales of internal combustion engines.
[00:03:24.624 --> 00:03:27.606]  Extreme heat will grip much of the state through the Labor Day weekend.
[00:03:27.746 --> 00:03:35.092]   This morning Governor Gavin Newsom is laying out ways you can stay safe and prevent putting a strain on On the electrical grid over the upcoming days.
[00:03:35.312 --> 00:03:35.992]  Let's listen in.
[00:03:36.032 --> 00:03:40.973]  We voluntarily ask you to do a little bit more to help us get through the next week or so.
[00:03:41.273 --> 00:03:47.094]  To turn, interestingly, up a little bit the thermostat at home to 78 degrees.
[00:03:47.154 --> 00:03:50.335]  Try to pre-cool earlier in the day the home.
[00:03:51.115 --> 00:03:55.236]  Try not to use too much electricity in those key hours.
[00:03:55.276 --> 00:03:56.556]  And the key hours are between 4 p.m.
[00:03:56.576 --> 00:03:57.077]  and 9 p.m.
[00:03:58.897 --> 00:04:04.640]  When Biden himself has blazed an unprecedented trail, torching our constitutional republic.
[00:04:04.660 --> 00:04:13.326]  The affirmative task we have now is to actually create a new world order.
[00:04:13.546 --> 00:04:25.113]  For those brave right-wing Americans who say it's all about keeping America's independent and safe, if you want to fight against the country, you need an F-15.
[00:04:25.593 --> 00:04:27.334]  You need something a little more than a gun.
[00:04:28.154 --> 00:04:36.945]  We are watching right now a very radical and extreme Republican Party mirror what we have seen in other places like Nazi Germany, like other places like the Bolsheviks.
[00:04:38.552 --> 00:04:56.551]  If we are not able to ask skeptical questions, to interrogate those who tell us that something is true, to be skeptical of those in authority, then we're up for grabs for the next charlatan, political, or religious who comes ambling along.
[00:04:56.831 --> 00:05:03.831]  John Bowne reporting.
