[00:00:00.333 --> 00:00:01.674]  So it's all official.
[00:00:03.014 --> 00:00:08.117]  And we have been directly maneuvered into this.
[00:00:08.177 --> 00:00:12.299]  So, you know, let's say 100 years ago, it might have taken a few months to build an old farmhouse.
[00:00:13.079 --> 00:00:15.160]  And then it took 100 years for it to get rotting and old.
[00:00:15.180 --> 00:00:18.262]  And it takes about five minutes for one full of gasoline to burn to the ground.
[00:00:20.783 --> 00:00:25.165]  An old wooden farmhouse goes up like a Roman candle.
[00:00:29.577 --> 00:00:36.999]  So, ladies and gentlemen, the house is on fire, and they actually did it.
[00:00:37.339 --> 00:00:38.079]  They destroyed America.
[00:00:38.099 --> 00:00:38.640]  They took us down.
[00:00:39.120 --> 00:01:05.029]   Now, the only reason I'm being as blunt as I am is there's some hope to lessen how bad this is going to be if we admit That they shipped in tons of fentanyl, they deliberately bankrupted the cities, they deliberately annihilated the family, they deliberately destroyed the border, they are absolutely publicly killing the dollar right now and let's just get it out there.
[00:01:05.189 --> 00:01:06.991]  The good old days are over.
[00:01:07.430 --> 00:01:14.430]   From the front lines of the information war, it's Alex Jones.
[00:01:15.430 --> 00:01:30.430]  [Music]
[00:01:30.430 --> 00:01:33.522]   InfoWars Tomorrow's news.
[00:01:33.802 --> 00:01:34.223]  Today.
[00:01:34.243 --> 00:01:38.026]  I know you're going to ask a really nice question.
[00:01:38.106 --> 00:01:40.168]  Well, it's an important question, I think.
[00:01:40.388 --> 00:01:52.319]  Are you worried that other leaders in the world are going to start to doubt that America is back if some of these big things that you say on the world stage keep getting walked back?
[00:01:53.140 --> 00:01:54.140]  What's getting walked back?
[00:01:54.620 --> 00:02:01.100]   It sounded like you told US troops they were going to Ukraine.
[00:02:01.100 --> 00:02:04.780]   It sounded like you said it was possible the US would use a chemical weapon.
[00:02:04.780 --> 00:02:09.501]   And it sounded like you were calling for regime change in Russia.
[00:02:09.501 --> 00:02:10.501]  And we know...
[00:02:10.501 --> 00:02:13.139]  None of the three occurred.
[00:02:13.176 --> 00:02:13.876]  None of the three.
[00:02:13.896 --> 00:02:14.977]  Mr. President?
[00:02:15.218 --> 00:02:16.619]  You interpret the language that way.
[00:02:16.659 --> 00:02:17.740]  I was talking to the troops.
[00:02:18.100 --> 00:02:25.426]  We're talking about helping train the troops in, that are, the Ukrainian troops that are in Poland.
[00:02:25.787 --> 00:02:26.728]  That's what the context.
[00:02:26.808 --> 00:02:28.849]  I sat there with those guys for a couple hours.
[00:02:29.390 --> 00:02:30.311]  That's what we talked about.
[00:02:30.951 --> 00:02:41.218]  So when you said you're going to see when you're there, you were not intending... I was referring to, with, speaking with and talking with the Ukrainian troops who were in Poland.
[00:02:41.338 --> 00:02:46.181]  And when you said a chemical weapon used by Russia would trigger a response in kind?
[00:02:46.862 --> 00:02:48.763]  It will trigger a significant response.
[00:02:49.023 --> 00:02:49.824]  What does that mean?
[00:02:50.284 --> 00:02:51.244]  I'm not going to tell you.
[00:02:51.865 --> 00:02:52.585]  Why would I tell you?
[00:02:52.745 --> 00:02:53.446]  You've got to be silly.
[00:02:54.656 --> 00:02:55.657]  The world wants to know.
[00:02:55.677 --> 00:02:57.298]  The world wants to know a lot of things.
[00:02:57.378 --> 00:02:58.920]  I'm not telling them what the response would be.
[00:02:58.980 --> 00:03:01.001]  Then Russia knows the response.
[00:03:01.582 --> 00:03:09.328]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[00:03:09.468 --> 00:03:17.175]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[00:03:17.395 --> 00:03:19.477]  As president, I will make it clear.
[00:03:20.337 --> 00:03:25.099]  That the United States will treat cyber attacks just like any other attack.
[00:03:25.659 --> 00:03:31.021]  We will be ready with serious political, economic, and military responses.
[00:03:31.061 --> 00:03:34.162]  They're voting for peace on planet Earth if they vote for Trump.
[00:03:34.462 --> 00:03:37.444]  But if they vote for Hillary, it's war.
[00:03:37.484 --> 00:03:40.044]  We came, we saw, he died.
[00:03:42.449 --> 00:03:44.490]  With her, you'll end up in World War III.
[00:03:44.830 --> 00:03:48.231]  I want the Iranians to know that if I'm the president, we will attack Iran.
[00:03:48.491 --> 00:03:56.374]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[00:03:58.323 --> 00:03:58.783]  The U.S.
[00:03:58.823 --> 00:04:02.444]  military has just raised the threat level to DEFCON 2.
