[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[00:00:01.951 --> 00:00:02.871]  I am in torture.
[00:00:03.312 --> 00:00:04.253]  I am in pain.
[00:00:05.033 --> 00:00:05.854]  I am upset.
[00:00:06.094 --> 00:00:18.645]  I am having nightmares over the destruction of our species, not over the fact that I am trying to fight these people and they know if they just kill me outright or put me in prison outright, that would turn me into a bigger martyr.
[00:00:18.865 --> 00:00:34.813]   So they think setting me against dead kids in a rigged trial of lies where we can't even defend ourselves and where the judge already says we're guilty, They think that's the only way they can then demonize the archetypal resistor, the archetypal populist who's fighting them.
[00:00:35.273 --> 00:00:41.215]  But the result is the vast majority of people have absolutely seen through it.
[00:00:41.775 --> 00:01:06.092]   So the Democrats and their lawyers and their controlled corrupt judges can sit there and pretend in their little rotting bubbles of the collapsing dinosaur media and the collapsing judiciary and the collapsing economy that they're beating me When I have already made the decision to do this mission, whether I get killed, put in prison, tortured, made homeless, that means nothing to me!
[00:01:07.742 --> 00:01:13.525]  People that love football or basketball or baseball like I did growing up, I would get so upset when my team lost.
[00:01:13.605 --> 00:01:21.830]  I would get so upset when things like... And then finally, as I learned about the world and history, I was like, I'm a fool to care about this.
[00:01:22.370 --> 00:01:24.992]  Not that it's bad to watch sports, but it's bad to make it your top thing.
[00:01:25.852 --> 00:01:39.483]   And so when I see unborn children being killed, and six-month-old babies being given experimental shots, and five-year-olds being tricked by public schools that they're really a girl, and signing up when they're 10 to have their testicles chopped off, And their penis is cut off.
[00:01:41.345 --> 00:01:45.869]  I take that personally, because I have empathy, because I know it's happening to all of us.
[00:01:46.009 --> 00:01:47.270]  I'm connected to everyone.
[00:01:48.932 --> 00:01:53.216]  Rallying patriots worldwide in defense of human liberty.
[00:01:53.075 --> 00:01:58.875]  creates worldwide in defense of human liberty is Alex Jones.
[00:01:58.875 --> 00:02:18.995]  InfoWars.
[00:02:19.213 --> 00:02:20.113]  Tomorrow's news.
[00:02:20.193 --> 00:02:36.112]  today.
[00:02:36.341 --> 00:02:38.742]  You better believe you've got one!
[00:02:40.443 --> 00:02:47.443]   From the front lines of the information war, it's Alex Jones.
[00:02:47.443 --> 00:02:54.443]  [Music]
[00:02:54.443 --> 00:02:57.443]  [Music]
[00:02:57.443 --> 00:03:04.443]   Recently, the central bank digital currencies have been the talking point at the global confabs
[00:03:04.443 --> 00:03:09.443]   because they lead to the creation of a global currency system.
[00:03:09.633 --> 00:03:15.854]  Good afternoon everybody and welcome to the session on resetting digital currencies.
[00:03:16.394 --> 00:03:21.355]  The theme of this year's forum, as you know, is a crucial year to rebuild trust.
[00:03:22.015 --> 00:03:25.676]  The digital payment system can help reduce these logistical costs.
[00:03:25.876 --> 00:03:29.876]  can help remove the dangers of holding cash.
[00:03:29.876 --> 00:03:40.276]   As the architects of multiple global crises pour on the tyranny, the IMF is enjoying an elevated position as the problem solver
[00:03:40.276 --> 00:03:45.075]   most nations turn to for help, racketeering on a global scale.
[00:03:45.075 --> 00:03:53.344]   With all the current issues on our agenda, we tend to forget that we are in the midst of the fourth
[00:03:53.344 --> 00:03:59.675]   industrial revolution, which accelerates global change in much more comprehensive
[00:03:59.675 --> 00:04:03.876]   and faster ways than the previous three revolutions.
[00:04:04.062 --> 00:04:09.365]  The objective is to quickly recognize the potential of new technologies.
[00:04:09.725 --> 00:04:13.668]  History is truly at a turning point.
[00:04:14.248 --> 00:04:21.113]  We do not yet know the full extent and the systemic and structural changes which will happen.
[00:04:22.486 --> 00:04:31.748]  However, we do know that global energy systems, food systems, and supply chains will be deeply affected.
[00:04:32.448 --> 00:04:47.372]  And as Bloomberg gleefully reported, key Democratic congressional allies are urging President Joe Biden's administration to support a new injection of resources for countries at the IMF to help them deal with the fallout from Russia's invasion of Ukraine.
[00:04:47.472 --> 00:04:59.341]  To the tune of at least $650 billion in additional IMF reserve assets, the demand is being led by Representative Pramila Jayapal and Senator Elizabeth Warren.
[00:04:59.581 --> 00:05:11.649]  Zero Hedge recently put the puzzle pieces together concerning the Democrats' proposed $650 billion flooding of the IMF with special drawing right funds.
[00:05:12.110 --> 00:05:14.591]  What are special drawing right funds?
[00:05:15.792 --> 00:05:24.700]  The Special Drawing Rights, or SDR, was created by the IMF in 1969 to supplement the official reserves of its member countries.
[00:05:26.041 --> 00:05:36.950]  The SDR is an interest-bearing international reserve asset that can only be held by the IMF, its member countries, and designated official entities known as prescribed holders.
[00:05:37.831 --> 00:05:44.954]  In addition to this role, the SDR serves as the unit of account of the IMF and several other international organizations.
[00:05:45.334 --> 00:05:50.375]  Zero Hedge writes, each new crisis brings global banks closer to their goal.
[00:05:50.655 --> 00:05:59.519]   The introduction of national digital currencies and the SDR basket Become the de facto reserve trading tool for the world.
[00:05:59.759 --> 00:06:04.781]  Why do Democrats specifically want aid denominated in SDRs?
[00:06:05.121 --> 00:06:08.002]  Because funding allocations in the U.S.
[00:06:08.263 --> 00:06:13.325]  have already hit their maximum, and new funding bills are being defeated in the Senate.
[00:06:13.585 --> 00:06:16.746]  At the IMF, there are no checks and balances.
[00:06:17.086 --> 00:06:23.549]  They can ask for almost any amount of money in the form of SDRs without oversight.
[00:06:23.849 --> 00:06:33.932]  There are always strings attached when it comes to the IMF, and in exchange for SDRs, the globalists will certainly want more centralized control.
[00:06:34.192 --> 00:06:37.833]  The Ukrainian war is not merely a money laundering operation.
[00:06:38.113 --> 00:06:48.096]  It is a linchpin to transfer the global economy out of the money printing of central banks, and directly into the hands of globalists controlling the IMF.
[00:06:48.436 --> 00:06:54.601]  We are being looted in real time of our property, currency, sovereignty, and our very lives.
[00:06:55.101 --> 00:06:56.262]  John Bowne reporting.
