[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[00:00:03.551 --> 00:00:05.852]  End-of-civilization-as-we-know-it alert!
[00:00:06.832 --> 00:00:12.675]  Vladimir Putin officially threatens to use nuclear weapons against Europe if NATO continues takeover of Ukraine.
[00:00:12.695 --> 00:00:26.020]  In an official press conference, Putin threw down the gauntlet, warning the West if NATO invokes Article 5 and absorbs Ukraine into NATO, within a blink of an eye, he said, the West will see a massive military response.
[00:00:26.761 --> 00:00:35.053]   Then he says NATO has the force to crush Russia, With conventional weapons, and he will use nuclear weapons, and then he will strike Western Europe.
[00:00:36.634 --> 00:00:39.737]  Now, let me break down the timetable on this, if this starts.
[00:00:41.678 --> 00:00:57.191]  When the Russians get overwhelmed by the NATO forces arrayed against them, and all that heavy weapons, and high-tech weapons, Putin is saying that they're going to use tactical nuclear weapons in theater against those forces.
[00:00:58.732 --> 00:01:00.473]  That'll happen within about 10 minutes.
[00:01:03.735 --> 00:01:12.141]  At that point, the orders will go out, and cruise missiles all over Europe, hypersonic, will be fired at Russian military bases.
[00:01:14.142 --> 00:01:30.574]   Once the Russians make the decision to use tacticals, they'll have all their submarines surfacing, their cruise missiles ready, their ICBMs ready, and the minute they detect with their radar and satellites Western missile launches, they will have a total commitment release of their weapons.
[00:01:30.614 --> 00:01:38.218]  Their submarines will come up off our coast, they will vaporize Manhattan, Los Angeles, all of the Russian cities will be vaporized as well.
[00:01:38.638 --> 00:01:40.219]  Western Europe will be vaporized.
[00:01:43.281 --> 00:01:54.387]  Where I live in Austin, Texas, we'll have MIRV-tipped missiles open, coming back into the atmosphere, launching dozens of warheads at military targets all over Central Texas.
[00:01:56.840 --> 00:02:05.627]  Most of us will just get knocked down and maybe the roof came in on you, but when you come outside, you'll be breathing all that delicious radiation.
[00:02:06.007 --> 00:02:09.269]  And of course, the power won't be coming back on for years if you're lucky.
[00:02:10.190 --> 00:02:12.031]  So that's where we are.
[00:02:12.091 --> 00:02:14.233]  And we're an evil, decadent, satanic society.
[00:02:14.253 --> 00:02:15.294]  And I guess it's time to die.
[00:02:15.794 --> 00:02:22.794]   From the front lines of the information war, it's Alex Jones.
[00:02:23.794 --> 00:02:29.794]  Ladies and gentlemen, this is a maximum red alert.
[00:02:30.071 --> 00:02:34.133]  Vladimir Putin has officially threatened worldwide thermal nuclear war.
[00:02:35.033 --> 00:02:36.614]  If NATO continues their invasion.
[00:02:36.814 --> 00:02:37.314]  Red alert.
[00:02:37.394 --> 00:02:38.074]  Maximum alert.
[00:02:38.094 --> 00:02:38.715]  Tune in now.
[00:02:38.895 --> 00:02:39.375]  Spread the word.
[00:02:39.795 --> 00:02:40.816]  InfoWars.
[00:02:41.136 --> 00:02:43.957]  The most banned network in the world.
[00:02:43.977 --> 00:02:50.060]  The globalists have wanted nuclear war for a long time.
[00:02:51.281 --> 00:02:53.262]  Their launch of COVID-19 was just the beginning.
[00:02:53.982 --> 00:02:57.744]  They're waging war against the entire planet itself and humanity.
[00:02:58.545 --> 00:02:59.926]  It's Tuesday, February 8th, 2022.
[00:03:00.966 --> 00:03:04.128]  And this is the most important broadcast we've ever done.
[00:03:04.509 --> 00:03:06.790]  Tell everyone you know, tune in now.
[00:03:07.270 --> 00:03:12.854]  We must trigger a chain reaction awakening and avert what the globalists are calling World War 4.
[00:03:13.794 --> 00:03:17.837]  This is their plan to drive Russia into conflict with the United States.
[00:03:21.778 --> 00:03:27.519]  In the capital city of Ottawa, thousands of truckers and others have clogged the city streets for more than 10 days.
[00:03:27.959 --> 00:03:30.860]  Ottawa's mayor has now declared a state of emergency.
[00:03:31.220 --> 00:03:35.941]  I'm outlining three steps that I believe Doug Ford should be taking right now, urgently.
[00:03:36.281 --> 00:03:40.081]  I think that we need to declare a provincial state of emergency.
[00:03:40.141 --> 00:03:42.142]  This is how serious the situation is.
[00:03:42.342 --> 00:03:45.402]  The wheels are absolutely coming off of everything they're doing.
[00:03:45.862 --> 00:04:03.478]   John Hopkins, which is a very diverse scientific group, and is the The mission of the Pandemic Emergency Board is to provide recommendations to deal with the major global challenges arising in response to an unfolding pandemic.
[00:04:04.799 --> 00:04:09.761]  The board is comprised of highly experienced leaders from business, public health, and civil society.
[00:04:10.481 --> 00:04:17.305]  We could be looking at double the number of cases in one week and 16 times as many in a month if we are not able to stop the spread.
[00:04:17.864 --> 00:04:34.935]  There are pockets and significant pockets of the country where vaccines aren't happening because of those, you know, the anti-vaxxers or whatever you want to call them, who have made significant headway in trying to convince parents they shouldn't vaccinate children.
[00:04:34.955 --> 00:04:36.516]  Do you get mad about it?
[00:04:36.797 --> 00:04:37.557]  I push forward.
[00:04:37.597 --> 00:04:44.422]  I wouldn't say I get angry, but I'm really impatient that we're not moving as fast as I'd like.
[00:04:44.442 --> 00:04:50.562]   subsequent lies and fraud is now covering its ass by the very working
[00:04:50.562 --> 00:04:55.002]   group that was heavily involved with Bill Gates planning all this coming out
[00:04:55.002 --> 00:05:01.882]   a 60-plus page report saying lockdowns are a fraud and have killed more people
[00:05:01.882 --> 00:05:05.922]   than the virus and that the economic destruction of it is going to starve
[00:05:05.922 --> 00:05:13.944]   hundreds of millions of people to death which is true Reuters has come out and endorsed ivermectin and its incredible antiviral properties.
[00:05:14.645 --> 00:05:16.687]  Covering your little dirty asses, aren't you?
[00:05:17.247 --> 00:05:20.751]  The head of Reuters on the board of Pfizer and its quarterback, the censorship.
[00:05:21.431 --> 00:05:32.523]   Jeff Zucker, the America-hating Hatchet Man for this country has now resigned and they always use the fall on the sword excuse.
[00:05:33.451 --> 00:05:36.492]  Jeff Zucker's departure was shocking to the staff of CNN.
[00:05:36.331 --> 00:05:39.331]  that was inappropriate with somebody that worked there.
[00:05:39.331 --> 00:05:44.291]   The big crime is men and women having sex and God forbid any children come along.
[00:05:44.291 --> 00:05:49.850]   It wasn't lying, it wasn't infiltrating groups, it wasn't overseeing the persecution of millions of people
[00:05:49.850 --> 00:05:54.492]   that CNN would covertly and overtly target and have deplatformed.
[00:05:54.492 --> 00:05:58.850]  Jeff Zucker's departure was shocking to the staff of CNN.
[00:05:58.850 --> 00:06:04.072]   But the people who say we're lacking journalism, that we've become an all talk channel,
[00:06:04.834 --> 00:06:07.236]  That we've run off and we're all opinions all the time?
[00:06:08.176 --> 00:06:09.697]  That Jeff Zucker led us astray?
[00:06:09.717 --> 00:06:12.478]  Those people aren't watching CNN.
[00:06:13.739 --> 00:06:14.739]  They're not watching CNN.
[00:06:15.460 --> 00:06:18.941]  They're watching complaints about CNN on other channels that don't know what they're talking about.
[00:06:19.062 --> 00:06:20.442]  Joe Rogan's irresponsible!
[00:06:20.742 --> 00:06:23.644]  He took horse maggot medicine the other day!
[00:06:24.124 --> 00:06:29.067]  Now tell me, sir, and don't tell me anything other than this, should there be a war?
[00:06:29.967 --> 00:06:31.608]  Yes, there should be a war!
[00:06:32.822 --> 00:06:33.702]  Interview's done!
[00:06:33.982 --> 00:06:36.363]  I'd like to see you do that, Joe Rogan!
[00:06:36.383 --> 00:06:39.084]  Which sounds great, but not all opinions are created equal.
[00:06:39.304 --> 00:06:40.884]  The crime's not defunding the police.
[00:06:41.285 --> 00:06:51.208]  The crime's not opening up the violent people out of the prisons and having five-fold homicide and carjacking numbers explode in blue cities, a doubling nationwide on average.
