[00:00:00.000 --> 00:00:00.500]  [Beep]
[00:00:00.500 --> 00:00:18.500]  [Music]
[00:00:18.500 --> 00:00:21.754]   InfoWars Tomorrow's News Today.
[00:00:21.754 --> 00:00:26.754]  [Music]
[00:00:26.754 --> 00:00:32.273]   Well, it wasn't a hard prediction to make in the last few weeks that when the United States openly said it had greenlit
[00:00:32.273 --> 00:00:36.472]   Ukraine to start firing cruise missiles deep into Russia, attacking
[00:00:36.472 --> 00:00:41.264]   Russian nuclear bases, that Putin would then activate his mobile ICBMs that are on
[00:00:41.264 --> 00:00:47.754]   trains and trucks and begin moving them around at least twice a day.
[00:00:47.745 --> 00:00:51.008]  That way they can't be targeted by satellites and then first struck.
[00:00:52.119 --> 00:00:53.660]  In a sneak attack, nuclear attack.
[00:00:53.700 --> 00:00:58.422]  So Russia is now publicly prepared for a NATO-U.S.-led nuclear sneak attack.
[00:00:59.003 --> 00:01:01.204]  China is saying they're going to respond with nuclear weapons.
[00:01:01.224 --> 00:01:13.871]  Obviously, if the war escalates in a nuclear war, if anybody attacks them, things are deteriorating very, very, very quickly, and the average person cares about what's going on on cable TV or on Netflix.
[00:01:14.611 --> 00:01:19.294]  This is how you sleepwalk into absolute Armageddon.
[00:01:19.354 --> 00:01:21.455]  So this goes way beyond saber-rattling.
[00:01:23.103 --> 00:01:30.164]  The Russians have rolled out their ICBMs that come back into the atmosphere at Mach 7, almost impossible to shoot down.
[00:01:31.424 --> 00:01:44.287]  The reentry devices, when the warhead pops open or the shell of the missile pops open, fires between 5 and 20 different warheads, some of them dummy decoys, some of them real, carrying thermonuclear payloads.
[00:01:45.907 --> 00:01:51.448]  And obviously the United States has all this stuff as well, but that's why they call it Mutually Assured Destruction.
[00:01:52.378 --> 00:01:53.680]  Total, complete insanity.
[00:01:53.900 --> 00:01:55.181]  That's coming up.
[00:01:57.744 --> 00:02:02.049]  Then obviously we have a lot of border collapse news as they announce the end of Title 42.
[00:02:04.042 --> 00:02:15.910]  The Feds admit they're expecting a total collapse, quote, calling it catastrophic, but it's being ordered by the same people cutting off our energy supplies and bringing us into World War III and injecting the public with these poison frankenshots.
[00:02:15.950 --> 00:02:19.253]  And that's why we're going to hit the poison frankenshots first.
[00:02:19.913 --> 00:02:21.895]  We come back from break and some stations join us.
[00:02:22.335 --> 00:02:25.817]  Dr. Peter McCullough, completely vindicated, back on Twitter.
[00:02:26.832 --> 00:02:40.417]  And so many other scientists and doctors now confirmed to be suppressed by Big Pharma and Fauci, criminally also suppressing many of the natural treatments and other therapeutics that were there.
[00:02:41.437 --> 00:02:47.599]  So I really appreciate Dr. McCullough joining us right at the main kickoff of the show here in about four minutes when we come back from this short break.
[00:02:48.579 --> 00:02:50.660]  Separately, we are listeners supported.
[00:02:50.680 --> 00:02:52.241]  We can't stay on air without you.
[00:02:53.141 --> 00:03:03.535]   And with all the crazy stuff going on in the world today, The fact that the public's returning to incubators with their immune systems lowered, it's more important than ever to boost your immune systems, but also just your basic way of life.
[00:03:03.955 --> 00:03:07.919]  We've now got InfoWars MD line of high quality supplements, the highest quality.
[00:03:09.341 --> 00:03:19.103]  Nitric Boost naturally has compounds that boost nitrous oxide in your blood, which any doctor like Dr. Peter McCullough can tell you is really good for your cardiovascular system.
[00:03:19.163 --> 00:03:22.484]  It's amazing, and it funds the Heart of Freedom InfoWars.
[00:03:22.564 --> 00:03:36.387]  Mushroom Max is a national best-selling brand that we've been allowed to private label of the very best known rare mushroom concentrates that aren't speed-like, but really have no nootropic effect, like Lion's Mane and so many others.
[00:03:36.687 --> 00:03:37.487]  That's the new product.
[00:03:38.007 --> 00:03:43.370]  Mushroom Boost is again a clone of an already best-selling product that this company that's working with us puts out nationally.
[00:03:43.670 --> 00:03:45.991]  That's available at InfoWareStore.com.
[00:03:46.331 --> 00:03:53.795]  Libido RX takes a lot of natural healthy compounds that don't just boost your libido, but your overall stamina and energy and just well-being.
[00:03:54.727 --> 00:04:01.212]  And then, of course, we also have Turmeric 95, which is the same as Body's Ultimate Turmeric Formula, just their brand and under their label.
[00:04:01.392 --> 00:04:04.454]  That's who we were already buying it from, the 95% curcuminoid.
[00:04:04.855 --> 00:04:08.677]  That's the strongest curcuminoid out there, so good for inflammation, your immune system, and more.
[00:04:09.138 --> 00:04:13.321]  Now, Turmeric 95, it's the same as Body's Ultimate Turmeric Formula.
[00:04:13.681 --> 00:04:16.043]  It's available at Infowarstore.com, back in stock.
[00:04:16.303 --> 00:04:22.728]  And that's great because our Body's Ultimate Turmeric Formula sold out about three weeks ago, as you know, and it's one of our best sellers.
[00:04:23.766 --> 00:04:31.769]  There are also eight other new products available at InfoWarsTore.com under the InfoWars MD banner.
[00:04:32.029 --> 00:04:37.631]  These really are the best, and they fund the operation at very, very affordable prices.
[00:04:37.991 --> 00:04:42.853]  And then I talked about how the mushroom concentrate boosts your overall well-being.
[00:04:42.873 --> 00:04:43.953]  Well, what about your libido?
[00:04:44.353 --> 00:04:49.235]  With Libido RX, with all the known compounds that naturally and healthfully supercharge your libido, this stuff's powerful.
[00:04:49.995 --> 00:04:53.116]  And I suggest you all get it at InfoWarsStore.com.
[00:04:53.257 --> 00:04:54.377]  Right back with Dr. Peter McCullough.
[00:04:54.817 --> 00:04:57.118]  InfoWars.com and Band.Video.
[00:04:57.138 --> 00:04:58.119]  Please share those links.
[00:04:58.139 --> 00:05:03.261]  I want you to remember two words.
