[00:00:00.289 --> 00:00:01.910]  Fuck you, you fucking cunts!
[00:00:02.430 --> 00:00:02.951]  Fuck you!
[00:00:03.391 --> 00:00:04.071]  Die, bitch!
[00:00:04.311 --> 00:00:05.552]  We're coming for you!
[00:00:09.974 --> 00:00:15.517]  As we all know, the left and the corporate media that defends it have an extreme double standard.
[00:00:16.058 --> 00:00:25.823]  When Black Lives Matter and other leftist Marxist groups burned down billions of dollars of people's homes and businesses, including public housing, it was called mostly peaceful.
[00:00:26.403 --> 00:00:33.409]  When they tried to destroy the federal courthouse on a hundred plus evenings, they called that a peaceful protest.
[00:00:33.810 --> 00:00:40.135]  And in fact, the current vice president, who was a candidate then, helped bail out some of the people that were involved in it.
[00:00:41.096 --> 00:00:49.264]  So now we have the Capitol Police using January 6th as the pretext to set up offices around the nation to quote, protect members.
[00:00:49.884 --> 00:00:56.446]  But at the same time, not protecting Republicans, not protecting conservatives, not protecting populists.
[00:00:56.786 --> 00:00:59.186]  So what we're seeing is selective enforcement.
[00:00:59.226 --> 00:01:13.970]  Well, Marjorie Taylor Greene was on my show yesterday and talked about running for president perhaps, talked about the tyranny of the COVID mandates, talked about Fauci, talked about a lot of amazing subjects, and it went super viral all over the news.
[00:01:14.730 --> 00:01:17.419]  But today she sent me some new information.
[00:01:17.761 --> 00:01:20.189]  You just heard a small clip of it of just...
[00:01:21.631 --> 00:01:29.816]  One phone call of many she's gotten, specifically threatening her and threatening to basically sexually assault her.
[00:01:30.416 --> 00:01:37.760]  Now the point is, imagine if someone was calling up female members of the Democratic Party and saying similar things.
[00:01:38.000 --> 00:01:39.161]  It would be all over the news.
[00:01:39.481 --> 00:01:43.243]  But when things happen to her like this, there's almost zero coverage in the mainstream media.
[00:01:43.463 --> 00:01:48.466]  That's why it's so important that places like InfoWars exist so people can see what's actually happening.
[00:01:48.766 --> 00:01:49.566]  It's green!
[00:01:49.906 --> 00:01:51.006]  We're coming for you!
[00:01:51.346 --> 00:01:52.327]  January 6th!
[00:01:52.767 --> 00:01:53.867]  It's January 6th!
[00:01:54.327 --> 00:01:58.688]  It's the anniversary, but we're coming for you, motherfuckin', you fuckin' cunt bitch!
[00:01:59.028 --> 00:01:59.928]  You insurrectionist!
[00:02:00.208 --> 00:02:01.228]  You fuckin' traitor!
[00:02:01.528 --> 00:02:03.629]  You Trump cop-suckin' bitch!
[00:02:03.989 --> 00:02:06.029]  We're coming for you, bitch!
[00:02:06.449 --> 00:02:07.149]  You and Trump!
[00:02:07.429 --> 00:02:09.350]  And all the rest, you fuckin' insurrectionists!
[00:02:09.610 --> 00:02:10.510]  And you fuckin' traitors!
[00:02:10.770 --> 00:02:11.730]  We're coming for you!
[00:02:11.790 --> 00:02:13.751]  We are the true patriots!
[00:02:14.071 --> 00:02:16.011]  You motherfuckin' Nazi cunts!
[00:02:16.627 --> 00:02:18.229]  Fuck you, you fucking cunt!
[00:02:18.749 --> 00:02:19.289]  Fuck you!
[00:02:19.510 --> 00:02:20.430]  Die, bitch!
[00:02:20.631 --> 00:02:22.893]  We're coming for you, bitch!
[00:02:23.894 --> 00:02:36.133]   Truly disgusting, incredibly hateful, and quite frankly, frightening to hear that level of hate just because Congresswoman Greene supported Trump just because she's a populist.
[00:02:36.514 --> 00:02:43.740]  The left is completely crazy because they can hold two completely different ideas in their heads at the same time and believe both.
[00:02:44.160 --> 00:02:49.445]  That if you just mildly say you don't like the left and disagree with them, you deserve to be censored.
[00:02:49.785 --> 00:02:50.886]  But if you threaten people...
[00:02:51.586 --> 00:02:58.971]  And make all sorts of weird sexual assault comments at them as long as they're the bad party, the conservative party, the Christian party, then it's okay.
[00:02:59.451 --> 00:03:02.853]  Well, MTG also sent me this statement and these photos.
[00:03:03.233 --> 00:03:13.060]  People are vandalizing my signs right outside my office in Longworth and they work in the building and Cap Police won't do anything and nothing about all of my death threats.
[00:03:13.480 --> 00:03:18.463]  And she went on to add that they still check her and search her when she goes into the Capitol.
[00:03:18.803 --> 00:03:26.509]  So they've got Capitol Police, they're in Georgia, but they're not protecting her because again, they're only for the Democratic Party.
[00:03:26.929 --> 00:03:33.755]  Even when the Republicans get in power, coming up with the midterms, which has been predicted by all the numbers of polls, if we can override the election for all the Democrats.
[00:03:34.395 --> 00:03:42.318]  You will still see the Capitol Police predominantly being served as the Democratic Party, because the Democratic Party is the deep state establishment.
[00:03:42.718 --> 00:03:43.999]  And here are some of those signs.
[00:03:44.319 --> 00:03:49.681]  You can see where, right outside her office, they said, there are two genders, male and female, trust the science.
[00:03:50.442 --> 00:03:51.722]  And they attacked her.
[00:03:51.742 --> 00:03:55.204]  And they said, mask for me, but not for thee.
[00:03:55.684 --> 00:03:58.205]  And then it goes on to say, free Palestine.
[00:03:58.725 --> 00:04:05.949]   On another one, they stuck Basically these anti-Jesus signs on there as well.
[00:04:06.230 --> 00:04:07.971]  And they're very, very upset with her free speech.
[00:04:08.391 --> 00:04:10.953]  So the left isn't just trying to censor things in cyberspace.
[00:04:11.533 --> 00:04:14.736]  They're also going around in the third dimension, trying to suppress it.
[00:04:14.936 --> 00:04:20.199]  That's why it's more important than ever that we support good members of Congress like Marjorie Taylor Greene.
[00:04:20.580 --> 00:04:26.464]  In closing, the good news is all of this leftist intimidation is not having the effect that these bullies thought it would.
[00:04:26.844 --> 00:04:30.310]  It's causing people to support other great candidates like MTG.
[00:04:30.590 --> 00:04:35.377]  That's why she won in the biggest landslide of any Republican candidate in the last congressional election.
[00:04:35.717 --> 00:04:40.625]  We'll continue to defend MTG and all of your rights to free speech at InfoWars.com.
[00:04:40.725 --> 00:04:41.924]  Tomorrow's news today.
[00:04:41.924 --> 00:04:47.925]  [MUSIC]
[00:04:47.925 --> 00:04:49.425]  A riotous mob.
[00:04:49.425 --> 00:04:55.425]   Whether they were present that day or were otherwise criminally responsible for the assault on our democracy.
[00:04:55.425 --> 00:04:56.425]  Insurrection.
[00:04:56.425 --> 00:04:59.924]  We will follow the facts wherever they lead.
[00:04:59.924 --> 00:05:01.424]  Domestic terrorists.
[00:05:01.424 --> 00:05:03.424]  [Music]
[00:05:02.901 --> 00:05:05.183]  The days of independent media are numbered.
[00:05:05.503 --> 00:05:07.905]  The government has made it illegal to oppose them.
[00:05:08.625 --> 00:05:11.047]  They are now debanking us behind the scenes.
[00:05:11.487 --> 00:05:14.470]  They want to bankrupt us and make us go away quietly.
[00:05:15.250 --> 00:05:19.894]  With practically half the population wanting to lock the unvaccinated up in camps.
[00:05:20.434 --> 00:05:22.956]  The traitors know they can shut us down by force.
[00:05:23.697 --> 00:05:26.239]  But that would accelerate the awakening exponentially.
[00:05:26.919 --> 00:05:27.419]  So be it.
[00:05:28.402 --> 00:05:30.164]  Make them silence us by force.
[00:05:30.785 --> 00:05:33.228]  This is the final battle of the information war.
[00:05:33.809 --> 00:05:34.410]  Give now.
[00:05:35.091 --> 00:05:35.932]  Buy products.
[00:05:36.573 --> 00:05:37.053]  Donate.
[00:05:37.774 --> 00:05:39.016]  Before everything changes.
[00:05:39.617 --> 00:05:42.000]  We need you to carry us through to the end.
[00:05:42.440 --> 00:05:43.362]  Victory or death.
[00:05:43.822 --> 00:05:45.665]  Go now to infowarestore.com
