[00:00:00.129 --> 00:00:01.752]  Emergency Friday broadcast.
[00:00:02.533 --> 00:00:08.242]  Globulus-controlled hospitals are medically kidnapping patients and killing them all over the Western world.
[00:00:08.262 --> 00:00:11.787]  And that's just the first headline.
[00:00:12.568 --> 00:00:14.231]  Meanwhile, as predicted...
[00:00:15.234 --> 00:00:25.823]  New lab-grown version of HIV spiked with COVID-19 has been released in the Netherlands as part of phase two of the globalist depopulation operations.
[00:00:26.863 --> 00:00:36.211]  Dr. Peter McCullough will join Alex live to counter MSM lies that he put out disinformation on Joe Rogan.
[00:00:37.017 --> 00:00:39.240]  You do not want to miss that second hour.
[00:00:39.620 --> 00:00:46.620]   From the front lines of the Information War, it's Alex Jones.
[00:00:47.620 --> 00:01:03.620]  [Music]
[00:01:03.620 --> 00:01:04.620]  InfoWars.
[00:01:04.828 --> 00:01:06.828]  Tomorrow's news today.
[00:01:06.828 --> 00:01:16.828]  It's Friday, February 4th, 2022.
[00:01:17.033 --> 00:01:28.597]  And each day, each broadcast gets more intense because of the terrain we are in spiritually, physically, mentally, financially, interdimensionally.
[00:01:31.793 --> 00:01:35.535]  Again, all of these articles and documents are not here as props.
[00:01:37.496 --> 00:01:45.439]  I have probably read 20% of these articles this morning and scanned over the rest, and I just must cover it all.
[00:01:45.839 --> 00:01:48.861]  I've got to at least hit on the surface of these.
[00:01:48.901 --> 00:01:51.722]  This is unbelievable.
[00:01:53.062 --> 00:01:55.063]  But I am in a paradox, a catch-22.
[00:01:56.144 --> 00:02:02.386]   I should really only talk about one Story today that is the biggest.
[00:02:04.127 --> 00:02:05.468]  And then it ties into all the others.
[00:02:07.069 --> 00:02:10.071]  In fact, I just wrote the show headline minutes before we went live.
[00:02:10.591 --> 00:02:11.311]  It's about to go up.
[00:02:11.611 --> 00:02:12.252]  I dictated it.
[00:02:13.553 --> 00:02:21.117]  And I decided to go with the medical kidnapping all over the world by big pharma control hospitals, where they're keeping people away from children and adults to then murder them.
[00:02:22.538 --> 00:02:26.280]  And say COVID-19 did it after stealing hundreds of thousands of dollars from each victim.
[00:02:27.440 --> 00:02:28.301]  That's all confirmed.
[00:02:29.815 --> 00:02:35.339]  In criminal cases, lawsuits, lawyers, Epic Times has a huge breakdown on that.
[00:02:35.419 --> 00:02:36.260]  That's giant.
[00:02:36.940 --> 00:02:38.541]  But it's not the root.
[00:02:41.383 --> 00:02:43.685]  The headline deals with that, and we're going to leave the headline that way.
[00:02:43.725 --> 00:02:44.285]  That's important.
[00:02:45.946 --> 00:02:50.189]  The sub-headline deals with the root.
[00:02:53.392 --> 00:02:56.774]  And I knew this was coming, and we were the first to say it, along with Dr. Boyle.
[00:02:57.597 --> 00:03:18.833]  Because when you've got all the jigsaw pieces in front of you, and you start putting them in, and you know that the same jigsaw maker took the photo and made this one as similar ones you built before, even though you've not seen the cover of the box even, you start figuring out what the image is.
[00:03:20.734 --> 00:03:30.926]   And so two years ago, now two years ago, Two years ago, plus now, I have the articles right here from InfoWars.com, late January 2020.
[00:03:31.906 --> 00:03:42.291]  Now, two plus years, we specifically, exactly predicted what they would do.
[00:03:43.492 --> 00:03:49.774]  And when I got up this morning at 5am and started researching and saw these headlines, it was like a punch in the stomach.
[00:03:54.016 --> 00:04:03.095]   How are you going to like A common cold virus that you can't escape, that gives you HIV, gives you AIDS.
[00:04:04.876 --> 00:04:05.577]  How you gonna like that?
[00:04:05.597 --> 00:04:11.461]  Because that's really what COVID-19 is.
[00:04:13.343 --> 00:04:18.167]  And then when you take the vaccine, it actually starts growing it inside your body.
[00:04:18.207 --> 00:04:20.869]  And you'd ask, well, why don't they just give you one shot that gives it to you right away?
[00:04:22.250 --> 00:04:29.434]  Well, then it's too obvious, but if they do it through a group of shots, then it slowly happens, and the demographics are different, so they're able to hide it better.
[00:04:30.554 --> 00:04:33.116]  They also hit certain populations with placebos, now confirmed.
[00:04:34.916 --> 00:04:36.978]  And then they can also have cures.
[00:04:37.038 --> 00:04:41.480]  They've got treatments and cures for themselves when they get infected to the prion crystals.
[00:04:43.564 --> 00:04:55.330]  And things that mitigate it, even when you're not actively sick, things like ivermectin do go in and start eradicating the lattice that these prion crystal occupiers, colonizers build.
[00:04:55.990 --> 00:04:59.552]  So we've cracked the complete code, and they've now announced it.
[00:05:00.232 --> 00:05:07.596]  They've now announced, oh my gosh, there's a new deadly HIV, why you catch it like a cold, and it's more deadly and it's gonna kill you.
[00:05:09.850 --> 00:05:12.351]  Oh, it mutated with COVID-19, that's right.
[00:05:12.771 --> 00:05:14.032]  Viruses don't do that, folks.
[00:05:15.132 --> 00:05:21.815]  And the Indian scientists, when they first looked at it in January two years ago, they've got a gene editing machine.
[00:05:21.975 --> 00:05:23.696]  They said, this is man-made.
[00:05:23.736 --> 00:05:25.877]  This is five different viruses, very serious.
[00:05:26.398 --> 00:05:28.138]  HIV delivery system, spike protein.
[00:05:28.359 --> 00:05:29.999]  They gave the code number, owned by Fauci.
[00:05:30.159 --> 00:05:31.120]  He owns it with Bill Gates.
[00:05:32.082 --> 00:05:34.483]  I mean, Bill Gates even owns the weapon in our bodies.
[00:05:34.543 --> 00:05:35.823]  It's in my body, it's in your body.
[00:05:36.143 --> 00:05:38.944]  And they're just murdering us with extreme enjoyment.
[00:05:39.745 --> 00:05:41.025]  And we're probably just going to lay down and take it.
[00:05:41.085 --> 00:05:41.625]  That's what we do.
[00:05:42.145 --> 00:05:42.726]  And our children.
[00:05:43.366 --> 00:05:44.066]  He's our God.
[00:05:44.286 --> 00:05:45.267]  Our children belong to Bill Gates.
[00:05:45.587 --> 00:05:46.427]  He is our king.
[00:05:47.627 --> 00:05:48.348]  You got me.
[00:05:50.848 --> 00:05:53.209]  Welcome so much for joining us.
[00:05:53.229 --> 00:05:59.652]  I want to thank you so much for being here with us on this Friday, February 4th, 2022 transmission.
[00:06:02.825 --> 00:06:09.589]  I know a lot of haters tune in as well, but everybody to know who's signed on to this evil system, you're not going to get out of the system.
[00:06:09.910 --> 00:06:11.491]  You're not going to come out on top serving it.
[00:06:12.351 --> 00:06:19.196]  The only way we make it out of this is coming back to goodness, coming back to God and coming back to being honest, decent people.
[00:06:20.837 --> 00:06:27.201]  And so we got a big tent here for everybody who wants to be informed and involved and engaged.
[00:06:31.305 --> 00:06:33.526]  Because I'm not out to destroy or hurt anybody.
[00:06:34.466 --> 00:06:37.067]  But I do have a mission and a job to not go along with this evil.
[00:06:37.547 --> 00:06:43.829]  And I have reverse engineered along with all of our experts, guests and researchers what's exactly going on.
[00:06:44.069 --> 00:06:46.410]  And it is incredible.
[00:06:50.031 --> 00:06:54.553]  Now, there's a lot that goes into this, and I'm going to cover it in great detail at the bottom of the hour.
[00:06:55.307 --> 00:07:11.759]  And I hope that everybody out there reaches out to their friends, their family, their neighbors, random strangers, and tells them to tune in right now at InfoWars.com forward slash show, FreeWorldNews.tv, and the current URL, they're not banning or blocking, FutureNews.news.
