[00:00:00.089 --> 00:00:07.089]  You can wait, you can make your demands, and you can take my gun from my cold dead hands.
[00:00:07.089 --> 00:00:14.089]  [Music]
[00:00:14.130 --> 00:00:18.352]  There are global corporations, they have billions that they pay.
[00:00:18.372 --> 00:00:22.313]  The greedy politicians, who make sure things go their way.
[00:00:22.353 --> 00:00:25.735]  They pass a piece of policy, and live from day to day.
[00:00:25.815 --> 00:00:29.276]  It's been working for years, and we don't get to have a say.
[00:00:29.316 --> 00:00:33.178]  If you want to crack this constitution, is that what's in your plan?
[00:00:33.558 --> 00:00:37.159]  You can taste my gun from my cold, dead hand.
[00:00:37.239 --> 00:00:44.640]  In every hateful history, when genocide was planned, the firearms were gathered up and the opposition banned.
[00:00:44.700 --> 00:00:48.461]  The pilots became distracted, and a few foes flew away.
[00:00:48.561 --> 00:00:52.141]  And by the time they re-arrived, they couldn't get away.
[00:00:52.281 --> 00:01:00.023]  The smiling face on my TV says, we should all join hands and help create this beacon of a new world as a flag.
[00:01:00.143 --> 00:01:02.363]  Well, now I'm terrified of bad news.
[00:01:02.603 --> 00:01:03.483]  All right.
[00:01:03.503 --> 00:01:19.503]  The U.N. Global Peace Force, and look, you've just what they say, and your global agenda, and your whole world of plans, and you can take my gun from my cold, dead hand.
[00:01:19.503 --> 00:01:25.503]  All right. We are live, Austin, Texas.
[00:01:25.698 --> 00:01:34.203]  And to all of those people out there that tape the program, we'd like to thank you for doing that and sending it out to friends and family in the hope that information will spread.
[00:01:34.843 --> 00:01:50.812]  And I know in my heart and from the information I've gleaned that this program or tape variants of it that people have assembled for themselves is playing at access stations all across the country, being aired on micro FM radio stations and being referred to all across the country.
[00:01:51.736 --> 00:01:59.119]  It's great to see that labor toil in the fields, in the vineyards of men and women's minds, is bearing fruit.
[00:02:00.020 --> 00:02:01.721]  Now, of course, my name is Alex Jones.
[00:02:02.201 --> 00:02:03.842]  This is the Freedom Report.
[00:02:04.682 --> 00:02:11.785]  And we're standing up, best we can, right here, February 22nd, 1999.
[00:02:12.345 --> 00:02:15.067]  One day in one year, closer to victory.
[00:02:15.907 --> 00:02:19.809]  Victory against parasites that corrupt those that would deceive the nations
[00:02:21.358 --> 00:02:25.039]  And create a technocracy to rebel hell itself.
[00:02:25.239 --> 00:02:26.560]  Quite a bit of news for you tonight.
[00:02:26.720 --> 00:02:44.026]  OSHA, the Occupational Safety and Hazard Administration, has created a new program, a new set of regulations, if you can call them that, that aren't even a closing horse of socialism and, uh, socialism, that's a good word, and command and control.
[00:02:44.086 --> 00:02:45.727]  Socialism and command and control.
[00:02:48.188 --> 00:02:49.509]  We'll be getting into this this evening.
