[00:00:04.821 --> 00:00:05.023]  Yeah.
[00:00:40.665 --> 00:00:41.707]  It's August 22nd, 2012.
[00:00:42.988 --> 00:00:44.250]  I'm your host, Jakari Jackson.
[00:00:44.290 --> 00:00:47.775]  This is the InfoWars Nightly News, and this is what we have going on the show tonight.
[00:00:51.004 --> 00:00:58.547]  Tonight, on the InfoWars Nightly News, TSA appears at a Paul Ryan event, regardless of the fact it has nothing to do with transportation.
[00:00:58.767 --> 00:01:03.089]  Plus, California prepares to hand out driver's licenses to illegal immigrants.
[00:01:03.609 --> 00:01:10.252]  Then, Rob Dew speaks with without-a-face musician Henry Dillard about his controversial music video, the TSA song.
[00:01:10.672 --> 00:01:13.633]  All that and more coming up on the InfoWars Nightly News.
[00:01:25.526 --> 00:01:26.086]  Welcome back.
[00:01:26.426 --> 00:01:27.447]  Top story headline.
[00:01:27.787 --> 00:01:29.927]  The MF Global Magical Mystery Tour.
[00:01:30.227 --> 00:01:32.728]  This by James Hall of Infowars.com.
[00:01:33.188 --> 00:01:38.030]  The lack of definitive disclosure in the MF Global investigation is hampered at every turn.
[00:01:38.430 --> 00:01:45.912]  The frustration shows as Judicial Watch sues SEC, CFTC for Corzine MF Global documents.
[00:01:46.372 --> 00:01:50.079]  Now, this article is full of acronyms, so I'm going to go ahead and just explain a few to you.
[00:01:50.540 --> 00:01:56.170]  Freedom of Information Act, Commodity Futures Trading Commission, Securities and Exchange Commission.
[00:01:56.611 --> 00:01:57.172]  Let's continue.
[00:01:57.847 --> 00:02:09.198]  Judicial Watch said the CFTC acknowledged receiving the group's FOIA on April 25th of this year, but failed to provide a final reply by the statutory deadline of May 23rd, 2012.
[00:02:09.538 --> 00:02:19.808]  Similarly, the SEC told Judicial Watch it received the FOIA on April 25th, but it did not provide a final response by the mandatory deadline date.
[00:02:20.348 --> 00:02:20.889]  Continuing.
[00:02:21.480 --> 00:02:29.530]  Investor Daily offers an even more disgusting prospect, and Corzine's next actor, MF Global, a hedge fund.
