[00:00:00.189 --> 00:00:01.772]  Oh, no!
[00:00:14.841 --> 00:00:15.161]  We're good to go.
[00:00:52.092 --> 00:00:55.533]  We're good to go.
[00:01:21.252 --> 00:01:23.794]  We're good to go.
[00:01:57.680 --> 00:02:05.790]  We're good to go.
[00:02:29.163 --> 00:02:34.107]  We're good to go.
[00:02:55.777 --> 00:02:58.864]  We're good to go.
[00:03:29.765 --> 00:03:38.229]  We're good to go.
[00:03:57.264 --> 00:03:58.064]  We're good to go.
[00:04:25.182 --> 00:04:28.504]  We're good to go.
[00:04:54.905 --> 00:04:55.586]  It doesn't happen.
[00:04:55.807 --> 00:04:59.972]  The collapse is meant to just destroy everything good and reduce everything down to pure evil.
[00:05:00.633 --> 00:05:02.015]  And that's the scientific program.
[00:05:02.376 --> 00:05:03.738]  The government is cancer.
[00:05:04.218 --> 00:05:08.965]  And it's run by foreign banks that, well, for lack of a better term, I would dub Satan.
[00:05:09.566 --> 00:05:10.847]  We'll be back with all the big news.
[00:05:13.047 --> 00:05:23.238]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:05:23.658 --> 00:05:34.370]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:05:34.810 --> 00:05:42.153]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:05:42.373 --> 00:05:49.235]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:05:49.575 --> 00:05:54.017]  This product was designed to be an invaluable part of your vital preparations.
[00:05:54.357 --> 00:06:01.680]  For a detailed report on the differences between ionic silver, colloidal silver, and what the most silver solution manufacturers are producing,
[00:06:01.840 --> 00:06:11.723]  Please visit our website at www.SilverLungs.com for more information on why you should be producing your own silver solutions right from your home, forever.
[00:06:12.682 --> 00:06:18.905]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:06:19.306 --> 00:06:21.687]  Renowned author and expert, Joel Skousen.
[00:06:21.807 --> 00:06:22.087]  The U.S.
[00:06:22.147 --> 00:06:26.229]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:06:26.369 --> 00:06:28.971]  They know that a massive nuclear attack is coming.
[00:06:29.351 --> 00:06:30.611]  They want that attack to come.
[00:06:30.852 --> 00:06:37.015]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:06:37.415 --> 00:06:39.876]  What I tell people is that you do have time.
[00:06:40.017 --> 00:06:44.859]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:06:45.039 --> 00:06:52.483]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town because of the absolute panic.
[00:06:52.804 --> 00:06:55.485]  There is no preparedness without strategy.
[00:06:55.585 --> 00:06:58.187]  This Christmas, give the gift of preparedness.
[00:06:58.647 --> 00:07:00.428]  Strategic Relocation Film.
[00:07:00.748 --> 00:07:03.069]  With Joel Skousen and Alex Jones.
[00:07:03.189 --> 00:07:08.792]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:07:09.052 --> 00:07:12.574]  Aaron Fullin here.
[00:07:12.854 --> 00:07:24.220]  As the food police shut down food co-ops, the Amish, and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[00:07:24.440 --> 00:07:28.282]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[00:07:28.462 --> 00:07:30.983]  But frankly, I'm not sure what the food police are so afraid of.
[00:07:31.243 --> 00:07:38.886]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[00:07:39.126 --> 00:07:46.629]  Even today, Japanese eat miso, Africans eat fermented porridges, Koreans eat kimchi, and in India, fermented milk is a staple for healthy living.
[00:07:46.929 --> 00:07:47.850]  But here's some good news.
[00:07:48.050 --> 00:07:53.935]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[00:07:54.275 --> 00:07:57.318]  Since it's still legal to make these foods as long as you can make them yourself.
[00:07:57.598 --> 00:08:00.300]  For more information, check out fermentationfactor.com.
[00:08:00.441 --> 00:08:02.182]  That's fermentationfactor.com.
[00:08:02.462 --> 00:08:08.507]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com.
