[00:00:41.150 --> 00:00:44.252]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:00:44.292 --> 00:00:46.973]  Today is Monday, August 27, 2012, and I'm your host, Aaron Dykes.
[00:00:52.765 --> 00:01:01.849]  Tonight on the InfoWars Nightly News, Aaron Dyke speaks with the American Small Business League President Lloyd Chapman about breaking evidence involving government fraud.
[00:01:02.409 --> 00:01:03.429]  Then, U.S.
[00:01:03.469 --> 00:01:09.072]  veterans are being forcibly committed to mental facilities as indefinite detentions increase across America.
[00:01:09.532 --> 00:01:16.715]  Plus, the unyielding conditioning of the public as eye scanning and GPS technology are rolled out into our airports and schools.
[00:01:17.215 --> 00:01:19.696]  All that and more on the InfoWars Nightly News.
[00:01:29.861 --> 00:01:49.210]  Well the RNC convention is kicking off today in Tampa and instead of focusing on the phony elections, the phony circus, the phony dog and pony show between supposed rivals Mitt Romney and Obama, instead focus is turned to the protesters who as usual have been labeled anarchist and lawbreakers.
[00:01:49.570 --> 00:01:51.151]  Don't focus on the illegitimate
[00:01:51.531 --> 00:01:55.415]  No, let's blame a few provocateurs who are repeatedly found at all these events to be paid
[00:02:09.228 --> 00:02:23.574]  Usually police or military provocateurs starting stuff up, wearing masks, just breaking a little glass so that all protesters can be demonized and then police can do things like harass people, holding up signs with sticks they say aren't allowed.
[00:02:23.854 --> 00:02:32.437]  Let's just roll some of that video that includes the propaganda rollout leading into this RNC convention, getting ready to insulate the Republican Party
[00:02:32.817 --> 00:02:39.171]  Never thinking it could be what's illegitimate, but instead focusing on those outside the convention raising questions.
[00:02:39.804 --> 00:02:42.265]  An international convention in Florida just days away now.
[00:02:42.285 --> 00:02:45.386]  The city of Tampa is bracing itself for a possible hurricane.
[00:02:46.027 --> 00:02:49.928]  Isaac certainly isn't the only potential threat authorities are watching in Tampa.
[00:02:49.948 --> 00:02:51.169]  The other serious concern?
[00:02:51.669 --> 00:02:52.350]  Anarchists!
[00:02:52.850 --> 00:03:00.113]  The Department of Homeland Security and the FBI announced on Wednesday there's the potential for attacks by anarchist extremists at the convention in Tampa.
[00:03:00.313 --> 00:03:01.994]  They are called the Black Bloc.
[00:03:02.314 --> 00:03:06.956]  They are anarchists bent on causing trouble and disruption with fights, vandalism and rioting.
[00:03:07.176 --> 00:03:14.280]  There's no doubt that there's a small percentage that will come here bent on destruction and disruption.
[00:03:14.960 --> 00:03:22.283]  We have to deal with lawbreakers, with anarchists who have nothing to do with voicing an opinion.
[00:03:22.584 --> 00:03:26.926]  They're just going out and destroying property and breaking the law and battering officers.
[00:03:28.035 --> 00:03:32.197]  What is the latest on the potential for anarchists to show up in Tampa?
[00:03:32.217 --> 00:03:36.500]  Intelligence bulletin obtained by CNN warns of violence by anarchists.
[00:03:36.580 --> 00:03:37.701]  And so you get the idea.
[00:03:37.841 --> 00:03:43.024]  Once again, it's about branding the protesters as violent anarchists outside of law.
[00:03:43.664 --> 00:03:47.206]  When most have nothing to do with that, of course you do get a few bad apples.
[00:03:47.586 --> 00:03:58.672]  But here the convention has dodged the natural disaster of Hurricane Isaac and instead created this manufactured disaster against the protesters, never questioning the RNC.
[00:03:58.692 --> 00:04:01.054]  And this police state is now totally typical
[00:04:01.534 --> 00:04:03.596]  of all these political party conventions.
[00:04:03.877 --> 00:04:15.949]  You're going to see a similar police state presence at Charlotte because they know there's a lot of people dissatisfied with Obama, dissatisfied with Romney and the entire political spectrum, the entire direction the country is headed.
[00:04:16.410 --> 00:04:20.715]  Everybody knows what a farce this is, so they've got to corral those who are raising
[00:04:21.315 --> 00:04:26.460]  Uh, questions, raising signs, keep them out of the media eye and make sure they're branded as bad people.
[00:04:26.780 --> 00:04:36.970]  This has been going on since at least 1968, outside the Democratic Convention in Chicago, where police ended up beating a number of the demonstrators because they supposedly got out of hand.
[00:04:37.410 --> 00:04:39.732]  But this is exactly like the G20 meetings.
[00:04:40.133 --> 00:04:44.757]  No one could question the illegitimacy of what's going on inside and all the bad deals happening.
[00:04:45.137 --> 00:04:47.359]  It's just about the people outside.
[00:04:47.979 --> 00:04:54.124]  And this ties in once again with the ongoing agenda that Homeland Security has been rolling out at least since 2009.
[00:04:55.445 --> 00:05:02.970]  Really dates back more than a decade to labeling all types of Americans as potential domestic extremists.
[00:05:03.270 --> 00:05:04.531]  And at the top of that list
[00:05:04.531 --> 00:05:04.771]  I think?
[00:05:23.220 --> 00:05:38.131]  And other made-up fantasies, just like you see from all the Muslim terrorists who've been accused of doing things including poisoning the state's apple crop, plotting to bomb a dam, bombing a Foresight Park fountain, and taking over Fort Stewart.
[00:05:38.491 --> 00:05:42.835]  Yeah, these are things that could really be done by a couple of knuckleheads with guns.
[00:05:43.295 --> 00:05:45.937]  Now, that being said, they are accused of murdering
[00:05:46.377 --> 00:05:50.941]  Some of their own militia members to keep them quiet on the supposed plot.
[00:05:51.241 --> 00:05:58.406]  This whole thing already stinks of a manufactured patsy modus operandi that fits everything we know.
[00:05:58.426 --> 00:06:02.109]  That's because they've been completely demonizing the returning veterans.
[00:06:02.569 --> 00:06:11.437]  On the one hand, putting them into that PTSD corral where they lose their rights to own guns and to speak out against the government, and they're going to be thrown in the loony bin.
[00:06:11.457 --> 00:06:15.541]  We'll get to that story, but you've heard some of those reports from last week.
[00:06:15.901 --> 00:06:19.084]  But, gee, do you think this group could be part of a PSYOP?
[00:06:19.605 --> 00:06:25.830]  Well, their name is FEAR, F-E-A-R, short for Forever Enduring Always Ready.
[00:06:26.411 --> 00:06:28.773]  And, apparently,
[00:06:29.264 --> 00:06:32.346]  They were going to overthrow the entire government and take out Obama.
[00:06:32.627 --> 00:06:33.868]  Well, that's what they want you to believe.
[00:06:33.888 --> 00:06:38.872]  We'll see how the facts pour in, but it absolutely fits into their propaganda meme.
[00:06:39.192 --> 00:06:49.200]  There was that 2009 key domestic, excuse me, there was the 2009 key homeland security report where they said returning veterans were going to be the threat.
[00:06:49.580 --> 00:06:51.081]  Lone Wolves were going to be the threat.
[00:06:51.342 --> 00:06:52.342]  It's White Al Qaeda.
[00:06:52.382 --> 00:06:56.706]  It's no longer Muslim extremists and jihadists trying to get inside our country.
[00:06:57.136 --> 00:07:00.120]  No, now suspicion has to be turned on all Americans.
[00:07:00.460 --> 00:07:15.340]  And of course, they're warning veterans and active duty military to look out for other suspicious people in their units, to break up that unit integrity, to further divide the troops amongst themselves, because they know that those are otherwise some of the strongest voices
[00:07:15.737 --> 00:07:21.459]  Left in our country, some of the most patriotic people, and many of them well aware of what's going on in this country.
[00:07:21.839 --> 00:07:29.342]  This ties in, of course, to the Sikh shooter, who's also been accused of being basically a neo-Nazi type.
[00:07:29.442 --> 00:07:33.364]  He was tied to all these PSYOP operations and also came out of the military.
[00:07:33.764 --> 00:07:38.589]  Suzanne Posl only a few days ago had the key article, the manufactured U.S.
[00:07:38.649 --> 00:07:55.346]  veteran threat against Obama that will justify martial law and cites how all of these supposed threats to assassinate the president all come from former veterans and also all come from at least alleged white supremacy groups and the supposed nexus points therein
[00:07:55.834 --> 00:08:05.465]  And you better believe that the Southern Poverty Law Center and other usual suspects are there to talk this whole point up, but it's all part of a script.
[00:08:06.125 --> 00:08:17.298]  And that ties in, unfortunately, with the increasing trend we're seeing of returning veterans being targeted for their PST conditions, their other traumatic conditions,
[00:08:17.654 --> 00:08:20.095]  And they're using that as a pretext to take away their rights.
[00:08:20.415 --> 00:08:21.936]  You heard about the case of U.S.
[00:08:21.976 --> 00:08:34.082]  Marine Brandon Robb, who spoke out, said 9-11 was an inside job, made other comments about the Federal Reserve and the monetary system, and basically the direction our country's headed in that so many people are waking up to.
[00:08:34.442 --> 00:08:37.263]  But instead, it was used as a pretext to persecute him.
[00:08:37.283 --> 00:08:43.466]  Now, the judge has so far overruled that, saying there really was no factual basis to detain him.
[00:08:43.925 --> 00:08:48.707]  And confine him and otherwise take away his rights and label him as crazy.
[00:08:48.787 --> 00:08:50.468]  But there's been other cases.
[00:08:50.588 --> 00:08:56.191]  John Whitehead of the Rutherford Institute has received numerous reports from other veterans.
[00:08:56.551 --> 00:09:02.634]  They say they're being discriminated against and at least one veteran in particular has lost his firearms.
[00:09:02.674 --> 00:09:12.338]  They were confiscated and he was not charged with any criminal activity, any violent intention other than what they based off of his psychological profile.
[00:09:12.742 --> 00:09:17.505]  That's what you get out of these veteran hospitals and the way they treat our soldiers.
