[00:00:00.230 --> 00:00:01.457]  You're listening to GCN.
[00:00:01.718 --> 00:00:03.890]  Visit GCNlive.com today.
[00:00:10.919 --> 00:00:15.103]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:15.764 --> 00:00:16.565]  You want answers?
[00:00:17.345 --> 00:00:18.286]  Well, so does he.
[00:00:18.887 --> 00:00:22.471]  He's Alex Jones on the GCN Radio Network.
[00:00:23.091 --> 00:00:27.155]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.498 --> 00:00:41.259]  Ladies and gentlemen, it is the second day of November 2012.
[00:00:41.379 --> 00:00:49.961]  We're less than five days out now from the big election coming up next Tuesday.
[00:00:50.861 --> 00:00:54.742]  And it is quite a spectacle, even if you know by and large it is theater.
[00:00:55.422 --> 00:01:01.363]  Though it is true that Barack Obama wants to make churches pay for insurance that covers abortion.
[00:01:02.537 --> 00:01:04.540]  Whatever happened to separation of church and state?
[00:01:04.560 --> 00:01:08.085]  I'm going to break down what separation of church and state is a little bit here today.
[00:01:08.105 --> 00:01:14.834]  The federal government is trying to threaten Catholic churches saying, hey, you don't criticize abortion now and you're going to pay for it.
[00:01:17.460 --> 00:01:22.084]  I mean, they have no jurisdiction, but they've tricked churches into this.
[00:01:22.104 --> 00:01:26.868]  So I'm going to expose the giant hoax that is separation of church and state.
[00:01:27.669 --> 00:01:33.273]  Separation of church and state is real, but the definition that they have publicly sold is a complete fraud.
[00:01:33.633 --> 00:01:34.614]  So I will be getting to that.
[00:01:35.595 --> 00:01:37.597]  Look, talk about a delayed reaction.
[00:01:37.617 --> 00:01:42.801]  It's kind of like Force 10 from Navarone, where they detonate the dam and it doesn't collapse right away.
[00:01:42.841 --> 00:01:44.142]  It takes a few minutes.
[00:01:46.063 --> 00:01:49.864]  Shandy's worse than I thought it was going to be.
[00:01:49.904 --> 00:01:57.307]  I thought it was mainly hype, and they still did overhype it as basically the storm of all time, Satan incarnate ravaging the East Coast.
[00:01:57.347 --> 00:02:01.088]  But I was talking to David Ortiz just earlier.
[00:02:01.108 --> 00:02:06.390]  He was talking to friends and family on the East Coast, and they say it's scary.
[00:02:07.230 --> 00:02:14.053]  And so we're going to get, maybe get David in here later to give us reports of friends and family he's got on the East Coast.
[00:02:15.143 --> 00:02:23.005]  And we also have Dan Bodondi on the East Coast in Rhode Island, who went back for a week to visit family, one of our reporters, so perhaps we'll get him to pop in.
[00:02:23.565 --> 00:02:30.967]  Joel Skousen is going to be with us for an hour and a half to give us his research into what really happened in the Benghazi raid.
[00:02:30.987 --> 00:02:34.468]  He thinks he's got the intel on what that whole soap opera is about.
[00:02:34.488 --> 00:02:38.649]  We've heard a lot of conflicting ideas from Dr. Steve Pachinik, Webster Tarpley,
[00:02:39.964 --> 00:02:40.504]  Many others.
[00:02:41.124 --> 00:02:44.145]  And I'm not saying their ideas couldn't be plausible.
[00:02:44.905 --> 00:02:47.886]  I don't think we have total proof of exactly what's happened yet.
[00:02:48.867 --> 00:02:49.567]  But it is important.
[00:02:49.587 --> 00:02:50.507]  He'll be joining us on that.
[00:02:50.547 --> 00:02:52.147]  Then other geopolitical issues.
[00:02:53.468 --> 00:02:54.848]  And basic preparedness.
[00:02:54.868 --> 00:02:57.849]  He was actually on the East Coast during the hurricane.
[00:02:59.830 --> 00:03:00.710]  Joel Skousen was.
[00:03:00.730 --> 00:03:01.910]  So that is coming up.
[00:03:05.578 --> 00:03:13.144]  We are also going to get to ex-Penn State President charged with perjury in Sandusky case.
[00:03:13.164 --> 00:03:16.346]  This actually happened while I was on the area today, but I never got to it.
[00:03:16.366 --> 00:03:19.769]  But it dovetails a lot of important issues, so we're going to be breaking that down.
[00:03:20.609 --> 00:03:24.652]  And I saw a story out of Colorado, now Curt Nemo has actually written an article about it.
[00:03:25.673 --> 00:03:28.295]  Cops evict homeowner in Colorado.
[00:03:30.073 --> 00:03:35.479]  And they were in military uniforms and armored vehicles and things when they came.
[00:03:35.899 --> 00:03:44.127]  And it just shows that the difference between police and military is military is there to go after an enemy and kill people and break things.
[00:03:44.567 --> 00:03:47.050]  And the police are supposed to be guardians of the peace.
[00:03:47.791 --> 00:03:49.572]  And now police will tell you they're paramilitary.
[00:03:52.003 --> 00:04:01.273]  More and more of the population they're going to fight are going to be you, as the system raises taxes and regulations to the point of where it's impossible to keep your farm, your home, any of it.
[00:04:02.014 --> 00:04:06.980]  And the police all over the country even show up when the house is fraudulently being taken.
[00:04:07.860 --> 00:04:10.603]  And courts rule, hey, the banks can just take houses that aren't theirs.
[00:04:11.462 --> 00:04:19.225]  There's been a few cases, one in Florida famously a few years ago, where I think the headline was, uh, uh, cops foreclose on Bank of America.
[00:04:19.705 --> 00:04:20.705]  We ought to pull that video up.
[00:04:20.725 --> 00:04:21.806]  I think it's still on YouTube, guys.
[00:04:21.826 --> 00:04:22.646]  I'm going to play that again.
[00:04:23.326 --> 00:04:30.409]  Uh, cops foreclose on, on, on, on Bank of America because they took like a million to paid for a decade before in cash.
[00:04:30.429 --> 00:04:34.250]  There was never a mortgage to any bank or Bank of America was paid in cash.
[00:04:34.890 --> 00:04:35.890]  And they just came and took it.
[00:04:35.990 --> 00:04:40.052]  And a year later, Bank of America wouldn't give them the house back and wouldn't give them the money.
[00:04:40.592 --> 00:04:43.693]  So finally, a judge said, go take the money out of the bank.
[00:04:45.674 --> 00:04:47.275]  And they sent the marshals over.
[00:04:47.735 --> 00:04:50.956]  But the point is, is they didn't send guys in military uniforms over.
[00:04:51.516 --> 00:04:53.317]  So we're going to be looking at that.
[00:04:53.337 --> 00:04:57.839]  We're going to be looking just at the police state on steroids as well today.
[00:04:57.959 --> 00:04:59.699]  It is all coming up.
[00:05:00.399 --> 00:05:01.040]  We'll be right back.
[00:05:01.060 --> 00:05:01.460]  Stay with us.
[00:05:06.158 --> 00:05:11.403]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:05:11.663 --> 00:05:13.845]  Start purifying your water with ProPure.
[00:05:14.065 --> 00:05:19.590]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:05:19.790 --> 00:05:23.013]  And it's available discounted at InfoWars.com.
[00:05:23.173 --> 00:05:26.355]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:26.616 --> 00:05:28.057]  There's no priming required.
[00:05:28.317 --> 00:05:30.359]  It's NSF-42 certified.
[00:05:30.579 --> 00:05:33.061]  Optional fluoride filters can reduce fluoride up to 95%.
[00:05:34.142 --> 00:05:35.463]  Easy to set up and use.
[00:05:35.663 --> 00:05:36.984]  Doesn't require electricity.
[00:05:37.084 --> 00:05:39.945]  Purify water from lakes, streams, ponds, and wells.
[00:05:40.245 --> 00:05:43.407]  This filter system leaves in beneficial minerals, which is key.
[00:05:43.627 --> 00:05:47.609]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:05:47.769 --> 00:05:50.371]  ProPure is the best gravity-fed filter out there.
[00:05:50.511 --> 00:05:51.812]  It's what my family uses.
[00:05:52.092 --> 00:05:55.294]  Infowars.com already has the lowest price on ProPure.
[00:05:55.394 --> 00:05:57.955]  But if you add the promo code WATER at checkout,
[00:05:58.075 --> 00:06:01.037]  You get an additional 10% off at InfoWars.com.
[00:06:01.217 --> 00:06:02.398]  You can also call to order.
[00:06:02.418 --> 00:06:03.779]  888-253-3139.
[00:06:03.799 --> 00:06:06.861]  Aaron Fullin here.
[00:06:07.121 --> 00:06:18.488]  As the food police shut down food co-ops, the Amish, and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy, home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[00:06:18.708 --> 00:06:22.551]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[00:06:22.751 --> 00:06:25.254]  But frankly, I'm not sure what the food police are so afraid of.
[00:06:25.515 --> 00:06:33.165]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[00:06:33.405 --> 00:06:40.915]  Even today, Japanese eat miso, Africans eat fermented porridges, Koreans eat kimchi, and in India, fermented milk is a staple for healthy living.
[00:06:41.195 --> 00:06:42.116]  But here's some good news.
[00:06:42.336 --> 00:06:48.201]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[00:06:48.541 --> 00:06:51.604]  Since it's still legal to make these foods as long as you can make them yourself.
[00:06:51.884 --> 00:06:54.546]  For more information, check out fermentationfactor.com.
[00:06:54.727 --> 00:06:56.448]  That's fermentationfactor.com.
[00:06:56.748 --> 00:07:02.773]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com.
[00:07:02.874 --> 00:07:05.576]  That's www.fermentationfactor.com.
[00:07:05.996 --> 00:07:09.079]  Alex Jones here with a very important announcement for truth seekers.
[00:07:09.479 --> 00:07:15.203]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:07:15.403 --> 00:07:21.808]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:07:22.009 --> 00:07:27.433]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[00:07:27.693 --> 00:07:31.336]  This film exposes the fraud that Obama is like nothing I've seen.
[00:07:31.516 --> 00:07:35.077]  If you want to know who Obama's real daddy is, this is the film for you.
[00:07:35.317 --> 00:07:39.699]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:07:39.919 --> 00:07:42.240]  You'll also find it at infowarshop.com.
[00:07:42.420 --> 00:07:44.601]  None Dare Call a Conspiracy by Gary Allen.
[00:07:44.721 --> 00:07:45.961]  The book that woke me up.
[00:07:46.281 --> 00:07:48.262]  We're also carrying Behind the Green Mask.
[00:07:48.562 --> 00:07:50.523]  UN Agenda 21 by Rosa Corey.
[00:07:50.703 --> 00:07:53.325]  This book is coffin nails to the globalist takeover.
[00:07:53.665 --> 00:08:00.209]  The Greater Good, the most professional and up-to-date film I've ever seen exposing the scourge that is vaccines.
[00:08:00.489 --> 00:08:05.192]  These titles and a lot more are all available at infowarshop.com.
[00:08:13.698 --> 00:08:15.299]  You got a business.
[00:08:15.419 --> 00:08:16.279]  You didn't build that.
[00:08:17.240 --> 00:08:18.881]  Somebody else made that happen.
[00:08:26.420 --> 00:08:30.566]  Defending the Republic from enemies foreign and domestic.
[00:08:31.347 --> 00:08:32.609]  It's Alex Jones!
[00:08:42.529 --> 00:08:45.770]  Monday through Friday from 11 a.m.
[00:08:45.930 --> 00:08:46.871]  until 2 p.m.
[00:08:47.571 --> 00:08:48.631]  Central Standard Time.
[00:08:48.671 --> 00:08:53.273]  We are here live and we are launching another edition of the Alex Jones Show.
[00:08:53.393 --> 00:09:01.137]  I am Alex Jones, your host, Joel Skousen, expert on geopolitical activities, editor of World Affairs Brief.
[00:09:02.197 --> 00:09:17.890]  Former Marine Corps fighter pilot in Vietnam, one of the leading world experts and best-selling authors of Strategic Relocation, the book, and The Secure Home, and also in the new film of the same name, Strategic Relocation, that we've just produced and released this week, available at infowarstore.com.
[00:09:17.930 --> 00:09:28.980]  He will be joining us for the last hour and a half of the broadcast today to give us his intel on what really happened in Benghazi, and then geopolitically, what's happening in the economy, and your phone calls and more.
[00:09:30.584 --> 00:09:32.546]  I want to do this in the next hour and a half.
[00:09:33.287 --> 00:09:42.636]  I want to specifically open the phones up for people in New York, people in New Jersey, people in areas where the looting is increasing.
[00:09:43.116 --> 00:09:47.280]  They're talking about gas won't be there in many areas for another week, the power off for another two weeks.
[00:09:48.061 --> 00:09:51.084]  How are they going to have the election in four days?
[00:09:51.184 --> 00:09:54.547]  It's Friday, Saturday, Sunday, Monday, four days, Tuesday.
[00:09:55.598 --> 00:10:03.984]  How are they going to have the election when large areas of the East Coast, they're talking about four to six million people, still without power and probably without power next week?
[00:10:05.925 --> 00:10:11.268]  I want to hear from you with your eyewitness reports of what's happening in your area.
[00:10:11.308 --> 00:10:12.789]  Did you think the storm was hype?
[00:10:14.190 --> 00:10:17.653]  Or are we seeing it kind of as a delayed reaction?
[00:10:18.666 --> 00:10:22.230]  Because I had hoped that it wouldn't have been as bad as they were hyping.
[00:10:23.091 --> 00:10:26.334]  Sandy's Starved New Yorker's Dumpster Dive, NBC.
[00:10:26.654 --> 00:10:27.695]  We reported that yesterday.
[00:10:27.735 --> 00:10:28.596]  It's intensifying.
[00:10:29.257 --> 00:10:31.840]  Unrest growing among New Jersey, New York citizens.
[00:10:32.240 --> 00:10:33.661]  Dumpster diving for food.
[00:10:34.823 --> 00:10:36.104]  Fistfights over fuel.
[00:10:36.785 --> 00:10:38.907]  Tempers flare in Sandy aftermath.
[00:10:42.395 --> 00:10:43.557]  It's just a huge chronicle.
[00:10:43.637 --> 00:10:44.878]  Fox News reporting on that.
[00:10:44.898 --> 00:10:46.440]  This is a boiled-down article.
[00:10:46.520 --> 00:10:51.106]  It's excellent by Mike Adams up at Infowars.com, originating from NaturalNews.com.
[00:10:51.146 --> 00:10:53.328]  We're going to be going over some of that.
[00:10:53.368 --> 00:10:59.256]  But there's looting, there's people getting mugged and beat up in massively increased numbers, and the media is trying to play it down.
[00:11:00.337 --> 00:11:05.061]  Anarchy along the Jersey Shore and on Long Island in the aftermath of Hurricane Sandy.
[00:11:05.762 --> 00:11:09.005]  Michael Schneider at the Economic Collapse blog breaks it down.
[00:11:09.785 --> 00:11:12.968]  4.7 million homes and businesses do not have power.
[00:11:14.409 --> 00:11:15.971]  Diving into dumpsters.
