[00:00:04.542 --> 00:00:05.042]  Welcome back.
[00:00:05.603 --> 00:00:09.026]  Our next story ties in pretty well with our guest that follows it.
[00:00:09.786 --> 00:00:13.810]  Big Brother is encroaching farther and farther on your private property.
[00:00:14.490 --> 00:00:18.994]  An amazing article today, the court has okayed warrantless use of hidden surveillance cameras.
[00:00:19.774 --> 00:00:27.721]  This is a case where the DEA installed multiple covert digital surveillance cameras on private property in order to spy and without getting a warrant.
[00:00:28.701 --> 00:00:28.901]  U.S.
[00:00:28.941 --> 00:00:39.244]  District Judge William Griesbach ruled that warrants aren't necessary because it upheld, and listen to this, the use of technology as a substitute for ordinary police surveillance.
[00:00:40.084 --> 00:00:43.705]  Now, technology is not a substitute for police surveillance.
[00:00:44.745 --> 00:00:50.547]  Just because we're using a different technology doesn't mean that we give up our rights to be searched, and surveillance is a search.
[00:00:51.327 --> 00:00:56.208]  But the Supreme Court has already rejected in January warrantless GPS tracking
[00:00:57.115 --> 00:01:00.258]  They rejected prior to that warrantless thermal imaging.
[00:01:00.318 --> 00:01:01.799]  They have coming up before them.
[00:01:01.860 --> 00:01:08.465]  They've yet not yet determined whether warrantless cell phone tracking is going to be allowed.
[00:01:08.565 --> 00:01:10.487]  So they will be also reviewing this case.
[00:01:10.527 --> 00:01:11.868]  I'm sure it will go to the Supreme Court.
[00:01:13.430 --> 00:01:22.638]  In this particular case there were no trespassing signs that were posted throughout the heavily wooded 22-acre property and it also had a heavy gate.
[00:01:23.931 --> 00:01:30.092]  Now, the legal fiction of all this is based on a 1984 Supreme Court ruling called Oliver vs. United States.
[00:01:30.713 --> 00:01:37.374]  And it found, amazingly, that open fields could be searched without warrants because they're not covered by the Fourth Amendment.
[00:01:38.134 --> 00:01:42.715]  Well, you might want to look at your copy of the Fourth Amendment because mine doesn't have any exceptions for open fields.
[00:01:43.375 --> 00:01:46.836]  Now, this is all based on a legal fiction called curtilage.
[00:01:47.456 --> 00:01:50.457]  Now, that's a term for the area that immediately surrounds your home.
[00:01:51.334 --> 00:01:54.416]  But what we're seeing here is a gradual encroachment.
