[00:00:06.752 --> 00:00:07.092]  We're good.
[00:00:39.289 --> 00:00:42.431]  It's Thursday, the seventh day of June, 2012.
[00:00:42.971 --> 00:00:47.634]  I'm Alex Jones, and this is another edition of InfoWars Nightly News.
[00:00:48.074 --> 00:00:48.834]  Straight ahead!
[00:00:52.056 --> 00:01:02.121]  Tonight, globalist social engineers subliminally prepared the public for 9-11, as we look back at a creepy collection of premonitions.
[00:01:02.642 --> 00:01:08.545]  Then, Time Magazine wants you to know how to die, and Bill Gates likes death panels.
[00:01:09.125 --> 00:01:11.927]  Then, financial terrorism exposed.
[00:01:12.387 --> 00:01:17.610]  InfoWars goes to London to cover the very first financial terrorism conference.
[00:01:18.191 --> 00:01:21.133]  All that plus an interview with RT's Abby Martin.
[00:01:21.333 --> 00:01:24.355]  That's up next on the InfoWars Nightly News.
[00:01:34.551 --> 00:01:39.094]  First up tonight, InfoWars.com's latest headlines.
[00:01:39.594 --> 00:01:42.315]  Here's one that's extremely important for the American people.
[00:01:42.876 --> 00:01:49.119]  Scientific study links antidepressants in drinking water to autism rising.
[00:01:49.159 --> 00:01:51.621]  Yeah, it's a cocktail of toxins.
[00:01:51.661 --> 00:01:54.763]  Pesticides, mercury in the shots, all contributing.
[00:01:55.783 --> 00:02:03.809]  Psychoactive drugs in our drinking water could be triggering autism, notes biology professor in a new study published in the New Scientist.
[00:02:04.409 --> 00:02:11.334]  And they've done other studies of water supplies around the United States that shouldn't even have Prozac-type drugs in them, but they do.
[00:02:12.015 --> 00:02:16.818]  Well, we know the globalists just don't add fluoride and lithium and radioactive isotopes to our water.
[00:02:17.258 --> 00:02:17.859]  Oh, you didn't know that?
[00:02:19.039 --> 00:02:19.639]  Look into it.
[00:02:20.159 --> 00:02:30.962]  It's also serotonin reuptake inhibitors, known as Prozac, first rolled out by the Eli Lilly Corporation and the monster Dan Quayle.
[00:02:31.502 --> 00:02:33.943]  So there is that report for you.
[00:02:34.443 --> 00:02:43.566]  Continuing another report out of New Scientist, and Paul Watson did a big report on their report, giving people some of the background and the rest of the story.
[00:02:44.546 --> 00:02:47.587]  Carnegie Institute calls for spraying aerosols
[00:02:48.567 --> 00:02:49.847]  To block the sun.
[00:02:50.688 --> 00:03:00.070]  Of course, the Globalists back in the early 90s won a big award, a Nobel Science Prize for this, and since then they're doing it across the board.
[00:03:00.510 --> 00:03:09.052]  Now at Carnegie Institution for Science, proposal to spray aerosol particles in the upper atmosphere to block out the sun and tackle global warming would turn sunny
[00:03:09.392 --> 00:03:12.013]  Skies into hazy white, like has already happened.
[00:03:12.453 --> 00:03:17.275]  A process that many contend is already taking place via chemtrail phenomenon.
[00:03:17.315 --> 00:03:21.677]  Well, NASA admits the Earth is 20% darker than it was just a decade.
[00:03:23.634 --> 00:03:24.575]  Look it up for yourself.
[00:03:24.595 --> 00:03:32.219]  That's why Bill Gates has bought the biggest geoengineering company to do this, knowing there's going to be government funding from it.
[00:03:32.719 --> 00:03:39.643]  They're going to control the weather in the name of protecting you from evil weather fluctuations that they say are abnormal.
[00:03:39.963 --> 00:03:43.104]  They're now teaching school children that the seasons are abnormal.
[00:03:43.545 --> 00:03:44.225]  Don't believe me?
[00:03:44.585 --> 00:03:45.566]  Look it up for yourself.
[00:03:45.646 --> 00:03:49.508]  You cannot make up the level of absurdity we're dealing with.
[00:03:50.208 --> 00:03:54.592]  Now this should be our top story tonight but it just broke so we're just covering it here briefly.
[00:03:55.033 --> 00:04:01.318]  Rockefeller Foundation predicts 13,000 dead at London Olympics in 2012.
[00:04:02.520 --> 00:04:04.541]  They also predict in this report
[00:04:05.362 --> 00:04:11.323]  That a bio-release will kill millions and will be used to set up a police state.
[00:04:11.744 --> 00:04:13.404]  They think you're stupid and don't read this.
[00:04:13.944 --> 00:04:26.667]  And they're openly down there in the timeline, if we scroll down we can show people, saying that a bio-weapon release will be used to sell authoritarianism here in the United States and worldwide.
[00:04:27.127 --> 00:04:29.788]  They play with our little world like it's their little toy.
[00:04:31.465 --> 00:04:36.026]  And continuing, we have classic false flag coming up in just a few days.
[00:04:36.086 --> 00:04:48.628]  The 45th anniversary of the attack on the USS Liberty by the Israeli government, working with the Pentagon and LBJ, and I've had all the big officers on, the admirals, you name it, who were on the radio.
[00:04:48.968 --> 00:04:54.289]  Went over the phone patch, the president came on and said, listen, you follow what McNamara says.
[00:04:54.749 --> 00:04:56.749]  I want that GD ship on the bottom.
[00:04:57.069 --> 00:04:59.530]  But they kept the ship afloat, couldn't blame it on Egypt.
[00:05:00.510 --> 00:05:02.552]  And that is the rest of the story.
[00:05:02.612 --> 00:05:05.114]  Israeli pilots have spoken out about it as well.
[00:05:05.154 --> 00:05:08.116]  They were ordered to do that as a false flag attack.
[00:05:09.537 --> 00:05:11.858]  Our military is expendable by the globalists.
[00:05:11.878 --> 00:05:23.780]  That's why they've killed thousands of them in secret tests that have been declassified, including radiation and Kim attacks, murdering troops in chambers, telling their family they died in car wrecks and from the flu.
[00:05:24.380 --> 00:05:28.001]  Now let's move to the main body of news.
[00:05:28.081 --> 00:05:29.822]  I covered this a lot on the radio today.
[00:05:30.222 --> 00:05:32.002]  Mike Adams has a big report out on it.
[00:05:32.402 --> 00:05:34.223]  It actually talks about giving bonuses
[00:05:35.163 --> 00:05:40.667]  to hospital workers and doctors to not resuscitate and not save people.
[00:05:41.207 --> 00:05:43.829]  Big hospitals have also been caught taking people's organs.
[00:05:44.609 --> 00:05:50.473]  This guy, Joe Klein, talks about how troublesome his parents were and all the things they did when they were old.
[00:05:50.733 --> 00:05:54.535]  And, well, then his dad had broken a rib and they said, have you ever
[00:05:55.416 --> 00:05:59.238]  gets resuscitated, he may break another rib, and he says, well my dad's tough.
[00:06:00.479 --> 00:06:01.819]  It's a pretty amazing quote.
[00:06:02.860 --> 00:06:05.181]  He said, so I approve, do not resuscitate.
[00:06:07.042 --> 00:06:07.702]  Order for dad.
[00:06:07.742 --> 00:06:08.783]  Now that's the double thing.
[00:06:09.423 --> 00:06:17.687]  You know, dad, here's the quote right here, dad might have gotten a rib broken, which a defibrillator doesn't do, if he ever got resuscitated.
[00:06:17.807 --> 00:06:22.830]  So, to be nice to him, in case he broke a rib, we said don't save him.
[00:06:23.310 --> 00:06:24.351]  Kill him to save him.
[00:06:25.091 --> 00:06:26.192]  That's New World Order logic.
[00:06:26.572 --> 00:06:28.793]  And again, they do overdo it sometimes.
[00:06:28.853 --> 00:06:29.513]  Hospitals do.
[00:06:29.754 --> 00:06:30.974]  But that's up to the individual.
[00:06:31.054 --> 00:06:31.635]  It's their money.
[00:06:32.075 --> 00:06:35.797]  But once they socialize things, they can say, well, you're paying for it too.
[00:06:36.397 --> 00:06:37.898]  So now, none of you get any care.
[00:06:38.658 --> 00:06:41.400]  And again, you pay more for water, get less.
[00:06:41.680 --> 00:06:43.061]  Pay more for power, get less.
[00:06:43.401 --> 00:06:44.802]  Pay more for your house, get less.
