[00:00:15.137 --> 00:00:16.518]  You want to fight?
[00:00:16.538 --> 00:00:18.479]  You better believe you got one!
[00:00:39.893 --> 00:00:42.854]  It's Wednesday, December 5th, 2012.
[00:00:43.874 --> 00:00:51.577]  I'm Alex Jones, and this is a three-plus-hour, power-packed edition of InfoWars Nightly News.
[00:00:51.637 --> 00:00:58.820]  So I suggest you strap yourselves in, because this is the InfoWar, and you are the resistance.
[00:01:02.472 --> 00:01:03.673]  Tonight, the U.S.
[00:01:03.753 --> 00:01:12.639]  military is ready for a direct confrontation with Syria as the USS Eisenhower arrives off the Syrian coast.
[00:01:13.059 --> 00:01:19.163]  Meanwhile, militants supported by the Obama administration turn out to be al-Qaeda terrorists.
[00:01:19.423 --> 00:01:20.465]  Who killed U.S.
[00:01:20.545 --> 00:01:24.890]  troops in Iraq and now openly desire to fight the U.S.
[00:01:25.271 --> 00:01:27.494]  after they are finished with Assad.
[00:01:27.894 --> 00:01:32.901]  Plus, the location of the first ever InfoWars drone mob revealed.
[00:01:33.202 --> 00:01:36.786]  That's coming up next on the InfoWars Nightly News.
[00:01:47.148 --> 00:01:51.350]  We've got a lot of important news that we're going to be covering here in just a moment.
[00:01:51.410 --> 00:01:53.372]  Important is an understatement.
[00:01:53.552 --> 00:01:57.014]  We've caught Bob Costas in an incredible new faux pas.
[00:01:57.574 --> 00:02:01.276]  But first off, coming up tonight, it's over a three hour transmission.
[00:02:02.417 --> 00:02:07.940]  We've got an interview with Lindsey Williams, commercial free for 50 plus minutes.
[00:02:09.213 --> 00:02:14.037]  Breaking down his globalist insider connections and what he believes is going to happen in the next four years.
[00:02:15.058 --> 00:02:16.660]  Then we have Ron Paul the film.
[00:02:16.680 --> 00:02:17.661]  I mean, that's what it is.
[00:02:17.721 --> 00:02:20.023]  It's his farewell address, augmented, updated.
[00:02:20.644 --> 00:02:21.265]  It's amazing.
[00:02:22.506 --> 00:02:29.453]  And then we have part three of an in-depth interview in studio with pharmacist Ben Fuchs and Dr. Joel Wallach.
[00:02:31.246 --> 00:02:37.713]  And we also, going to the first break after the news, have Jakari Jackson breaking down the drone mob, 11 a.m.
[00:02:37.793 --> 00:02:40.576]  this Saturday, December 8th, Zilker Park, Austin, Texas.
[00:02:41.497 --> 00:02:45.201]  Drone obstacle course, drone information, prizes, and more.
[00:02:45.261 --> 00:02:46.122]  Bring your video camera.
[00:02:47.302 --> 00:02:53.544]  And you can win $1,000 for the best video of the drone mob.
[00:02:54.064 --> 00:03:02.686]  So basically go to hashtag DroneMob on Twitter or follow the information at twitter.com forward slash realalexjones.
[00:03:03.327 --> 00:03:06.408]  So that is all coming up.
[00:03:06.588 --> 00:03:08.428]  And who knows, I may pop up there.
[00:03:08.468 --> 00:03:11.269]  But you know, it's time for my reporters to go out.
[00:03:11.349 --> 00:03:12.309]  These are great people.
[00:03:12.789 --> 00:03:14.270]  Jakari Jackson, Melissa Melton,
[00:03:15.650 --> 00:03:26.197]  David Ortiz and so many others, John Bowne, Darren McBrain, Marcos Morales, Rob Duda is reporting, Aaron Dykes, all of them.
[00:03:26.237 --> 00:03:28.319]  It's time for them to go out and lead operations.
[00:03:29.349 --> 00:03:30.209]  That's what it's all about.
[00:03:30.469 --> 00:03:31.470]  I mentioned David Knight.
[00:03:31.490 --> 00:03:32.230]  I mean, there's so many.
[00:03:33.410 --> 00:03:36.031]  And so that is this Saturday at 11 a.m.
[00:03:36.071 --> 00:03:39.332]  It'll start, but it'll really kick off at about noon there at Zilker Park.
[00:03:39.372 --> 00:03:44.414]  And the address of all of that is posted also at the Twitter account at Real Alex Jones.
[00:03:44.534 --> 00:03:49.115]  And again, Jakari will show you on a map coming up here in just one moment.
[00:03:49.755 --> 00:03:53.737]  And I think we should record an ad now that I think about it to run on a local FM affiliate.
[00:03:54.397 --> 00:03:54.897]  We just got
[00:03:55.640 --> 00:03:57.381]  Two days, really, to promote it.
[00:03:57.421 --> 00:04:01.582]  But, if you're in an RC club, whatever, it's totally legal and lawful, below 400 feet.
[00:04:01.682 --> 00:04:02.723]  Come out, Zilker Park.
[00:04:03.323 --> 00:04:05.443]  It's gonna be right up against the river, that part of Zilker Park.
[00:04:05.463 --> 00:04:06.004]  So beautiful.
[00:04:06.364 --> 00:04:07.604]  I'm already down there every Saturday.
[00:04:07.804 --> 00:04:11.606]  It's like, just my children are, hey, you gotta spend at least Saturday with us, Dad.
[00:04:11.626 --> 00:04:12.606]  You work every Saturday.
[00:04:12.766 --> 00:04:13.666]  You work seven days a week.
[00:04:13.806 --> 00:04:17.788]  Will you please just... But then I'm like, sure, I'll be there, but...
[00:04:18.797 --> 00:04:19.598]  I'm going to bring my kids.
[00:04:19.858 --> 00:04:20.839]  We'll see what's going to happen.
[00:04:21.800 --> 00:04:23.821]  But maybe I'll be there but in disguise.
[00:04:24.962 --> 00:04:29.807]  Perhaps I'll disguise myself as a TSA agent and stub a few pillows in my shirt.
[00:04:30.147 --> 00:04:32.029]  So I can be a pot-bellied control freak.
[00:04:32.509 --> 00:04:35.051]  Alright, let's get serious here and get into the news.
[00:04:36.252 --> 00:04:40.775]  First off, in the news tonight, I played this on the radio today.
[00:04:40.835 --> 00:04:42.256]  It's up at Infowars.com.
[00:04:42.296 --> 00:04:43.737]  It's in Paul Watson's new article.
